,単語,登場回数
0,た,748
1,だ,474
2,ます,404
3,する,396
4,です,388
5,お,233
6,ない,217
7,いる,183
8,ある,159
9,の,155
10,握り,142
11,さん,128
12,シャリ,125
13,店,113
14,れる,108
15,なる,91
16,穴子,86
17,美味しい,84
18,この,80
19,銀座,80
20,鮨,73
21,青空,69
22,ん,67
23,よう,67
24,思う,66
25,こと,65
26,食べる,61
27,感じる,59
28,さ,57
29,大将,56
30,つまみ,54
31,方,51
32,ネタ,49
33,これ,46
34,私,45
35,もの,43
36,くれる,43
37,素晴らしい,42
38,とても,42
39,赤身,41
40,大トロ,41
41,中,40
42,良い,40
43,せる,38
44,強い,37
45,酢,37
46,中トロ,36
47,ぬ,36
48,たい,36
49,また,35
50,こちら,35
51,予約,35
52,いただく,34
53,旨味,34
54,られる,34
55,行く,34
56,くる,33
57,寿司,33
58,１,33
59,頂く,33
60,車海老,32
61,香り,32
62,てる,32
63,前,32
64,カウンター,32
65,味,31
66,少し,31
67,印象,30
68,う,30
69,しまう,30
70,甘み,29
71,席,29
72,おる,29
73,訪問,29
74,マグロ,29
75,お酒,28
76,脂,28
77,そう,27
78,好み,27
79,今回,27
80,口,27
81,高い,27
82,赤貝,26
83,鮪,26
84,追加,26
85,すきやばし次郎,26
86,出汁,26
87,日本酒,25
88,塩,25
89,寿司屋,25
90,感じ,25
91,小柱,24
92,煮る,24
93,ここ,24
94,日,23
95,移転,23
96,しっかり,23
97,いい,23
98,できる,23
99,みる,22
100,米酢,22
101,そして,22
102,コース,22
103,言う,22
104,感動,22
105,一,22
106,おまかせ,22
107,その,21
108,多い,21
109,笑,21
110,産,21
111,いう,20
112,2,20
113,コハダ,20
114,店内,20
115,時,20
116,来る,19
117,身,19
118,玉子,19
119,後,19
120,かなり,19
121,値段,19
122,それ,19
123,ちょっと,19
124,仕事,19
125,鯖,18
126,玉,18
127,蛤,18
128,好き,18
129,ただ,18
130,残る,18
131,タネ,18
132,素材,18
133,最後,18
134,事,18
135,入る,18
136,無い,18
137,小鰭,17
138,旨い,17
139,酸味,17
140,以前,17
141,出る,17
142,いく,17
143,温度,17
144,握る,17
145,伺う,17
146,料理,17
147,使う,17
148,合わせる,16
149,米,16
150,雰囲気,16
151,強め,16
152,入れる,16
153,最高,16
154,手,16
155,白子,16
156,ビル,16
157,聞く,16
158,わかる,16
159,的,16
160,修行,16
161,効く,16
162,味わい,16
163,目,16
164,食感,16
165,かすご,15
166,軍艦,15
167,大きい,15
168,以上,15
169,品,15
170,時間,15
171,バランス,15
172,柔らかい,15
173,独立,15
174,個室,15
175,雲丹,15
176,出す,15
177,ところ,15
178,人,15
179,特に,15
180,やはり,15
181,軽い,15
182,醤油,14
183,鰹,14
184,何,14
185,枝豆,14
186,蛸,14
187,舎利,14
188,感,14
189,甘い,14
190,鮨屋,14
191,綺麗,14
192,はるたか,14
193,高級,14
194,よく,14
195,最近,14
196,おつまみ,14
197,4,14
198,蒸し鮑,13
199,こはだ,13
200,昆布,13
201,よい,13
202,記憶,13
203,ミシュラン,13
204,濃厚,13
205,写真,13
206,弟子,13
207,置く,13
208,しかし,13
209,らしい,13
210,円,13
211,次,13
212,鱧,13
213,上品,13
214,上質,13
215,３,13
216,過ぎる,13
217,２,13
218,０,13
219,美しい,12
220,違う,12
221,鰆,12
222,今,12
223,しれる,12
224,他,12
225,内容,12
226,点,12
227,みたい,12
228,残念,12
229,説明,12
230,気,12
231,鮑,12
232,合う,12
233,レベル,12
234,白甘鯛,12
235,楽しむ,12
236,任せる,11
237,ポン酢,11
238,ナガスクジラ,11
239,黒鮑,11
240,酒肴,11
241,いつも,11
242,行う,11
243,もちろん,11
244,どれ,11
245,させる,11
246,個人的,11
247,昆布締め,11
248,常連,11
249,自分,11
250,見る,11
251,000,11
252,加減,11
253,完璧,11
254,すぎる,11
255,始まる,11
256,にぎる,11
257,お願い,11
258,６,11
259,貫,10
260,確か,10
261,しっとり,10
262,初めて,10
263,取る,10
264,やすい,10
265,巻物,10
266,ー,10
267,アオリイカ,10
268,キス,10
269,とにかく,10
270,前回,10
271,絶妙,10
272,合,10
273,名前,10
274,食材,10
275,もう,10
276,ちゃう,10
277,名,10
278,高橋,10
279,期待,10
280,夜,10
281,焼く,10
282,楽しい,10
283,年,10
284,車エビ,9
285,春子,9
286,粒,9
287,満足,9
288,鯵,9
289,ねっとり,9
290,鱚,9
291,炙る,9
292,マコガレイ,9
293,絶品,9
294,次郎,9
295,スープ,9
296,酢飯,9
297,接客,9
298,すごい,9
299,ツマミ,9
300,再訪,9
301,タイミング,9
302,さすが,9
303,すきやばし,9
304,クエ,9
305,僕,9
306,超,9
307,東京,9
308,鯛,9
309,ご,9
310,あと,9
311,江戸前,9
312,スミイカ,9
313,ハマグリ,9
314,ヒラメ,9
315,さっぱり,9
316,ウニ,9
317,ビール,9
318,もらう,9
319,度,9
320,上がる,9
321,客,9
322,うまい,9
323,本日,8
324,以下,8
325,ブリ,8
326,墨烏賊,8
327,変わる,8
328,極上,8
329,相性,8
330,上,8
331,巻,8
332,広い,8
333,忘れる,8
334,アワビ,8
335,カスゴ,8
336,同じ,8
337,考える,8
338,少ない,8
339,取れる,8
340,味噌,8
341,イカ,8
342,サヨリ,8
343,小肌,8
344,やる,8
345,二,8
346,味付け,8
347,お客さん,8
348,見た目,8
349,湯引き,8
350,名店,8
351,クオリティ,8
352,星,8
353,5,8
354,修業,8
355,満席,8
356,そんな,8
357,人気,8
358,利く,8
359,様,8
360,サバ,8
361,なかなか,8
362,赤雲丹,8
363,時期,8
364,赤酢,8
365,お刺身,7
366,尾,7
367,いただける,7
368,ごちそうさま,7
369,6,7
370,通り,7
371,まずは,7
372,出来る,7
373,非常,7
374,空間,7
375,アジ,7
376,カツオ,7
377,特徴,7
378,もう少し,7
379,一体感,7
380,雑味,7
381,優しい,7
382,美味,7
383,場所,7
384,8,7
385,丁目,7
386,注文,7
387,蒸す,7
388,書く,7
389,有名,7
390,硬め,7
391,まだ,7
392,頂ける,7
393,字,7
394,佐島,7
395,甘鯛,7
396,イクラ,7
397,江戸前鮨,7
398,楽しめる,7
399,美味い,7
400,摘む,7
401,万,7
402,鰻,7
403,新橋,7
404,若い,7
405,さて,7
406,意味,7
407,負ける,7
408,全体的,7
409,こんなに,7
410,ため,7
411,海老,7
412,独特,7
413,たこ,7
414,3,7
415,飲む,7
416,撮る,7
417,ほぼ,7
418,全て,7
419,干瓢,7
420,親方,7
421,かける,6
422,北海道,6
423,いくら,6
424,具合,6
425,ツメ,6
426,お腹,6
427,塩味,6
428,閖上,6
429,個性,6
430,残す,6
431,一切,6
432,べし,6
433,コリドー,6
434,新橋駅,6
435,漂う,6
436,生ビール,6
437,浸す,6
438,燻製,6
439,一通り,6
440,分,6
441,サービス,6
442,番手,6
443,驚き,6
444,普通,6
445,中とろ,6
446,あなご,6
447,際,6
448,会話,6
449,切る,6
450,楽しみ,6
451,思い出す,6
452,中心,6
453,一番,6
454,結構,6
455,勉強,6
456,皮,6
457,白身,6
458,顔,6
459,鳥貝,6
460,内装,6
461,丁寧,6
462,やや,6
463,調整,6
464,三,6
465,困難,6
466,相変わらず,6
467,12,6
468,引き出す,6
469,価格,6
470,職人,6
471,緊張,6
472,なか,6
473,邪魔,6
474,あの,6
475,千葉,6
476,固め,6
477,炊く,6
478,包丁,6
479,溶ける,6
480,持つ,6
481,経験,6
482,凛と,6
483,つける,6
484,階,6
485,店主,6
486,逸品,6
487,驚く,6
488,際立つ,6
489,いや,6
490,たまご,6
491,認識,6
492,空気,6
493,提供,6
494,メニュー,6
495,でも,6
496,ガリ,6
497,ふんわり,6
498,お茶,6
499,覚える,6
500,白川,6
501,引き立つ,6
502,舌,6
503,納得,6
504,評価,6
505,マニア,6
506,面白い,6
507,肝,5
508,すみいか,5
509,圧巻,5
510,次回,5
511,とろたく,5
512,1,5
513,噛む,5
514,香る,5
515,鮮烈,5
516,存在感,5
517,夏,5
518,芝海老,5
519,大和芋,5
520,伺い,5
521,17時,5
522,増える,5
523,間,5
524,ゆったり,5
525,トロ,5
526,アナゴ,5
527,燗,5
528,出身,5
529,全く,5
530,流れ,5
531,最,5
532,嬉しい,5
533,お客様,5
534,テンポ,5
535,街,5
536,食事,5
537,見事,5
538,檜,5
539,2種類,5
540,おく,5
541,平目,5
542,一品,5
543,魚,5
544,1人,5
545,スタッフ,5
546,微妙,5
547,頼む,5
548,あまり,5
549,タレ,5
550,海苔,5
551,感想,5
552,季節,5
553,方々,5
554,ベスト,5
555,めっちゃ,5
556,河豚,5
557,ぶり,5
558,silver,5
559,王道,5
560,山わさび,5
561,天然,5
562,緊張感,5
563,乗る,5
564,進む,5
565,イメージ,5
566,あさり,5
567,塩気,5
568,旨み,5
569,ワイン,5
570,一言,5
571,細かい,5
572,話す,5
573,皿,5
574,上げる,5
575,フグ,5
576,餡,5
577,座る,5
578,w,5
579,一貫,5
580,馬糞雲丹,5
581,0,5
582,近く,5
583,シンプル,5
584,立派,5
585,そこ,5
586,とる,5
587,なぜ,5
588,大好き,5
589,ちなみに,5
590,抜群,5
591,瞬間,5
592,手取川,5
593,女性,5
594,おいしい,5
595,悶絶,5
596,超える,5
597,最も,5
598,ありません,5
599,客層,5
600,８,5
601,ザギン,5
602,とろける,5
603,絶対,5
604,風味,5
605,解ける,5
606,天草,5
607,新子,5
608,再,5
609,極めて,5
610,出て,4
611,ジュレ,4
612,藁焼き,4
613,玉子焼き,4
614,どの,4
615,並ぶ,4
616,真子鰈,4
617,大星,4
618,巻く,4
619,叩く,4
620,どう,4
621,程良い,4
622,含める,4
623,後味,4
624,所作,4
625,多め,4
626,近い,4
627,まさに,4
628,飲み物,4
629,金目鯛,4
630,焼き物,4
631,玉子焼,4
632,物,4
633,位,4
634,安い,4
635,⭐,4
636,つく,4
637,こんな,4
638,清潔感,4
639,通う,4
640,にくい,4
641,側,4
642,声,4
643,相当,4
644,初,4
645,その他,4
646,間違い,4
647,甘味,4
648,レビュー,4
649,友達,4
650,35,4
651,雑居ビル,4
652,l,4
653,2006年,4
654,青森産,4
655,焼き,4
656,カマス,4
657,鰤,4
658,出し,4
659,連れ,4
660,全体,4
661,少なめ,4
662,オーダー,4
663,最初,4
664,あっさり,4
665,分かる,4
666,縞鯵,4
667,獲得,4
668,頃,4
669,ちょうど,4
670,とり貝,4
671,臭み,4
672,茹でる,4
673,卵,4
674,贅沢,4
675,主人,4
676,のどぐろ,4
677,久々,4
678,会計,4
679,3万円,4
680,白シャリ,4
681,いける,4
682,堪能,4
683,すべて,4
684,味わう,4
685,離れる,4
686,気持ち,4
687,ハタ,4
688,あわび,4
689,ネギ,4
690,わけ,4
691,くぐる,4
692,続く,4
693,驚嘆,4
694,あん肝,4
695,スッポン,4
696,始める,4
697,ご馳走様,4
698,新しい,4
699,店舗,4
700,５,4
701,なん,4
702,タコ,4
703,種,4
704,細魚,4
705,型,4
706,程よい,4
707,構成,4
708,くえる,4
709,よる,4
710,大根おろし,4
711,系,4
712,餡掛け,4
713,蕪,4
714,繊細,4
715,苦手,4
716,三陸沖産,4
717,綿屋,4
718,姿,4
719,さより,4
720,本マグロ,4
721,蕩ける,4
722,大分,4
723,唐津,4
724,それでも,4
725,対馬,4
726,溢れる,4
727,でる,4
728,まぐろ,4
729,不思議,4
730,距離感,4
731,比べる,4
732,たまたま,4
733,接待,4
734,もらえる,4
735,増す,4
736,使用,4
737,良さ,4
738,触れる,4
739,半,4
740,呑む,4
741,先,4
742,グラス,4
743,純米大吟醸,4
744,とき,4
745,シャープ,4
746,思わす,4
747,長い,4
748,実に,4
749,シースー,4
750,経つ,4
751,ぬる,4
752,山葵,4
753,しまあじ,4
754,広がる,4
755,相方,4
756,自然,4
757,水分,4
758,ほどける,4
759,切りつける,4
760,酸,4
