,分ち書き
0,夏の初音鮨に行ってきました
1,新イカとか新子でるかなーと思って行きましたが、予想外のものばかり
2,　手のひらくらいの大きさのアワビも温かい鱧も鮎の握りも大盛りのウニも、もちろん鮪も美味しかったし温かくリラックスできる時間でした
3,女将さんは6月より少しふっくらされて、相変わらずお美しくにこやかになさっていました
4,秋はイクラ、冬は蟹だそうです（そのぶんお値段もあがってしまうとのことでした）
5,母を質に入れなくては
6,
7,
8,
9,使っている食材はどれも最高級で、ネタについて詳しく説明してくれる
10,握る前のネタなどは写真が撮りやすいよう、それぞれのお客に目の前で見せてくれる
11,なかなかホスピタリティーの高いお店でした
12,・先付（蛸、枝豆、超ミニトマト）蛸は柔らかいが、程よく弾力も残っていて、良い火加減でした
13,・鮪刺身（赤身、中トロ、大トロ/腹かみ一番）鮪は塩釜（宮城）117kgと108kgを使用
14,塩で頂きました
15,山葵は静岡産で農林水産大臣賞を受賞している、キロ単価が鮪と同値という最高級品
16,赤身、中トロ、大トロと1切れずつの提供だったが、本当にどれも美味しくて期待値がだいぶ上がりました(笑)・鱧、ばちこ、おこげのお吸い物鱧で出汁と取っているとのこと
17,その出汁が美味しくて、鱧の身もふわふわで美味しかったです
18,おこげも良いアクセントになっていました
19,・鮑　肝ソースとご飯を添えて鮑は900gという超巨大な代物
20,柔らかくて美味しい
21,肝ソースは期待したほどでは
22,
23,・剣先イカ握り・真魚鰹握り・琵琶湖の天然鰻かなり分厚い天然鰻を炭火焼きにしてパリッパリに
24,シャリとともに頂きました
25,かなりの厚みでふわっふわでした
26,・平貝炙り（海苔）・縞アジ握り2
27,5kgの大物・赤雲丹あまり食べたことはないが、赤雲丹の中ではかなり臭みのない上質な物でした
28,・バフン雲丹（利尻産）今まで食べた中で最も美味しいバフン雲丹でした
29,とてもクリーミーで臭みがなく、美味しかったです
30,臭みの無さはムラサキ雲丹に匹敵するが、バフン雲丹にしか出せない深み、コクがあり最高でした
31,本日のno
32,1
33,・クエ握り加熱しない方が美味しいと思うんだけどな～・穴子握り穴子を折りたたんで握る程、ネタが大きくてごはん少な目なので、バランスが悪くなっていた
34,・もずく（口直し）・鱧、鱧子、松茸握り炭の香りが強すぎて、素材の味を十分に楽しめませんでした
35,・車海老握り日本酒で踊らせて遊んでいた(笑)・車海老の頭・天然鮎握り鮎自体は素晴らしい調理工程で仕上げられていたのだが、握りにしたのが残念
36,シャリとの相性は悪く、シャリが邪魔に感じてしまった
37,・鮎骨酒これは美味しい
38,苦みもしっかり出ていて素晴らしい
39,・赤身漬け握り醤油が濃すぎて鮪の良さが消えていた
40,・中トロ漬け握り赤身に同じく
41,・大トロ漬け藁焼き握りわさび乗せスタイル
42,これは旨い
43,大トロなのでもちろん脂の量は多いのだが、時期的にも控え目で、比較的さっぱりしていたので個人的には良かった
44,これがno
45,2
46,・鮪全部（複数部位）乗せ巻き・かんぴょう巻き・玉本当にカステラのよう
47,ここで一旦部屋を移動
48,・ほうじ茶これめっちゃ美味しいです
49,香りの格が違いました
50,・葛切り、黒蜜目の前で1枚（2人前）ずつ作る丁寧さ
51,ツルツルで美味しいのだが、何よりも黒蜜が最高(笑)本当に質の良い物を使っているのが伝わってくる味わい
52,これは最高です
53,・焙煎珈琲苦みがほとんどなくて飲みやすい
54,・黒蜜アイス先ほどの黒蜜に自家製アイスを入れちゃうスタイル
55,実はこれが真のno
56,1でした
57,本当に美味しい
58,鮨ネタは基本的に熱を通してから握るスタイルの様です
59,それによってくさみ、旨味どちらも飛んでいるというのが個人的な意見です
60,因みにテンポが速すぎて、ゆっくりと食べていられない上に食べている途中で次のネタを紹介されたりと、食べることに集中できない空間に落胆しました
61,5万円払って、回転重視というのは納得できませんね
62,さらに本当に正直な事を言うと鮨よりも甘味が美味しかったですね
63,
64,食べログ★4
65,59・2019年
66,silver・2018年
67,silver・2017年
68,silver【初音鮨】さんにお伺いさせて頂きました
69,お蔭様で、定期訪問させて頂きました、最近はご夫婦でテレビでの出演も増えまして、更に大人気店になりました
70,現在の営業は３回転、15時、17時、19時になります
71,今回は19時のコースです
72,猪股さんとのコラボレーションもすっかり馴染みまして、中治さん、女将さん、猪股さんによるまさにエンターテインメントになります
73,二部屋に分かれるコースは、【山の部屋】♦️蛸、枝豆、トマト♦️大間の鮪・大トロ、中トロ、赤身を
74,
75,塩と山葵
76,♦️鱧のスープ仕立て・バチコ、お焦げ、オクラ、蓮根♦️蒸し鮑
77,肝ソース♦️アオリイカ握り♦️小肌握り♦️マナガツオ握り♦️鰻握り・1
78,2㎏グラム天然鰻
79,2種類♦️平貝磯辺焼き♦️穴子握り♦️雲丹握り♦️白甘鯛握り♦️松茸、鱧、鱧の卵の握り♦️縞鰺握り♦️車海老握り♦️海老の頭♦️鮎の握り♦️鮎の骨酒♦️赤身漬け炙り握り♦️中トロ漬け炙り握り♦️藁焼き大トロ漬け炙り握り♦️トロ全部乗せ手巻き♦️寛平巻き♦️卵焼き【海の部屋】♦️葛切り、黒蜜♦️焙煎コーヒー♦️黒蜜アイス更に、進化されたエンターテイメントになります
80,楽しさ、面白さは当然の如く、素材が更にパワーアップされております
81,鮪のラッシュは今回もお約束です
82,、、、素晴らしいですね
83,更に、・鱧、鮑、鰻、どれも素材が素晴らしく、この厳選素材（特選素材）を美味しくお出し頂けます
84,鰻などはまさに圧巻ですね
85,そして松茸、車海老、鮎、こちらも厳選素材で見た目で既に圧巻です
86,特に鮎の握り、鮎の骨酒、これには参りました、これは一番美味しいかもしれない
87,
88,濃厚さ、味わい、これは実に美味しいですね
89,楽しく、美味しい、まさに至福の時間を過ごせます
90,良いお店ですね
91,
92,東京の蒲田にある、初音鮨異例の先に1人48600円入金すると言う初めてのスタイル飲み物はその場でのお支払いお茶しか頼んでないのに、1290円のお支払いまずは、あわびの肝ソースなどの小鉢数種類まあ、味は普通次にマグロの刺身わさびをつけそのままこれも普通ただ、美味しいとかの前に、エンターテイメント的なショーを見てる感じ楽しめたのは楽しめた
93,いまは、三部制に変わり、3時からの部もあるので予約も取りやすくなったのではないかな
94,
95,握りは全て手渡しそんなに美味しくはないただ、エンターテイメントな感じなので、美味しく思えるが、決して鮨単体では美味しくないのどぐろなどは、どこの寿司屋で食べても美味しいウニは、そこそこ高いものを使用したら、美味しくて当然、そりゃ客単価50000毛ガニも大きくて凄く良いものを使用そうだとしても、、、1
96,2キロ二万としても8人で割れば2500円あたり味よりは、楽しみたいと言う人には良いかも
97,
98,その8人の中でも、再訪者は2人のみつまり新規が多いね見せ方もすごく上手また自分が来たい
99,
100,と言うよりも、誰かを連れて行ってあげたいと思える店でも、ここだけにしかない空間で楽しめました
101,「仕事大好きっ❤」最後に大将がカウンターの向こうで叫んだ一言
102,思わず「私はその仕事を、間近で見て、聞いて、食べるの大好きっ❤️」と返そうかと思ったほど
103,8席あるカウンター
104,たぶん常連さん達に囲まれてドキドキからのスタート
105,初音鮨さんの色々な期間もあり、2年以上待って待って、ようやく予約が取れた日
106,お昼とも夜とも言えない15時という時間でしたけど、ペッコペコのお腹にして伺いました
107,写真がありすぎるけど、これでも少ないです
108,エンターテインメントである、と噂には聞いておりましたけどやはりスタートは驚きました笑笑でも、白身のお出汁をいただいた瞬間に期待値がぎゅーっと上がっていったので、大将のあらゆるプレゼンに驚きつつもこちらも分からないことはどんどん質問してしまう感じに
109,周りの方々、空気が読めていなかったら本当に申し訳ございませんでした
110,楽しかった〜
111,美味しかった〜
112,、、、うーむ、美味しかった、では済まないのですけど、いい言葉が出てこないです
113,※お言葉に甘えて、本にはサインを
114,お写真も
115,
116,ステキな女将さんにも会えて嬉しかったですー
117,
118,【再訪④】2019/1/26（土）dinnerinstagram「＠mitomi_emon」／ブログ「http://ameblo
119,jp/nobuhiromitomi」リニューアルしてさらにパワーアップした蒲田の雄『初音鮨』へ
120,
121,実は訪ねたのは一週間ぶり
122,笑　ただ、前回はnyに旅立つ名古屋の「寿しの吉乃」とのコラボイベント
123,なので、今回はリニューアル後の全力の初音鮨への初訪問となります
124,初音鮨といえば握りのみだったが、新生初音鮨はつまみからスタート
125,どうですか、このつまみの４点セット
126,真イカ、河豚、天然鰻、ばちこ、ハマグリ、鮟肝などなど
127,握りも贅沢且つ豪快が売りの１つでしたが、つまみでもエッセンスは失われておりませんね
128,そしてつまみのクライマックスは三種の鮪
129,卸しを樋長と石司と２つのルートから入手しているのが最も贅沢
130,普通では考えられませんが、埼玉の川口で活躍する「猪俣」の大将が手伝いに来ているからこそ実現しているのです
131,これもまた初音鮨の大将の人徳と技術があってこそでございます
132,握りも相変わらずユニークネスに富む
133,「アオリイカ」においては、唐墨と一緒に握るなんて芸当
134,淡白になりがちなイカが忽ち主役級の握りに生まれ変わります
135,骨とともに旨味が身に溶け込んだ「小肌」も絶品
136,「平目」はエンガワも肝もみんな一緒に握られ、旨味も食感も平目の全てが融合しております
137,この時期の主役である蟹も登場
138,もはやお馴染みの手渡しでは渡せないほど贅沢に盛り付けられます
139,雲丹も然り
140,笑　でも一番の主役はやっぱり鮪
141,どんなに山葵をつけても影響がないほど脂たっぷりの鮪の炙り寿司
142,さらには、こいつも一緒に全ての鮪を使った手巻きなどの素晴らしさは言わずもがなでございます
143,そして、最後はバーに移動してデザート＆コーヒータイム
144,寿司屋でコーヒーを提供するのは非常に珍しいですね
145,この時間を利用して、女将のサプライズバースデーをやらせていただきました
146,喜んでもらえて良かった
147,
148,【2019
149,01
150,12】新しくなりました初音鮨さんにやっと訪問
151,中に入ると豪華な室内に最初は少し落ち着きません
152,金の出入り口から何か出てきますか期待と不安でいっぱいです
153,初音鮨さんは、ルールが大きく変わりました
154,もしかしたら、あの大将が黙々と握りを出す、国宝の域に達してしまってないか・・・新しくソムリエの方に飲み物をお願いすると、次に新社長が顔を出し、そしてその後に笑顔の女将さんが登場
155,着物姿に戻り、ご挨拶です
156,そして大将が登場
157,いつも以上に力が入り、それはいつもの大将でした
158,大将の登場で、いつもの空気感が戻りました
159,時折現状の報告をされながら、いつものパフォーマンスを繰り出します
160,今年初音鮨さんは、大きく変わります
161,その大将の生き方に男を感じずには、いられません
162,色々言われる人もいると思いますが、私は応援していきたいと強く感じました
163,さて、本日の良かったネタですが、またこの場所に戻れた事が本日一番でした
164,また伺います
165,ありがとうございました
166,
167,中治劇場（中治寄席かもしれない）は、今回も盛り上がる
168,　心の幸せになりかたは、再びmaxレベル
169,(今回頂戴したものは写真を、お店の詳細は前回のレビューを参照ください)
170,初音鮨さんでの貸切会を主催させてもらいました
171,今宵のメンバーは東京の高級グルメをほぼ制覇している友人やフーディー、食べログ
172,グルメ著名人など、食の重鎮が一堂に会する豪華な貸切会です
173,貸切会を主催する私より、遥かに初音さんに通われています
174,（苦笑）それでも近年、初音さんの貸切会をするのは難しいと伺いました
175,ご主人、女将さん貴重な会をさせて頂き感謝、感激です
176,皆さん揃ったところでスタートです
177,まずは生ビールで乾杯しました
178,料理は中治さんのお任せとなっています
179,つまみは提供されていないので、いきなり握りから始まります
180,☆三浦の蛸☆千葉のアオリイカ☆コハダ☆天然鰻☆カワハギ☆鮑☆由良の鱧と松茸
181,軸と傘☆鱧と松茸のスープ☆漬け☆中トロ☆伊勢海老☆大トロ
182,漬け炙り☆マグロ
183,手巻き☆干瓢巻き☆玉子前回よりも若干、ボリュームが少なくなったでしょうか
184,フレンチのコースランチ、中華ランチを頂いた後だったので、完食出来るか不安でしたが案外あっさり完食出来ました
185,お代は1人4万円前後でした
186,美味しかったので、もう少し食べたいぐらいでした
187,（笑）初音さんで、松茸の握りや鮪尽くしを堪能しました
188,集まって下さった皆さん、大将、女将さんありがとうございました
189,また今後共、宜しくおねがいします
190,
191,2017
192,7
193,15昼下がり(15時スタート)、名古屋「寿しの吉乃」大将・吉田さんにお誘い頂き、ソラノイロ店主・宮崎さん、志奈そば田なか店主・ユーキ君と計４名で初音鮨＠蒲田へ
194,シャリのプレゼンに始まり、開始から終盤に向けて熟れ(なれ)ていくシャリを見計らっての鮨種の独特な起用法や、「鮨で腹一杯になって欲しい」愛に溢れた握りのサイズ感にも驚かされたが
195,何より仲治大将の唯一無二のトークが最高
196,ゲストを楽しませようというサービス精神
197,ただの度が過ぎた喋り好き(笑)
198,そんな瑣末な疑問がどこかへスッ飛んでいく程の楽しさ
199,特に「女将の首の太さはヘドバンのし過ぎ」で口火を切った「アタシのスキンヘッドはjudas
200,priestの影響から」のクダリは、並の鮨店じゃ出てこんて
201,(並じゃなくても鮨店じゃ余程出てこんと思うが)とにかく、美味さに唸りっぱなし、トークに笑いっぱなしの超濃密な２時間半
202,約3
203,5万の代金も、むしろ安過ぎじゃね
204,とこちらが心配になるくらいの充実度
205,以下、提供順に鮨種と簡単なメモ
206,シャリ玉(初手の検証)地蛸
207,三浦(蛸が香ばしいってステキ)アオリイカ(エロティックな舌ざわり)ゲソバチコ
208,能登(酒過ぎ垂涎)新生姜のガリ(爽やかで刺激的)天然鰻
209,琵琶湖
210,2kg(超肉厚でカリフワ)初鰹
211,ヅケ
212,鎌倉
213,背と腹(典雅な香り)黒鮑
214,大原(面食らうほど美味い)真子鰈
215,江戸前
216,背
217,腹
218,エンガワ
219,塩蒸しした肝(この日の私的ナンバーワン
220,)本鮪
221,腹カミ一番
222,境港
223,124kg
224,赤身
225,ヅケ(濃厚な旨みと酸味)鱧と鱧子の湯霜
226,三島(口ほどけが最高)天然鮎
227,広島
228,太田川(岐阜市民なので鮎は食べ慣れてます)バフンウニ
229,礼文島(蕩け方に心酔)ムラサキウニ
230,礼文島(余韻に昆布の香りがフワリ)本鮪
231,境港
232,中トロを塩で(脂の甘みが塩で引き立つ)毛蟹
233,噴火湾
234,塩
235,酢橘(美味過ぎて笑けてくる)本鮪
236,境港
237,トロのヅケの炙り(鼻に抜ける薫香)本鮪
238,境港
239,３部位の太巻き(アホな発想だが裏切らない美味さ)干瓢(落ち着いたシャリの甘み)玉(まるで焼きたてのカステラ)hash-royal＠twitterhttps://twitter
240,com/hashroyalhash-royal＠instagramhttps://www
241,instagram
242,com/hashroyal/hash-royal「メシコレ」ページhttp://r
243,gnavi
244,co
245,jp/mecicolle/curator/hashroyal1217/
246,創業は1893年と代々続く、蒲田にあるエンターテイメント性と個性、究極のネタを追求する初音鮨
247,こちらはちょっと特殊な世界
248,時間一斉スタートで約2時間かけて行われ、お酒は充実していますがつまみはありません
249,まずは出来たてのシャリを少しいただくところからスタートし、いただくときはネタをひっくり返して舌に乗せ5秒待つというルールがあります
250,規格外の大きさの鮪を捌く所から始まり行程内に漬けや茹でや焼きを行い、高級ネタが並び、人数分しか用意が無いので通常追加はできません（イレギュラーで1回経験あり）ネタは旬と鮮度に拘ったものから熟成まで幅広く楽しめます
251,価格改定も物ともせずに人気は上がり続け、現在2017年度は全て予約終了状態
252,来年度からは数ヶ月単位の予約になる可能性があるそう
253,この日も数種類のカラスミを使用したにぎりや身の引き締まった根室の蟹、うにの食べ比べ、爽やかさの中に濃厚さをもつ鰹等次々と素晴らしいネタ続き
254,ただ今回はネタやお味だけでなく通う楽しさを再認識した日でもありました
255,通わせて頂いているお店は余韻を持っているように感じます
256,伺ってから翌日、数日経った後感動や楽しさが蘇り「あの日あの場所に居られて良かった」と心に刻まれるお店
257,いただいておしまい、美味しかった、だけで終わらないその先があるお店、心に響く余韻を持つのがここ、初音鮨です
258,今回はいつもよりお腹いっぱいになり、女性らしい
259,勘違いで少食になったと思っていたら大将がにこやかに「それはだって、シャリを大きくしましたから♪」と仰って
260,
261,やられました(笑)1回、2回ではこちらサイドのことは分かりませんしこういう楽しさを共有できるのは通っているからこそ
262,お客様と一体となって楽しみ、何気ないお話を大将と笑い合う、鮨店なのでネタや接客等はもちろん大事なのですがストレートに好きだと思えるのもとても素敵なこと
263,お店の不手際ではない所のハプニングで大将も女将さんもとても大変そうな日で、一部のお客様のご予定もあった日でしたが最後は大将の面白いトークが冴え少しゆっくりでき通い始めた頃を思い出すどこか懐かしさもある日でした
264,一部では夏で初音は閉めてしまう
265,という噂もあるそうですがもちろんそれはありません
266,ですが、確かにかなりの人気でお忙しそうなので体調が気になってしまう時もあります
267,店内にはグリーンヘデラベリーの鮮やかな緑が色を与え、今日も楽しく驚きのあるここにしかない初音のステージが始まります
268,◆蛸神奈川佐島の3キロ、ほうじ茶で茹でたもの酢橘を絞って渡されます柔らかく瑞々しく弾力があり、何より香りが良好スタートに相応しい綺麗なお味、初夏の陽気に乗り爽やかさが弾けます◆アオリイカ千葉勝山の3キロ、お皿を熱い程に温めシャリとの温度差を縮めます甘くねっとりしたアオリイカの良さが出ているお味◆カラスミとゲソ先程のアオリイカのゲソを干し、叩き、炙ったものにカラスミを乗せていただきます色とりどりなのは種類の違うカラスミを使っているからなんと1切れずつ違い、それを合わせるという贅沢さゲソとカラスミが合わさると芳ばしく甘く、そして程よい塩気があります今回、女将さんが選んで下さったのは泉橋酒造の生酛造り黒蜻蛉常温で出されるので自然にいただけ、お酒自体も甘くはあってもすっきりしていてきめ細かいお味個性的過ぎず良く合い、お酒が弱い人でも美味しくいただける組み合わせ◆初鰹千葉勝浦の漬け、部位は背と腹鰹のフレッシュな香りの中に濃厚さもある美味な鰹鰹独特のにおいの代わりに珍しい濃さを覗かせる他では味わえない旨みがあります苦手な方でもいただける素材感と仕事の一体感が光る一貫◆トリ貝通常のトリ貝よりも大きな京都丹後のもの、例年より不漁で解禁が遅くなりましたが初音は早速入荷されていましたキュッとした歯応えといい音を奏でる、旬の始まりの流れが見えるようでした大きくジューシーなので食べ応えがあり、繊細なお味をしっかり受け止めることができます◆鯵三重の尾鷲の鯵、湯洗いして塩で脱水したものそれにより、旨味が全面に出ていますこの力強さは初音ならでは、旨みを追求する姿はいつでも変わらない「らしさ」があるお味◆鰻天草天然鰻、1
269,2キロ切っている時からパリパリと音を立て、こちらは5秒待つと火傷する熱さをもっています焼きが非常に上手く毎回驚かされます表面の余計な水分を極限にまで飛ばし中は熱々でジューシー脂もありとても美味◆鱒の介国外ではなくなんと気仙沼で揚がったもの、12
270,4キロ脂乗りがいいですがこってりとは違う、上質で美味一般的な辺倒な脂っぽさはなく、鱒の介と片付けられないお味◆バフンウニ今回は雲丹の食べ比べ温められた雲丹はとろとろの口当たり、もちろん鮮度が気になるにおいはなく濃厚さが光ります◆キタムラサキウニ双方濃厚さがあって美味、ですがそれぞれ特徴をもっています残る風味が良く、イメージ的にはバフンウニが濃厚で強いイメージがあったのですが、こちらの方が香りが強め特色が見え興味深くいただけました<今回の鮪は、塩釜63
271,4キロと千葉勝浦136
