,軸,単語,登場数,登場率%/22439,レビューあたり/66,他のレビューでの登場率%,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,ネタ,名物,1,0.0,0.01,9.703273884608667e-06,桜鯛　1,ハマグリヅケトリ　1,貝　1,コハダ　1,カツオ　1,ウニ　1,握り　1,トロ　1,巻　1,金目鯛　1,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*,*　*
1,ネタ,食材,16,0.07,0.24,0.00016495565603834734,する　4,大将　4,最高　4,提供　3,れる　2,お酒　2,三谷　2,さん　2,季節　2,変わる　2,モダン　2,素晴らしい　2,今回　1,一番　1,驚き　1,こい　1,ソーメン　1,かな　1,いる　1,考える　1
2,素材単体,イワシ,8,0.03,0.12,0.0,香ばしい　2,つみれ　2,おでん　2,鮪　2,のせる　2,脂　2,後　1,最初　1,料理　1,岸和田　1,美味しい　1,頂く　1,ステーキ　1,握り　1,フィーリング　1,合う　1,続く　1,秋刀魚　1,ツブ　1,出る　1
3,素材単体,キンキ,3,0.01,0.04,3.881309553843467e-05,最高　2,触れる　1,本日　1,銚子　1,使う　1,料理　1,する　1,喉　1,鳴る　1,普段　1,好む　1,シャコ　1,脂　1,乗る　1,からすみ　1,ご飯　1,一緒　1,食べる　1,*　*,*　*
4,素材単体,白魚,11,0.04,0.16,0.00010673601273069534,宍道湖　4,小柱　3,茶碗蒸し　3,蒸す　3,焼く　2,立派　2,皇室献上　2,品　2,小肌　2,雲丹　2,鯖　2,鮑　2,つまむ　1,車海老　1,コハダ　1,昆布締め　1,８　1,年　1,嬉　1,十四代　1
5,素材単体,鮑,33,0.14,0.5,0.0005821964330765201,蒸す　6,鯖　6,雲丹　6,つまむ　6,ソース　5,炙る　5,肝　4,煮る　4,産　3,スープ　3,蝦蛄　3,出汁　3,の　3,鱈　3,白子　3,玉　2,穴子　2,鯵　2,つみれ　2,海水　2
6,素材単体,カラスミ,24,0.1,0.36,0.00014554910826913002,ステーキ　7,炙る　5,マグロ　5,キャビア　4,ご飯　4,乗せる　4,天ぷら　4,ウニ　3,穴子　3,顎　3,肉　3,ソース　3,シャリ　3,トロ　3,ベルーガ　2,熟成　2,ミモレット　2,感　2,唐揚げ　2,もの　2
7,素材単体,ばちこ,8,0.03,0.12,7.762619107686934e-05,握り　4,からすみ　2,玉子　2,ステーキ　2,雲丹　2,赤海胆　2,ナマコ　1,カラスミ　1,チップス　1,のどぐろ　1,ぐろ　1,揚げる　1,ある　1,塩　1,けが　1,きつい　1,柔らか　1,祝　1,千葉　1,カワハギ　1
8,素材単体,あん肝,4,0.01,0.06,3.881309553843467e-05,10 years　2,old　2,北海道　2,余市　2,味　2,口　2,広がる　2,いる　2,noble　1,内　1,飲む　1,あらら　1,く　1,不思議　1,旨味　1,貴腐ワイン　1,甘味　1,深い　1,炙る　1,トロ　1
9,素材単体,干瓢,18,0.08,0.27,0.00029109821653826003,巻き　20,巻く　9,巻　5,青柳　4,い　4,赤貝　3,雲丹　3,鮪　2,鉄火　2,白海老　2,シンプル　2,抜群　2,旨い　2,稲荷寿司　2,マグロ　2,カマ　2,焼き　2,中トロ　2,煮る　2,つまむ　2
