,白金,茶碗蒸し,高輪,太刀魚,アイスクリーム,アイス,かつお,歯応え,北里大学,病院,美人,小瓶,北里
0,遠く,柔か,遠く,臭い,喧しい,ほしい,力強い,冷たく,よく,思い出深い,暑い,薄い,遠い
1,遠い,にくい,難しい,不味い,程よい,にくい,良かっ,欲しい,,よく,可愛い,大きかっ,
2,難しい,心地よい,心地よい,凄かっ,冷たい,嬉しく,軽く,嬉しい,,,良し,良かっ,
3,よく,うまく,よく,凄く,力強い,嬉しい,,甘く,,,高い,,
4,心地よい,厳しい,力強い,心地よい,良かっ,厳しい,,たまらない,,,,,
5,力強い,軽く,多い,厳しい,,良し,,柔らかく,,,,,
6,若い,良し,大きい,良かっ,,かわいらしい,,濃い,,,,,
7,多い,やすい,軽く,良し,,優しく,,強い,,,,,
8,大きい,力強い,,軽く,,温かい,,,,,,,
9,かわいらしい,近い,,,,程よく,,,,,,,
10,優しく,甘い,,,,高い,,,,,,,
11,温かい,,,,,近い,,,,,,,
12,程よく,,,,,美しい,,,,,,,
13,近い,,,,,優しい,,,,,,,
14,美しい,,,,,甘い,,,,,,,
15,軽く,,,,,,,,,,,,
16,優しい,,,,,,,,,,,,
17,甘い,,,,,,,,,,,,
