,まぐろ,極上,新津,真子,ツマミ,新子,爽やか,紹介,伝説,木村,ワタ,白洲,潮汁,投稿,敷居,あわび,時代,とり,かっぱ,閖上,カレイ
0,くろ,酸っぱく,近い,薄い,数少ない,大き,物凄く,安い,有り難,,嬉しかっ,わかく,しょっぱい,くろ,高い,わかく,,イイ,あかう,赤う,ものすごい
1,美し,甘く,有り難,嬉しかっ,薄く,小さ,酸っぱく,少なから,たまらなく,,美し,少なから,,,高く,良かっ,,気難しい,イイ,強い,広く
2,珍しい,濃い,イイ,,深く,浅い,色っぽい,高い,繁く,,,良かっ,,,多い,珍しい,,上手く,気難しい,あかう,こわ
3,旨く,,気難しい,,旨く,若い,軽く,,欲しい,,,,,,凄かっ,とろ,,カッコイイ,上手く,,うまい
4,とろ,,上手く,,多い,旨かっ,深く,,多い,,,,,,イイ,くろ,,きよ,カッコイイ,,すごい
5,甘く,,カッコイイ,,イイ,しょっぱい,甘く,,イイ,,,,,,気難しい,,,美味かっ,きよ,,
6,凄かっ,,きよ,,気難しい,甘く,若い,,気難しい,,,,,,上手く,,,なかっ,美味かっ,,
7,,,美味かっ,,上手く,,強い,,上手く,,,,,,カッコイイ,,,濃い,なかっ,,
8,,,なかっ,,カッコイイ,,濃い,,カッコイイ,,,,,,きよ,,,長い,濃い,,
9,,,濃い,,きよ,,美味かっ,,きよ,,,,,,美味かっ,,,凄かっ,長い,,
10,,,長い,,美味かっ,,,,美味かっ,,,,,,なかっ,,,,凄かっ,,
11,,,凄かっ,,なかっ,,,,なかっ,,,,,,濃い,,,,,,
12,,,,,濃い,,,,濃い,,,,,,長い,,,,,,
13,,,,,長い,,,,長い,,,,,,,,,,,,
14,,,,,凄かっ,,,,凄かっ,,,,,,,,,,,,
