,銀座,コース,デザート,職人,インターホン,アイス,女性,ミシュラン,板前,芙蓉,先付け,刺身,シャーベット,築地,スタッフ,コロッケ,和食,真ん中,ソムリエ,路地,"""""",ワインセラー,石橋,セリ,料金
0,づらい,儚い,儚い,思しき,面白かっ,儚い,可愛い,短い,かわいい,凄い,,悪い,儚い,強く,多かっ,すごい,無く,嬉しい,無く,細い,大きく,,無く,強く,
1,あざとい,快く,生臭,すがすがし,細かい,甘い,うまく,少ない,無く,,,生臭,っぽ,,明るく,快く,高い,,楽しい,明るい,小さい,,大き,,
2,新しい,長い,嬉しい,若く,白い,っぽ,楽しい,,小さい,,,長い,すごく,,楽しい,楽しい,,,高い,細かい,,,,,
3,くろ,近い,凄い,新しい,楽しい,すごく,よく,,よく,,,高い,濃い,,近い,良かっ,,,短い,白い,,,,,
4,安い,生臭,うまい,明るく,よく,濃い,嬉しい,,高い,,,,快く,,よく,若い,,,少ない,,,,,,
5,白い,嬉しい,長い,つら,やすい,長い,若い,,多い,,,,生臭,,多い,,,,,,,,,,
6,多かっ,高い,高い,若い,,,短い,,,,,,良かっ,,,,,,,,,,,,
7,近い,凄い,,多い,,,少ない,,,,,,長い,,,,,,,,,,,,
8,詳しい,良かっ,,高い,,,,,,,,,高い,,,,,,,,,,,,
9,面白い,短い,,,,,,,,,,,,,,,,,,,,,,,
10,楽しい,少ない,,,,,,,,,,,,,,,,,,,,,,,
11,よく,,,,,,,,,,,,,,,,,,,,,,,,
12,高い,,,,,,,,,,,,,,,,,,,,,,,,
13,短い,,,,,,,,,,,,,,,,,,,,,,,,
14,少ない,,,,,,,,,,,,,,,,,,,,,,,,
