,包丁,西麻布,ランチ,六本木,個室,隠し,研究,味噌汁,地下,塩焼き,変態,テーブル,繊維,藤永,バラ
0,広い,遅く,篤い,にくい,ちょろ,宜しく,興味深い,乏しかっ,美しい,黒い,凄まじい,暖かい,正しい,興味深い,がたい
1,深く,ありがたい,良けれ,ありがたい,小さい,柔らかい,古い,すばらしく,白い,早い,楽しい,あかるく,新しい,宜しく,
2,宜しく,寂しい,懐かし,寂しい,無く,嬉しかっ,新しい,良かっ,凛々しい,うまく,新しい,明るい,,やすく,
3,忙しく,ちょろ,やすい,明るい,大きい,新しい,,深い,面白い,くろ,細かい,多い,,新しい,
4,細かい,小さい,凛々しい,印象深かっ,凄い,多い,,すごく,長い,柔らかく,,凛々しい,,,
5,柔らかく,無く,面白い,温か,凄く,,,くろ,優しい,うまい,,面白い,,,
6,美しく,大きい,長い,うま,大きく,,,大きい,,すごい,,長い,,,
7,とろ,凄い,優しい,っぽい,,,,珍しい,,,,高い,,,
8,やすい,凄く,,すばらしい,,,,凛々しい,,,,優しい,,,
9,細かく,大きく,,濃い,,,,面白い,,,,,,,
10,柔らかい,,,多い,,,,長い,,,,,,,
11,よく,,,高い,,,,細かく,,,,,,,
12,珍しい,,,細かく,,,,すごい,,,,,,,
13,嬉しかっ,,,すごい,,,,優しい,,,,,,,
14,すばらしい,,,,,,,高い,,,,,,,
15,優しい,,,,,,,,,,,,,,
16,新しい,,,,,,,,,,,,,,
17,凛々しい,,,,,,,,,,,,,,
18,面白い,,,,,,,,,,,,,,
19,長い,,,,,,,,,,,,,,
20,多い,,,,,,,,,,,,,,
