,味噌汁,六本木,ばら,バラ,定食,個室,西麻布,焼き魚,ズワイガニ,地下,研究,繊維,小鉢,事前,ほた
0,すばらしく,近い,涼しく,とてつもなく,,細い,香ばしく,,重たく,明るい,古い,正しい,甘辛い,優しい,潔い
1,うすい,細い,冷たい,惜しい,,白い,なかっ,,大きく,明るく,悪い,多い,,細かく,やわらかく
2,小さい,若い,濃く,がたい,,若い,よく,,,近い,強い,,,素晴らし,白い
3,濃く,やすい,すごい,凄い,,近い,甘く,,,うまく,素晴らし,,,凛々しい,甘く
4,すばらしい,多い,細い,美しい,,やすい,,,,細い,多い,,,香ばし,
5,深い,,近い,重たく,,多い,,,,白い,安い,,,面白い,
6,すごい,,やすい,正しく,,香ばし,,,,やすい,,,,安い,
7,重たく,,素晴らし,良かっ,,細かい,,,,凛々しい,,,,細かい,
8,若く,,安い,素晴らし,,香ばしい,,,,面白い,,,,長い,
9,正しく,,,安い,,,,,,優しい,,,,若い,
10,美しい,,,高い,,,,,,長い,,,,香ばしい,
11,細い,,,,,,,,,,,,,,
12,柔らかく,,,,,,,,,,,,,,
13,近い,,,,,,,,,,,,,,
14,やすい,,,,,,,,,,,,,,
15,凛々しい,,,,,,,,,,,,,,
16,面白い,,,,,,,,,,,,,,
17,優しい,,,,,,,,,,,,,,
18,長い,,,,,,,,,,,,,,
