頻出単語,登場回数,登場回数/全単語数(99786)%,登場レビュー率 /(221本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
た,3446,3.45,97.29,15.52,15.95
し,1360,1.36,86.93,6.12,7.04
な,1329,1.33,86.48,5.98,6.92
です,1192,1.19,73.42,5.36,7.31
ます,1056,1.05,68.91,4.75,6.9
お,927,0.92,85.13,4.17,4.9
鮨,846,0.84,76.12,3.81,5.0
ない,829,0.83,77.47,3.73,4.81
の,788,0.78,73.42,3.54,4.83
さ,781,0.78,69.81,3.51,5.03
まし,716,0.71,69.36,3.22,4.64
トロ,611,0.61,54.5,2.75,5.04
だ,610,0.61,61.71,2.74,4.45
で,592,0.59,71.62,2.66,3.72
中,551,0.55,63.96,2.48,3.88
れ,549,0.55,64.41,2.47,3.83
いる,538,0.53,65.31,2.42,3.71
い,529,0.53,69.81,2.38,3.41
握り,519,0.52,59.0,2.33,3.96
こと,511,0.51,59.9,2.3,3.84
-,504,0.5,9.9,2.27,22.9
よう,499,0.5,62.61,2.24,3.58
さん,493,0.49,69.81,2.22,3.18
鮪,450,0.45,39.63,2.02,5.11
店,450,0.45,71.62,2.02,2.83
ある,449,0.44,59.0,2.02,3.42
食べ,419,0.41,64.86,1.88,2.9
ん,417,0.41,57.2,1.87,3.28
シャリ,416,0.41,49.09,1.87,3.81
この,406,0.4,59.9,1.82,3.05
大将,394,0.39,56.75,1.77,3.12
漬け,370,0.37,40.99,1.66,4.06
ネタ,369,0.36,53.6,1.66,3.1
大,357,0.35,54.95,1.6,2.92
初音,357,0.35,61.26,1.6,2.62
する,323,0.32,54.05,1.45,2.69
でし,308,0.3,57.65,1.38,2.4
これ,297,0.29,47.29,1.33,2.82
もの,294,0.29,43.24,1.32,3.06
赤身,283,0.28,46.39,1.27,2.74
あり,279,0.27,54.95,1.25,2.28
寿司,275,0.27,41.44,1.23,2.98
2,272,0.27,49.09,1.22,2.49
そう,269,0.26,40.09,1.21,3.02
う,259,0.25,48.19,1.16,2.42
酒,255,0.25,41.89,1.14,2.74
予約,253,0.25,50.9,1.13,2.23
産,251,0.25,22.52,1.13,5.02
日,248,0.24,43.24,1.11,2.58
なく,247,0.24,50.45,1.11,2.2
その,244,0.24,47.29,1.09,2.32
感じ,240,0.24,47.74,1.08,2.26
せ,238,0.23,50.0,1.07,2.14
味,237,0.23,39.63,1.06,2.69
感,236,0.23,37.38,1.06,2.84
方,233,0.23,46.39,1.04,2.26
巻き,230,0.23,46.39,1.03,2.23
1,225,0.22,37.83,1.01,2.67
時間,224,0.22,46.84,1.0,2.15
酢,220,0.22,42.34,0.99,2.34
マグロ,218,0.21,36.93,0.98,2.65
香り,218,0.21,27.92,0.98,3.51
ご,210,0.21,39.63,0.94,2.38
一,206,0.2,43.69,0.92,2.12
屋,206,0.2,44.59,0.92,2.08
.,204,0.2,28.82,0.91,3.18
目,204,0.2,37.38,0.91,2.45
(,204,0.2,18.46,0.91,4.97
なっ,201,0.2,47.29,0.9,1.91
人,194,0.19,42.79,0.87,2.04
ませ,193,0.19,46.84,0.86,1.85
時,193,0.19,44.59,0.86,1.94
美味しい,192,0.19,36.03,0.86,2.4
身,191,0.19,30.18,0.86,2.85
口,190,0.19,39.18,0.85,2.18
たい,189,0.18,50.0,0.85,1.7
前,187,0.18,41.44,0.84,2.03
旨味,184,0.18,26.12,0.82,3.17
１,183,0.18,17.11,0.82,4.81
的,181,0.18,40.54,0.81,2.01
なる,177,0.17,39.63,0.79,2.01
また,175,0.17,43.69,0.78,1.8
3,174,0.17,36.48,0.78,2.14
年,173,0.17,38.73,0.77,2.01
れる,173,0.17,35.58,0.77,2.18
5,170,0.17,34.23,0.76,2.23
蟹,170,0.17,26.57,0.76,2.88
こちら,168,0.16,33.78,0.75,2.24
き,166,0.16,35.13,0.74,2.12
ここ,166,0.16,36.48,0.74,2.04
そして,166,0.16,37.38,0.74,2.0
蒲田,165,0.16,45.04,0.74,1.65
塩,164,0.16,31.98,0.73,2.3
熟成,163,0.16,30.18,0.73,2.43
ず,160,0.16,37.38,0.72,1.92
思い,159,0.15,39.18,0.71,1.82
女将,159,0.15,40.09,0.71,1.78
私,158,0.15,28.82,0.71,2.46
それ,156,0.15,34.68,0.7,2.02
２,154,0.15,20.72,0.69,3.34
牡蠣,150,0.15,28.37,0.67,2.38
白子,150,0.15,33.78,0.67,2.0
キロ,145,0.14,15.76,0.65,4.14
肝,145,0.14,33.33,0.65,1.95
なり,144,0.14,32.88,0.64,1.97
炙り,142,0.14,35.13,0.63,1.82
最高,140,0.14,35.58,0.63,1.77
脂,139,0.13,22.07,0.62,2.83
上,138,0.13,26.57,0.62,2.33
出,138,0.13,36.48,0.62,1.7
られ,137,0.13,37.83,0.61,1.63
白,135,0.13,30.63,0.6,1.98
食,134,0.13,27.02,0.6,2.23
鱧,133,0.13,22.52,0.59,2.66
天然,132,0.13,28.82,0.59,2.06
温度,130,0.13,27.92,0.58,2.09
だっ,128,0.12,35.13,0.57,1.64
玉子,127,0.12,34.23,0.57,1.67
鰻,126,0.12,23.87,0.56,2.37
度,126,0.12,29.27,0.56,1.93
訪問,126,0.12,31.98,0.56,1.77
舌,125,0.12,23.42,0.56,2.4
日本,124,0.12,26.12,0.55,2.13
円,123,0.12,29.72,0.55,1.86
今回,123,0.12,27.47,0.55,2.01
焼き,122,0.12,26.57,0.54,2.06
カウンター,120,0.12,35.13,0.54,1.53
くれ,119,0.11,30.63,0.53,1.75
０,119,0.11,10.36,0.53,5.17
手,118,0.11,32.43,0.53,1.63
全て,117,0.11,31.08,0.52,1.69
月,117,0.11,25.67,0.52,2.05
､,114,0.11,0.9,0.51,57.0
入れ,112,0.11,28.37,0.5,1.77
分,112,0.11,32.43,0.5,1.55
後,112,0.11,27.47,0.5,1.83
今,112,0.11,31.08,0.5,1.62
4,111,0.11,26.57,0.5,1.88
),110,0.11,16.21,0.49,3.05
少し,110,0.11,27.47,0.49,1.8
/,109,0.1,10.81,0.49,4.54
良い,109,0.1,27.47,0.49,1.78
本,109,0.1,18.01,0.49,2.72
いい,109,0.1,26.12,0.49,1.87
味わい,108,0.1,23.87,0.48,2.03
あっ,107,0.1,30.18,0.48,1.59
笑,105,0.1,25.67,0.47,1.84
席,104,0.1,33.33,0.46,1.4
生,104,0.1,22.07,0.46,2.12
たら,103,0.1,29.27,0.46,1.58
もう,102,0.1,23.87,0.45,1.92
大間,102,0.1,20.72,0.45,2.21
ヅケ,100,0.1,13.06,0.45,3.44
最後,98,0.09,26.12,0.44,1.68
頂き,98,0.09,22.52,0.44,1.96
赤,98,0.09,26.57,0.44,1.66
いただき,97,0.09,20.72,0.43,2.1
中治,96,0.09,20.72,0.43,2.08
合わせ,96,0.09,26.12,0.43,1.65
一番,96,0.09,28.82,0.43,1.5
旨み,96,0.09,14.41,0.43,3.0
ところ,94,0.09,27.47,0.42,1.54
ため,94,0.09,22.97,0.42,1.84
素晴らしい,93,0.09,30.18,0.41,1.38
事,93,0.09,16.21,0.41,2.58
何,93,0.09,28.37,0.41,1.47
8,92,0.09,24.32,0.41,1.7
20,89,0.08,26.57,0.4,1.5
～,88,0.08,17.11,0.39,2.31
二,88,0.08,22.97,0.39,1.72
kg,88,0.08,11.71,0.39,3.38
主人,88,0.08,16.21,0.39,2.44
干瓢,87,0.08,23.87,0.39,1.64
思っ,87,0.08,25.67,0.39,1.52
貫目,87,0.08,4.05,0.39,9.66
スタート,86,0.08,25.67,0.38,1.5
トリュフ,86,0.08,17.11,0.38,2.26
食べる,85,0.08,27.02,0.38,1.41
でしょ,85,0.08,22.07,0.38,1.73
くる,85,0.08,22.97,0.38,1.66
回,85,0.08,25.67,0.38,1.49
くれる,85,0.08,23.42,0.38,1.63
初めて,85,0.08,24.77,0.38,1.54
他,84,0.08,27.47,0.37,1.37
味噌,84,0.08,22.52,0.37,1.68
万,84,0.08,21.62,0.37,1.75
コハダ,84,0.08,19.81,0.37,1.9
３,84,0.08,14.86,0.37,2.54
鯛,83,0.08,21.17,0.37,1.76
小,83,0.08,19.81,0.37,1.88
贅沢,83,0.08,22.07,0.37,1.69
巻,82,0.08,17.56,0.36,2.1
とても,81,0.08,25.67,0.36,1.42
本当に,81,0.08,22.52,0.36,1.62
雲丹,79,0.07,18.46,0.35,1.92
蒸し,79,0.07,20.27,0.35,1.75
蛸,78,0.07,19.81,0.35,1.77
てる,77,0.07,18.01,0.34,1.92
でき,77,0.07,24.32,0.34,1.42
好き,77,0.07,22.52,0.34,1.54
魚,77,0.07,20.72,0.34,1.67
甘み,76,0.07,15.31,0.34,2.23
仕事,76,0.07,19.36,0.34,1.76
江戸前,76,0.07,18.46,0.34,1.85
様,75,0.07,17.11,0.33,1.97
イカ,75,0.07,18.01,0.33,1.87
み,74,0.07,17.11,0.33,1.94
だろ,74,0.07,18.91,0.33,1.76
いう,74,0.07,18.46,0.33,1.8
鉄火,74,0.07,22.07,0.33,1.51
松茸,73,0.07,14.86,0.32,2.21
提供,73,0.07,20.72,0.32,1.58
感じる,73,0.07,18.01,0.32,1.82
よく,73,0.07,21.17,0.32,1.55
かん,73,0.07,22.52,0.32,1.46
最初,72,0.07,23.87,0.32,1.35
おり,72,0.07,18.46,0.32,1.75
切り,72,0.07,21.17,0.32,1.53
満足,72,0.07,22.97,0.32,1.41
素材,72,0.07,17.56,0.32,1.84
つまみ,72,0.07,23.87,0.32,1.35
劇場,71,0.07,22.97,0.31,1.39
貫,71,0.07,17.11,0.31,1.86
毛蟹,71,0.07,16.21,0.31,1.97
食材,70,0.07,18.46,0.31,1.7
濃厚,70,0.07,15.76,0.31,2.0
お客,70,0.07,22.52,0.31,1.4
印象,70,0.07,20.27,0.31,1.55
入っ,69,0.06,20.72,0.31,1.5
まずは,69,0.06,18.01,0.31,1.72
県,69,0.06,11.71,0.31,2.65
５,69,0.06,12.16,0.31,2.55
料理,68,0.06,18.91,0.3,1.61
見,68,0.06,21.62,0.3,1.41
黒,68,0.06,15.76,0.3,1.94
楽しい,68,0.06,22.52,0.3,1.36
17,68,0.06,22.07,0.3,1.38
海老,67,0.06,13.51,0.3,2.23
出来,67,0.06,17.11,0.3,1.76
6,67,0.06,17.11,0.3,1.76
登場,67,0.06,14.86,0.3,2.03
