頻出単語,登場回数,登場回数/全単語数(17710)%,登場レビュー率 /(37本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
た,649,3.66,94.73,17.07,18.02
し,245,1.38,86.84,6.44,7.42
な,218,1.23,78.94,5.73,7.26
です,167,0.94,71.05,4.39,6.18
さ,154,0.86,76.31,4.05,5.31
の,146,0.82,76.31,3.84,5.03
お,141,0.79,81.57,3.71,4.54
鮨,135,0.76,84.21,3.55,4.21
ない,132,0.74,86.84,3.47,4.0
ます,126,0.71,65.78,3.31,5.04
だ,124,0.7,57.89,3.26,5.63
れ,111,0.62,65.78,2.92,4.44
いる,103,0.58,52.63,2.71,5.15
まし,97,0.54,63.15,2.55,4.04
い,97,0.54,55.26,2.55,4.61
で,93,0.52,73.68,2.44,3.32
シャリ,91,0.51,52.63,2.39,4.55
握り,89,0.5,57.89,2.34,4.04
こと,88,0.49,50.0,2.31,4.63
鮪,87,0.49,55.26,2.28,4.14
中,86,0.48,73.68,2.26,3.07
これ,85,0.47,44.73,2.23,5.0
トロ,84,0.47,47.36,2.21,4.66
さん,82,0.46,71.05,2.15,3.03
ネタ,79,0.44,60.52,2.07,3.43
漬け,67,0.37,39.47,1.76,4.46
もの,66,0.37,50.0,1.73,3.47
き,62,0.35,42.1,1.63,3.87
ん,59,0.33,47.36,1.55,3.27
よう,58,0.32,50.0,1.52,3.05
ある,58,0.32,47.36,1.52,3.22
味,57,0.32,47.36,1.5,3.16
でし,56,0.31,60.52,1.47,2.43
この,56,0.31,60.52,1.47,2.43
せ,55,0.31,63.15,1.44,2.29
大将,55,0.31,52.63,1.44,2.75
旨み,54,0.3,21.05,1.42,6.75
その,53,0.29,50.0,1.39,2.78
ご,53,0.29,42.1,1.39,3.31
食べ,52,0.29,60.52,1.36,2.26
店,51,0.28,63.15,1.34,2.12
する,51,0.28,57.89,1.34,2.31
方,49,0.27,50.0,1.28,2.57
大,48,0.27,44.73,1.26,2.82
美味しい,48,0.27,47.36,1.26,2.66
初音,47,0.26,57.89,1.23,2.13
一,47,0.26,44.73,1.23,2.76
(,47,0.26,23.68,1.23,5.22
う,44,0.24,39.47,1.15,2.93
そう,43,0.24,36.84,1.13,3.07
あり,43,0.24,36.84,1.13,3.07
香り,43,0.24,28.94,1.13,3.9
酒,43,0.24,44.73,1.13,2.52
赤身,42,0.23,50.0,1.1,2.21
日,42,0.23,42.1,1.1,2.62
.,41,0.23,39.47,1.07,2.73
巻き,41,0.23,47.36,1.07,2.27
酢,41,0.23,44.73,1.07,2.41
感じ,40,0.22,39.47,1.05,2.66
なく,39,0.22,47.36,1.02,2.16
),39,0.22,26.31,1.02,3.9
1,38,0.21,42.1,1.0,2.37
鱧,37,0.2,31.57,0.97,3.08
塩,37,0.2,31.57,0.97,3.08
身,37,0.2,36.84,0.97,2.64
感,37,0.2,42.1,0.97,2.31
口,37,0.2,36.84,0.97,2.64
的,36,0.2,42.1,0.94,2.25
そして,35,0.19,39.47,0.92,2.33
なる,35,0.19,36.84,0.92,2.5
こちら,34,0.19,34.21,0.89,2.61
それ,33,0.18,34.21,0.86,2.53
時,33,0.18,47.36,0.86,1.83
また,33,0.18,39.47,0.86,2.2
目,32,0.18,31.57,0.84,2.66
なっ,32,0.18,42.1,0.84,2.0
時間,31,0.17,36.84,0.81,2.21
女将,31,0.17,50.0,0.81,1.63
少し,31,0.17,31.57,0.81,2.58
2,31,0.17,39.47,0.81,2.06
◽,31,0.17,2.63,0.81,31.0
鰻,30,0.16,34.21,0.78,2.3
ここ,30,0.16,36.84,0.78,2.14
分,30,0.16,31.57,0.78,2.5
産,29,0.16,18.42,0.76,4.14
笑,29,0.16,36.84,0.76,2.07
肝,29,0.16,34.21,0.76,2.23
天然,29,0.16,44.73,0.76,1.7
マグロ,29,0.16,31.57,0.76,2.41
れる,29,0.16,34.21,0.76,2.23
ませ,28,0.15,44.73,0.73,1.64
られ,28,0.15,36.84,0.73,2.0
濃厚,28,0.15,21.05,0.73,3.5
今回,27,0.15,23.68,0.71,3.0
♦,27,0.15,2.63,0.71,27.0
人,27,0.15,39.47,0.71,1.8
