頻出単語,登場回数,登場回数/全単語数(24643)%,登場レビュー率 /(110本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
た,925,3.75,93.69,8.33,8.89
お,402,1.63,86.48,3.62,4.18
し,349,1.41,88.28,3.14,3.56
な,346,1.4,83.78,3.11,3.72
です,336,1.36,69.36,3.02,4.36
-,228,0.92,9.0,2.05,22.8
店,208,0.84,81.08,1.87,2.31
ます,195,0.79,62.16,1.75,2.82
さ,188,0.76,66.66,1.69,2.54
まし,183,0.74,58.55,1.64,2.81
の,180,0.73,58.55,1.62,2.76
ない,176,0.71,69.36,1.58,2.28
握り,176,0.71,59.45,1.58,2.66
で,169,0.68,63.06,1.52,2.41
鮨,166,0.67,53.15,1.49,2.81
い,159,0.64,59.45,1.43,2.4
さん,146,0.59,56.75,1.31,2.31
だ,144,0.58,50.45,1.29,2.57
でし,141,0.57,47.74,1.27,2.66
れ,131,0.53,52.25,1.18,2.25
いる,129,0.52,46.84,1.16,2.48
ある,125,0.5,51.35,1.12,2.19
この,122,0.49,54.05,1.09,2.03
中,108,0.43,51.35,0.97,1.89
感,101,0.4,45.94,0.9,1.98
つまみ,100,0.4,53.15,0.9,1.69
あり,93,0.37,48.64,0.83,1.72
食べ,93,0.37,51.35,0.83,1.63
こと,91,0.36,36.93,0.81,2.21
シャリ,91,0.36,37.83,0.81,2.16
寿司,88,0.35,35.13,0.79,2.25
感じ,86,0.34,43.24,0.77,1.79
酒,85,0.34,43.24,0.76,1.77
酢,83,0.33,50.45,0.74,1.48
ん,82,0.33,42.34,0.73,1.74
トロ,81,0.32,45.94,0.72,1.58
貝,78,0.31,33.33,0.7,2.1
美味しい,75,0.3,32.43,0.67,2.08
穴子,75,0.3,42.34,0.67,1.59
屋,71,0.28,41.44,0.63,1.54
う,71,0.28,36.93,0.63,1.73
良い,70,0.28,35.13,0.63,1.79
これ,70,0.28,31.53,0.63,2.0
ネタ,69,0.27,40.54,0.62,1.53
白金,65,0.26,41.44,0.58,1.41
的,65,0.26,39.63,0.58,1.47
車海老,62,0.25,36.03,0.55,1.55
する,62,0.25,27.92,0.55,2.0
1,62,0.25,27.02,0.55,2.06
ご,61,0.24,29.72,0.54,1.84
よう,61,0.24,33.33,0.54,1.64
大将,60,0.24,36.93,0.54,1.46
カウンター,58,0.23,43.24,0.52,1.2
いま,57,0.23,36.93,0.51,1.39
とても,57,0.23,25.22,0.51,2.03
2,57,0.23,29.72,0.51,1.72
