頻出単語,登場回数,登場回数/全単語数(16554)%,登場レビュー率 /(54本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
た,593,3.58,92.72,10.78,11.62
です,270,1.63,76.36,4.9,6.42
し,261,1.57,92.72,4.74,5.11
お,206,1.24,87.27,3.74,4.29
な,196,1.18,83.63,3.56,4.26
-,196,1.18,10.9,3.56,32.66
ます,181,1.09,69.09,3.29,4.76
ない,149,0.9,76.36,2.7,3.54
の,146,0.88,69.09,2.65,3.84
店,136,0.82,87.27,2.47,2.83
さ,124,0.74,70.9,2.25,3.17
鮨,116,0.7,61.81,2.1,3.41
まし,115,0.69,60.0,2.09,3.48
で,109,0.65,72.72,1.98,2.72
握り,107,0.64,58.18,1.94,3.34
いる,98,0.59,63.63,1.78,2.8
でし,86,0.51,60.0,1.56,2.6
れ,85,0.51,52.72,1.54,2.93
ある,83,0.5,52.72,1.5,2.86
だ,81,0.48,58.18,1.47,2.53
い,81,0.48,58.18,1.47,2.53
あり,78,0.47,63.63,1.41,2.22
この,74,0.44,54.54,1.34,2.46
中,71,0.42,63.63,1.29,2.02
こと,69,0.41,49.09,1.25,2.55
ん,69,0.41,54.54,1.25,2.3
さん,69,0.41,49.09,1.25,2.55
円,64,0.38,45.45,1.16,2.56
感,64,0.38,49.09,1.16,2.37
０,63,0.38,21.81,1.14,5.25
酢,62,0.37,54.54,1.12,2.06
シャリ,59,0.35,52.72,1.07,2.03
よう,58,0.35,47.27,1.05,2.23
食べ,58,0.35,54.54,1.05,1.93
感じ,58,0.35,65.45,1.05,1.61
.,55,0.33,30.9,1.0,3.23
つまみ,54,0.32,41.81,0.98,2.34
ネタ,53,0.32,47.27,0.96,2.03
これ,52,0.31,38.18,0.94,2.47
う,52,0.31,45.45,0.94,2.08
穴子,50,0.3,49.09,0.9,1.85
良い,49,0.29,41.81,0.89,2.13
トロ,49,0.29,54.54,0.89,1.63
寿司,46,0.27,38.18,0.83,2.19
いい,44,0.26,36.36,0.8,2.2
ご,44,0.26,36.36,0.8,2.2
なく,43,0.25,40.0,0.78,1.95
日,42,0.25,43.63,0.76,1.75
1,42,0.25,30.9,0.76,2.47
方,42,0.25,43.63,0.76,1.75
訪問,42,0.25,34.54,0.76,2.21
味,41,0.24,38.18,0.74,1.95
車海老,40,0.24,40.0,0.72,1.81
的,40,0.24,47.27,0.72,1.53
たい,40,0.24,47.27,0.72,1.53
そう,39,0.23,34.54,0.7,2.05
もの,39,0.23,38.18,0.7,1.85
赤,39,0.23,43.63,0.7,1.62
１,38,0.22,25.45,0.69,2.71
(,37,0.22,18.18,0.67,3.7
ませ,37,0.22,43.63,0.67,1.54
席,36,0.21,45.45,0.65,1.44
する,36,0.21,40.0,0.65,1.63
予約,35,0.21,36.36,0.63,1.75
人,35,0.21,36.36,0.63,1.75
貫,35,0.21,30.9,0.63,2.05
私,34,0.2,32.72,0.61,1.88
だっ,34,0.2,38.18,0.61,1.61
カウンター,34,0.2,49.09,0.61,1.25
思い,34,0.2,41.81,0.61,1.47
一,34,0.2,34.54,0.61,1.78
