頻出単語,登場回数,登場回数/全単語数(3622)%,登場レビュー率 /(13本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
た,115,3.17,92.85,8.21,8.84
な,58,1.6,71.42,4.14,5.8
お,57,1.57,85.71,4.07,4.75
です,56,1.54,64.28,4.0,6.22
ない,44,1.21,92.85,3.14,3.38
し,41,1.13,64.28,2.92,4.55
マグロ,39,1.07,64.28,2.78,4.33
ます,37,1.02,71.42,2.64,3.7
店,35,0.96,78.57,2.5,3.18
だ,35,0.96,42.85,2.5,5.83
の,34,0.93,78.57,2.42,3.09
で,32,0.88,85.71,2.28,2.66
トロ,32,0.88,35.71,2.28,6.4
握り,29,0.8,71.42,2.07,2.9
さん,28,0.77,64.28,2.0,3.11
ある,27,0.74,57.14,1.92,3.37
田,25,0.69,57.14,1.78,3.12
きよ,24,0.66,64.28,1.71,2.66
こと,24,0.66,71.42,1.71,2.4
"""",23,0.63,7.14,1.64,23.0
中,22,0.6,57.14,1.57,2.75
赤身,21,0.57,42.85,1.5,3.5
大,21,0.57,50.0,1.5,3.0
この,20,0.55,64.28,1.42,2.22
まし,18,0.49,57.14,1.28,2.25
ん,18,0.49,57.14,1.28,2.25
れ,18,0.49,64.28,1.28,2.0
う,17,0.46,57.14,1.21,2.12
鮪,17,0.46,21.42,1.21,5.66
旨味,17,0.46,28.57,1.21,4.25
巻き,17,0.46,28.57,1.21,4.25
もの,15,0.41,64.28,1.07,1.66
さ,15,0.41,42.85,1.07,2.5
食べ,15,0.41,64.28,1.07,1.66
寿司,13,0.35,50.0,0.92,1.85
最高,13,0.35,35.71,0.92,2.6
いる,13,0.35,42.85,0.92,2.16
酢,13,0.35,28.57,0.92,3.25
い,13,0.35,50.0,0.92,1.85
ませ,12,0.33,50.0,0.85,1.71
方,12,0.33,50.0,0.85,1.71
感,12,0.33,42.85,0.85,2.0
まぐろ,11,0.3,14.28,0.78,5.5
素晴らしい,11,0.3,35.71,0.78,2.2
酸味,11,0.3,28.57,0.78,2.75
代目,10,0.27,28.57,0.71,2.5
また,10,0.27,50.0,0.71,1.42
その,10,0.27,35.71,0.71,2.0
飯,10,0.27,14.28,0.71,5.0
香り,10,0.27,35.71,0.71,2.0
年,9,0.24,28.57,0.64,2.25
でしょ,9,0.24,28.57,0.64,2.25
そして,9,0.24,50.0,0.64,1.28
たい,9,0.24,50.0,0.64,1.28
コハダ,9,0.24,42.85,0.64,1.5
銀座,9,0.24,50.0,0.64,1.28
これ,9,0.24,35.71,0.64,1.8
雲丹,9,0.24,21.42,0.64,3.0
鮨,9,0.24,28.57,0.64,2.25
一,9,0.24,57.14,0.64,1.12
⚫,9,0.24,7.14,0.64,9.0
白洲,9,0.24,14.28,0.64,4.5
/,8,0.22,28.57,0.57,2.0
木村,8,0.22,28.57,0.57,2.0
でし,8,0.22,35.71,0.57,1.6
よう,8,0.22,35.71,0.57,1.6
ネタ,8,0.22,35.71,0.57,1.6
鉄火,8,0.22,35.71,0.57,1.6
人,8,0.22,42.85,0.57,1.33
親方,8,0.22,21.42,0.57,2.66
つまみ,8,0.22,35.71,0.57,1.6
あり,8,0.22,35.71,0.57,1.6
屋,8,0.22,35.71,0.57,1.6
.,7,0.19,28.57,0.5,1.75
られる,7,0.19,35.71,0.5,1.4
味,7,0.19,28.57,0.5,1.75
とろ,7,0.19,14.28,0.5,3.5
巻,7,0.19,21.42,0.5,2.33
穴子,7,0.19,35.71,0.5,1.4
日,7,0.19,21.42,0.5,2.33
する,7,0.19,35.71,0.5,1.4
高級,7,0.19,35.71,0.5,1.4
こはだ,7,0.19,21.42,0.5,2.33
せ,7,0.19,35.71,0.5,1.4
5,7,0.19,35.71,0.5,1.4
ここ,7,0.19,35.71,0.5,1.4
私,7,0.19,35.71,0.5,1.4
3,7,0.19,28.57,0.5,1.75
感じ,7,0.19,35.71,0.5,1.4
シャリ,7,0.19,21.42,0.5,2.33
いい,7,0.19,28.57,0.5,1.75
何,7,0.19,35.71,0.5,1.4
思う,7,0.19,21.42,0.5,2.33
4,6,0.16,28.57,0.42,1.5
時,6,0.16,35.71,0.42,1.2
思い,6,0.16,28.57,0.42,1.5
事,6,0.16,14.28,0.42,3.0
頂い,6,0.16,21.42,0.42,2.0
大間,6,0.16,14.28,0.42,3.0
炙り,6,0.16,28.57,0.42,1.5
伝説,6,0.16,35.71,0.42,1.2
れる,6,0.16,35.71,0.42,1.2
バランス,6,0.16,28.57,0.42,1.5
種,6,0.16,21.42,0.42,2.0
られ,6,0.16,21.42,0.42,2.0
食,6,0.16,14.28,0.42,3.0
よい,6,0.16,28.57,0.42,1.5
貫,6,0.16,14.28,0.42,3.0
度,6,0.16,42.85,0.42,1.0
雰囲気,6,0.16,21.42,0.42,2.0
だっ,6,0.16,42.85,0.42,1.0
良い,6,0.16,28.57,0.42,1.5
おいしい,6,0.16,21.42,0.42,2.0
なく,6,0.16,28.57,0.42,1.5
上品,6,0.16,7.14,0.42,6.0
今,6,0.16,28.57,0.42,1.5
あっ,6,0.16,21.42,0.42,2.0
出,6,0.16,28.57,0.42,1.5
氏,6,0.16,14.28,0.42,3.0
大将,5,0.13,14.28,0.35,2.5
初めて,5,0.13,21.42,0.35,1.66
こちら,5,0.13,28.57,0.35,1.25
星,5,0.13,21.42,0.35,1.66
ろ,5,0.13,21.42,0.35,1.66
赤貝,5,0.13,21.42,0.35,1.66
(,5,0.13,21.42,0.35,1.66
き,5,0.13,35.71,0.35,1.0
脂,5,0.13,28.57,0.35,1.25
熟成,5,0.13,28.57,0.35,1.25
あわび,5,0.13,21.42,0.35,1.66
連続,5,0.13,7.14,0.35,5.0
6,5,0.13,21.42,0.35,1.66
10,5,0.13,14.28,0.35,2.5
他,5,0.13,35.71,0.35,1.0
龍,5,0.13,14.28,0.35,2.5
こ,5,0.13,14.28,0.35,2.5
煮,5,0.13,21.42,0.35,1.66
紹介,5,0.13,21.42,0.35,1.66
ず,5,0.13,28.57,0.35,1.25
最後,5,0.13,28.57,0.35,1.25
独特,5,0.13,28.57,0.35,1.25
風味,5,0.13,21.42,0.35,1.66
くる,5,0.13,21.42,0.35,1.66
主人,5,0.13,14.28,0.35,2.5
感動,5,0.13,7.14,0.35,5.0
吉沢,4,0.11,14.28,0.28,2.0
伺い,4,0.11,21.42,0.28,1.33
1,4,0.11,28.57,0.28,1.0
どれ,4,0.11,21.42,0.28,1.33
いくら,4,0.11,21.42,0.28,1.33
鮑,4,0.11,21.42,0.28,1.33
うに,4,0.11,21.42,0.28,1.33
椀,4,0.11,28.57,0.28,1.0
車海老,4,0.11,21.42,0.28,1.33
本日,4,0.11,14.28,0.28,2.0
食べる,4,0.11,21.42,0.28,1.33
有名,4,0.11,14.28,0.28,2.0
そう,4,0.11,28.57,0.28,1.0
口,4,0.11,28.57,0.28,1.0
絶品,4,0.11,14.28,0.28,2.0
満足,4,0.11,28.57,0.28,1.0
蒸し,4,0.11,21.42,0.28,1.33
好き,4,0.11,28.57,0.28,1.0
円,4,0.11,21.42,0.28,1.33
アジ,4,0.11,14.28,0.28,2.0
月,4,0.11,21.42,0.28,1.33
ひらめ,4,0.11,7.14,0.28,4.0
締め,4,0.11,14.28,0.28,2.0
さば,4,0.11,14.28,0.28,2.0
しっかり,4,0.11,14.28,0.28,2.0
甘味,4,0.11,14.28,0.28,2.0
かっぱ,4,0.11,21.42,0.28,1.33
かん,4,0.11,21.42,0.28,1.33
前,4,0.11,28.57,0.28,1.0
よく,4,0.11,21.42,0.28,1.33
万,4,0.11,21.42,0.28,1.33
ヒラメ,4,0.11,14.28,0.28,2.0
やはり,4,0.11,28.57,0.28,1.0
夏,4,0.11,21.42,0.28,1.33
なる,4,0.11,28.57,0.28,1.0
ウニ,4,0.11,21.42,0.28,1.33
邪魔,4,0.11,21.42,0.28,1.33
一見,4,0.11,28.57,0.28,1.0
予約,4,0.11,14.28,0.28,2.0
行き,4,0.11,21.42,0.28,1.33
しかし,4,0.11,21.42,0.28,1.33
もちろん,4,0.11,28.57,0.28,1.0
超,4,0.11,21.42,0.28,1.33
江戸前,4,0.11,21.42,0.28,1.33
〝,4,0.11,7.14,0.28,4.0
〟,4,0.11,7.14,0.28,4.0
貝,4,0.11,14.28,0.28,2.0
もう,4,0.11,21.42,0.28,1.33
o,4,0.11,7.14,0.28,4.0
極上,4,0.11,7.14,0.28,4.0
爽やか,4,0.11,7.14,0.28,4.0
言え,4,0.11,28.57,0.28,1.0
素材,4,0.11,7.14,0.28,4.0
なん,4,0.11,14.28,0.28,2.0
美味しかっ,4,0.11,14.28,0.28,2.0
本当に,4,0.11,21.42,0.28,1.33
点,4,0.11,21.42,0.28,1.33
わけ,4,0.11,14.28,0.28,2.0
でき,4,0.11,14.28,0.28,2.0
０,4,0.11,14.28,0.28,2.0
時代,4,0.11,14.28,0.28,2.0
新津,4,0.11,14.28,0.28,2.0
御,4,0.11,7.14,0.28,4.0
いつも,4,0.11,14.28,0.28,2.0
次,4,0.11,7.14,0.28,4.0
郎,4,0.11,7.14,0.28,4.0
空間,4,0.11,7.14,0.28,4.0
ぶり,3,0.08,14.28,0.21,1.5
位,3,0.08,14.28,0.21,1.5
殆ど,3,0.08,14.28,0.21,1.5
しれ,3,0.08,21.42,0.21,1.0
離れ,3,0.08,14.28,0.21,1.5
美味しく,3,0.08,14.28,0.21,1.5
小柱,3,0.08,21.42,0.21,1.0
蛤,3,0.08,14.28,0.21,1.5
ご,3,0.08,21.42,0.21,1.0
出来る,3,0.08,7.14,0.21,3.0
おまかせ,3,0.08,14.28,0.21,1.5
コース,3,0.08,14.28,0.21,1.5
的,3,0.08,14.28,0.21,1.5
職人,3,0.08,21.42,0.21,1.0
言わ,3,0.08,21.42,0.21,1.0
柔らかく,3,0.08,21.42,0.21,1.0
三,3,0.08,14.28,0.21,1.5
強い,3,0.08,14.28,0.21,1.5
海苔,3,0.08,21.42,0.21,1.0
勧め,3,0.08,14.28,0.21,1.5
2,3,0.08,21.42,0.21,1.0
塩,3,0.08,21.42,0.21,1.0
赤,3,0.08,21.42,0.21,1.0
握っ,3,0.08,21.42,0.21,1.0
昆布,3,0.08,7.14,0.21,3.0
霜降り,3,0.08,7.14,0.21,3.0
ち,3,0.08,7.14,0.21,3.0
玉子,3,0.08,21.42,0.21,1.0
ぴょう,3,0.08,21.42,0.21,1.0
日本,3,0.08,21.42,0.21,1.0
酒,3,0.08,14.28,0.21,1.5
黒,3,0.08,14.28,0.21,1.5
いただい,3,0.08,21.42,0.21,1.0
こだわり,3,0.08,14.28,0.21,1.5
目,3,0.08,21.42,0.21,1.0
入る,3,0.08,21.42,0.21,1.0
シンプル,3,0.08,21.42,0.21,1.0
カウンター,3,0.08,14.28,0.21,1.5
品,3,0.08,21.42,0.21,1.0
ぶ,3,0.08,14.28,0.21,1.5
とも,3,0.08,21.42,0.21,1.0
日本一,3,0.08,14.28,0.21,1.5
名店,3,0.08,21.42,0.21,1.0
自分,3,0.08,14.28,0.21,1.5
それ,3,0.08,21.42,0.21,1.0
主役,3,0.08,14.28,0.21,1.5
言う,3,0.08,14.28,0.21,1.5
魚,3,0.08,21.42,0.21,1.0
あと,3,0.08,21.42,0.21,1.0
近く,3,0.08,21.42,0.21,1.0
約,3,0.08,14.28,0.21,1.5
高い,3,0.08,21.42,0.21,1.0
訪問,3,0.08,21.42,0.21,1.0
カレイ,3,0.08,14.28,0.21,1.5
驚き,3,0.08,14.28,0.21,1.5
清らか,3,0.08,7.14,0.21,3.0
味わい,3,0.08,7.14,0.21,3.0
出す,3,0.08,14.28,0.21,1.5
くれ,3,0.08,7.14,0.21,3.0
本,3,0.08,14.28,0.21,1.5
部位,3,0.08,21.42,0.21,1.0
お断り,3,0.08,14.28,0.21,1.5
数,3,0.08,21.42,0.21,1.0
先,3,0.08,14.28,0.21,1.5
近海,3,0.08,7.14,0.21,3.0
特に,3,0.08,21.42,0.21,1.0
だろ,3,0.08,14.28,0.21,1.5
違う,3,0.08,21.42,0.21,1.0
こう,3,0.08,14.28,0.21,1.5
こり,3,0.08,7.14,0.21,3.0
とても,3,0.08,14.28,0.21,1.5
行っ,3,0.08,14.28,0.21,1.5
東京,3,0.08,7.14,0.21,3.0
器,3,0.08,7.14,0.21,3.0
pateknautilus,2,0.05,7.14,0.14,2.0
40,2,0.05,7.14,0.14,2.0
なっ,2,0.05,14.28,0.14,1.0
以前,2,0.05,14.28,0.14,1.0
違い,2,0.05,14.28,0.14,1.0
比べ,2,0.05,14.28,0.14,1.0
石,2,0.05,14.28,0.14,1.0
司,2,0.05,14.28,0.14,1.0
上,2,0.05,14.28,0.14,1.0
手,2,0.05,14.28,0.14,1.0
変わる,2,0.05,7.14,0.14,2.0
頂き,2,0.05,14.28,0.14,1.0
しまい,2,0.05,14.28,0.14,1.0
れい,2,0.05,7.14,0.14,2.0
三厩,2,0.05,7.14,0.14,2.0
ヒモ,2,0.05,14.28,0.14,1.0
しんい,2,0.05,7.14,0.14,2.0
淡路,2,0.05,14.28,0.14,1.0
出汁,2,0.05,14.28,0.14,1.0
たま,2,0.05,14.28,0.14,1.0
干瓢,2,0.05,14.28,0.14,1.0
デザート,2,0.05,14.28,0.14,1.0
梨,2,0.05,14.28,0.14,1.0
*´,2,0.05,7.14,0.14,2.0
艸,2,0.05,7.14,0.14,2.0
｀),2,0.05,7.14,0.14,2.0
代,2,0.05,14.28,0.14,1.0
以上,2,0.05,14.28,0.14,1.0
握る,2,0.05,14.28,0.14,1.0
新鮮,2,0.05,14.28,0.14,1.0
良質,2,0.05,7.14,0.14,2.0
強く,2,0.05,14.28,0.14,1.0
適度,2,0.05,14.28,0.14,1.0
部分,2,0.05,14.28,0.14,1.0
とろける,2,0.05,14.28,0.14,1.0
多く,2,0.05,14.28,0.14,1.0
入れ,2,0.05,14.28,0.14,1.0
しまう,2,0.05,14.28,0.14,1.0
摘み,2,0.05,14.28,0.14,1.0
格別,2,0.05,7.14,0.14,2.0
沢山,2,0.05,7.14,0.14,2.0
余市,2,0.05,7.14,0.14,2.0
濃厚,2,0.05,14.28,0.14,1.0
柔らか,2,0.05,14.28,0.14,1.0
美味しい,2,0.05,14.28,0.14,1.0
持っ,2,0.05,14.28,0.14,1.0
いたし,2,0.05,14.28,0.14,1.0
",",2,0.05,7.14,0.14,2.0
ホシガレイ,2,0.05,7.14,0.14,2.0
大阪,2,0.05,14.28,0.14,1.0
芝海老,2,0.05,14.28,0.14,1.0
おぼろ,2,0.05,14.28,0.14,1.0
巻物,2,0.05,14.28,0.14,1.0
ドリンク,2,0.05,14.28,0.14,1.0
お昼,2,0.05,14.28,0.14,1.0
今回,2,0.05,14.28,0.14,1.0
いただく,2,0.05,7.14,0.14,2.0
継承,2,0.05,7.14,0.14,2.0
焼き物,2,0.05,7.14,0.14,2.0
いわし,2,0.05,7.14,0.14,2.0
おお,2,0.05,7.14,0.14,2.0
まろやか,2,0.05,14.28,0.14,1.0
贅沢,2,0.05,14.28,0.14,1.0
すみ,2,0.05,7.14,0.14,2.0
いか,2,0.05,14.28,0.14,1.0
終わり,2,0.05,14.28,0.14,1.0
あなご,2,0.05,7.14,0.14,2.0
特別,2,0.05,14.28,0.14,1.0
皿,2,0.05,14.28,0.14,1.0
いただき,2,0.05,7.14,0.14,2.0
悶絶,2,0.05,14.28,0.14,1.0
九,2,0.05,14.28,0.14,1.0
完成,2,0.05,14.28,0.14,1.0
技術,2,0.05,14.28,0.14,1.0
今年,2,0.05,14.28,0.14,1.0
いっぱい,2,0.05,14.28,0.14,1.0
引退,2,0.05,7.14,0.14,2.0
さすが,2,0.05,14.28,0.14,1.0
凛と,2,0.05,14.28,0.14,1.0
使わ,2,0.05,14.28,0.14,1.0
店内,2,0.05,14.28,0.14,1.0
格式,2,0.05,14.28,0.14,1.0
美しい,2,0.05,7.14,0.14,2.0
奥,2,0.05,14.28,0.14,1.0
場所,2,0.05,14.28,0.14,1.0
思っ,2,0.05,14.28,0.14,1.0
ランチ,2,0.05,14.28,0.14,1.0
夜,2,0.05,14.28,0.14,1.0
程度,2,0.05,7.14,0.14,2.0
アワビ,2,0.05,14.28,0.14,1.0
すじ,2,0.05,7.14,0.14,2.0
しい,2,0.05,7.14,0.14,2.0
エビ,2,0.05,14.28,0.14,1.0
完璧,2,0.05,14.28,0.14,1.0
いっ,2,0.05,14.28,0.14,1.0
とにかく,2,0.05,14.28,0.14,1.0
小ぶり,2,0.05,14.28,0.14,1.0
温度,2,0.05,7.14,0.14,2.0
加減,2,0.05,14.28,0.14,1.0
ちょうど,2,0.05,14.28,0.14,1.0
引き立てる,2,0.05,14.28,0.14,1.0
やや,2,0.05,14.28,0.14,1.0
低め,2,0.05,14.28,0.14,1.0
不思議,2,0.05,14.28,0.14,1.0
誰,2,0.05,14.28,0.14,1.0
究極,2,0.05,14.28,0.14,1.0
別格,2,0.05,14.28,0.14,1.0
色んな,2,0.05,14.28,0.14,1.0
アテ,2,0.05,7.14,0.14,2.0
印象,2,0.05,14.28,0.14,1.0
普通,2,0.05,7.14,0.14,2.0
言っ,2,0.05,14.28,0.14,1.0
無く,2,0.05,7.14,0.14,2.0
半分,2,0.05,14.28,0.14,1.0
なし,2,0.05,14.28,0.14,1.0
ー,2,0.05,14.28,0.14,1.0
サロン,2,0.05,14.28,0.14,1.0
敷居,2,0.05,14.28,0.14,1.0
来,2,0.05,14.28,0.14,1.0
(^^;,2,0.05,14.28,0.14,1.0
丁寧,2,0.05,14.28,0.14,1.0
透明,2,0.05,7.14,0.14,2.0
マコガレイ・・・,2,0.05,7.14,0.14,2.0
もち,2,0.05,7.14,0.14,2.0
蛇腹,2,0.05,7.14,0.14,2.0
切り,2,0.05,7.14,0.14,2.0
旨み,2,0.05,7.14,0.14,2.0
こんな,2,0.05,14.28,0.14,1.0
～★,2,0.05,7.14,0.14,2.0
ご飯,2,0.05,14.28,0.14,1.0
つ,2,0.05,7.14,0.14,2.0
楽しみ,2,0.05,7.14,0.14,2.0
気,2,0.05,14.28,0.14,1.0
いく,2,0.05,14.28,0.14,1.0
ふくよか,2,0.05,7.14,0.14,2.0
輪郭,2,0.05,7.14,0.14,2.0
◾,2,0.05,7.14,0.14,2.0
非常,2,0.05,7.14,0.14,2.0
切りつけ,2,0.05,7.14,0.14,2.0
滋味,2,0.05,7.14,0.14,2.0
香る,2,0.05,7.14,0.14,2.0
～,2,0.05,7.14,0.14,2.0
身,2,0.05,7.14,0.14,2.0
＼(^,2,0.05,7.14,0.14,2.0
素敵,2,0.05,14.28,0.14,1.0
桑名,2,0.05,7.14,0.14,2.0
浅利,2,0.05,7.14,0.14,2.0
澄まし汁,2,0.05,7.14,0.14,2.0
・,2,0.05,7.14,0.14,2.0
出し,2,0.05,14.28,0.14,1.0
芯,2,0.05,14.28,0.14,1.0
ダネ,2,0.05,7.14,0.14,2.0
千葉,2,0.05,14.28,0.14,1.0
笑,2,0.05,14.28,0.14,1.0
赤穂,2,0.05,7.14,0.14,2.0
しら,2,0.05,7.14,0.14,2.0
二,2,0.05,14.28,0.14,1.0
さわやか,2,0.05,14.28,0.14,1.0
楽しま,2,0.05,14.28,0.14,1.0
分かり,2,0.05,14.28,0.14,1.0
経験,2,0.05,14.28,0.14,1.0
みたい,2,0.05,14.28,0.14,1.0
基本,2,0.05,14.28,0.14,1.0
仕入れ,2,0.05,7.14,0.14,2.0
心配,2,0.05,7.14,0.14,2.0
ため,2,0.05,14.28,0.14,1.0
寝かせ,2,0.05,14.28,0.14,1.0
漁師,2,0.05,7.14,0.14,2.0
通っ,2,0.05,14.28,0.14,1.0
らしい,2,0.05,14.28,0.14,1.0
行く,2,0.05,14.28,0.14,1.0
出さ,2,0.05,14.28,0.14,1.0
解ける,2,0.05,7.14,0.14,2.0
もらえ,2,0.05,14.28,0.14,1.0
多い,2,0.05,14.28,0.14,1.0
でも,2,0.05,14.28,0.14,1.0
気持ち,2,0.05,14.28,0.14,1.0
関係,2,0.05,14.28,0.14,1.0
様,2,0.05,7.14,0.14,2.0
知り合い,2,0.05,14.28,0.14,1.0
是非,2,0.05,7.14,0.14,2.0
西,2,0.05,7.14,0.14,2.0
丁目,2,0.05,7.14,0.14,2.0
にくい,2,0.05,14.28,0.14,1.0
ひっそり,2,0.05,14.28,0.14,1.0
飛び込ん,2,0.05,14.28,0.14,1.0
種類,2,0.05,7.14,0.14,2.0
以外,2,0.05,14.28,0.14,1.0
少なく,2,0.05,14.28,0.14,1.0
常連,2,0.05,7.14,0.14,2.0
話,2,0.05,14.28,0.14,1.0
知ら,2,0.05,14.28,0.14,1.0
いや,2,0.05,7.14,0.14,2.0
家,2,0.05,7.14,0.14,2.0
なくっ,2,0.05,7.14,0.14,2.0
白身,2,0.05,7.14,0.14,2.0
)。,2,0.05,7.14,0.14,2.0
実感,2,0.05,7.14,0.14,2.0
ああ,2,0.05,7.14,0.14,2.0
こういう,2,0.05,7.14,0.14,2.0
技,2,0.05,14.28,0.14,1.0
ところ,2,0.05,14.28,0.14,1.0
いつか,2,0.05,14.28,0.14,1.0
夢,2,0.05,7.14,0.14,2.0
うれしい,2,0.05,7.14,0.14,2.0
み,2,0.05,14.28,0.14,1.0
大好き,2,0.05,14.28,0.14,1.0
見,2,0.05,14.28,0.14,1.0
ファン,2,0.05,7.14,0.14,2.0
必ず,2,0.05,7.14,0.14,2.0
たく,2,0.05,7.14,0.14,2.0
ついに,2,0.05,7.14,0.14,2.0
たら,2,0.05,7.14,0.14,2.0
入り,2,0.05,14.28,0.14,1.0
全て,2,0.05,14.28,0.14,1.0
2007,2,0.05,7.14,0.14,2.0
19,2,0.05,7.14,0.14,2.0
今日,2,0.05,7.14,0.14,2.0
記述,2,0.05,7.14,0.14,2.0
居心地,2,0.05,7.14,0.14,2.0
意味,2,0.05,7.14,0.14,2.0
買っ,2,0.05,7.14,0.14,2.0
最近,2,0.05,7.14,0.14,2.0
ごく,2,0.05,7.14,0.14,2.0
限ら,2,0.05,7.14,0.14,2.0
Instagram,1,0.02,7.14,0.07,1.0
https,1,0.02,7.14,0.07,1.0
www,1,0.02,7.14,0.07,1.0
instagram,1,0.02,7.14,0.07,1.0
何だかんだ,1,0.02,7.14,0.07,1.0
前回,1,0.02,7.14,0.07,1.0
変わら,1,0.02,7.14,0.07,1.0
見つけ,1,0.02,7.14,0.07,1.0
伺っ,1,0.02,7.14,0.07,1.0
無かっ,1,0.02,7.14,0.07,1.0
同じ,1,0.02,7.14,0.07,1.0
差,1,0.02,7.14,0.07,1.0
無い,1,0.02,7.14,0.07,1.0
腹,1,0.02,7.14,0.07,1.0
買わ,1,0.02,7.14,0.07,1.0
何等,1,0.02,7.14,0.07,1.0
変わっ,1,0.02,7.14,0.07,1.0
おり,1,0.02,7.14,0.07,1.0
代わる,1,0.02,7.14,0.07,1.0
会計,1,0.02,7.14,0.07,1.0
金額,1,0.02,7.14,0.07,1.0
特徴,1,0.02,7.14,0.07,1.0
有る,1,0.02,7.14,0.07,1.0
本手,1,0.02,7.14,0.07,1.0
返し,1,0.02,7.14,0.07,1.0
思わず,1,0.02,7.14,0.07,1.0
見とれ,1,0.02,7.14,0.07,1.0
なお,1,0.02,7.14,0.07,1.0
下記,1,0.02,7.14,0.07,1.0
とおり,1,0.02,7.14,0.07,1.0
鯛,1,0.02,7.14,0.07,1.0
唐津,1,0.02,7.14,0.07,1.0
あか,1,0.02,7.14,0.07,1.0
小,1,0.02,7.14,0.07,1.0
鰭,1,0.02,7.14,0.07,1.0
以下,1,0.02,7.14,0.07,1.0
ほし,1,0.02,7.14,0.07,1.0
鯵,1,0.02,7.14,0.07,1.0
あかう,1,0.02,7.14,0.07,1.0
市場,1,0.02,7.14,0.07,1.0
水揚げ,1,0.02,7.14,0.07,1.0
人気,1,0.02,7.14,0.07,1.0
輩出,1,0.02,7.14,0.07,1.0
ほど,1,0.02,7.14,0.07,1.0
扱う,1,0.02,7.14,0.07,1.0
優しく,1,0.02,7.14,0.07,1.0
念,1,0.02,7.14,0.07,1.0
込める,1,0.02,7.14,0.07,1.0
姿,1,0.02,7.14,0.07,1.0
引き込ま,1,0.02,7.14,0.07,1.0
美し,1,0.02,7.14,0.07,1.0
しく,1,0.02,7.14,0.07,1.0
カッコイイ,1,0.02,7.14,0.07,1.0
青森,1,0.02,7.14,0.07,1.0
県,1,0.02,7.14,0.07,1.0
六,1,0.02,7.14,0.07,1.0
ヶ所,1,0.02,7.14,0.07,1.0
村,1,0.02,7.14,0.07,1.0
獲,1,0.02,7.14,0.07,1.0
あっさり,1,0.02,7.14,0.07,1.0
深み,1,0.02,7.14,0.07,1.0
イチ,1,0.02,7.14,0.07,1.0
オシ,1,0.02,7.14,0.07,1.0
