頻出単語,登場回数,登場回数/全単語数(5587)%,登場レビュー率 /(46本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
た,206,3.68,82.97,4.38,5.28
お,150,2.68,87.23,3.19,3.65
です,122,2.18,76.59,2.59,3.38
ます,84,1.5,68.08,1.78,2.62
し,82,1.46,76.59,1.74,2.27
店,68,1.21,74.46,1.44,1.94
ない,62,1.1,59.57,1.31,2.21
の,62,1.1,55.31,1.31,2.38
な,57,1.02,59.57,1.21,2.03
まし,53,0.94,42.55,1.12,2.65
寿司,46,0.82,51.06,0.97,1.91
つまみ,46,0.82,57.44,0.97,1.7
さん,43,0.76,46.8,0.91,1.95
で,43,0.76,57.44,0.91,1.59
食べ,41,0.73,46.8,0.87,1.86
い,41,0.73,44.68,0.87,1.95
だ,38,0.68,44.68,0.8,1.8
こと,37,0.66,44.68,0.78,1.76
鮨,36,0.64,38.29,0.76,2.0
屋,34,0.6,55.31,0.72,1.3
ある,33,0.59,42.55,0.7,1.65
この,33,0.59,42.55,0.7,1.65
人,30,0.53,46.8,0.63,1.36
カウンター,29,0.51,40.42,0.61,1.52
あり,28,0.5,42.55,0.59,1.4
握り,28,0.5,42.55,0.59,1.4
いる,24,0.42,36.17,0.51,1.41
酒,24,0.42,27.65,0.51,1.84
ん,24,0.42,31.91,0.51,1.6
でし,24,0.42,38.29,0.51,1.33
思い,23,0.41,31.91,0.48,1.53
美味しい,21,0.37,25.53,0.44,1.75
よう,19,0.34,29.78,0.4,1.35
もの,19,0.34,25.53,0.4,1.58
ませ,18,0.32,25.53,0.38,1.5
感じ,18,0.32,27.65,0.38,1.38
予約,17,0.3,29.78,0.36,1.21
れ,16,0.28,23.4,0.34,1.45
ここ,16,0.28,27.65,0.34,1.23
席,16,0.28,27.65,0.34,1.23
勘,15,0.26,23.4,0.31,1.36
いい,15,0.26,25.53,0.31,1.25
行っ,15,0.26,23.4,0.31,1.36
値段,15,0.26,29.78,0.31,1.07
麻布,15,0.26,29.78,0.31,1.07
十,15,0.26,25.53,0.31,1.25
良い,15,0.26,23.4,0.31,1.36
き,14,0.25,25.53,0.29,1.16
ネタ,14,0.25,25.53,0.29,1.16
出,14,0.25,23.4,0.29,1.27
中,14,0.25,19.14,0.29,1.55
だっ,14,0.25,19.14,0.29,1.55
する,14,0.25,23.4,0.29,1.27
味,14,0.25,29.78,0.29,1.0
番,14,0.25,25.53,0.29,1.16
まつ,13,0.23,21.27,0.27,1.3
さ,13,0.23,23.4,0.27,1.18
好き,13,0.23,23.4,0.27,1.18
時,13,0.23,25.53,0.27,1.08
なく,13,0.23,19.14,0.27,1.44
たい,13,0.23,23.4,0.27,1.18
いつも,13,0.23,17.02,0.27,1.62
麻布十番,12,0.21,21.27,0.25,1.2
てる,12,0.21,14.89,0.25,1.71
おいしい,12,0.21,12.76,0.25,2.0
気,12,0.21,21.27,0.25,1.2
なっ,12,0.21,19.14,0.25,1.33
円,12,0.21,21.27,0.25,1.2
店内,12,0.21,21.27,0.25,1.2
ちょっと,12,0.21,17.02,0.25,1.5
ず,12,0.21,21.27,0.25,1.2
方,12,0.21,19.14,0.25,1.33
任せ,11,0.19,21.27,0.23,1.1
焼き,11,0.19,14.89,0.23,1.57
う,11,0.19,19.14,0.23,1.22
ビール,11,0.19,17.02,0.23,1.37
あっ,11,0.19,23.4,0.23,1.0
その,11,0.19,19.14,0.23,1.22
活気,11,0.19,23.4,0.23,1.0
夜,10,0.17,14.89,0.21,1.42
これ,10,0.17,19.14,0.21,1.11
白,10,0.17,12.76,0.21,1.66
出し,10,0.17,19.14,0.21,1.11
トロ,10,0.17,17.02,0.21,1.25
飲ん,10,0.17,14.89,0.21,1.42
こちら,10,0.17,14.89,0.21,1.42
料理,10,0.17,17.02,0.21,1.25
1,10,0.17,19.14,0.21,1.11
場所,10,0.17,21.27,0.21,1.0
ウニ,10,0.17,10.63,0.21,2.0
的,10,0.17,19.14,0.21,1.11
握っ,10,0.17,14.89,0.21,1.42
雰囲気,10,0.17,19.14,0.21,1.11
すぎ,10,0.17,17.02,0.21,1.25
っ,9,0.16,6.38,0.19,3.0
日,9,0.16,12.76,0.19,1.5
注文,9,0.16,14.89,0.19,1.28
時間,9,0.16,14.89,0.19,1.28
/,9,0.16,10.63,0.19,1.8
なり,9,0.16,19.14,0.19,1.0
何,9,0.16,14.89,0.19,1.28
満席,9,0.16,19.14,0.19,1.0
くる,9,0.16,17.02,0.19,1.12
しっかり,9,0.16,14.89,0.19,1.28
くれる,9,0.16,17.02,0.19,1.12
とても,9,0.16,14.89,0.19,1.28
れる,8,0.14,14.89,0.17,1.14
3,8,0.14,17.02,0.17,1.0
感,8,0.14,14.89,0.17,1.14
なら,8,0.14,14.89,0.17,1.14
いただき,8,0.14,10.63,0.17,1.6
私,8,0.14,12.76,0.17,1.33
一,8,0.14,14.89,0.17,1.14
訪問,8,0.14,17.02,0.17,1.0
テーブル,8,0.14,14.89,0.17,1.14
数,8,0.14,14.89,0.17,1.14
また,8,0.14,17.02,0.17,1.0
お客,8,0.14,14.89,0.17,1.14
来,8,0.14,17.02,0.17,1.0
ー,8,0.14,12.76,0.17,1.33
満足,8,0.14,12.76,0.17,1.33
１,8,0.14,8.51,0.17,2.0
日本,8,0.14,6.38,0.17,2.66
飲み,7,0.12,12.76,0.14,1.16
メニュー,7,0.12,6.38,0.14,2.33
くれ,7,0.12,10.63,0.14,1.4
まずは,7,0.12,10.63,0.14,1.4
最高,7,0.12,10.63,0.14,1.4
貝,7,0.12,10.63,0.14,1.4
連れ,7,0.12,12.76,0.14,1.16
分,7,0.12,12.76,0.14,1.16
あまり,7,0.12,14.89,0.14,1.0
印象,7,0.12,14.89,0.14,1.0
シャリ,7,0.12,12.76,0.14,1.16
冷酒,7,0.12,10.63,0.14,1.4
～,7,0.12,10.63,0.14,1.4
なる,7,0.12,10.63,0.14,1.4
最後,7,0.12,12.76,0.14,1.16
コス,7,0.12,8.51,0.14,1.75
パ,7,0.12,8.51,0.14,1.75
おまかせ,7,0.12,14.89,0.14,1.0
コストパフォーマンス,7,0.12,12.76,0.14,1.16
よい,7,0.12,10.63,0.14,1.4
スタート,6,0.1,8.51,0.12,1.5
特に,6,0.1,12.76,0.12,1.0
聞い,6,0.1,10.63,0.12,1.2
揚げ,6,0.1,10.63,0.12,1.2
もらい,6,0.1,10.63,0.12,1.2
オーダー,6,0.1,8.51,0.12,1.5
アジ,6,0.1,10.63,0.12,1.2
