頻出単語,登場回数,登場回数/全単語数(1528)%,登場レビュー率 /(13本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
た,67,4.38,92.85,4.78,5.15
お,39,2.55,78.57,2.78,3.54
です,30,1.96,71.42,2.14,3.0
し,28,1.83,78.57,2.0,2.54
まし,28,1.83,57.14,2.0,3.5
店,23,1.5,57.14,1.64,2.87
な,22,1.43,64.28,1.57,2.44
だ,19,1.24,42.85,1.35,3.16
ます,19,1.24,64.28,1.35,2.11
ない,15,0.98,50.0,1.07,2.14
の,13,0.85,50.0,0.92,1.85
握り,13,0.85,35.71,0.92,2.6
い,12,0.78,50.0,0.85,1.71
ある,11,0.71,42.85,0.78,1.83
食べ,10,0.65,42.85,0.71,1.66
勘,10,0.65,50.0,0.71,1.42
ネタ,10,0.65,57.14,0.71,1.25
人,10,0.65,35.71,0.71,2.0
鮨,9,0.58,35.71,0.64,1.8
たい,9,0.58,50.0,0.64,1.28
いつも,9,0.58,28.57,0.64,2.25
さ,9,0.58,28.57,0.64,2.25
こと,9,0.58,42.85,0.64,1.5
さん,9,0.58,57.14,0.64,1.12
中,8,0.52,42.85,0.57,1.33
まつ,8,0.52,42.85,0.57,1.33
一,8,0.52,35.71,0.57,1.6
寿司,8,0.52,21.42,0.57,2.66
番,8,0.52,35.71,0.57,1.6
いる,7,0.45,42.85,0.5,1.16
予約,7,0.45,28.57,0.5,1.75
で,7,0.45,42.85,0.5,1.16
的,7,0.45,28.57,0.5,1.75
これ,7,0.45,21.42,0.5,2.33
円,7,0.45,42.85,0.5,1.16
トロ,7,0.45,28.57,0.5,1.75
思い,7,0.45,42.85,0.5,1.16
麻布,7,0.45,35.71,0.5,1.4
十,7,0.45,35.71,0.5,1.4
雰囲気,6,0.39,28.57,0.42,1.5
この,6,0.39,35.71,0.42,1.2
う,6,0.39,28.57,0.42,1.5
また,6,0.39,28.57,0.42,1.5
こちら,6,0.39,28.57,0.42,1.5
つまみ,6,0.39,21.42,0.42,2.0
行っ,6,0.39,28.57,0.42,1.5
き,6,0.39,28.57,0.42,1.5
あり,6,0.39,28.57,0.42,1.5
なく,5,0.32,35.71,0.35,1.0
ここ,5,0.32,28.57,0.35,1.25
酒,5,0.32,35.71,0.35,1.0
穴子,5,0.32,28.57,0.35,1.25
れる,5,0.32,28.57,0.35,1.25
ん,5,0.32,21.42,0.35,1.66
店内,5,0.32,28.57,0.35,1.25
でし,5,0.32,28.57,0.35,1.25
ませ,5,0.32,21.42,0.35,1.66
昼間,4,0.26,21.42,0.28,1.33
夜,4,0.26,21.42,0.28,1.33
もの,4,0.26,28.57,0.28,1.0
美味しい,4,0.26,28.57,0.28,1.0
だっ,4,0.26,21.42,0.28,1.33
ウニ,4,0.26,21.42,0.28,1.33
良い,4,0.26,28.57,0.28,1.0
来,4,0.26,28.57,0.28,1.0
たら,4,0.26,28.57,0.28,1.0
注文,4,0.26,21.42,0.28,1.33
なり,4,0.26,21.42,0.28,1.33
カウンター,4,0.26,21.42,0.28,1.33
巻物,4,0.26,21.42,0.28,1.33
ず,4,0.26,21.42,0.28,1.33
屋,4,0.26,21.42,0.28,1.33
ランチ,4,0.26,28.57,0.28,1.0
あっ,4,0.26,28.57,0.28,1.0
よう,4,0.26,21.42,0.28,1.33
まあ,4,0.26,14.28,0.28,2.0
出,4,0.26,21.42,0.28,1.33
口,4,0.26,21.42,0.28,1.33
味,4,0.26,28.57,0.28,1.0
いう,3,0.19,7.14,0.21,3.0
近所,3,0.19,14.28,0.21,1.5
今回,3,0.19,21.42,0.21,1.0
初めて,3,0.19,14.28,0.21,1.5
なし,3,0.19,21.42,0.21,1.0
なっ,3,0.19,14.28,0.21,1.5
本,3,0.19,21.42,0.21,1.0
/,3,0.19,14.28,0.21,1.5
最初,3,0.19,14.28,0.21,1.5
鯵,3,0.19,21.42,0.21,1.0
イクラ,3,0.19,21.42,0.21,1.0
なる,3,0.19,21.42,0.21,1.0
玉子,3,0.19,21.42,0.21,1.0
外国,3,0.19,14.28,0.21,1.5
日,3,0.19,21.42,0.21,1.0
ホテル,3,0.19,7.14,0.21,3.0
お願い,3,0.19,21.42,0.21,1.0
元気,3,0.19,21.42,0.21,1.0
しよ,3,0.19,14.28,0.21,1.5
お昼,3,0.19,14.28,0.21,1.5
伺い,3,0.19,14.28,0.21,1.5
私,3,0.19,21.42,0.21,1.0
頂き,3,0.19,14.28,0.21,1.5
仕事,3,0.19,21.42,0.21,1.0
日本,3,0.19,14.28,0.21,1.5
満足,3,0.19,21.42,0.21,1.0
すぎ,3,0.19,14.28,0.21,1.5
でき,3,0.19,14.28,0.21,1.5
酢,3,0.19,14.28,0.21,1.5
やや,3,0.19,14.28,0.21,1.5
系,3,0.19,7.14,0.21,3.0
吉祥寺,3,0.19,7.14,0.21,3.0
行き,3,0.19,21.42,0.21,1.0
感じ,3,0.19,14.28,0.21,1.5
以上,3,0.19,21.42,0.21,1.0
感,3,0.19,21.42,0.21,1.0
ごちそうさま,3,0.19,21.42,0.21,1.0
巻き,3,0.19,14.28,0.21,1.5
2,3,0.19,14.28,0.21,1.5
なら,3,0.19,14.28,0.21,1.5
お世話,3,0.19,14.28,0.21,1.5
連れ,2,0.13,14.28,0.14,1.0
満席,2,0.13,14.28,0.14,1.0
いっ,2,0.13,14.28,0.14,1.0
大衆,2,0.13,7.14,0.14,2.0
する,2,0.13,7.14,0.14,2.0
リーズナブル,2,0.13,14.28,0.14,1.0
大好き,2,0.13,14.28,0.14,1.0
小柱,2,0.13,14.28,0.14,1.0
漬け,2,0.13,14.28,0.14,1.0
て,2,0.13,14.28,0.14,1.0
イカ,2,0.13,14.28,0.14,1.0
入っ,2,0.13,14.28,0.14,1.0
江戸,2,0.13,14.28,0.14,1.0
味噌汁,2,0.13,14.28,0.14,1.0
焼き,2,0.13,14.28,0.14,1.0
やっぱり,2,0.13,14.28,0.14,1.0
ー,2,0.13,14.28,0.14,1.0
特徴,2,0.13,14.28,0.14,1.0
聞い,2,0.13,14.28,0.14,1.0
紹介,2,0.13,14.28,0.14,1.0
混ん,2,0.13,14.28,0.14,1.0
でる,2,0.13,14.28,0.14,1.0
もらい,2,0.13,14.28,0.14,1.0
今度,2,0.13,14.28,0.14,1.0
麻布十番,2,0.13,14.28,0.14,1.0
以前,2,0.13,14.28,0.14,1.0
よく,2,0.13,14.28,0.14,1.0
久しぶり,2,0.13,7.14,0.14,2.0
迎え,2,0.13,14.28,0.14,1.0
任せ,2,0.13,14.28,0.14,1.0
昆布,2,0.13,14.28,0.14,1.0
締め,2,0.13,14.28,0.14,1.0
貝,2,0.13,14.28,0.14,1.0
軍艦,2,0.13,14.28,0.14,1.0
鮪,2,0.13,14.28,0.14,1.0
赤身,2,0.13,14.28,0.14,1.0
レベル,2,0.13,14.28,0.14,1.0
高い,2,0.13,14.28,0.14,1.0
再訪,2,0.13,14.28,0.14,1.0
なんとなく,2,0.13,14.28,0.14,1.0
入り,2,0.13,7.14,0.14,2.0
とう,2,0.13,14.28,0.14,1.0
たく,2,0.13,14.28,0.14,1.0
ワイン,2,0.13,7.14,0.14,2.0
ところ,2,0.13,14.28,0.14,1.0
ウマ,2,0.13,7.14,0.14,2.0
シャリ,2,0.13,14.28,0.14,1.0
グッド,2,0.13,7.14,0.14,2.0
大将,2,0.13,14.28,0.14,1.0
楽しく,2,0.13,14.28,0.14,1.0
良心,2,0.13,14.28,0.14,1.0
テーブル,2,0.13,14.28,0.14,1.0
たち,2,0.13,14.28,0.14,1.0
コース,2,0.13,14.28,0.14,1.0
11,2,0.13,14.28,0.14,1.0
大き,2,0.13,14.28,0.14,1.0
どうしても,2,0.13,14.28,0.14,1.0
にぎやか,2,0.13,14.28,0.14,1.0
席,2,0.13,14.28,0.14,1.0
方,2,0.13,14.28,0.14,1.0
食事,2,0.13,14.28,0.14,1.0
系列,2,0.13,14.28,0.14,1.0
思う,2,0.13,14.28,0.14,1.0
板前,2,0.13,14.28,0.14,1.0
椀,2,0.13,14.28,0.14,1.0
物,2,0.13,14.28,0.14,1.0
共通,2,0.13,14.28,0.14,1.0
飯,2,0.13,7.14,0.14,2.0
普通,2,0.13,7.14,0.14,2.0
一番,2,0.13,14.28,0.14,1.0
充実,2,0.13,7.14,0.14,2.0
コストパフォーマンス,2,0.13,14.28,0.14,1.0
いい,2,0.13,14.28,0.14,1.0
なん,2,0.13,14.28,0.14,1.0
良かっ,2,0.13,7.14,0.14,2.0
どれ,2,0.13,14.28,0.14,1.0
小ぶり,2,0.13,14.28,0.14,1.0
気持ち,2,0.13,14.28,0.14,1.0
甘,2,0.13,7.14,0.14,2.0
海老,2,0.13,7.14,0.14,2.0
鉄火,2,0.13,14.28,0.14,1.0
つい,2,0.13,14.28,0.14,1.0
(,2,0.13,14.28,0.14,1.0
),2,0.13,14.28,0.14,1.0
べき,2,0.13,14.28,0.14,1.0
特に,2,0.13,14.28,0.14,1.0
のっ,2,0.13,7.14,0.14,2.0
しまっ,2,0.13,14.28,0.14,1.0
場所,2,0.13,7.14,0.14,2.0
海,2,0.13,7.14,0.14,2.0
ぶどう,2,0.13,7.14,0.14,2.0
