頻出単語,登場回数,登場回数/全単語数(26849)%,登場レビュー率 /(100本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
た,1159,4.31,95.04,11.47,12.07
お,481,1.79,88.11,4.76,5.4
です,445,1.65,74.25,4.4,5.93
し,393,1.46,79.2,3.89,4.91
ます,338,1.25,71.28,3.34,4.69
まし,311,1.15,66.33,3.07,4.64
な,310,1.15,81.18,3.06,3.78
の,293,1.09,71.28,2.9,4.06
ない,255,0.94,77.22,2.52,3.26
さん,242,0.9,77.22,2.39,3.1
三谷,236,0.87,70.29,2.33,3.32
酒,205,0.76,66.33,2.02,3.05
で,189,0.7,64.35,1.87,2.9
さ,187,0.69,64.35,1.85,2.87
い,185,0.68,62.37,1.83,2.93
予約,167,0.62,65.34,1.65,2.53
れ,159,0.59,62.37,1.57,2.52
だ,155,0.57,52.47,1.53,2.92
店,153,0.56,62.37,1.51,2.42
ん,152,0.56,52.47,1.5,2.86
年,147,0.54,52.47,1.45,2.77
でし,145,0.54,47.52,1.43,3.02
いる,128,0.47,57.42,1.26,2.2
料理,126,0.46,46.53,1.24,2.68
寿司,125,0.46,41.58,1.23,2.97
こと,122,0.45,52.47,1.2,2.3
ある,117,0.43,47.52,1.15,2.43
握り,114,0.42,44.55,1.12,2.53
この,113,0.42,49.5,1.11,2.26
よう,103,0.38,45.54,1.01,2.23
鮨,98,0.36,40.59,0.97,2.39
一,97,0.36,36.63,0.96,2.62
もの,96,0.35,36.63,0.95,2.59
あり,90,0.33,41.58,0.89,2.14
ワイン,88,0.32,38.61,0.87,2.25
つまみ,85,0.31,34.65,0.84,2.42
ませ,84,0.31,36.63,0.83,2.27
食べ,79,0.29,43.56,0.78,1.79
う,79,0.29,43.56,0.78,1.79
感じ,78,0.29,37.62,0.77,2.05
.,75,0.27,14.85,0.74,5.0
その,74,0.27,38.61,0.73,1.89
そう,73,0.27,37.62,0.72,1.92
私,72,0.26,40.59,0.71,1.75
なっ,70,0.26,39.6,0.69,1.75
方,69,0.25,41.58,0.68,1.64
日本,69,0.25,38.61,0.68,1.76
する,67,0.24,44.55,0.66,1.48
中,66,0.24,34.65,0.65,1.88
これ,66,0.24,28.71,0.65,2.27
屋,65,0.24,41.58,0.64,1.54
１,63,0.23,16.83,0.62,3.7
日,62,0.23,27.72,0.61,2.21
人,62,0.23,35.64,0.61,1.72
思い,62,0.23,36.63,0.61,1.67
また,58,0.21,38.61,0.57,1.48
なく,58,0.21,32.67,0.57,1.75
前,56,0.2,39.6,0.55,1.4
的,54,0.2,36.63,0.53,1.45
味,54,0.2,23.76,0.53,2.25
き,53,0.19,29.7,0.52,1.76
マリアージュ,53,0.19,26.73,0.52,1.96
出,52,0.19,25.74,0.51,2.0
雲丹,52,0.19,21.78,0.51,2.36
美味しい,52,0.19,31.68,0.51,1.62
たい,51,0.18,28.71,0.5,1.75
訪問,51,0.18,27.72,0.5,1.82
-,50,0.18,7.92,0.49,6.25
大将,49,0.18,22.77,0.48,2.13
２,48,0.17,16.83,0.47,2.82
せ,48,0.17,32.67,0.47,1.45
ここ,47,0.17,31.68,0.46,1.46
穴子,47,0.17,23.76,0.46,1.95
鮪,46,0.17,23.76,0.45,1.91
産,46,0.17,14.85,0.45,3.06
何,46,0.17,29.7,0.45,1.53
ウニ,45,0.16,21.78,0.44,2.04
大,45,0.16,28.71,0.44,1.55
肝,45,0.16,21.78,0.44,2.04
合わせ,45,0.16,26.73,0.44,1.66
事,44,0.16,22.77,0.43,1.91
2,44,0.16,23.76,0.43,1.83
ご,44,0.16,25.74,0.43,1.69
時,44,0.16,23.76,0.43,1.83
素晴らしい,44,0.16,36.63,0.43,1.18
スープ,44,0.16,17.82,0.43,2.44
最高,44,0.16,21.78,0.43,2.0
時間,43,0.16,20.79,0.42,2.04
いい,43,0.16,25.74,0.42,1.65
でしょ,42,0.15,24.75,0.41,1.68
こちら,41,0.15,23.76,0.4,1.7
度,41,0.15,26.73,0.4,1.51
トロ,40,0.14,21.78,0.39,1.81
ず,40,0.14,22.77,0.39,1.73
後,39,0.14,27.72,0.38,1.39
頂き,39,0.14,17.82,0.38,2.16
だっ,39,0.14,23.76,0.38,1.62
マグロ,39,0.14,16.83,0.38,2.29
感,39,0.14,22.77,0.38,1.69
席,39,0.14,26.73,0.38,1.44
今回,39,0.14,20.79,0.38,1.85
好き,38,0.14,24.75,0.37,1.52
巻き,38,0.14,20.79,0.37,1.8
いただき,38,0.14,20.79,0.37,1.8
ネタ,37,0.13,23.76,0.36,1.54
そして,36,0.13,22.77,0.35,1.56
なる,36,0.13,24.75,0.35,1.44
カウンター,36,0.13,25.74,0.35,1.38
れる,36,0.13,27.72,0.35,1.28
それ,35,0.13,24.75,0.34,1.4
四谷,35,0.13,18.81,0.34,1.84
代,35,0.13,14.85,0.34,2.33
たら,35,0.13,24.75,0.34,1.4
０,35,0.13,11.88,0.34,2.91
楽しみ,34,0.12,22.77,0.33,1.47
鮑,34,0.12,18.81,0.33,1.78
十,34,0.12,14.85,0.33,2.26
良い,34,0.12,23.76,0.33,1.41
行っ,33,0.12,27.72,0.32,1.17
思っ,33,0.12,25.74,0.32,1.26
四,33,0.12,14.85,0.32,2.2
にぎり,33,0.12,7.92,0.32,4.12
シャンパン,33,0.12,18.81,0.32,1.73
*,33,0.12,1.98,0.32,16.5
鯛,32,0.11,11.88,0.31,2.66
初めて,32,0.11,18.81,0.31,1.68
とても,32,0.11,18.81,0.31,1.68
なり,31,0.11,20.79,0.3,1.47
白子,31,0.11,16.83,0.3,1.82
最後,31,0.11,21.78,0.3,1.4
1,31,0.11,16.83,0.3,1.82
キャビア,31,0.11,22.77,0.3,1.34
くれ,31,0.11,18.81,0.3,1.63
白,31,0.11,20.79,0.3,1.47
あっ,30,0.11,17.82,0.29,1.66
本当に,30,0.11,19.8,0.29,1.5
待ち,29,0.1,23.76,0.28,1.2
今,29,0.1,20.79,0.28,1.38
思う,29,0.1,21.78,0.28,1.31
脂,29,0.1,17.82,0.28,1.61
３,29,0.1,13.86,0.28,2.07
～,28,0.1,16.83,0.27,1.64
昆布,28,0.1,17.82,0.27,1.55
食材,28,0.1,17.82,0.27,1.55
円,28,0.1,13.86,0.27,2.0
満足,28,0.1,15.84,0.27,1.75
3,27,0.1,14.85,0.26,1.8
なら,27,0.1,17.82,0.26,1.5
口,27,0.1,18.81,0.26,1.42
全て,27,0.1,17.82,0.26,1.5
かなり,26,0.09,18.81,0.25,1.36
取れ,26,0.09,19.8,0.25,1.3
/,25,0.09,8.91,0.24,2.77
ところ,25,0.09,17.82,0.24,1.38
他,24,0.08,17.82,0.23,1.33
数,24,0.08,17.82,0.23,1.33
魚,24,0.08,12.87,0.23,1.84
なかっ,24,0.08,18.81,0.23,1.26
素材,24,0.08,16.83,0.23,1.41
炙り,24,0.08,14.85,0.23,1.6
られ,24,0.08,18.81,0.23,1.26
高級,24,0.08,16.83,0.23,1.41
出汁,24,0.08,13.86,0.23,1.71
本日,24,0.08,4.95,0.23,4.8
印象,24,0.08,15.84,0.23,1.5
笑,23,0.08,16.83,0.22,1.35
目,23,0.08,16.83,0.22,1.35
ミ,23,0.08,14.85,0.22,1.53
月,23,0.08,12.87,0.22,1.76
焼き,23,0.08,16.83,0.22,1.35
酢,23,0.08,14.85,0.22,1.53
どれ,23,0.08,14.85,0.22,1.53
常連,22,0.08,11.88,0.21,1.83
紀尾井町,22,0.08,12.87,0.21,1.69
カラス,22,0.08,14.85,0.21,1.46
一品,22,0.08,14.85,0.21,1.46
12,22,0.08,7.92,0.21,2.75
締め,22,0.08,12.87,0.21,1.69
出し,22,0.08,17.82,0.21,1.22
おり,22,0.08,11.88,0.21,1.83
て,22,0.08,13.86,0.21,1.57
ため,22,0.08,16.83,0.21,1.29
しまい,22,0.08,16.83,0.21,1.29
ご飯,22,0.08,14.85,0.21,1.46
ソース,22,0.08,13.86,0.21,1.57
出来,21,0.07,16.83,0.2,1.23
電話,21,0.07,11.88,0.2,1.75
赤身,21,0.07,17.82,0.2,1.16
コハダ,21,0.07,14.85,0.2,1.4
仕事,21,0.07,17.82,0.2,1.16
次,21,0.07,16.83,0.2,1.23
主人,21,0.07,11.88,0.2,1.75
すぎ,21,0.07,8.91,0.2,2.33
写真,21,0.07,17.82,0.2,1.16
よく,21,0.07,14.85,0.2,1.4
入れ,21,0.07,12.87,0.2,1.61
いつも,20,0.07,13.86,0.19,1.42
行く,20,0.07,16.83,0.19,1.17
てる,20,0.07,10.89,0.19,1.81
美味しく,20,0.07,14.85,0.19,1.33
先,20,0.07,14.85,0.19,1.33
蟹,20,0.07,10.89,0.19,1.81
様,20,0.07,11.88,0.19,1.66
飲み,20,0.07,12.87,0.19,1.53
分,20,0.07,13.86,0.19,1.42
品,20,0.07,13.86,0.19,1.42
言っ,20,0.07,17.82,0.19,1.11
任せ,20,0.07,15.84,0.19,1.25
くれる,20,0.07,15.84,0.19,1.25
いう,20,0.07,14.85,0.19,1.33
気,20,0.07,14.85,0.19,1.33
頂い,19,0.07,13.86,0.18,1.35
上,19,0.07,14.85,0.18,1.26
そんな,19,0.07,12.87,0.18,1.46
かけ,19,0.07,14.85,0.18,1.26
来,19,0.07,14.85,0.18,1.26
会計,19,0.07,11.88,0.18,1.58
飯,19,0.07,12.87,0.18,1.46
み,19,0.07,16.83,0.18,1.11
蛤,19,0.07,9.9,0.18,1.9
だろ,19,0.07,16.83,0.18,1.11
赤,19,0.07,13.86,0.18,1.35
くる,19,0.07,11.88,0.18,1.58
漬け,18,0.06,12.87,0.17,1.38
東京,18,0.06,15.84,0.17,1.12
食事,18,0.06,10.89,0.17,1.63
見,18,0.06,11.88,0.17,1.5
ください,18,0.06,15.84,0.17,1.12
少し,18,0.06,9.9,0.17,1.8
使っ,18,0.06,15.84,0.17,1.12
好み,18,0.06,13.86,0.17,1.28
美味し,18,0.06,13.86,0.17,1.28
でき,18,0.06,13.86,0.17,1.28
リング,18,0.06,12.87,0.17,1.38
同じ,18,0.06,12.87,0.17,1.38
凄い,17,0.06,11.88,0.16,1.41
手,17,0.06,12.87,0.16,1.3
10,17,0.06,13.86,0.16,1.21
江戸前,17,0.06,15.84,0.16,1.06
四ツ谷,17,0.06,10.89,0.16,1.54
お願い,17,0.06,8.91,0.16,1.88
やはり,17,0.06,11.88,0.16,1.41
熟成,17,0.06,10.89,0.16,1.54
三,17,0.06,11.88,0.16,1.41
伺い,17,0.06,10.89,0.16,1.54
提供,17,0.06,12.87,0.16,1.3
シャリ,17,0.06,10.89,0.16,1.54
高い,17,0.06,14.85,0.16,1.13
５,17,0.06,8.91,0.16,1.88
感動,17,0.06,14.85,0.16,1.13
４,16,0.05,9.9,0.15,1.6
言う,16,0.05,11.88,0.15,1.33
(,16,0.05,10.89,0.15,1.45
回,16,0.05,10.89,0.15,1.45
県,16,0.05,6.93,0.15,2.28
合わせる,16,0.05,9.9,0.15,1.6
しかし,16,0.05,11.88,0.15,1.33
揚げ,16,0.05,8.91,0.15,1.77
取り,16,0.05,13.86,0.15,1.14
大間,16,0.05,8.91,0.15,1.77
米,16,0.05,9.9,0.15,1.6
二,16,0.05,10.89,0.15,1.45
まずは,16,0.05,13.86,0.15,1.14
８,16,0.05,8.91,0.15,1.77
種,16,0.05,7.92,0.15,2.0
種類,16,0.05,10.89,0.15,1.45
客,16,0.05,11.88,0.15,1.33
初,16,0.05,11.88,0.15,1.33
小,16,0.05,10.89,0.15,1.45
次回,16,0.05,11.88,0.15,1.33
杯,16,0.05,9.9,0.15,1.6
邪魔,16,0.05,8.91,0.15,1.77
こ,16,0.05,12.87,0.15,1.23
期待,16,0.05,9.9,0.15,1.6
自分,15,0.05,12.87,0.14,1.15
聞い,15,0.05,10.89,0.14,1.36
もう,15,0.05,11.88,0.14,1.25
5,15,0.05,12.87,0.14,1.15
ぶり,15,0.05,9.9,0.14,1.5
できる,15,0.05,10.89,0.14,1.36
生,15,0.05,9.9,0.14,1.5
海苔,15,0.05,9.9,0.14,1.5
いただい,15,0.05,11.88,0.14,1.25
美味しかっ,15,0.05,10.89,0.14,1.36
旨味,15,0.05,7.92,0.14,1.87
組み合わせ,15,0.05,10.89,0.14,1.36
万,15,0.05,8.91,0.14,1.66
今日,15,0.05,7.92,0.14,1.87
一つ,15,0.05,10.89,0.14,1.36
ペア,15,0.05,9.9,0.14,1.5
贅沢,15,0.05,11.88,0.14,1.25
性,15,0.05,11.88,0.14,1.25
夜,15,0.05,11.88,0.14,1.25
一番,15,0.05,11.88,0.14,1.25
煮,15,0.05,6.93,0.14,2.14
言わ,15,0.05,11.88,0.14,1.25
雰囲気,15,0.05,12.87,0.14,1.15
通り,15,0.05,12.87,0.14,1.15
♪,15,0.05,7.92,0.14,1.87
わけ,15,0.05,11.88,0.14,1.25
グラス,15,0.05,10.89,0.14,1.36
以上,14,0.05,10.89,0.13,1.27
ヶ月,14,0.05,7.92,0.13,1.75
ご馳走様,14,0.05,3.96,0.13,3.5
うに,14,0.05,10.89,0.13,1.27
世界,14,0.05,11.88,0.13,1.16
ござい,14,0.05,9.9,0.13,1.4
銚子,14,0.05,10.89,0.13,1.27
エビ,14,0.05,8.91,0.13,1.55
金目,14,0.05,8.91,0.13,1.55
入る,14,0.05,12.87,0.13,1.07
最初,14,0.05,9.9,0.13,1.4
玉子,14,0.05,11.88,0.13,1.16
カワハギ,14,0.05,8.91,0.13,1.55
店内,14,0.05,12.87,0.13,1.07
しっかり,14,0.05,8.91,0.13,1.55
かん,14,0.05,10.89,0.13,1.27
お客,14,0.05,12.87,0.13,1.07
スタート,14,0.05,9.9,0.13,1.4
食べる,14,0.05,13.86,0.13,1.0
卵,14,0.05,9.9,0.13,1.4
巻物,14,0.05,8.91,0.13,1.55
達,14,0.05,7.92,0.13,1.75
でも,14,0.05,11.88,0.13,1.16
黒,14,0.05,9.9,0.13,1.4
特に,14,0.05,11.88,0.13,1.16
飲ん,14,0.05,10.89,0.13,1.27
超,13,0.04,8.91,0.12,1.44
伺う,13,0.04,12.87,0.12,1.0
イワシ,13,0.04,8.91,0.12,1.44
シャンパーニュ,13,0.04,10.89,0.12,1.18
あと,13,0.04,7.92,0.12,1.62
まぐろ,13,0.04,8.91,0.12,1.44
ぴょう,13,0.04,9.9,0.12,1.3
毎回,13,0.04,9.9,0.12,1.3
しまう,13,0.04,10.89,0.12,1.18
身,13,0.04,7.92,0.12,1.62
お茶,13,0.04,8.91,0.12,1.44
あまり,13,0.04,10.89,0.12,1.18
干瓢,13,0.04,9.9,0.12,1.3
からすみ,13,0.04,9.9,0.12,1.3
手渡し,13,0.04,9.9,0.12,1.3
違う,13,0.04,10.89,0.12,1.18
お客様,13,0.04,7.92,0.12,1.62
しれ,13,0.04,11.88,0.12,1.08
氏,13,0.04,3.96,0.12,3.25
ステーキ,13,0.04,7.92,0.12,1.62
創作,13,0.04,3.96,0.12,3.25
過ぎ,13,0.04,9.9,0.12,1.3
あれ,13,0.04,9.9,0.12,1.3
こんな,13,0.04,6.93,0.12,1.85
器,13,0.04,10.89,0.12,1.18
旨い,13,0.04,3.96,0.12,3.25
鰹,12,0.04,9.9,0.11,1.2
梅,12,0.04,10.89,0.11,1.09
困難,12,0.04,10.89,0.11,1.09
更に,12,0.04,6.93,0.11,1.71
良く,12,0.04,10.89,0.11,1.09
力,12,0.04,9.9,0.11,1.2
吟醸,12,0.04,5.94,0.11,2.0
北海道,12,0.04,7.92,0.11,1.5
コース,12,0.04,8.91,0.11,1.33
合う,12,0.04,10.89,0.11,1.09
待っ,12,0.04,10.89,0.11,1.09
すべて,12,0.04,9.9,0.11,1.2
多い,12,0.04,8.91,0.11,1.33
イカ,12,0.04,5.94,0.11,2.0
谷,12,0.04,7.92,0.11,1.5
人気,12,0.04,8.91,0.11,1.33
和え,12,0.04,5.94,0.11,2.0
こだわり,12,0.04,9.9,0.11,1.2
味わい,12,0.04,7.92,0.11,1.5
ビール,12,0.04,7.92,0.11,1.5
ただ,12,0.04,8.91,0.11,1.33
無い,12,0.04,9.9,0.11,1.2
みたい,12,0.04,6.93,0.11,1.71
出さ,12,0.04,9.9,0.11,1.2
所,11,0.04,6.93,0.1,1.57
始まり,11,0.04,9.9,0.1,1.1
ボタン,11,0.04,7.92,0.1,1.37
良かっ,11,0.04,6.93,0.1,1.57
車海老,11,0.04,9.9,0.1,1.1
白魚,11,0.04,6.93,0.1,1.57
あん,11,0.04,5.94,0.1,1.83
のど,11,0.04,7.92,0.1,1.37
松葉,11,0.04,8.91,0.1,1.22
入り,11,0.04,10.89,0.1,1.0
素敵,11,0.04,8.91,0.1,1.22
頂く,11,0.04,6.93,0.1,1.57
桜,11,0.04,4.95,0.1,2.2
なかなか,11,0.04,9.9,0.1,1.1
約,11,0.04,9.9,0.1,1.1
記憶,11,0.04,6.93,0.1,1.57
ハマグリ,11,0.04,6.93,0.1,1.57
しまっ,11,0.04,10.89,0.1,1.0
驚き,11,0.04,9.9,0.1,1.1
有名,11,0.04,8.91,0.1,1.22
肉,11,0.04,5.94,0.1,1.83
",",11,0.04,8.91,0.1,1.22
お誘い,11,0.04,10.89,0.1,1.0
せる,11,0.04,9.9,0.1,1.1
高,11,0.04,10.89,0.1,1.0
椀,11,0.04,4.95,0.1,2.2
９,11,0.04,7.92,0.1,1.37
満席,11,0.04,7.92,0.1,1.37
頃,11,0.04,7.92,0.1,1.37
アワビ,11,0.04,5.94,0.1,1.83
