頻出単語,登場回数,登場回数/全単語数(24358)%,登場レビュー率 /(66本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
た,974,3.99,98.5,14.53,14.75
お,443,1.81,95.52,6.61,6.92
です,441,1.81,85.07,6.58,7.73
し,344,1.41,89.55,5.13,5.73
ます,297,1.21,80.59,4.43,5.5
な,272,1.11,88.05,4.05,4.61
まし,271,1.11,73.13,4.04,5.53
の,239,0.98,94.02,3.56,3.79
さん,209,0.85,76.11,3.11,4.09
ない,206,0.84,85.07,3.07,3.61
酒,189,0.77,80.59,2.82,3.5
三谷,182,0.74,74.62,2.71,3.64
さ,157,0.64,70.14,2.34,3.34
ん,153,0.62,62.68,2.28,3.64
予約,151,0.61,74.62,2.25,3.02
い,146,0.59,68.65,2.17,3.17
で,145,0.59,77.61,2.16,2.78
こと,140,0.57,64.17,2.08,3.25
いる,129,0.52,65.67,1.92,2.93
だ,129,0.52,64.17,1.92,3.0
でし,120,0.49,53.73,1.79,3.33
れ,113,0.46,62.68,1.68,2.69
料理,113,0.46,62.68,1.68,2.69
年,111,0.45,68.65,1.65,2.41
店,111,0.45,65.67,1.65,2.52
もの,106,0.43,50.74,1.58,3.11
握り,106,0.43,56.71,1.58,2.78
ませ,83,0.34,49.25,1.23,2.51
この,83,0.34,47.76,1.23,2.59
鮪,83,0.34,37.31,1.23,3.32
う,81,0.33,50.74,1.2,2.38
そう,81,0.33,46.26,1.2,2.61
あり,76,0.31,47.76,1.13,2.37
私,75,0.3,47.76,1.11,2.34
鮨,75,0.3,49.25,1.11,2.27
つまみ,74,0.3,34.32,1.1,3.21
寿司,74,0.3,41.79,1.1,2.64
中,72,0.29,47.76,1.07,2.25
ある,72,0.29,55.22,1.07,1.94
食べ,72,0.29,50.74,1.07,2.11
一,72,0.29,46.26,1.07,2.32
巻き,70,0.28,31.34,1.04,3.33
ワイン,69,0.28,47.76,1.02,2.15
美味しい,68,0.27,44.77,1.01,2.26
する,66,0.27,49.25,0.98,2.0
(,66,0.27,25.37,0.98,3.88
産,64,0.26,17.91,0.95,5.33
1,64,0.26,43.28,0.95,2.2
よう,63,0.25,46.26,0.94,2.03
方,61,0.25,50.74,0.91,1.79
たい,58,0.23,49.25,0.86,1.75
雲丹,56,0.22,28.35,0.83,2.94
なく,56,0.22,47.76,0.83,1.75
屋,56,0.22,46.26,0.83,1.8
.,56,0.22,19.4,0.83,4.3
感じ,56,0.22,43.28,0.83,1.93
日本,53,0.21,46.26,0.79,1.7
人,53,0.21,35.82,0.79,2.2
これ,51,0.2,46.26,0.76,1.64
なっ,51,0.2,46.26,0.76,1.64
トロ,50,0.2,32.83,0.74,2.27
１,50,0.2,22.38,0.74,3.33
訪問,48,0.19,37.31,0.71,1.92
その,48,0.19,35.82,0.71,2.0
穴子,47,0.19,23.88,0.7,2.93
また,47,0.19,44.77,0.7,1.56
今回,47,0.19,29.85,0.7,2.35
き,47,0.19,37.31,0.7,1.88
時間,46,0.18,29.85,0.68,2.3
ご,46,0.18,34.32,0.68,2.0
肝,45,0.18,31.34,0.67,2.14
２,45,0.18,23.88,0.67,2.81
感,45,0.18,37.31,0.67,1.8
-,44,0.18,5.97,0.65,11.0
白子,43,0.17,29.85,0.64,2.15
的,43,0.17,34.32,0.64,1.86
事,42,0.17,28.35,0.62,2.21
日,42,0.17,31.34,0.62,2.0
脂,42,0.17,28.35,0.62,2.21
思い,41,0.16,31.34,0.61,1.95
そして,41,0.16,37.31,0.61,1.64
それ,41,0.16,35.82,0.61,1.7
鯛,41,0.16,20.89,0.61,2.92
炙り,40,0.16,23.88,0.59,2.5
せ,40,0.16,32.83,0.59,1.81
鮑,40,0.16,22.38,0.59,2.66
ご飯,40,0.16,29.85,0.59,2.0
2,40,0.16,32.83,0.59,1.81
最高,40,0.16,37.31,0.59,1.6
合わせ,39,0.16,37.31,0.58,1.56
良い,39,0.16,35.82,0.58,1.62
でしょ,39,0.16,31.34,0.58,1.85
楽しみ,39,0.16,34.32,0.58,1.69
味,39,0.16,28.35,0.58,2.05
笑,39,0.16,23.88,0.58,2.43
席,39,0.16,38.8,0.58,1.5
出,39,0.16,35.82,0.58,1.62
白,38,0.15,34.32,0.56,1.65
時,38,0.15,31.34,0.56,1.8
いただき,37,0.15,25.37,0.55,2.17
前,36,0.14,35.82,0.53,1.5
ウニ,36,0.14,25.37,0.53,2.11
なり,36,0.14,32.83,0.53,1.63
にぎり,36,0.14,13.43,0.53,4.0
マグロ,35,0.14,19.4,0.52,2.69
昆布,35,0.14,34.32,0.52,1.52
キャビア,35,0.14,26.86,0.52,1.94
こちら,35,0.14,31.34,0.52,1.66
れる,35,0.14,38.8,0.52,1.34
後,34,0.13,34.32,0.5,1.47
たら,34,0.13,34.32,0.5,1.47
だっ,33,0.13,32.83,0.49,1.5
頂き,33,0.13,16.41,0.49,3.0
目,33,0.13,28.35,0.49,1.73
素材,33,0.13,29.85,0.49,1.65
スープ,32,0.13,22.38,0.47,2.13
3,32,0.13,22.38,0.47,2.13
円,32,0.13,28.35,0.47,1.68
酢,32,0.13,20.89,0.47,2.28
ここ,31,0.12,35.82,0.46,1.29
品,31,0.12,25.37,0.46,1.82
ず,31,0.12,22.38,0.46,2.06
ネタ,31,0.12,28.35,0.46,1.63
初めて,31,0.12,25.37,0.46,1.82
赤,31,0.12,20.89,0.46,2.21
海老,31,0.12,22.38,0.46,2.06
何,30,0.12,29.85,0.44,1.5
シャンパン,30,0.12,26.86,0.44,1.66
気,30,0.12,34.32,0.44,1.3
カウンター,29,0.11,35.82,0.43,1.2
本当に,29,0.11,26.86,0.43,1.61
今,29,0.11,29.85,0.43,1.45
あっ,29,0.11,31.34,0.43,1.38
思っ,29,0.11,31.34,0.43,1.38
なら,28,0.11,31.34,0.41,1.33
数,28,0.11,25.37,0.41,1.64
黒,28,0.11,26.86,0.41,1.55
かなり,28,0.11,28.35,0.41,1.47
くれ,27,0.11,26.86,0.4,1.5
伺い,27,0.11,26.86,0.4,1.5
とても,27,0.11,25.37,0.4,1.58
焼き,26,0.1,22.38,0.38,1.73
好き,26,0.1,32.83,0.38,1.18
熟成,26,0.1,23.88,0.38,1.62
大将,26,0.1,20.89,0.38,1.85
回,26,0.1,14.92,0.38,2.6
香り,26,0.1,14.92,0.38,2.6
卵,26,0.1,25.37,0.38,1.52
思う,26,0.1,23.88,0.38,1.62
魚,26,0.1,20.89,0.38,1.85
揚げ,25,0.1,19.4,0.37,1.92
シャリ,25,0.1,23.88,0.37,1.56
もう,25,0.1,22.38,0.37,1.66
鯖,25,0.1,22.38,0.37,1.66
12,24,0.09,17.91,0.35,2.0
月,24,0.09,20.89,0.35,1.71
先,24,0.09,22.38,0.35,1.6
),24,0.09,16.41,0.35,2.18
られ,24,0.09,28.35,0.35,1.26
マリアージュ,24,0.09,23.88,0.35,1.5
～,24,0.09,22.38,0.35,1.6
お客,24,0.09,20.89,0.35,1.71
印象,24,0.09,25.37,0.35,1.41
米,23,0.09,16.41,0.34,2.09
大,23,0.09,20.89,0.34,1.64
飲み,23,0.09,22.38,0.34,1.53
素晴らしい,23,0.09,23.88,0.34,1.43
入れ,23,0.09,28.35,0.34,1.21
任せ,23,0.09,23.88,0.34,1.43
一番,23,0.09,26.86,0.34,1.27
他,23,0.09,19.4,0.34,1.76
仕事,23,0.09,22.38,0.34,1.53
本日,23,0.09,4.47,0.34,7.66
身,23,0.09,10.44,0.34,3.28
なかっ,22,0.09,26.86,0.32,1.22
取れ,22,0.09,25.37,0.32,1.29
夜,22,0.09,26.86,0.32,1.22
満足,22,0.09,17.91,0.32,1.83
こ,22,0.09,19.4,0.32,1.69
煮,22,0.09,14.92,0.32,2.2
ソース,22,0.09,19.4,0.32,1.69
くる,22,0.09,23.88,0.32,1.37
感動,22,0.09,20.89,0.32,1.57
ステーキ,22,0.09,17.91,0.32,1.83
海胆,22,0.09,4.47,0.32,7.33
カラス,21,0.08,13.43,0.31,2.33
ミ,21,0.08,13.43,0.31,2.33
なる,21,0.08,26.86,0.31,1.16
かけ,21,0.08,20.89,0.31,1.5
分,21,0.08,22.38,0.31,1.4
口,21,0.08,20.89,0.31,1.5
出汁,21,0.08,16.41,0.31,1.9
度,21,0.08,20.89,0.31,1.5
少し,21,0.08,16.41,0.31,1.9
出来,21,0.08,19.4,0.31,1.61
うに,21,0.08,11.94,0.31,2.62
いい,21,0.08,20.89,0.31,1.5
干瓢,21,0.08,13.43,0.31,2.33
海苔,20,0.08,22.38,0.29,1.33
いただい,20,0.08,16.41,0.29,1.81
以上,20,0.08,20.89,0.29,1.42
ぶり,20,0.08,16.41,0.29,1.81
幸せ,20,0.08,16.41,0.29,1.81
しまい,20,0.08,23.88,0.29,1.25
種類,20,0.08,19.4,0.29,1.53
小,20,0.08,16.41,0.29,1.81
食事,20,0.08,16.41,0.29,1.81
よく,20,0.08,20.89,0.29,1.42
8,20,0.08,14.92,0.29,2.0
主人,20,0.08,16.41,0.29,1.81
ところ,19,0.07,20.89,0.28,1.35
玉子,19,0.07,20.89,0.28,1.35
０,19,0.07,14.92,0.28,1.9
出し,19,0.07,23.88,0.28,1.18
３,19,0.07,19.4,0.28,1.46
おり,19,0.07,11.94,0.28,2.37
常連,19,0.07,17.91,0.28,1.58
しれ,19,0.07,19.4,0.28,1.46
だろ,19,0.07,25.37,0.28,1.11
食,19,0.07,20.89,0.28,1.35
でき,19,0.07,20.89,0.28,1.35
ランチ,19,0.07,22.38,0.28,1.26
鰹,19,0.07,20.89,0.28,1.35
しっかり,19,0.07,14.92,0.28,1.9
店内,19,0.07,23.88,0.28,1.18
