頻出単語,出現回数
です,56
ない,44
マグロ,39
ます,37
トロ,32
握り,29
さん,28
ある,27
きよ,24
こと,24
赤身,21
この,20
から,19
まし,18
旨味,17
巻き,17
もの,15
食べ,15
寿司,13
最高,13
いる,13
ませ,12
まぐろ,11
素晴らしい,11
酸味,11
代目,10
また,10
その,10
香り,10
まで,10
でしょ,9
そして,9
たい,9
コハダ,9
銀座,9
これ,9
雲丹,9
白洲,9
木村,8
でし,8
よう,8
ネタ,8
鉄火,8
など,8
親方,8
つまみ,8
あり,8
られる,7
とろ,7
穴子,7
する,7
高級,7
こはだ,7
ここ,7
感じ,7
シャリ,7
いい,7
思う,7
思い,6
という,6
頂い,6
大間,6
炙り,6
伝説,6
れる,6
バランス,6
られ,6
よい,6
雰囲気,6
だっ,6
良い,6
おいしい,6
なく,6
上品,6
あっ,6
大将,5
初めて,5
こちら,5
ほど,5
ので,5
かも,5
赤貝,5
でも,5
熟成,5
あわび,5
連続,5
紹介,5
最後,5
独特,5
風味,5
くる,5
主人,5
感動,5
吉沢,4
伺い,4
しか,4
どれ,4
いくら,4
うに,4
車海老,4
本日,4
食べる,4
有名,4
そう,4
絶品,4
満足,4
蒸し,4
好き,4
アジ,4
ひらめ,4
締め,4
さば,4
しっかり,4
甘味,4
かっぱ,4
かん,4
よく,4
ヒラメ,4
やはり,4
なる,4
ウニ,4
邪魔,4
一見,4
予約,4
行き,4
しかし,4
より,4
もちろん,4
けど,4
江戸前,4
もう,4
極上,4
爽やか,4
言え,4
素材,4
なん,4
美味しかっ,4
本当に,4
わけ,4
でき,4
って,4
時代,4
新津,4
いつも,4
空間,4
ぶり,3
殆ど,3
しれ,3
に関して,3
離れ,3
美味しく,3
小柱,3
出来る,3
おまかせ,3
コース,3
職人,3
として,3
言わ,3
柔らかく,3
強い,3
海苔,3
勧め,3
握っ,3
昆布,3
霜降り,3
玉子,3
ぴょう,3
日本,3
いただい,3
こだわり,3
入る,3
シンプル,3
カウンター,3
くらい,3
とも,3
日本一,3
名店,3
自分,3
それ,3
主役,3
言う,3
とか,3
じゃ,3
あと,3
近く,3
高い,3
