頻出単語,出現回数
です,30
まし,28
ます,19
から,16
ない,15
握り,13
ので,12
ある,11
食べ,10
ネタ,10
たい,9
いつも,9
という,9
こと,9
さん,9
まつ,8
寿司,8
いる,7
予約,7
これ,7
トロ,7
思い,7
麻布,7
雰囲気,6
じゃ,6
この,6
また,6
こちら,6
つまみ,6
行っ,6
あり,6
なく,5
ここ,5
穴子,5
れる,5
店内,5
でし,5
ませ,5
昼間,4
もの,4
美味しい,4
だっ,4
ウニ,4
良い,4
たら,4
注文,4
なり,4
カウンター,4
巻物,4
ランチ,4
あっ,4
よう,4
まあ,4
たり,4
いう,3
近所,3
今回,3
初めて,3
なし,3
けど,3
なっ,3
だけ,3
最初,3
イクラ,3
なる,3
玉子,3
外国,3
など,3
ホテル,3
お願い,3
元気,3
しよ,3
お昼,3
伺い,3
頂き,3
仕事,3
日本,3
満足,3
すぎ,3
でき,3
やや,3
吉祥寺,3
行き,3
って,3
感じ,3
以上,3
ごちそうさま,3
巻き,3
なら,3
お世話,3
ばかり,2
連れ,2
まで,2
満席,2
いっ,2
大衆,2
する,2
リーズナブル,2
くらい,2
大好き,2
より,2
小柱,2
ほど,2
漬け,2
イカ,2
入っ,2
江戸,2
味噌汁,2
焼き,2
やっぱり,2
特徴,2
聞い,2
紹介,2
混ん,2
でる,2
もらい,2
今度,2
麻布十番,2
以前,2
よく,2
久しぶり,2
迎え,2
任せ,2
昆布,2
締め,2
軍艦,2
赤身,2
レベル,2
高い,2
再訪,2
なんとなく,2
入り,2
とう,2
たく,2
ワイン,2
ところ,2
ウマ,2
シャリ,2
グッド,2
大将,2
楽しく,2
良心,2
テーブル,2
たち,2
コース,2
大き,2
どうしても,2
にぎやか,2
食事,2
系列,2
思う,2
板前,2
共通,2
普通,2
一番,2
充実,2
コストパフォーマンス,2
いい,2
なん,2
良かっ,2
どれ,2
小ぶり,2
気持ち,2
海老,2
鉄火,2
つい,2
ものの,2
べき,2
特に,2
のっ,2
しまっ,2
場所,2
ぶどう,2
飲み,2
とても,2
にぎり,2
おまかせ,2
最後,2
なに,2
しっかり,2
いただい,2
予想,2
午前,1
ドイツ,1
帰国,1
営業,1
飛び込ん,1
のに,1
なかなか,1
タイミング,1
難しい,1
存在,1
わざわざ,1
前もって,1
気持,1
なれ,1
こういう,1
ふらっと,1
立ち寄り,1
だけど,1
体験,1
思っ,1
ただ,1
本気,1
価値,1
盛り上がっ,1
はず,1
会計,1
当たり,1
...,1
ビール,1
過ぎ,1
一品,1
味噌,1
たっぷり,1
ズワイガニ,1
軽く,1
ソテー,1
白子,1
カキ,1
さより,1
香ばしい,1
コハダ,1
ねっとり,1
江戸前,1
印象,1
絶賛,1
七味,1
っぽい,1
デザート,1
タレ,1
好き,1
一つ,1
とにかく,1
多い,1
みる,1
全員,1
なぜ,1
六本木,1
グランドハイアット,1
恵比寿,1
ウェスティン,1
近隣,1
だそ,1
てる,1
わけ,1
張る,1
国際,1
支持,1
凄い,1
だから,1
納得,1
威勢,1
職人,1
利用,1
どき,1
界隈,1
ぶらぶら,1
歩い,1
伺っ,1
通りかかり,1
みよ,1
およそ,1
ぶり,1
知っ,1
くれ,1
しかし,1
皆さん,1
取り,1
ねえ,1
本日,1
頂い,1
以下,1
平目,1
泥障,1
烏賊,1
本当に,1
美味しかっ,1
近い,1
うち,1
やす,1
そう,1
玄関,1
平日,1
休み,1
カニ,1
うーん,1
すすみ,1
嬉しい,1
勝沼,1
醸造,1
やはり,1
料理,1
合い,1
ちょうど,1
開始,1
ふんわり,1
会話,1
やすい,1
価格,1
日曜日,1
突然,1
オーダー,1
ゃり,1
小さ目,1
写真,1
提供,1
まさかの,1
少し,1
驚き,1
好み,1
言え,1
貝類,1
白身,1
仕方,1
小さ,1
厚み,1
そこそこ,1
あと,1
おなか,1
たかっ,1
しんこ,1
追加,1
でも,1
常連,1
活気,1
に対して,1
従業,1
たくさん,1
待たさ,1
スムーズ,1
かん,1
飲食,1
集まる,1
一角,1
おそらく,1
名前,1
付く,1
くれる,1
構成,1
グループ,1
敷物,1
出さ,1
程度,1
ねた,1
とも,1
しめ,1
温度,1
すぎる,1
なあ,1
感じる,1
いくつ,1
きり,1
塗る,1
形式,1
それほど,1
入れ,1
下町,1
気楽,1
食べる,1
向い,1
銀座,1
勘八,1
その,1
飲め,1
土地,1
考える,1
抜群,1
親方,1
岡田,1
真澄,1
新太郎,1
足し,1
割っ,1
みたい,1
ちょっと,1
緊張,1
あたりまえ,1
客層,1
違い,1
グルメ,1
行く,1
せっかく,1
本店,1
敷居,1
お客,1
地元,1
できる,1
ビジネスマン,1
飛び交っ,1
想像,1
大きく,1
ハタ,1
アジ,1
サヨリ,1
雲丹,1
ネギ,1
キュウ,1
あたり,1
ボリューム,1
上品,1
対照,1
強く,1
絞り込ん,1
山芋,1
漬物,1
ガリ,1
はじまり,1
キス,1
それ,1
吸い物,1
として,1
値段,1
妥当,1
特筆,1
あら,1
しいて,1
言う,1
おり,1
甘み,1
広がっ,1
淡白,1
至っ,1
薬品,1
残っ,1
説明,1
なかっ,1
あの,1
居合わせ,1
限り,1
いける,1
～‼,1
普段,1
ほとんど,1
ぜんぜん,1
わから,1
スマホ,1
地図,1
アプリ,1
使い,1
なんと,1
かお,1
到着,1
まずは,1
瓶ビール,1
乾杯,1
(^_^)／▼☆▼＼(^_^),1
飲む,1
最近,1
やっと,1
わかっ,1
しまい,1
記憶,1
(^^;,1
気さく,1
楽しい,1
ありがとう,1
ござい,1
挨拶,1
気持ちいい,1
いらっしゃい,1
むかえ,1
もらえ,1
んで,1
だいたい,1
にぎっ,1
もらっ,1
サクッ,1
時間,1
以内,1
帰り,1
づくし,1
茶碗蒸し,1
好物,1
たべ,1
いき,1
まだまだ,1
若く,1
知ら,1
時分,1
ホヤ,1
このわた,1
ノレソレ,1
シンコ,1
そして,1
流儀,1
作法,1
なんか,1
教え,1
個人,1
大変,1
恩義,1
勝手,1
気軽,1
凝る,1
友人,1
誕生,1
自腹,1
料金,1
どんなに,1
勿論,1
ちょっとした,1
利い,1
確か,1
高級,1
結構,1
本来,1
こう,1
ぐらい,1
チン,1
タラ,1
飲ん,1
ダラダラ,1
長居,1
いけ,1
座れる,1
配慮,1
ましょ,1
肥え,1
ジェントルマン,1
わくわく,1
たがわ,1
いえ,1
おいしかっ,1
家族,1
楽しめる,1
主人,1
気風,1
それぞれ,1
らしく,1
楽しかっ,1
むら,1
さき,1
使う,1
いただか,1
馬糞,1
うに,1
濃く,1
替り,1
あて,1
出し,1
文字通り,1
塩梅,1
良く,1
足す,1
必要,1
フレンチ,1
どう,1
悩ん,1
選択,1
次回,1
東京,1
ところで,1
出張,1
サービス,1
度々,1
こんな,1
もらえる,1
きょう,1
うらやましい,1
なぁ,1
日曜,1
かなり,1
込ん,1
待つ,1
座れ,1
愛想,1
清潔,1
丁寧,1
新鮮,1
非常,1
ながら,1
いただき,1
