頻出単語,出現回数
です,441
ます,297
まし,271
さん,209
ない,206
三谷,182
予約,151
から,150
こと,140
いる,129
でし,120
料理,113
もの,106
握り,106
ので,99
ませ,83
この,83
そう,81
あり,76
つまみ,74
寿司,74
ある,72
食べ,72
巻き,70
ワイン,69
美味しい,68
する,66
よう,63
という,63
まで,59
たい,58
雲丹,56
なく,56
感じ,56
日本,53
これ,51
なっ,51
トロ,50
だけ,50
訪問,48
その,48
穴子,47
また,47
今回,47
時間,46
白子,43
でも,43
思い,41
そして,41
なり,41
それ,41
炙り,40
ご飯,40
最高,40
合わせ,39
良い,39
でしょ,39
楽しみ,39
いただき,37
ウニ,36
マグロ,35
昆布,35
キャビア,35
にぎり,35
こちら,35
れる,35
たら,34
って,34
だっ,33
頂き,33
素材,33
スープ,32
ここ,31
ネタ,31
初めて,31
海老,31
シャンパン,30
カウンター,29
本当に,29
あっ,29
思っ,29
なら,28
かなり,28
くれ,27
伺い,27
とても,27
焼き,26
好き,26
熟成,26
かも,26
大将,26
香り,26
など,26
思う,26
たり,26
揚げ,25
シャリ,25
もう,25
られ,24
マリアージュ,24
お客,24
けど,24
印象,24
飲み,23
素晴らしい,23
入れ,23
任せ,23
一番,23
仕事,23
本日,23
なかっ,22
取れ,22
満足,22
ソース,22
くる,22
感動,22
ステーキ,22
海胆,22
カラス,21
なる,21
かけ,21
より,21
ほど,21
出汁,21
少し,21
出来,21
うに,21
いい,21
干瓢,21
海苔,20
いただい,20
以上,20
ぶり,20
幸せ,20
しまい,20
種類,20
食事,20
よく,20
主人,20
ところ,19
玉子,19
出し,19
おり,19
として,19
常連,19
しれ,19
だろ,19
でき,19
ランチ,19
しっかり,19
店内,19
てる,19
ながら,18
銚子,18
締め,18
ちょっと,18
同じ,18
グラス,18
次回,18
もちろん,18
いつも,18
全て,18
しか,18
くれる,18
待ち,18
今日,18
高い,18
自分,18
すべて,18
最初,17
大間,17
漬け,17
電話,17
お昼,17
邪魔,17
行っ,17
来年,17
伺っ,17
ご馳走様,17
良かっ,17
づけ,17
甘い,17
一つ,17
からすみ,17
できる,16
コハダ,16
ぐろ,16
好み,16
美味し,16
頂い,16
ござい,16
コース,16
のみ,16
食材,16
蒸し,16
のに,16
かん,16
食べる,16
ただ,16
味わい,16
使っ,15
吟醸,15
赤身,15
色々,15
おまかせ,15
四ツ谷,15
お客様,15
ため,15
今年,15
一品,15
和え,15
なぁ,15
ヶ月,15
雰囲気,15
絶妙,15
北海道,14
最後,14
のど,14
旨味,14
言っ,14
東京,14
提供,14
接客,14
相性,14
お願い,14
アワビ,14
とか,14
どれ,14
人気,14
赤貝,14
カマ,13
によって,13
絶品,13
考え,13
すぎ,13
毎回,13
高級,13
良く,13
蝦蛄,13
唐墨,13
値段,13
期待,13
お茶,13
聞い,13
違う,13
ハマグリ,13
写真,13
やはり,12
世界,12
まずは,12
江戸前,12
カワハギ,12
シャンパーニュ,12
こはだ,12
入り,12
贅沢,12
美味しく,12
いう,12
組み合わせ,12
強い,12
シャコ,12
多い,12
勧め,12
半年,12
のせ,11
白魚,11
あん,11
あと,11
至福,11
言わ,11
紀尾井町,11
ください,11
素敵,11
スタイル,11
ビール,11
状態,11
前回,11
ぴょう,11
相当,11
しかし,11
飲ん,11
そんな,11
なんて,11
おいしい,11
四谷,11
姿勢,11
当然,11
温度,11
会計,11
あまり,11
当日,11
全く,11
)。,11
エビ,10
美味しかっ,10
入っ,10
たくさん,10
たっぷり,10
どう,10
スタート,10
毛蟹,10
言う,10
まぐろ,10
しまう,10
待っ,10
勉強,10
言葉,10
創作,10
違い,10
多く,10
入る,10
青柳,10
丁寧,10
飲む,10
残っ,10
こんな,10
レベル,10
イカ,10
新鮮,10
友人,10
あわせ,10
取り,9
車海老,9
行き,9
これから,9
常に,9
内容,9
せる,9
空間,9
気持ち,9
行く,9
いっ,9
くらい,9
乗せ,9
濃厚,9
それぞれ,9
なんと,9
感じる,9
(^^;;,9
始まり,9
手渡し,9
受け,9
巻物,9
よい,9
ばかり,9
一緒,9
無い,9
究極,9
連れ,9
もっと,9
添え,9
嬉しい,8
イワシ,8
ありがとう,8
キャンセル,8
堪能,8
自身,8
か月,8
驚き,8
再訪,8
子持ち,8
バランス,8
お腹,8
なかなか,8
伺う,8
さすが,8
困難,8
予定,8
ぐらい,8
しかも,8
さて,8
ビックリ,8
帰り,8
満席,8
満腹,8
馬糞,8
なし,8
頂く,8
過ぎ,8
大好き,8
忘れ,8
特に,8
られる,8
烏賊,8
日本人,8
ごはん,8
季節,8
フカ,8
ヒレ,8
金目,8
店主,8
以下,8
わけ,8
♪【,8
気配り,8
レア,8
出さ,8
ホタテ,8
合わせる,7
続い,7
前半,7
必要,7
笑顔,7
montrachet,7
上品,7
凄い,7
～、,7
墨烏賊,7
ビレ,7
もらっ,7
数々,7
極上,7
弟子,7
くださる,7
しまっ,7
加減,7
やっぱり,7
鉄火,7
いっぱい,7
醤油,7
引き出し,7
考える,7
個人,7
完全,7
紹介,7
週間,7
じゃ,7
あの,7
久々,7
中心,7
合う,7
普通,7
ペース,7
通り,7
まだ,7
モダン,7
説明,7
結構,7
いき,7
あれ,7
変え,7
らしい,7
網走,7
程度,7
とともに,7
いろいろ,7
っと,7
美しい,7
秋刀魚,7
こだわり,7
ずつ,7
筋子,7
氷見,7
レビュー,7
のっ,7
ごちそうさま,7
つけ,7
味噌,7
異なる,7
美味い,7
◯「,7
ログ,7
小柱,7
カツオ,6
ボタン,6
グロ,6
迎え,6
平目,6
ヅケ,6
いけ,6
基本,6
アルコール,6
と共に,6
少ない,6
劇場,6
十分,6
暫く,6
直接,6
店舗,6
とき,6
時期,6
以外,6
ずっと,6
ふわっと,6
つつ,6
柔らかく,6
部分,6
おら,6
残念,6
ちょうど,6
たち,6
加え,6
居心地,6
言え,6
どんな,6
に関して,6
入れる,6
(^_^;),6
最近,6
楽しい,6
ツマミ,6
魅力,6
ひとつ,6
その後,6
失念,6
休み,6
挟ん,6
過ごせ,6
見える,6
松前,6
淡路島,6
とろ,6
かま,6
うち,6
楽しむ,6
飲ま,6
流れ,6
シンプル,6
仕入れ,6
もらい,6
会話,6
千葉,6
焦げ,6
お誘い,6
たかっ,6
勿論,6
一口,6
トリュフ,6
こんなに,6
リゾット,6
緊張,6
よかっ,6
大変,6
取っ,6
八戸,6
すじ,6
記憶,6
まあ,6
内臓,6
だし,6
変わる,6
相方,6
わい,6
経験,6
体調,5
乾杯,5
使わ,5
軽く,5
炙っ,5
館山,5
ノド,5
続き,5
ワールド,5
kg,5
フグ,5
香ばしく,5
余市,5
バチコ,5
綺麗,5
感謝,5
いらっしゃい,5
そのまま,5
タイミング,5
こだわっ,5
続け,5
にくい,5
意味,5
握っ,5
空気,5
おこ,5
使用,5
すごい,5
品数,5
みそ,5
お断り,5
楽しん,5
なんだか,5
トーク,5
四ッ谷,5
お代,5
定期,5
すっかり,5
正直,5
どちら,5
全体,5
追加,5
バフンウニ,5
銘柄,5
昼間,5
デザート,5
手が込ん,5
名店,5
イメージ,5
まま,5
ゲスト,5
変わっ,5
続ける,5
計算,5
いくら,5
どの,5
漁師,5
全国,5
甘み,5
助六,5
根室,5
旨い,5
木更津,5
仕込み,5
完成,5
聞き,5
サービス,5
強く,5
それでも,5
さっぱり,5
ごと,5
確認,5
驚く,5
後半,5
きん,5
人生,5
いや,5
白木,5
どこ,5
待つ,5
存在,5
酸味,5
