頻出単語,出現回数
です,192
ます,151
まし,136
ない,99
さん,91
から,70
握り,60
寿司,58
あり,55
この,53
ので,53
銀座,52
こと,52
ある,51
食べ,51
でし,50
いる,50
ランチ,47
コース,46
感じ,39
よう,37
美味しい,36
思い,35
なく,35
もの,35
という,33
だっ,31
まで,31
カウンター,30
シャリ,30
たい,29
これ,27
くれ,27
穴子,26
その,26
なっ,25
料理,25
いい,25
良い,25
とても,25
する,24
ネタ,23
いくら,23
デザート,23
また,23
ませ,22
こちら,22
入っ,22
職人,21
トロ,21
ちょっと,21
訪問,21
だけ,20
でも,20
そう,20
インターホン,20
玉子,19
予約,19
けど,18
ここ,18
印象,18
行っ,18
かも,18
美味,18
好み,17
より,17
ながら,17
でしょ,17
雰囲気,17
最後,17
ワイン,17
てる,17
れる,16
あっ,16
そして,16
ところ,16
なし,16
なら,15
巻き,15
なり,15
として,15
赤身,15
なかなか,15
られ,15
焼き,14
アイス,14
少し,14
よく,14
ほど,13
握っ,13
女性,13
香り,13
大将,13
入れ,13
ミシュラン,12
くらい,12
仕事,12
美味しかっ,12
通り,12
漬け,12
海老,12
素晴らしい,12
海胆,12
思う,12
サービス,12
頂き,12
満足,12
緊張,12
出汁,11
時間,11
インター,11
フォン,11
板前,11
それ,11
注文,11
マグロ,11
思っ,11
旨味,11
接客,11
美味しく,11
芙蓉,11
雲丹,11
しか,10
うに,10
先付け,10
すぎ,10
一つ,10
店内,10
包丁,10
つまみ,10
甘み,10
昆布,10
など,10
本当に,10
ちゃんと,10
刺身,10
一番,10
良かっ,10
酸味,10
ビール,9
おいしい,9
うまい,9
行き,9
自分,9
おり,9
いっ,9
って,9
ござい,9
シャーベット,9
一緒,9
大き,9
なあ,9
押し,9
お昼,9
できる,9
しまっ,9
のど,9
高い,9
メニュー,9
なる,9
頂い,9
付け,9
入り,9
最初,9
たら,9
食べる,8
オーダー,8
金目,8
かなり,8
ぶり,8
いう,8
かん,8
追加,8
とか,8
すぐ,8
多い,8
日本,8
巻物,8
丁寧,8
連れ,8
楽しめる,8
グラス,8
くる,8
残念,8
もう,8
もちろん,8
築地,8
大間,8
イクラ,8
本日,8
いただき,8
スタッフ,8
前回,8
普通,8
くれる,8
どれ,8
醤油,8
とっても,8
のみ,8
コロッケ,8
店主,8
山葵,8
こんな,7
意味,7
和食,7
違う,7
真ん中,7
満席,7
お願い,7
なかっ,7
お客,7
よい,7
入口,7
ソムリエ,7
路地,7
ガリ,7
によって,7
味噌汁,7
飲み,7
http,7
茶碗蒸し,7
炙っ,7
今回,7
さっぱり,7
電話,7
ウニ,7
しまい,7
以上,7
再訪,7
白身,7
好き,7
言っ,7
付ける,7
評価,7
なれ,7
合わせ,6
やはり,6
エビ,6
ぴょう,6
しまう,6
そんな,6
でき,6
全体,6
くださっ,6
たち,6
価格,6
みる,6
せい,6
たり,6
ワインセラー,6
にぎり,6
なんて,6
あー,6
旨み,6
まだ,6
あれ,6
炙り,6
車海老,6
石橋,6
海苔,6
セリ,6
ビル,6
白子,6
づけ,6
若い,6
伺い,6
たま,6
ぐろ,6
もらう,6
主人,6
イカ,6
小ぶり,6
みたい,6
優しい,6
さば,6
薄く,6
場所,6
料金,6
入る,6
素敵,6
といった,6
特に,6
常連,6
初めて,6
答え,6
強く,6
いつも,6
出し,6
初心者,6
にて,6
のに,6
悪く,6
歯応え,6
生姜,6
スタート,5
案内,5
小さな,5
まぐろ,5
旨い,5
バンコク,5
シンガポール,5
まあ,5
問題,5
入れる,5
最近,5
食事,5
担当,5
それなり,5
ランチタイム,5
以前,5
海外,5
店舗,5
思え,5
)☆,5
太刀魚,5
具合,5
させ,5
嬉しい,5
ほぼ,5
やっぱり,5
近い,5
黒糖,5
甘味,5
墨烏賊,5
ネギ,5
持っ,5
全く,5
溢れる,5
経験,5
親方,5
以外,5
種類,5
素材,5
熟成,5
それから,5
隠れ家,5
カツオ,5
ミニ,5
切り,5
高級,5
びっくり,5
ホタテ,5
まずまず,5
最高,5
干瓢,5
感じる,5
覚え,5
いか,5
入り口,5
シャネル,5
そういう,5
ため,5
なんだか,5
居心地,5
豆腐,5
クリーム,5
