頻出単語,出現回数
です,483
ます,368
まし,311
ない,259
握り,217
いる,200
から,187
熟成,175
寿司,166
ので,163
こと,157
でし,149
ランチ,139
食べ,137
ネタ,131
ある,128
あり,128
よう,127
シャリ,125
大将,111
これ,104
この,99
予約,98
すし,93
もの,92
ちらし,90
さん,89
する,87
という,87
美味しい,86
感じ,83
海老,81
その,81
たい,80
まで,79
そう,77
トロ,76
なく,75
カウンター,75
ませ,73
など,71
だけ,68
包丁,68
また,67
だっ,59
入れ,58
思い,58
こちら,57
でも,56
味噌汁,55
昆布,54
なっ,53
旨味,50
仕事,49
より,48
れる,48
られ,47
なる,46
いい,45
良い,45
六本木,44
ほど,43
ここ,43
ばら,43
けど,42
ながら,42
バラ,42
漬け,41
種類,41
かも,40
少し,40
雲丹,40
あっ,40
美味しかっ,40
今回,40
なり,40
ウニ,39
おり,39
なら,38
たら,38
コース,37
とても,37
訪問,36
時間,36
赤身,36
くらい,36
定食,36
締め,35
それ,35
でしょ,34
お昼,34
として,34
金目,34
玉子,34
ところ,33
写真,33
個室,32
江戸前,32
出し,32
かなり,32
でき,31
にぎり,31
マグロ,31
とか,31
よく,31
入っ,31
最高,30
香り,30
たり,30
くれ,30
なかっ,29
素晴らしい,29
出汁,29
初めて,29
濃厚,29
料理,29
非常,28
巻き,28
うに,28
満足,28
良く,28
好み,27
穴子,27
エビ,27
思っ,27
店内,27
って,26
甘み,26
西麻布,26
炙り,25
くる,25
海苔,25
再訪,25
焼き魚,25
なかなか,24
行っ,24
伺い,24
ため,24
しまい,24
ホタテ,23
そして,23
雰囲気,23
邪魔,23
お願い,23
しまう,23
週間,23
思う,23
貫目,23
しっかり,22
好き,22
高い,22
醤油,22
とき,21
通り,21
言っ,21
本当に,21
わけ,21
いただき,21
主人,21
しか,21
ズワイガニ,21
だろ,21
注文,20
店主,20
食べる,20
いく,20
てる,20
いう,20
つまみ,20
印象,20
最後,20
地下,20
なし,20
隠し,20
まあ,20
いただい,19
以上,19
行き,19
全て,19
丁寧,19
ねっとり,19
追加,19
どれ,19
づけ,18
提供,18
によって,18
のみ,18
高級,18
一番,18
味わい,18
親方,18
わい,18
感動,18
日本,18
出さ,18
ヶ月,17
多い,17
しれ,17
値段,17
絶品,17
のど,17
最初,17
ぐろ,17
説明,17
東京,17
甘味,17
バランス,17
よい,17
もちろん,17
しまっ,17
研究,17
美味し,17
一貫,17
行く,16
とろける,16
のに,16
楽しみ,16
頂い,16
サービス,16
素材,16
そこ,16
日間,16
旨み,16
繊維,16
無い,16
つけ,15
楽しめる,15
特に,15
技術,15
溶け,15
伺っ,15
ちょっと,15
カワハギ,15
ボタン,15
あら,15
頂き,15
美味しく,15
握っ,15
職人,15
自分,15
細かく,15
せる,15
酒肴,15
小鉢,15
今日,14
内容,14
それぞれ,14
風味,14
メニュー,14
巻物,14
焼き,14
事前,14
交互,14
軍艦,14
まだ,14
あと,14
有名,14
いき,14
甘く,14
いっ,14
アジ,14
良かっ,14
感じる,14
やはり,14
しかし,14
味噌,14
前回,14
すぎ,14
すぐ,14
みたい,13
出来,13
炙っ,13
とろけ,13
えび,13
使っ,13
同じ,13
イカ,13
瞬間,13
できる,13
カニ,13
くれる,13
入る,13
気持ち,13
ござい,13
おいしい,13
イクラ,13
代わり,13
人気,13
暖簾,13
ください,13
まずは,13
名刺,13
こだわり,13
乗せ,13
女性,12
こんな,12
過ぎ,12
具合,12
握る,12
そんな,12
とっても,12
ほた,12
すごい,12
かけ,12
たっぷり,12
満席,12
ヒラメ,12
焼き物,12
つつ,12
スタイル,12
もう,12
なん,12
安い,12
接客,12
たく,12
見え,12
色々,12
紹介,12
ご飯,12
シマ,12
全く,12
次回,12
すべて,12
ビール,12
一体,12
旨い,12
最近,11
残念,11
スタート,11
やり,11
大間,11
ノド,11
グロ,11
限定,11
残っ,11
あまり,11
いくら,11
すぎる,11
絶妙,11
聞い,11
じゃ,11
おまかせ,11
本木,11
普通,11
つい,11
あれ,11
たち,11
お茶,11
とも,11
ブログ,11
http,11
意味,11
チラシ,11
一緒,11
ただ,11
評価,11
是非,11
ほか,11
若い,10
状態,10
結構,10
レベル,10
っと,10
ぶり,10
たくさん,10
見た目,10
のっ,10
美味い,10
変化,10
お客様,10
入り,10
もらい,10
強い,10
といった,10
電話,10
新鮮,10
ヅケ,10
個人,10
忘れ,10
テーブル,10
中落ち,10
らし,10
藤永,10
やや,10
進化,10
言わ,10
平目,10
任せ,10
無し,10
られる,10
言う,10
ヒルズ,10
確か,10
期待,10
上品,9
本日,9
違う,9
入れる,9
自体,9
強め,9
変わっ,9
わかり,9
階段,9
大変,9
さて,9
違い,9
なんと,9
消え,9
以外,9
開店,9
乗っ,9
みる,9
感覚,9
綺麗,9
仕込み,9
価格,9
平日,9
ぐらい,9
富山,9
取れ,9
まさに,9
刺身,9
一品,9
烏賊,9
お話,9
言葉,9
ちゃ,9
存在,9
素晴らしく,9
贅沢,9
ひらめ,9
全体,9
子供,9
ばかり,9
にて,9
なんて,9
オーダー,9
レビュー,9
思わ,9
ちゃん,9
近い,8
のり,8
おき,8
車海老,8
やっぱり,8
大きく,8
個性,8
まぐろ,8
カステラ,8
抜群,8
サバ,8
飲み,8
弟子,8
hangover,8
いま,8
清潔,8
しかも,8
盛り,8
バス,8
相変わらず,8
ボリューム,8
やっ,8
塩焼き,8
作っ,8
せい,8
どう,8
寝かせ,8
プリプリ,8
らしい,8
ゆっくり,8
まったく,8
まるで,8
温度,8
うまみ,8
うま,8
かれ,8
最適,8
冷蔵庫,8
ピー,8
いきなり,7
べき,7
特徴,7
一つ,7
により,7
大きな,7
後ろ,7
もち,7
場所,7
わから,7
土曜日,7
選択,7
近く,7
始まり,7
コク,7
やすい,7
美味,7
きちんと,7
せっかく,7
臭み,7
入り口,7
唯一,7
なに,7
いただける,7
海胆,7
らち,7
はぎ,7
くださる,7
嬉しい,7
心配,7
うち,7
blog,7
売り切れ,7
正直,7
今度,7
どの,7
相性,7
長い,7
ディナー,7
楽しく,7
作ら,7
施さ,7
に対する,7
見事,7
同時に,7
たかっ,7
ガリ,7
出す,7
凝縮,7
一度,7
とにかく,7
しろ,7
柔らか,7
氷室,7
通常,7
引き出す,7
引き出し,7
新しい,7
出る,7
リーズナブル,7
会話,7
白い,7
カン,7
調和,7
魚介,7
白身,7
かた,7
しづ,7
ひと,7
ちゃんと,7
おいしく,7
過ごせ,6
男性,6
柔らかい,6
定番,6
手渡し,6
必要,6
落ち着い,6
茶碗蒸し,6
ほぐし,6
変わる,6
味わっ,6
おいしかっ,6
さらに,6
余韻,6
合う,6
甘い,6
楽しむ,6
ゃり,6
軽く,6
そのもの,6
一口,6
以下,6
焼い,6
全然,6
ごちそうさま,6
ログ,6
部屋,6
処理,6
細かい,6
出来る,6
行け,6
付き,6
ワイン,6
いっぱい,6
実際,6
あじ,6
いつも,6
たま,6
連れ,6
久々,6
ましょ,6
聞か,6
アプローチ,6
しっとり,6
小さめ,6
いえ,6
すでに,6
さすが,6
用意,6
驚き,6
以前,6
なあ,6
に対して,6
幸せ,6
こはだ,6
ズワイ,6
歩い,6
挨拶,6
受け,6
納得,6
変え,6
変わり,6
ずっと,6
含め,6
当然,6
ブレンド,6
限り,6
部分,6
多く,6
使い,6
なき,6
ほう,6
味わえ,6
後半,6
それでいて,6
優しい,6
かたち,6
魅力,6
欲しい,6
もっと,6
かす,6
いただけ,6
考える,6
させ,6
飲食,6
口当たり,6
完成,6
見る,6
驚く,6
ちょうど,6
ハーフ,6
らしく,6
伝わっ,6
衝撃,6
こんなに,6
ゆく,6
残る,6
子連れ,6
一言,6
使用,6
造り,6
顕微鏡,6
加え,6
オリジナル,6
可能,6
新た,6
かさ,6
つか,6
なれ,6
舎利,6
しみ,6
やかた,6
やう,6
だい,6
こそ,6
こう,6
イメージ,6
以来,6
硬直,6
考え,6
マカジキ,5
時期,5
---,5
しめ,5
切り,5
アラ,5
際立つ,5
くださっ,5
まず,5
いか,5
ネギ,5
思え,5
不思議,5
オリーブ,5
オイル,5
すごく,5
ジューシー,5
もはや,5
改めて,5
(^^♪,5
太刀魚,5
工夫,5
時半,5
入口,5
外国,5
塩加減,5
いれ,5
あなご,5
デザート,5
もん,5
とっ,5
たしか,5
ほとんど,5
ビル,5
塩梅,5
とろ,5
上質,5
間違い,5
はた,5
対応,5
飲み物,5
切っ,5
だし,5
時点,5
でんぶ,5
オープン,5
について,5
訪れ,5
山盛り,5
ご馳走様,5
たん,5
html,5
勿論,5
ごと,5
あっという間に,5
足り,5
調理,5
どこ,5
アナゴ,5
ブイヤベース,5
しかしながら,5
いただく,5
満腹,5
抜き,5
流れ,5
ちなみに,5
素晴らしかっ,5
詳細,5
更に,5
形状,5
わかる,5
江戸,5
素敵,5
台湾,5
普段,5
けれど,5
賛否,5
その後,5
タイミング,5
わん,5
完璧,5
鮮度,5
甲殻,5
付け,5
やら,5
知ら,5
懐石,5
既に,5
ムース,5
タネ,5
展開,5
伝統,5
ならでは,5
無く,5
徒歩,5
うまく,5
柔らかく,5
堪能,5
噛む,5
頂く,5
最大限,5
いずれ,5
いや,5
どうしても,5
強く,5
伺う,5
固め,5
世界,5
ほどけ,5
銀座,5
ちょっとした,5
至る,5
通い,5
無二,5
待っ,5
始め,5
現代,5
合わせ,5
漬臺,5
いち,5
異端,5
さわ,5
あるじ,5
行こ,5
楽しい,5
ラッキー,5
めし,5
いたし,5
死後,5
コストパフォーマンス,5
焼魚,5
英語,4
集中,4
蒸し,4
潮汁,4
さっぱり,4
繊細,4
なくなる,4
主張,4
ハム,4
わたし,4
スープ,4
ずつ,4
口コミ,4
少ない,4
結果,4
さき,4
多分,4
はず,4
投稿,4
エン,4
お客,4
楽しま,4
増し,4
香ばし,4
加減,4
だから,4
シャンパン,4
！#,4
mealhttps,4
eat,4
work,4
想像,4
ほうぼう,4
いわ,4
たて,4
タチウオ,4
ほぼ,4
どちら,4
置か,4
ブリ,4
通っ,4
ぜひ,4
おすすめ,4
路地,4
ツメ,4
巻か,4
しま,4
いらっしゃい,4
とり,4
珍しい,4
胡瓜,4
聞き,4
っぷり,4
どおり,4
テレビ,4
らく,4
姿勢,4
豊か,4
大人,4
ネコ,4
いろいろ,4
広がり,4
分かり,4
結局,4
乗り,4
凄い,4
っけ,4
静か,4
食事,4
混ぜ,4
深み,4
常連,4
美術館,4
決め,4
休日,4
求め,4
飾り,4
芳醇,4
飽き,4
感嘆,4
仕入れ,4
違っ,4
到着,4
早く,4
おい,4
豪華,4
複雑,4
逸品,4
酸味,4
濃い,4
アテ,4
作り,4
理由,4
自身,4
っ子,4
持っ,4
こんもり,4
舌触り,4
高め,4
小さく,4
終わっ,4
来店,4
すれ,4
なぁ,4
味付け,4
現在,4
当日,4
ものの,4
分かれる,4
今後,4
特有,4
付い,4
取っ,4
かん,4
大量,4
