頻出単語,登場回数,登場回数/全単語数(28103)%,登場レビュー率 /(113本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
た,1063,3.78,95.61,9.32,9.75
です,410,1.45,75.43,3.59,4.76
し,365,1.29,85.08,3.2,3.76
な,342,1.21,80.7,3.0,3.71
お,330,1.17,78.94,2.89,3.66
ない,299,1.06,78.07,2.62,3.35
ます,288,1.02,64.91,2.52,3.89
さ,233,0.82,64.03,2.04,3.19
まし,219,0.77,61.4,1.92,3.12
の,215,0.76,70.17,1.88,2.68
店,197,0.7,71.05,1.72,2.43
だ,191,0.67,61.4,1.67,2.72
い,188,0.66,62.28,1.64,2.64
で,179,0.63,66.66,1.57,2.35
トロ,177,0.62,42.98,1.55,3.61
れ,176,0.62,57.01,1.54,2.7
鮨,155,0.55,42.98,1.35,3.16
握り,139,0.49,47.36,1.21,2.57
ある,138,0.49,50.0,1.21,2.42
いる,137,0.48,57.01,1.2,2.1
ん,135,0.48,50.0,1.18,2.36
大,131,0.46,39.47,1.14,2.91
さん,127,0.45,47.36,1.11,2.35
中,124,0.44,42.98,1.08,2.53
食べ,121,0.43,55.26,1.06,1.92
田,119,0.42,53.5,1.04,1.95
(,119,0.42,16.66,1.04,6.26
こと,114,0.4,48.24,1.0,2.07
さわ,114,0.4,53.5,1.0,1.86
この,107,0.38,40.35,0.93,2.32
寿司,107,0.38,42.98,0.93,2.18
もの,105,0.37,46.49,0.92,1.98
でし,104,0.37,45.61,0.91,2.0
人,97,0.34,47.36,0.85,1.79
-,94,0.33,3.5,0.82,23.5
つまみ,93,0.33,42.1,0.81,1.93
よう,92,0.32,41.22,0.8,1.95
感じ,90,0.32,43.85,0.78,1.8
シャリ,89,0.31,35.96,0.78,2.17
銀座,87,0.3,41.22,0.76,1.85
美味しい,85,0.3,39.47,0.74,1.88
する,84,0.29,37.71,0.73,1.95
一,84,0.29,45.61,0.73,1.61
方,83,0.29,39.47,0.72,1.84
思い,82,0.29,40.35,0.71,1.78
あり,82,0.29,44.73,0.71,1.6
ませ,81,0.28,34.21,0.71,2.07
ネタ,81,0.28,36.84,0.71,1.92
炙り,78,0.27,27.19,0.68,2.51
たい,77,0.27,42.1,0.67,1.6
これ,72,0.25,32.45,0.63,1.94
酢,72,0.25,39.47,0.63,1.6
その,71,0.25,35.08,0.62,1.77
/,71,0.25,8.77,0.62,7.1
私,70,0.24,27.19,0.61,2.25
なっ,69,0.24,41.22,0.6,1.46
鮪,69,0.24,25.43,0.6,2.37
塩,68,0.24,34.21,0.59,1.74
的,66,0.23,37.71,0.57,1.53
う,65,0.23,36.84,0.57,1.54
酒,64,0.22,32.45,0.56,1.72
０,63,0.22,11.4,0.55,4.84
時,62,0.22,28.07,0.54,1.93
また,62,0.22,41.22,0.54,1.31
せ,61,0.21,32.45,0.53,1.64
感,61,0.21,35.08,0.53,1.52
巻き,59,0.2,20.17,0.51,2.56
穴子,58,0.2,28.07,0.5,1.81
大将,58,0.2,26.31,0.5,1.93
ご,57,0.2,32.45,0.5,1.54
日,56,0.19,21.92,0.49,2.24
なく,56,0.19,30.7,0.49,1.6
ここ,56,0.19,26.31,0.49,1.86
屋,56,0.19,32.45,0.49,1.51
),56,0.19,14.03,0.49,3.5
鮑,55,0.19,25.43,0.48,1.89
時間,53,0.18,27.19,0.46,1.7
1,53,0.18,20.17,0.46,2.3
味,52,0.18,30.7,0.45,1.48
席,52,0.18,34.21,0.45,1.33
雲丹,52,0.18,22.8,0.45,2.0
前,51,0.18,29.82,0.44,1.5
煮,50,0.17,21.05,0.43,2.08
いい,50,0.17,26.31,0.43,1.66
熟成,50,0.17,21.92,0.43,2.0
３,50,0.17,15.78,0.43,2.77
予約,49,0.17,32.45,0.42,1.32
旨味,49,0.17,14.91,0.42,2.88
そう,48,0.17,30.7,0.42,1.37
２,48,0.17,21.05,0.42,2.0
１,48,0.17,18.42,0.42,2.28
円,47,0.16,26.31,0.41,1.56
だっ,47,0.16,24.56,0.41,1.67
烏賊,46,0.16,21.05,0.4,1.91
最高,45,0.16,24.56,0.39,1.6
好き,45,0.16,26.31,0.39,1.5
貝,45,0.16,17.54,0.39,2.25
れる,45,0.16,26.31,0.39,1.5
カウンター,45,0.16,28.07,0.39,1.4
られ,44,0.15,23.68,0.38,1.62
訪問,43,0.15,23.68,0.37,1.59
それ,43,0.15,21.92,0.37,1.72
車海老,43,0.15,23.68,0.37,1.59
鰹,43,0.15,20.17,0.37,1.86
赤,42,0.14,17.54,0.36,2.1
ろ,42,0.14,6.14,0.36,6.0
ず,42,0.14,26.31,0.36,1.4
ウニ,41,0.14,15.78,0.35,2.27
マグロ,41,0.14,19.29,0.35,1.86
赤貝,41,0.14,21.05,0.35,1.7
赤身,41,0.14,24.56,0.35,1.46
値段,41,0.14,31.57,0.35,1.13
思う,41,0.14,21.05,0.35,1.7
目,40,0.14,21.92,0.35,1.6
海胆,40,0.14,7.01,0.35,5.0
素材,40,0.14,13.15,0.35,2.66
そして,39,0.13,25.43,0.34,1.34
年,39,0.13,20.17,0.34,1.69
軍艦,39,0.13,14.91,0.34,2.29
澤田,39,0.13,17.54,0.34,1.95
良い,39,0.13,21.92,0.34,1.56
き,38,0.13,27.19,0.33,1.22
2,38,0.13,18.42,0.33,1.8
満足,38,0.13,25.43,0.33,1.31
印象,38,0.13,21.92,0.33,1.52
行っ,37,0.13,24.56,0.32,1.32
.,36,0.12,8.77,0.31,3.6
3,36,0.12,19.29,0.31,1.63
度,36,0.12,22.8,0.31,1.38
出,35,0.12,21.92,0.3,1.4
店主,35,0.12,14.03,0.3,2.18
主人,35,0.12,20.17,0.3,1.52
かなり,34,0.12,21.05,0.29,1.41
思っ,34,0.12,22.8,0.29,1.3
6,34,0.12,23.68,0.29,1.25
～,34,0.12,15.78,0.29,1.88
とても,34,0.12,19.29,0.29,1.54
料理,34,0.12,16.66,0.29,1.78
なら,34,0.12,20.17,0.29,1.47
うに,33,0.11,14.91,0.28,1.94
来,33,0.11,18.42,0.28,1.57
なり,32,0.11,23.68,0.28,1.18
昆布,32,0.11,13.15,0.28,2.13
魚,32,0.11,15.78,0.28,1.77
蒸し,31,0.11,18.42,0.27,1.47
たら,31,0.11,17.54,0.27,1.55
なる,31,0.11,22.8,0.27,1.19
印籠,30,0.1,14.03,0.26,1.87
海苔,30,0.1,14.91,0.26,1.76
カツオ,30,0.1,14.91,0.26,1.76
何,30,0.1,21.05,0.26,1.25
店内,30,0.1,21.92,0.26,1.2
行き,30,0.1,23.68,0.26,1.11
高い,30,0.1,22.8,0.26,1.15
客,30,0.1,15.78,0.26,1.66
二,30,0.1,12.28,0.26,2.14
気,29,0.1,19.29,0.25,1.31
口,29,0.1,20.17,0.25,1.26
小,29,0.1,14.03,0.25,1.81
あっ,29,0.1,19.29,0.25,1.31
脂,28,0.09,12.28,0.24,2.0
馬糞,28,0.09,11.4,0.24,2.15
仕事,28,0.09,16.66,0.24,1.47
米,28,0.09,9.64,0.24,2.54
事,28,0.09,14.03,0.24,1.75
最後,28,0.09,21.92,0.24,1.12
こちら,28,0.09,15.78,0.24,1.55
種,28,0.09,10.52,0.24,2.33
写真,27,0.09,15.78,0.23,1.5
玉子,27,0.09,17.54,0.23,1.35
いただき,27,0.09,15.78,0.23,1.5
藁,27,0.09,14.91,0.23,1.58
香り,27,0.09,16.66,0.23,1.42
間,26,0.09,13.15,0.22,1.73
どれ,26,0.09,19.29,0.22,1.18
５,26,0.09,12.28,0.22,1.85
好み,26,0.09,18.42,0.22,1.23
分,26,0.09,14.91,0.22,1.52
東京,26,0.09,13.15,0.22,1.73
しかし,26,0.09,16.66,0.22,1.36
いくら,25,0.08,15.78,0.21,1.38
品,25,0.08,16.66,0.21,1.31
もう,25,0.08,14.91,0.21,1.47
感動,25,0.08,18.42,0.21,1.19
てる,25,0.08,15.78,0.21,1.38
旨い,25,0.08,9.64,0.21,2.27
山葵,25,0.08,12.28,0.21,1.78
特に,25,0.08,18.42,0.21,1.19
くれ,25,0.08,14.91,0.21,1.47
ちょっと,25,0.08,15.78,0.21,1.38
鯵,25,0.08,8.77,0.21,2.5
少し,25,0.08,18.42,0.21,1.19
こだわり,25,0.08,16.66,0.21,1.31
夜,24,0.08,16.66,0.21,1.26
食材,24,0.08,14.03,0.21,1.5
出し,24,0.08,19.29,0.21,1.09
他,24,0.08,14.91,0.21,1.41
自分,24,0.08,18.42,0.21,1.14
燻し,24,0.08,13.15,0.21,1.6
トマト,24,0.08,12.28,0.21,1.71
でしょ,24,0.08,17.54,0.21,1.2
雰囲気,24,0.08,14.03,0.21,1.5
だろ,24,0.08,16.66,0.21,1.26
万,24,0.08,14.03,0.21,1.5
ただ,24,0.08,18.42,0.21,1.14
鯖,24,0.08,14.03,0.21,1.5
⭐,24,0.08,0.87,0.21,24.0
こ,23,0.08,14.91,0.2,1.35
後,23,0.08,14.03,0.2,1.43
江戸前,23,0.08,10.52,0.2,1.91
アワビ,23,0.08,14.03,0.2,1.43
物,23,0.08,12.28,0.2,1.64
上,23,0.08,14.03,0.2,1.43
マイクロ,23,0.08,11.4,0.2,1.76
まぐろ,23,0.08,7.01,0.2,2.87
緊張,23,0.08,16.66,0.2,1.21
今回,23,0.08,14.03,0.2,1.43
入っ,23,0.08,15.78,0.2,1.27
回,23,0.08,14.91,0.2,1.35
素晴らしい,22,0.07,14.03,0.19,1.37
くる,22,0.07,17.54,0.19,1.1
話,22,0.07,13.15,0.19,1.46
しっかり,22,0.07,14.03,0.19,1.37
ため,22,0.07,14.03,0.19,1.37
笑,22,0.07,12.28,0.19,1.57
入れ,22,0.07,14.03,0.19,1.37
本当に,21,0.07,14.91,0.18,1.23
初めて,21,0.07,15.78,0.18,1.16
玉,21,0.07,9.64,0.18,1.9
感じる,21,0.07,16.66,0.18,1.1
しまう,21,0.07,15.78,0.18,1.16
蛸,21,0.07,11.4,0.18,1.61
み,21,0.07,17.54,0.18,1.05
みる,21,0.07,14.03,0.18,1.31
なかっ,20,0.07,16.66,0.17,1.05
イカ,20,0.07,14.03,0.17,1.25
レベル,20,0.07,13.15,0.17,1.33
日本,20,0.07,14.03,0.17,1.25
心,20,0.07,13.15,0.17,1.33
全て,20,0.07,15.78,0.17,1.11
出さ,20,0.07,12.28,0.17,1.42
しまっ,20,0.07,14.91,0.17,1.17
鰈,20,0.07,10.52,0.17,1.66
良く,20,0.07,14.91,0.17,1.17
ところ,20,0.07,13.15,0.17,1.33
ビル,20,0.07,12.28,0.17,1.42
いつも,20,0.07,10.52,0.17,1.66
以上,19,0.06,15.78,0.16,1.05
手,19,0.06,14.03,0.16,1.18
星,19,0.06,13.15,0.16,1.26
冷蔵庫,19,0.06,13.15,0.16,1.26
美味しかっ,19,0.06,14.91,0.16,1.11
最初,19,0.06,14.91,0.16,1.11
強い,19,0.06,13.15,0.16,1.26
６,19,0.06,14.03,0.16,1.18
焼き,19,0.06,10.52,0.16,1.58
鯛,19,0.06,11.4,0.16,1.46
通り,19,0.06,12.28,0.16,1.35
唐津,18,0.06,14.03,0.15,1.12
