頻出単語,登場回数,登場回数/全単語数(27618)%,登場レビュー率 /(89本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
た,1019,3.68,96.66,11.32,11.71
し,390,1.41,84.44,4.33,5.13
-,367,1.32,5.55,4.07,73.4
です,361,1.3,72.22,4.01,5.55
な,327,1.18,81.11,3.63,4.47
ない,266,0.96,74.44,2.95,3.97
ます,257,0.93,62.22,2.85,4.58
さ,249,0.9,71.11,2.76,3.89
お,231,0.83,71.11,2.56,3.6
の,211,0.76,67.77,2.34,3.45
まし,205,0.74,67.77,2.27,3.36
鮨,196,0.7,53.33,2.17,4.08
で,192,0.69,66.66,2.13,3.2
れ,173,0.62,63.33,1.92,3.03
トロ,168,0.6,51.11,1.86,3.65
い,162,0.58,63.33,1.8,2.84
店,159,0.57,70.0,1.76,2.52
握り,152,0.55,62.22,1.68,2.71
だ,143,0.51,62.22,1.58,2.55
中,135,0.48,57.77,1.5,2.59
(,134,0.48,17.77,1.48,8.37
いる,132,0.47,58.88,1.46,2.49
ある,128,0.46,54.44,1.42,2.61
さん,125,0.45,46.66,1.38,2.97
シャリ,116,0.42,46.66,1.28,2.76
大,109,0.39,45.55,1.21,2.65
食べ,109,0.39,56.66,1.21,2.13
田,107,0.38,43.33,1.18,2.74
さわ,104,0.37,45.55,1.15,2.53
もの,102,0.36,51.11,1.13,2.21
ん,100,0.36,50.0,1.11,2.22
でし,100,0.36,47.77,1.11,2.32
この,100,0.36,45.55,1.11,2.43
こと,89,0.32,46.66,0.98,2.11
ネタ,89,0.32,43.33,0.98,2.28
人,85,0.3,47.77,0.94,1.97
よう,84,0.3,46.66,0.93,2.0
),82,0.29,17.77,0.91,5.12
酢,80,0.28,47.77,0.88,1.86
鮪,80,0.28,27.77,0.88,3.2
う,80,0.28,44.44,0.88,2.0
する,78,0.28,42.22,0.86,2.05
あり,76,0.27,46.66,0.84,1.8
塩,75,0.27,42.22,0.83,1.97
一,75,0.27,42.22,0.83,1.97
感じ,71,0.25,46.66,0.78,1.69
寿司,71,0.25,34.44,0.78,2.29
穴子,70,0.25,36.66,0.77,2.12
日,69,0.24,33.33,0.76,2.3
感,69,0.24,42.22,0.76,1.81
炙り,68,0.24,33.33,0.75,2.26
澤田,68,0.24,22.22,0.75,3.4
的,66,0.23,44.44,0.73,1.65
これ,66,0.23,35.55,0.73,2.06
その,66,0.23,32.22,0.73,2.27
雲丹,65,0.23,24.44,0.72,2.95
/,64,0.23,8.88,0.71,8.0
軍艦,63,0.22,25.55,0.7,2.73
ず,63,0.22,37.77,0.7,1.85
方,62,0.22,40.0,0.68,1.72
そう,60,0.21,36.66,0.66,1.81
貝,60,0.21,32.22,0.66,2.06
なく,59,0.21,38.88,0.65,1.68
私,58,0.21,31.11,0.64,2.07
美味しい,57,0.2,32.22,0.63,1.96
時間,57,0.2,34.44,0.63,1.83
銀座,57,0.2,35.55,0.63,1.78
たい,56,0.2,47.77,0.62,1.3
２,54,0.19,26.66,0.6,2.25
時,54,0.19,27.77,0.6,2.16
車海老,53,0.19,33.33,0.58,1.76
１,53,0.19,25.55,0.58,2.3
０,53,0.19,13.33,0.58,4.41
なっ,51,0.18,37.77,0.56,1.5
それ,51,0.18,26.66,0.56,2.12
赤身,50,0.18,32.22,0.55,1.72
味,50,0.18,25.55,0.55,2.17
2,50,0.18,25.55,0.55,2.17
つまみ,50,0.18,26.66,0.55,2.08
なる,50,0.18,31.11,0.55,1.78
赤貝,49,0.17,30.0,0.54,1.81
思い,49,0.17,31.11,0.54,1.75
いい,49,0.17,25.55,0.54,2.13
ませ,48,0.17,32.22,0.53,1.65
目,48,0.17,32.22,0.53,1.65
香り,48,0.17,23.33,0.53,2.28
 ,48,0.17,1.11,0.53,48.0
せ,47,0.17,36.66,0.52,1.42
鰹,46,0.16,25.55,0.51,2.0
予約,46,0.16,26.66,0.51,1.91
事,46,0.16,15.55,0.51,3.28
前,46,0.16,28.88,0.51,1.76
られ,46,0.16,28.88,0.51,1.76
また,45,0.16,33.33,0.5,1.5
き,45,0.16,30.0,0.5,1.66
ご,45,0.16,25.55,0.5,1.95
熟成,45,0.16,25.55,0.5,1.95
屋,44,0.15,32.22,0.48,1.51
円,44,0.15,34.44,0.48,1.41
ろ,44,0.15,8.88,0.48,5.5
３,44,0.15,24.44,0.48,2.0
1,43,0.15,18.88,0.47,2.52
好き,43,0.15,26.66,0.47,1.79
席,43,0.15,34.44,0.47,1.38
二,43,0.15,11.11,0.47,4.3
なら,42,0.15,31.11,0.46,1.5
赤,41,0.14,22.22,0.45,2.05
口,41,0.14,25.55,0.45,1.78
ここ,41,0.14,23.33,0.45,1.95
笑,40,0.14,14.44,0.44,3.07
ウニ,40,0.14,18.88,0.44,2.35
藁,40,0.14,27.77,0.44,1.6
旨味,40,0.14,15.55,0.44,2.85
烏賊,40,0.14,21.11,0.44,2.1
最高,38,0.13,20.0,0.42,2.11
好み,38,0.13,27.77,0.42,1.52
煮,38,0.13,22.22,0.42,1.9
産,37,0.13,12.22,0.41,3.36
昆布,37,0.13,22.22,0.41,1.85
マグロ,37,0.13,18.88,0.41,2.17
鮑,37,0.13,21.11,0.41,1.94
印籠,37,0.13,24.44,0.41,1.68
巻き,37,0.13,20.0,0.41,2.05
あっ,37,0.13,23.33,0.41,1.76
れる,37,0.13,25.55,0.41,1.6
そして,36,0.13,24.44,0.4,1.63
魚,36,0.13,21.11,0.4,1.89
小,36,0.13,17.77,0.4,2.25
とても,36,0.13,24.44,0.4,1.63
印象,36,0.13,27.77,0.4,1.44
しっかり,36,0.13,23.33,0.4,1.71
だっ,36,0.13,25.55,0.4,1.56
主人,35,0.12,18.88,0.38,2.05
脂,34,0.12,18.88,0.37,2.0
訪問,34,0.12,28.88,0.37,1.3
おり,34,0.12,18.88,0.37,2.0
鯖,33,0.11,20.0,0.36,1.83
玉子,33,0.11,25.55,0.36,1.43
良い,33,0.11,27.77,0.36,1.32
