頻出単語,登場回数,登場回数/全単語数(8866)%,登場レビュー率 /(36本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
た,333,3.75,91.89,9.0,9.79
ます,156,1.75,78.37,4.21,5.37
し,154,1.73,94.59,4.16,4.4
お,153,1.72,89.18,4.13,4.63
です,126,1.42,81.08,3.4,4.2
な,106,1.19,86.48,2.86,3.31
まし,100,1.12,64.86,2.7,4.16
店,80,0.9,78.37,2.16,2.75
さん,75,0.84,67.56,2.02,3.0
鮨,73,0.82,67.56,1.97,2.92
の,72,0.81,67.56,1.94,2.88
さ,66,0.74,56.75,1.78,3.14
ない,64,0.72,81.08,1.72,2.13
一,62,0.69,67.56,1.67,2.48
い,60,0.67,72.97,1.62,2.22
いる,54,0.6,62.16,1.45,2.34
れ,52,0.58,62.16,1.4,2.26
銀座,48,0.54,59.45,1.29,2.18
人,45,0.5,51.35,1.21,2.36
-,45,0.5,10.81,1.21,11.25
握り,43,0.48,54.05,1.16,2.15
あり,43,0.48,54.05,1.16,2.15
で,42,0.47,59.45,1.13,1.9
ん,41,0.46,51.35,1.1,2.15
こと,40,0.45,54.05,1.08,2.0
だ,38,0.42,51.35,1.02,2.0
でし,36,0.4,48.64,0.97,2.0
感じ,35,0.39,51.35,0.94,1.84
寿司,34,0.38,43.24,0.91,2.12
もの,33,0.37,37.83,0.89,2.35
ある,32,0.36,51.35,0.86,1.68
食べ,32,0.36,54.05,0.86,1.6
屋,31,0.34,48.64,0.83,1.72
階,29,0.32,43.24,0.78,1.81
円,28,0.31,37.83,0.75,2.0
その,28,0.31,43.24,0.75,1.75
酒,28,0.31,51.35,0.75,1.47
この,28,0.31,37.83,0.75,2.0
カウンター,27,0.3,51.35,0.72,1.42
する,27,0.3,37.83,0.72,1.92
思い,26,0.29,35.13,0.7,2.0
よう,26,0.29,45.94,0.7,1.52
2,25,0.28,32.43,0.67,2.08
美味しい,25,0.28,27.02,0.67,2.5
方,24,0.27,43.24,0.64,1.5
ワイン,24,0.27,35.13,0.64,1.84
つまみ,23,0.25,40.54,0.62,1.53
1,23,0.25,21.62,0.62,2.87
だっ,22,0.24,32.43,0.59,1.83
中,22,0.24,40.54,0.59,1.46
予約,22,0.24,43.24,0.59,1.37
