頻出単語,登場回数,登場回数/全単語数(12726)%,登場レビュー率 /(49本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
た,494,3.88,92.0,9.88,10.73
お,240,1.88,88.0,4.8,5.45
です,192,1.5,78.0,3.84,4.92
し,185,1.45,88.0,3.7,4.2
ます,151,1.18,80.0,3.02,3.77
まし,136,1.06,78.0,2.72,3.48
な,131,1.02,78.0,2.62,3.35
店,114,0.89,88.0,2.28,2.59
鮨,112,0.88,60.0,2.24,3.73
い,99,0.77,70.0,1.98,2.82
ない,99,0.77,70.0,1.98,2.82
の,95,0.74,64.0,1.9,2.96
さん,91,0.71,62.0,1.82,2.93
さ,83,0.65,62.0,1.66,2.67
０,73,0.57,20.0,1.46,7.3
で,64,0.5,66.0,1.28,1.93
円,63,0.49,52.0,1.26,2.42
握り,60,0.47,54.0,1.2,2.22
だ,60,0.47,54.0,1.2,2.22
寿司,58,0.45,46.0,1.16,2.52
一,58,0.45,52.0,1.16,2.23
あり,55,0.43,68.0,1.1,1.61
この,53,0.41,48.0,1.06,2.2
銀座,52,0.4,64.0,1.04,1.62
こと,52,0.4,48.0,1.04,2.16
ん,52,0.4,52.0,1.04,2.0
ある,51,0.4,64.0,1.02,1.59
食べ,51,0.4,50.0,1.02,2.04
でし,50,0.39,54.0,1.0,1.85
いる,50,0.39,52.0,1.0,1.92
人,49,0.38,42.0,0.98,2.33
れ,48,0.37,48.0,0.96,2.0
１,48,0.37,26.0,0.96,3.69
ランチ,47,0.36,52.0,0.94,1.8
コース,46,0.36,56.0,0.92,1.64
-,43,0.33,10.0,0.86,8.6
屋,40,0.31,34.0,0.8,2.35
感じ,39,0.3,46.0,0.78,1.69
よう,37,0.29,42.0,0.74,1.76
中,36,0.28,44.0,0.72,1.63
方,36,0.28,44.0,0.72,1.63
美味しい,36,0.28,28.0,0.72,2.57
階,35,0.27,40.0,0.7,1.75
思い,35,0.27,40.0,0.7,1.75
なく,35,0.27,40.0,0.7,1.75
もの,35,0.27,32.0,0.7,2.18
２,34,0.26,32.0,0.68,2.12
だっ,31,0.24,38.0,0.62,1.63
ず,31,0.24,36.0,0.62,1.72
カウンター,30,0.23,44.0,0.6,1.36
シャリ,30,0.23,26.0,0.6,2.3
私,30,0.23,32.0,0.6,1.87
う,29,0.22,32.0,0.58,1.81
2,29,0.22,28.0,0.58,2.07
き,29,0.22,24.0,0.58,2.41
たい,29,0.22,40.0,0.58,1.45
これ,27,0.21,40.0,0.54,1.35
.,27,0.21,20.0,0.54,2.7
くれ,27,0.21,36.0,0.54,1.5
"""",27,0.21,2.0,0.54,27.0
穴子,26,0.2,32.0,0.52,1.62
～,26,0.2,18.0,0.52,2.88
その,26,0.2,34.0,0.52,1.52
なっ,25,0.19,40.0,0.5,1.25
料理,25,0.19,24.0,0.5,2.08
酢,25,0.19,26.0,0.5,1.92
いい,25,0.19,24.0,0.5,2.08
感,25,0.19,26.0,0.5,1.92
良い,25,0.19,32.0,0.5,1.56
とても,25,0.19,32.0,0.5,1.56
貫,24,0.18,30.0,0.48,1.6
1,24,0.18,24.0,0.48,2.0
する,24,0.18,26.0,0.48,1.84
酒,24,0.18,28.0,0.48,1.71
味,24,0.18,26.0,0.48,1.84
席,23,0.18,20.0,0.46,2.3
ネタ,23,0.18,30.0,0.46,1.53
いくら,23,0.18,28.0,0.46,1.64
デザート,23,0.18,32.0,0.46,1.43
また,23,0.18,36.0,0.46,1.27
み,22,0.17,30.0,0.44,1.46
ませ,22,0.17,38.0,0.44,1.15
前,22,0.17,28.0,0.44,1.57
椀,22,0.17,28.0,0.44,1.57
こちら,22,0.17,26.0,0.44,1.69
(,22,0.17,14.0,0.44,3.14
入っ,22,0.17,26.0,0.44,1.69
日,22,0.17,28.0,0.44,1.57
職人,21,0.16,22.0,0.42,1.9
トロ,21,0.16,28.0,0.42,1.5
ちょっと,21,0.16,32.0,0.42,1.31
訪問,21,0.16,28.0,0.42,1.5
白,20,0.15,26.0,0.4,1.53
そう,20,0.15,28.0,0.4,1.42
時,20,0.15,24.0,0.4,1.66
インターホン,20,0.15,38.0,0.4,1.05
玉子,19,0.14,24.0,0.38,1.58
出,19,0.14,26.0,0.38,1.46
的,19,0.14,26.0,0.38,1.46
予約,19,0.14,28.0,0.38,1.35
夜,19,0.14,32.0,0.38,1.18
/,19,0.14,14.0,0.38,2.71
－,19,0.14,2.0,0.38,19.0
ら,18,0.14,10.0,0.36,3.6
り,18,0.14,4.0,0.36,9.0
ここ,18,0.14,28.0,0.36,1.28
笑,18,0.14,22.0,0.36,1.63
せ,18,0.14,32.0,0.36,1.12
