頻出単語,登場回数,登場回数/全単語数(28154)%,登場レビュー率 /(125本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
た,1154,4.09,93.65,9.15,9.77
です,503,1.78,80.15,3.99,4.98
お,476,1.69,84.12,3.77,4.49
し,441,1.56,82.53,3.5,4.24
な,356,1.26,81.74,2.82,3.45
ます,323,1.14,69.04,2.56,3.71
まし,318,1.12,69.04,2.52,3.65
の,274,0.97,70.63,2.17,3.07
ない,268,0.95,71.42,2.12,2.97
握り,258,0.91,51.58,2.04,3.96
店,251,0.89,74.6,1.99,2.67
いる,221,0.78,53.17,1.75,3.29
さ,215,0.76,65.87,1.7,2.59
寿司,210,0.74,55.55,1.66,3.0
で,198,0.7,69.04,1.57,2.27
い,194,0.68,59.52,1.53,2.58
れ,180,0.63,56.34,1.42,2.53
大将,176,0.62,52.38,1.39,2.66
だ,167,0.59,51.58,1.32,2.56
熟成,160,0.56,42.85,1.26,2.96
ん,148,0.52,54.76,1.17,2.14
食べ,145,0.51,53.17,1.15,2.16
ある,139,0.49,53.96,1.1,2.04
こと,134,0.47,49.2,1.06,2.16
でし,127,0.45,43.65,1.0,2.3
鮨,124,0.44,35.71,0.98,2.75
さん,119,0.42,52.38,0.94,1.8
感,116,0.41,40.47,0.92,2.27
この,115,0.4,46.82,0.91,1.94
あり,114,0.4,46.03,0.9,1.96
ネタ,100,0.35,40.47,0.79,1.96
よう,97,0.34,43.65,0.76,1.76
出,89,0.31,37.3,0.7,1.89
すし,85,0.3,41.26,0.67,1.63
する,85,0.3,41.26,0.67,1.63
トロ,84,0.29,39.68,0.66,1.68
う,84,0.29,40.47,0.66,1.64
包丁,83,0.29,40.47,0.65,1.62
１,83,0.29,16.66,0.65,3.95
美味しい,80,0.28,37.3,0.63,1.7
人,80,0.28,35.71,0.63,1.77
中,79,0.28,35.71,0.62,1.75
感じ,79,0.28,41.26,0.62,1.51
通,78,0.27,40.47,0.61,1.52
シャリ,77,0.27,31.74,0.61,1.92
酢,76,0.26,23.8,0.6,2.53
もの,76,0.26,30.95,0.6,1.94
つまみ,76,0.26,33.33,0.6,1.8
方,74,0.26,36.5,0.58,1.6
屋,72,0.25,38.09,0.57,1.5
たい,71,0.25,42.85,0.56,1.31
料理,71,0.25,30.95,0.56,1.82
予約,71,0.25,31.74,0.56,1.77
口,70,0.24,32.53,0.55,1.7
魚,70,0.24,30.15,0.55,1.84
ませ,70,0.24,35.71,0.55,1.55
これ,69,0.24,35.71,0.54,1.53
カウンター,68,0.24,37.3,0.53,1.44
思い,67,0.23,30.95,0.53,1.71
円,66,0.23,21.42,0.52,2.44
き,66,0.23,34.12,0.52,1.53
日,65,0.23,30.15,0.51,1.71
味,64,0.22,30.95,0.5,1.64
ず,64,0.22,28.57,0.5,1.77
その,63,0.22,33.33,0.5,1.5
時,62,0.22,26.19,0.49,1.87
せ,62,0.22,31.74,0.49,1.55
1,62,0.22,28.57,0.49,1.72
そう,62,0.22,26.98,0.49,1.82
入れ,62,0.22,30.95,0.49,1.58
また,61,0.21,34.92,0.48,1.38
なく,61,0.21,31.74,0.48,1.52
海老,60,0.21,23.8,0.47,2.0
いい,60,0.21,26.98,0.47,1.76
一,59,0.2,32.53,0.46,1.43
こちら,59,0.2,23.01,0.46,2.03
2,57,0.2,24.6,0.45,1.83
酒,55,0.19,26.19,0.43,1.66
ここ,55,0.19,26.98,0.43,1.61
食,54,0.19,19.84,0.42,2.16
前,52,0.18,23.8,0.41,1.73
的,52,0.18,26.19,0.41,1.57
なっ,51,0.18,26.98,0.4,1.5
なり,48,0.17,26.98,0.38,1.41
れる,47,0.16,23.01,0.37,1.62
られ,47,0.16,23.01,0.37,1.62
私,47,0.16,21.42,0.37,1.74
２,47,0.16,15.87,0.37,2.35
かなり,46,0.16,20.63,0.36,1.76
くれ,45,0.15,26.19,0.35,1.36
良い,44,0.15,22.22,0.34,1.57
西麻布,43,0.15,28.57,0.34,1.19
昆布,43,0.15,15.87,0.34,2.15
ランチ,42,0.14,12.69,0.33,2.62
年,42,0.14,20.63,0.33,1.61
3,42,0.14,20.63,0.33,1.61
～,42,0.14,12.69,0.33,2.62
たら,41,0.14,19.84,0.32,1.64
交互,41,0.14,27.77,0.32,1.17
旨味,41,0.14,14.28,0.32,2.27
事,41,0.14,19.84,0.32,1.64
大,40,0.14,23.8,0.31,1.33
雲丹,40,0.14,15.07,0.31,2.1
思っ,39,0.13,23.01,0.3,1.34
だっ,39,0.13,21.42,0.3,1.44
くる,39,0.13,24.6,0.3,1.25
仕事,39,0.13,19.04,0.3,1.62
-,39,0.13,7.93,0.3,3.9
行っ,38,0.13,24.6,0.3,1.22
席,37,0.13,21.42,0.29,1.37
何,37,0.13,23.8,0.29,1.23
/,37,0.13,5.55,0.29,5.28
六本木,36,0.12,20.63,0.28,1.38
目,36,0.12,21.42,0.28,1.33
鯛,36,0.12,21.42,0.28,1.33
少し,36,0.12,22.22,0.28,1.28
本,36,0.12,19.84,0.28,1.44
あっ,36,0.12,19.04,0.28,1.5
気,35,0.12,23.01,0.27,1.2
なる,35,0.12,19.04,0.27,1.45
好き,35,0.12,22.22,0.27,1.25
隠し,35,0.12,21.42,0.27,1.29
度,35,0.12,22.22,0.27,1.25
そして,34,0.12,20.63,0.26,1.3
それ,34,0.12,19.04,0.26,1.41
今,34,0.12,22.22,0.26,1.21
０,34,0.12,8.73,0.26,3.09
最後,34,0.12,20.63,0.26,1.3
笑,33,0.11,15.87,0.26,1.65
夜,33,0.11,16.66,0.26,1.57
赤,33,0.11,14.28,0.26,1.83
満足,33,0.11,17.46,0.26,1.5
訪問,33,0.11,17.46,0.26,1.5
ボタン,33,0.11,21.42,0.26,1.22
白,32,0.11,15.07,0.25,1.68
てる,32,0.11,15.87,0.25,1.6
なら,32,0.11,21.42,0.25,1.18
鮪,32,0.11,16.66,0.25,1.52
でしょ,32,0.11,15.87,0.25,1.6
マグロ,32,0.11,17.46,0.25,1.45
来,32,0.11,19.84,0.25,1.28
他,32,0.11,21.42,0.25,1.18
ウニ,31,0.11,16.66,0.24,1.47
ご,31,0.11,18.25,0.24,1.34
入っ,31,0.11,20.63,0.24,1.19
金目,31,0.11,21.42,0.24,1.14
最高,31,0.11,21.42,0.24,1.14
",",31,0.11,8.73,0.24,2.81
全て,30,0.1,20.63,0.23,1.15
個室,30,0.1,16.66,0.23,1.42
分,30,0.1,17.46,0.23,1.36
時間,30,0.1,17.46,0.23,1.36
出し,30,0.1,17.46,0.23,1.36
今回,29,0.1,14.28,0.23,1.61
思う,29,0.1,19.84,0.23,1.16
漬け,29,0.1,10.31,0.23,2.23
良く,29,0.1,14.28,0.23,1.61
提供,29,0.1,15.87,0.23,1.45
通り,28,0.09,19.04,0.22,1.16
み,28,0.09,19.04,0.22,1.16
店内,28,0.09,19.04,0.22,1.16
♦,28,0.09,0.79,0.22,28.0
感動,28,0.09,18.25,0.22,1.21
ため,28,0.09,15.07,0.22,1.47
自分,28,0.09,11.9,0.22,1.86
最初,28,0.09,15.07,0.22,1.47
名刺,28,0.09,19.84,0.22,1.12
ねっとり,27,0.09,16.66,0.21,1.28
穴子,27,0.09,16.66,0.21,1.28
値段,27,0.09,16.66,0.21,1.28
見,27,0.09,18.25,0.21,1.17
手,27,0.09,15.87,0.21,1.35
ください,26,0.09,11.11,0.2,1.85
種類,26,0.09,15.07,0.2,1.36
⚪,26,0.09,1.58,0.2,13.0
江戸前,26,0.09,12.69,0.2,1.62
雰囲気,26,0.09,15.07,0.2,1.36
どれ,26,0.09,19.04,0.2,1.08
楽しみ,26,0.09,17.46,0.2,1.18
種,26,0.09,7.14,0.2,2.88
一品,26,0.09,14.28,0.2,1.44
代わり,26,0.09,18.25,0.2,1.13
美味しく,25,0.08,16.66,0.19,1.19
写真,25,0.08,15.87,0.19,1.25
コース,25,0.08,14.28,0.19,1.38
締め,25,0.08,11.11,0.19,1.78
高い,25,0.08,15.87,0.19,1.25
貫,25,0.08,13.49,0.19,1.47
素晴らしい,25,0.08,15.87,0.19,1.25
おり,25,0.08,13.49,0.19,1.47
みたい,25,0.08,15.07,0.19,1.31
研究,25,0.08,12.69,0.19,1.56
言っ,25,0.08,13.49,0.19,1.47
塩,25,0.08,10.31,0.19,1.92
行き,24,0.08,15.87,0.19,1.2
聞い,24,0.08,15.87,0.19,1.2
たく,24,0.08,17.46,0.19,1.09
日本,24,0.08,13.49,0.19,1.41
貝,24,0.08,13.49,0.19,1.41
8,24,0.08,13.49,0.19,1.41
次,24,0.08,10.31,0.19,1.84
香り,24,0.08,11.11,0.19,1.71
一番,24,0.08,13.49,0.19,1.41
こだわり,24,0.08,11.9,0.19,1.6
蟹,24,0.08,8.73,0.19,2.18
以上,23,0.08,14.28,0.18,1.27
す,23,0.08,9.52,0.18,1.91
高級,23,0.08,16.66,0.18,1.09
サービス,23,0.08,15.07,0.18,1.21
.,23,0.08,10.31,0.18,1.76
5,23,0.08,9.52,0.18,1.91
説明,23,0.08,14.28,0.18,1.27
だろ,23,0.08,14.28,0.18,1.27
ところ,23,0.08,12.69,0.18,1.43
ー,22,0.07,11.11,0.17,1.57
赤身,22,0.07,14.28,0.17,1.22
巻き,22,0.07,11.11,0.17,1.57
味噌汁,22,0.07,11.9,0.17,1.46
伺い,22,0.07,14.28,0.17,1.22
印象,22,0.07,13.49,0.17,1.29
初めて,22,0.07,12.69,0.17,1.37
とても,22,0.07,14.28,0.17,1.22
