頻出単語,登場回数,登場回数/全単語数(31937)%,登場レビュー率 /(113本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
た,1208,3.78,96.49,10.59,10.98
し,561,1.75,87.71,4.92,5.61
です,483,1.51,80.7,4.23,5.25
お,444,1.39,83.33,3.89,4.67
な,412,1.29,86.84,3.61,4.16
ます,368,1.15,71.92,3.22,4.48
まし,311,0.97,68.42,2.72,3.98
の,285,0.89,77.19,2.5,3.23
さ,261,0.81,66.66,2.28,3.43
ない,259,0.81,69.29,2.27,3.27
い,254,0.79,62.28,2.22,3.57
握り,217,0.67,59.64,1.9,3.19
いる,200,0.62,60.52,1.75,2.89
れ,190,0.59,65.78,1.66,2.53
で,190,0.59,64.91,1.66,2.56
熟成,175,0.54,50.0,1.53,3.07
だ,174,0.54,55.26,1.52,2.76
店,166,0.51,64.91,1.45,2.24
寿司,166,0.51,42.1,1.45,3.45
鮨,161,0.5,43.85,1.41,3.22
こと,157,0.49,47.36,1.37,2.9
でし,149,0.46,49.12,1.3,2.66
ランチ,139,0.43,60.52,1.21,2.01
ん,137,0.42,53.5,1.2,2.24
食べ,137,0.42,54.38,1.2,2.2
ネタ,131,0.41,50.0,1.14,2.29
感,131,0.41,50.87,1.14,2.25
ある,128,0.4,53.5,1.12,2.09
あり,128,0.4,51.75,1.12,2.16
よう,127,0.39,51.75,1.11,2.15
シャリ,125,0.39,44.73,1.09,2.45
円,117,0.36,44.73,1.02,2.29
大将,111,0.34,43.85,0.97,2.22
魚,106,0.33,38.59,0.92,2.4
これ,104,0.32,42.1,0.91,2.16
う,103,0.32,39.47,0.9,2.28
この,99,0.3,40.35,0.86,2.15
予約,98,0.3,42.98,0.85,2.0
すし,93,0.29,38.59,0.81,2.11
もの,92,0.28,33.33,0.8,2.42
き,92,0.28,34.21,0.8,2.35
酢,91,0.28,35.08,0.79,2.27
ちらし,90,0.28,25.43,0.78,3.1
さん,89,0.27,47.36,0.78,1.64
する,87,0.27,39.47,0.76,1.93
美味しい,86,0.26,36.84,0.75,2.04
中,84,0.26,49.12,0.73,1.5
感じ,83,0.25,42.98,0.72,1.69
海老,81,0.25,28.07,0.71,2.53
その,81,0.25,34.21,0.71,2.07
たい,80,0.25,50.0,0.7,1.4
食,79,0.24,35.08,0.69,1.97
ず,78,0.24,37.71,0.68,1.81
そう,77,0.24,40.35,0.67,1.67
貫,77,0.24,34.21,0.67,1.97
トロ,76,0.23,37.71,0.66,1.76
味,76,0.23,38.59,0.66,1.72
なく,75,0.23,42.98,0.65,1.53
カウンター,75,0.23,46.49,0.65,1.41
通,74,0.23,34.21,0.64,1.89
ませ,73,0.22,33.33,0.64,1.92
日,73,0.22,34.21,0.64,1.87
2,72,0.22,28.94,0.63,2.18
１,72,0.22,25.43,0.63,2.48
せ,71,0.22,34.21,0.62,1.82
的,70,0.21,36.84,0.61,1.66
口,69,0.21,39.47,0.6,1.53
11,68,0.21,35.08,0.59,1.7
包丁,68,0.21,31.57,0.59,1.88
また,67,0.2,40.35,0.58,1.45
.,66,0.2,21.05,0.57,2.75
方,65,0.2,33.33,0.57,1.71
1,65,0.2,28.07,0.57,2.03
出,65,0.2,33.33,0.57,1.71
前,64,0.2,32.45,0.56,1.72
/,60,0.18,12.28,0.52,4.28
だっ,59,0.18,31.57,0.51,1.63
人,59,0.18,32.45,0.51,1.59
入れ,58,0.18,34.21,0.5,1.48
思い,58,0.18,31.57,0.5,1.61
白,58,0.18,25.43,0.5,2.0
こちら,57,0.17,26.31,0.5,1.9
味噌汁,55,0.17,31.57,0.48,1.52
3,55,0.17,26.31,0.48,1.83
蟹,55,0.17,21.05,0.48,2.29
夜,54,0.16,29.82,0.47,1.58
