頻出単語,登場回数,登場回数/全単語数(26898)%,登場レビュー率 /(77本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
とても,42,0.15,0.31,0.54,1.75
少し,31,0.11,0.23,0.4,1.72
しっかり,23,0.08,0.16,0.29,1.76
ちょっと,19,0.07,0.14,0.24,1.72
かなり,17,0.06,0.15,0.22,1.41
特に,15,0.05,0.18,0.19,1.07
やはり,15,0.05,0.14,0.19,1.36
よく,14,0.05,0.14,0.18,1.27
いつも,11,0.04,0.11,0.14,1.22
もちろん,11,0.04,0.12,0.14,1.1
もう,11,0.04,0.12,0.14,1.1
また,11,0.04,0.14,0.14,1.0
しっとり,10,0.03,0.09,0.12,1.42
初めて,10,0.03,0.12,0.12,1.0
とにかく,10,0.03,0.1,0.12,1.25
ねっとり,9,0.03,0.1,0.11,1.12
そう,9,0.03,0.07,0.11,1.5
さすが,9,0.03,0.11,0.11,1.0
さっぱり,9,0.03,0.06,0.11,1.8
なかなか,8,0.02,0.07,0.1,1.33
もう少し,7,0.02,0.06,0.09,1.4
まだ,7,0.02,0.09,0.09,1.0
こんなに,7,0.02,0.09,0.09,1.0
ほぼ,7,0.02,0.06,0.09,1.4
結構,6,0.02,0.07,0.07,1.0
やや,6,0.02,0.06,0.07,1.2
相変わらず,6,0.02,0.07,0.07,1.0
凛と,6,0.02,0.07,0.07,1.0
なぜ,6,0.02,0.07,0.07,1.0
ふんわり,6,0.02,0.07,0.07,1.0
ゆったり,5,0.01,0.06,0.06,1.0
全く,5,0.01,0.06,0.06,1.0
あまり,5,0.01,0.05,0.06,1.25
めっちゃ,5,0.01,0.03,0.06,1.66
最も,5,0.01,0.03,0.06,1.66
本当に,5,0.01,0.05,0.06,1.25
極めて,5,0.01,0.01,0.06,5.0
どう,4,0.01,0.05,0.05,1.0
まさに,4,0.01,0.05,0.05,1.0
たま,4,0.01,0.03,0.05,1.33
あっさり,4,0.01,0.03,0.05,1.33
ちょうど,4,0.01,0.03,0.05,1.33
たまたま,4,0.01,0.05,0.05,1.0
実に,4,0.01,0.05,0.05,1.0
決して,4,0.01,0.03,0.05,1.33
きちんと,4,0.01,0.05,0.05,1.0
まあ,4,0.01,0.02,0.05,2.0
とろとろ,3,0.01,0.03,0.03,1.0
随分,3,0.01,0.02,0.03,1.5
より,3,0.01,0.03,0.03,1.0
比較的,3,0.01,0.03,0.03,1.0
ほんのり,3,0.01,0.03,0.03,1.0
ほろほろ,3,0.01,0.03,0.03,1.0
まず,3,0.01,0.02,0.03,1.5
ふわふわ,3,0.01,0.02,0.03,1.5
ホッ,3,0.01,0.03,0.03,1.0
あっという間に,3,0.01,0.03,0.03,1.0
