頻出単語,登場回数,登場回数/全単語数(26898)%,登場レビュー率 /(77本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
た,750,2.78,0.94,9.74,10.27
です,294,1.09,0.81,3.81,4.66
な,259,0.96,0.72,3.36,4.62
ます,202,0.75,0.63,2.62,4.12
まし,172,0.63,0.72,2.23,3.07
ない,117,0.43,0.59,1.51,2.54
で,96,0.35,0.53,1.24,2.34
でし,81,0.3,0.54,1.05,1.92
だ,76,0.28,0.45,0.98,2.17
ん,40,0.14,0.29,0.51,1.73
ませ,38,0.14,0.29,0.49,1.65
ず,32,0.11,0.31,0.41,1.33
う,31,0.11,0.29,0.4,1.34
だっ,25,0.09,0.25,0.32,1.25
たい,24,0.08,0.27,0.31,1.14
なく,22,0.08,0.19,0.28,1.46
なら,20,0.07,0.18,0.25,1.42
ある,17,0.06,0.11,0.22,1.88
たら,16,0.05,0.16,0.2,1.23
でしょ,14,0.05,0.12,0.18,1.4
たく,13,0.04,0.12,0.16,1.3
なかっ,8,0.02,0.09,0.1,1.14
あり,8,0.02,0.07,0.1,1.33
らしい,8,0.02,0.03,0.1,2.66
べき,6,0.02,0.06,0.07,1.2
だろ,6,0.02,0.07,0.07,1.0
り,5,0.01,0.06,0.06,1.0
ぬ,4,0.01,0.03,0.05,1.33
たかっ,4,0.01,0.03,0.05,1.33
あろ,4,0.01,0.05,0.05,1.0
る,4,0.01,0.05,0.05,1.0
つ,4,0.01,0.05,0.05,1.0
あっ,4,0.01,0.05,0.05,1.0
き,3,0.01,0.03,0.03,1.0
らしく,3,0.01,0.03,0.03,1.0
らしき,2,0.0,0.02,0.02,1.0
や,2,0.0,0.02,0.02,1.0
ござい,2,0.0,0.02,0.02,1.0
れ,1,0.0,0.01,0.01,1.0
無い,1,0.0,0.01,0.01,1.0
なけれ,1,0.0,0.01,0.01,1.0
まい,1,0.0,0.01,0.01,1.0
あれ,1,0.0,0.01,0.01,1.0
ましょ,1,0.0,0.01,0.01,1.0
なる,1,0.0,0.01,0.01,1.0
無く,1,0.0,0.01,0.01,1.0
ざる,1,0.0,0.01,0.01,1.0
なきゃ,1,0.0,0.01,0.01,1.0
たり,1,0.0,0.01,0.01,1.0
たる,1,0.0,0.01,0.01,1.0
