頻出単語,登場回数,登場回数/全単語数(26898)%,登場レビュー率 /(77本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
する,399,1.48,0.89,5.18,5.78
いる,183,0.68,0.71,2.37,3.32
ある,133,0.49,0.64,1.72,2.66
れる,109,0.4,0.46,1.41,3.02
なる,91,0.33,0.49,1.18,2.39
思う,66,0.24,0.51,0.85,1.65
つまむ,65,0.24,0.38,0.84,2.16
食べる,64,0.23,0.46,0.83,1.77
感じる,59,0.21,0.41,0.76,1.84
くれる,43,0.15,0.24,0.55,2.26
せる,37,0.13,0.27,0.48,1.76
いただく,34,0.12,0.23,0.44,1.88
られる,34,0.12,0.28,0.44,1.54
てる,33,0.12,0.25,0.42,1.65
くる,33,0.12,0.31,0.42,1.37
行く,33,0.12,0.24,0.42,1.73
頂く,33,0.12,0.19,0.42,2.2
しまう,30,0.11,0.27,0.38,1.42
おる,29,0.1,0.14,0.37,2.63
煮る,26,0.09,0.2,0.33,1.62
できる,24,0.08,0.23,0.31,1.33
蒸す,23,0.08,0.23,0.29,1.27
言う,23,0.08,0.24,0.29,1.21
みる,22,0.08,0.15,0.28,1.83
握る,22,0.08,0.23,0.28,1.22
いう,21,0.07,0.19,0.27,1.4
出る,20,0.07,0.19,0.25,1.33
いく,20,0.07,0.2,0.25,1.25
来る,19,0.07,0.18,0.24,1.35
入る,19,0.07,0.19,0.24,1.26
とる,18,0.06,0.15,0.23,1.5
残る,18,0.06,0.19,0.23,1.2
伺う,17,0.06,0.16,0.22,1.3
使う,17,0.06,0.12,0.22,1.7
わかる,17,0.06,0.1,0.22,2.12
合わせる,16,0.05,0.14,0.2,1.45
強める,16,0.05,0.11,0.2,1.77
入れる,16,0.05,0.15,0.2,1.33
聞く,16,0.05,0.11,0.2,1.77
効く,16,0.05,0.14,0.2,1.45
出す,15,0.05,0.14,0.19,1.36
置く,13,0.04,0.09,0.16,1.85
過ぎる,13,0.04,0.12,0.16,1.3
任せる,12,0.04,0.11,0.15,1.33
違う,12,0.04,0.11,0.15,1.33
しれる,12,0.04,0.1,0.15,1.5
行う,12,0.04,0.11,0.15,1.33
合う,12,0.04,0.11,0.15,1.33
させる,11,0.04,0.07,0.14,1.83
見る,11,0.04,0.11,0.14,1.22
ちゃう,11,0.04,0.09,0.14,1.57
すぎる,11,0.04,0.1,0.14,1.37
にぎる,11,0.04,0.1,0.14,1.37
楽しむ,11,0.04,0.11,0.14,1.22
かける,10,0.03,0.07,0.12,1.66
取る,10,0.03,0.11,0.12,1.11
焼く,10,0.03,0.11,0.12,1.11
始まる,10,0.03,0.1,0.12,1.25
炙る,9,0.03,0.1,0.11,1.12
もらう,9,0.03,0.09,0.11,1.28
上がる,9,0.03,0.07,0.11,1.5
いただける,8,0.02,0.1,0.1,1.0
変わる,8,0.02,0.06,0.1,1.6
忘れる,8,0.02,0.09,0.1,1.14
考える,8,0.02,0.09,0.1,1.14
取れる,8,0.02,0.09,0.1,1.14
やる,8,0.02,0.07,0.1,1.33
湯引く,8,0.02,0.1,0.1,1.0
利く,8,0.02,0.07,0.1,1.33
出来る,7,0.02,0.09,0.09,1.0
書く,7,0.02,0.05,0.09,1.75
頂ける,7,0.02,0.05,0.09,1.75
楽しめる,7,0.02,0.09,0.09,1.0
負ける,7,0.02,0.07,0.09,1.16
飲む,7,0.02,0.07,0.09,1.16
撮る,7,0.02,0.09,0.09,1.0
残す,6,0.02,0.06,0.07,1.2
漂う,6,0.02,0.07,0.07,1.0
浸す,6,0.02,0.07,0.07,1.0
切る,6,0.02,0.07,0.07,1.0
思い出す,6,0.02,0.07,0.07,1.0
引き出す,6,0.02,0.05,0.07,1.5
炊く,6,0.02,0.06,0.07,1.2
溶ける,6,0.02,0.07,0.07,1.0
持つ,6,0.02,0.07,0.07,1.0
つける,6,0.02,0.06,0.07,1.2
流す,6,0.02,0.06,0.07,1.2
摘む,6,0.02,0.01,0.07,6.0
驚く,6,0.02,0.06,0.07,1.2
際立つ,6,0.02,0.07,0.07,1.0
覚える,6,0.02,0.07,0.07,1.0
引き立つ,6,0.02,0.05,0.07,1.5
すむ,5,0.01,0.06,0.06,1.0
つく,5,0.01,0.06,0.06,1.0
巻く,5,0.01,0.05,0.06,1.25
噛む,5,0.01,0.06,0.06,1.0
香る,5,0.01,0.05,0.06,1.25
増える,5,0.01,0.05,0.06,1.25
おく,5,0.01,0.05,0.06,1.25
頼む,5,0.01,0.06,0.06,1.0
通う,5,0.01,0.06,0.06,1.0
乗る,5,0.01,0.06,0.06,1.0
進む,5,0.01,0.06,0.06,1.0
話す,5,0.01,0.06,0.06,1.0
上げる,5,0.01,0.06,0.06,1.0
座る,5,0.01,0.06,0.06,1.0
くえる,5,0.01,0.01,0.06,5.0
超える,5,0.01,0.05,0.06,1.25
はる,5,0.01,0.05,0.06,1.25
とろける,5,0.01,0.05,0.06,1.25
解ける,5,0.01,0.02,0.06,2.5
並ぶ,4,0.01,0.03,0.05,1.33
叩く,4,0.01,0.03,0.05,1.33
含める,4,0.01,0.05,0.05,1.0
分かる,4,0.01,0.03,0.05,1.33
茹でる,4,0.01,0.05,0.05,1.0
いける,4,0.01,0.05,0.05,1.0
味わう,4,0.01,0.05,0.05,1.0
離れる,4,0.01,0.05,0.05,1.0
くぐる,4,0.01,0.03,0.05,1.33
続く,4,0.01,0.03,0.05,1.33
く,4,0.01,0.02,0.05,2.0
蕩ける,4,0.01,0.02,0.05,2.0
溢れる,4,0.01,0.05,0.05,1.0
でる,4,0.01,0.05,0.05,1.0
比べる,4,0.01,0.05,0.05,1.0
もらえる,4,0.01,0.03,0.05,1.33
増す,4,0.01,0.05,0.05,1.0
触れる,4,0.01,0.03,0.05,1.33
呑む,4,0.01,0.01,0.05,4.0
思わす,4,0.01,0.02,0.05,2.0
経つ,4,0.01,0.03,0.05,1.33
ぬる,4,0.01,0.01,0.05,4.0
広がる,4,0.01,0.05,0.05,1.0
ほどける,4,0.01,0.05,0.05,1.0
切りつける,4,0.01,0.02,0.05,2.0
立つ,4,0.01,0.05,0.05,1.0
変える,4,0.01,0.01,0.05,4.0
過ごす,3,0.01,0.03,0.03,1.0
空く,3,0.01,0.03,0.03,1.0
のる,3,0.01,0.03,0.03,1.0
仕入れる,3,0.01,0.02,0.03,1.5
だす,3,0.01,0.03,0.03,1.0
おろす,3,0.01,0.03,0.03,1.0
あおる,3,0.01,0.03,0.03,1.0
伝える,3,0.01,0.02,0.03,1.5
和える,3,0.01,0.02,0.03,1.5
待つ,3,0.01,0.03,0.03,1.0
詰め込む,3,0.01,0.02,0.03,1.5
選べる,3,0.01,0.03,0.03,1.0
仰る,3,0.01,0.02,0.03,1.5
詰まる,3,0.01,0.03,0.03,1.0
得る,3,0.01,0.03,0.03,1.0
終わる,3,0.01,0.03,0.03,1.0
あがる,3,0.01,0.03,0.03,1.0
保つ,3,0.01,0.03,0.03,1.0
損ねる,3,0.01,0.02,0.03,1.5
始める,3,0.01,0.03,0.03,1.0
のれる,3,0.01,0.03,0.03,1.0
言える,3,0.01,0.03,0.03,1.0
伺える,3,0.01,0.03,0.03,1.0
よる,3,0.01,0.03,0.03,1.0
欠ける,3,0.01,0.03,0.03,1.0
向く,3,0.01,0.03,0.03,1.0
きする,3,0.01,0.03,0.03,1.0
片付ける,3,0.01,0.03,0.03,1.0
きく,3,0.01,0.02,0.03,1.5
思える,3,0.01,0.02,0.03,1.5
連れる,3,0.01,0.02,0.03,1.5
輝く,3,0.01,0.02,0.03,1.5
揃う,3,0.01,0.03,0.03,1.0
いらっしゃる,3,0.01,0.03,0.03,1.0
知る,3,0.01,0.03,0.03,1.0
満たす,3,0.01,0.02,0.03,1.5
あげる,3,0.01,0.03,0.03,1.0
添える,3,0.01,0.02,0.03,1.5
締める,3,0.01,0.02,0.03,1.5
戻る,3,0.01,0.02,0.03,1.5
くださる,3,0.01,0.02,0.03,1.5
与える,3,0.01,0.01,0.03,3.0
ふる,3,0.01,0.03,0.03,1.0
訪れる,3,0.01,0.03,0.03,1.0
抜く,2,0.0,0.02,0.02,1.0
くすぐる,2,0.0,0.02,0.02,1.0
いたす,2,0.0,0.02,0.02,1.0
あり,2,0.0,0.02,0.02,1.0
下げる,2,0.0,0.02,0.02,1.0
つくる,2,0.0,0.02,0.02,1.0
答える,2,0.0,0.01,0.02,2.0
笑う,2,0.0,0.01,0.02,2.0
開ける,2,0.0,0.02,0.02,1.0
積む,2,0.0,0.02,0.02,1.0
疲れる,2,0.0,0.02,0.02,1.0
落ちる,2,0.0,0.02,0.02,1.0
続ける,2,0.0,0.02,0.02,1.0
似る,2,0.0,0.02,0.02,1.0
伝わる,2,0.0,0.02,0.02,1.0
行き届く,2,0.0,0.02,0.02,1.0
たく,2,0.0,0.02,0.02,1.0
切り分ける,2,0.0,0.02,0.02,1.0
かねる,2,0.0,0.02,0.02,1.0
異なる,2,0.0,0.02,0.02,1.0
あわせる,2,0.0,0.02,0.02,1.0
聞こえる,2,0.0,0.02,0.02,1.0
下さる,2,0.0,0.02,0.02,1.0
とれる,2,0.0,0.02,0.02,1.0
立ち込める,2,0.0,0.01,0.02,2.0
かぶる,2,0.0,0.02,0.02,1.0
纏う,2,0.0,0.02,0.02,1.0
抜ける,2,0.0,0.02,0.02,1.0
埋まる,2,0.0,0.02,0.02,1.0
売る,2,0.0,0.02,0.02,1.0
歩く,2,0.0,0.02,0.02,1.0
見える,2,0.0,0.02,0.02,1.0
帰る,2,0.0,0.02,0.02,1.0
切れる,2,0.0,0.02,0.02,1.0
消す,2,0.0,0.02,0.02,1.0
求める,2,0.0,0.02,0.02,1.0
見かける,2,0.0,0.02,0.02,1.0
ゆく,2,0.0,0.02,0.02,1.0
加える,2,0.0,0.02,0.02,1.0
まいる,2,0.0,0.02,0.02,1.0
飛ぶ,2,0.0,0.02,0.02,1.0
活かす,2,0.0,0.02,0.02,1.0
作る,2,0.0,0.02,0.02,1.0
致す,2,0.0,0.02,0.02,1.0
落ち着く,2,0.0,0.02,0.02,1.0
伸びる,2,0.0,0.02,0.02,1.0
絡む,2,0.0,0.02,0.02,1.0
訊く,2,0.0,0.01,0.02,2.0
教える,2,0.0,0.02,0.02,1.0
選ぶ,2,0.0,0.02,0.02,1.0
飾る,2,0.0,0.02,0.02,1.0
決まる,2,0.0,0.02,0.02,1.0
載せる,2,0.0,0.02,0.02,1.0
経る,2,0.0,0.02,0.02,1.0
構える,2,0.0,0.02,0.02,1.0
たまる,2,0.0,0.02,0.02,1.0
食う,2,0.0,0.01,0.02,2.0
すく,2,0.0,0.02,0.02,1.0
飲める,2,0.0,0.01,0.02,2.0
たつ,2,0.0,0.02,0.02,1.0
受ける,2,0.0,0.02,0.02,1.0
込む,2,0.0,0.02,0.02,1.0
包み込む,2,0.0,0.02,0.02,1.0
引き立てる,2,0.0,0.02,0.02,1.0
落とす,2,0.0,0.02,0.02,1.0
高まる,2,0.0,0.02,0.02,1.0
好む,2,0.0,0.02,0.02,1.0
付く,2,0.0,0.02,0.02,1.0
砕ける,2,0.0,0.02,0.02,1.0
蘇る,2,0.0,0.01,0.02,2.0
上回る,2,0.0,0.02,0.02,1.0
付ける,2,0.0,0.02,0.02,1.0
移る,2,0.0,0.02,0.02,1.0
見合わせる,2,0.0,0.01,0.02,2.0
勝る,2,0.0,0.02,0.02,1.0
運ぶ,2,0.0,0.02,0.02,1.0
用いる,2,0.0,0.01,0.02,2.0
寝かせる,2,0.0,0.01,0.02,2.0
ふう,2,0.0,0.02,0.02,1.0
知れる,2,0.0,0.02,0.02,1.0
ハマる,2,0.0,0.02,0.02,1.0
行ける,2,0.0,0.02,0.02,1.0
過ごせる,2,0.0,0.02,0.02,1.0
わく,2,0.0,0.02,0.02,1.0
読む,2,0.0,0.02,0.02,1.0
浸る,2,0.0,0.02,0.02,1.0
まとめる,2,0.0,0.01,0.02,2.0
がんばる,2,0.0,0.02,0.02,1.0
かかす,1,0.0,0.01,0.01,1.0
燻す,1,0.0,0.01,0.01,1.0
擽る,1,0.0,0.01,0.01,1.0
食する,1,0.0,0.01,0.01,1.0
覆う,1,0.0,0.01,0.01,1.0
消える,1,0.0,0.01,0.01,1.0
移す,1,0.0,0.01,0.01,1.0
かぎる,1,0.0,0.01,0.01,1.0
仕る,1,0.0,0.01,0.01,1.0
活きる,1,0.0,0.01,0.01,1.0
すりつぶす,1,0.0,0.01,0.01,1.0
こぐ,1,0.0,0.01,0.01,1.0
つよめる,1,0.0,0.01,0.01,1.0
来れる,1,0.0,0.01,0.01,1.0
微笑む,1,0.0,0.01,0.01,1.0
かかる,1,0.0,0.01,0.01,1.0
おもう,1,0.0,0.01,0.01,1.0
焦る,1,0.0,0.01,0.01,1.0
そびれる,1,0.0,0.01,0.01,1.0
ござる,1,0.0,0.01,0.01,1.0
名付ける,1,0.0,0.01,0.01,1.0
足りる,1,0.0,0.01,0.01,1.0
目立つ,1,0.0,0.01,0.01,1.0
しぼる,1,0.0,0.01,0.01,1.0
終える,1,0.0,0.01,0.01,1.0
じゃう,1,0.0,0.01,0.01,1.0
見合う,1,0.0,0.01,0.01,1.0
務める,1,0.0,0.01,0.01,1.0
拘る,1,0.0,0.01,0.01,1.0
どける,1,0.0,0.01,0.01,1.0
すわる,1,0.0,0.01,0.01,1.0
着く,1,0.0,0.01,0.01,1.0
聞き返す,1,0.0,0.01,0.01,1.0
迎える,1,0.0,0.01,0.01,1.0
通す,1,0.0,0.01,0.01,1.0
悔やむ,1,0.0,0.01,0.01,1.0
流れ出る,1,0.0,0.01,0.01,1.0
絡み合う,1,0.0,0.01,0.01,1.0
ためる,1,0.0,0.01,0.01,1.0
貰う,1,0.0,0.01,0.01,1.0
しまる,1,0.0,0.01,0.01,1.0
進める,1,0.0,0.01,0.01,1.0
裏切る,1,0.0,0.01,0.01,1.0
弾ける,1,0.0,0.01,0.01,1.0
緩む,1,0.0,0.01,0.01,1.0
設える,1,0.0,0.01,0.01,1.0
延びる,1,0.0,0.01,0.01,1.0
まかせる,1,0.0,0.01,0.01,1.0
支える,1,0.0,0.01,0.01,1.0
呼ぶ,1,0.0,0.01,0.01,1.0
したう,1,0.0,0.01,0.01,1.0
煮付ける,1,0.0,0.01,0.01,1.0
探す,1,0.0,0.01,0.01,1.0
はいる,1,0.0,0.01,0.01,1.0
