頻出単語,登場回数,登場回数/全単語数(26898)%,登場レビュー率 /(77本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
の,156,0.57,0.64,2.02,3.12
さん,139,0.51,0.62,1.8,2.89
握り,138,0.51,0.62,1.79,2.87
シャリ,129,0.47,0.61,1.67,2.74
店,114,0.42,0.57,1.48,2.59
鮨,95,0.35,0.42,1.23,2.87
穴子,86,0.31,0.46,1.11,2.38
トロ,83,0.3,0.46,1.07,2.3
酢,81,0.3,0.49,1.05,2.13
銀座,80,0.29,0.45,1.03,2.28
-,78,0.28,0.06,1.01,15.6
さ,70,0.26,0.45,0.9,2.0
青空,69,0.25,0.54,0.89,1.64
よう,69,0.25,0.33,0.89,2.65
こと,66,0.24,0.38,0.85,2.2
中,60,0.22,0.5,0.77,1.53
感,60,0.22,0.35,0.77,2.22
寿司,60,0.22,0.41,0.77,1.87
(,57,0.21,0.24,0.74,3.0
大将,56,0.2,0.33,0.72,2.15
酒,54,0.2,0.4,0.7,1.74
方,51,0.18,0.35,0.66,1.88
ネタ,49,0.18,0.42,0.63,1.48
米,48,0.17,0.28,0.62,2.18
これ,47,0.17,0.33,0.61,1.8
2,46,0.17,0.38,0.59,1.53
～,46,0.17,0.12,0.59,4.6
私,46,0.17,0.28,0.59,2.09
産,46,0.17,0.1,0.59,5.75
もの,44,0.16,0.24,0.57,2.31
一,44,0.16,0.32,0.57,1.76
味,42,0.15,0.31,0.54,1.75
屋,41,0.15,0.31,0.53,1.7
人,41,0.15,0.31,0.53,1.7
的,40,0.14,0.24,0.51,2.1
すき,38,0.14,0.31,0.49,1.58
年,37,0.13,0.2,0.48,2.31
赤身,37,0.13,0.37,0.48,1.27
予約,37,0.13,0.35,0.48,1.37
鮑,36,0.13,0.33,0.46,1.38
こちら,35,0.13,0.25,0.45,1.75
前,34,0.12,0.29,0.44,1.47
旨味,34,0.12,0.16,0.44,2.61
印象,33,0.12,0.28,0.42,1.5
１,33,0.12,0.18,0.42,2.35
),33,0.12,0.19,0.42,2.2
ん,33,0.12,0.29,0.42,1.43
車海老,32,0.11,0.29,0.41,1.39
香り,32,0.11,0.16,0.41,2.46
時,32,0.11,0.31,0.41,1.33
カウンター,32,0.11,0.32,0.41,1.28
甘み,31,0.11,0.09,0.4,4.42
席,31,0.11,0.2,0.4,1.93
好み,31,0.11,0.31,0.4,1.29
雲丹,31,0.11,0.22,0.4,1.82
マグロ,31,0.11,0.19,0.4,2.06
日本,29,0.1,0.28,0.37,1.31
白,29,0.1,0.2,0.37,1.81
.,29,0.1,0.07,0.37,4.83
訪問,29,0.1,0.2,0.37,1.81
追加,28,0.1,0.22,0.36,1.64
脂,28,0.1,0.19,0.36,1.86
出汁,28,0.1,0.19,0.36,1.86
玉子,27,0.1,0.23,0.35,1.5
日,27,0.1,0.22,0.35,1.58
ここ,27,0.1,0.23,0.35,1.5
