頻出単語,登場回数,登場回数/全単語数(26898)%,登場レビュー率 /(77本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
美味しい,84,0.31,0.55,1.09,1.95
ない,69,0.25,0.49,0.89,1.81
良い,48,0.17,0.38,0.62,1.6
素晴らしい,42,0.15,0.25,0.54,2.1
強い,38,0.14,0.2,0.49,2.37
やばい,38,0.14,0.31,0.49,1.58
高い,31,0.11,0.28,0.4,1.4
いい,26,0.09,0.18,0.33,1.85
多い,21,0.07,0.2,0.27,1.31
旨い,17,0.06,0.11,0.22,1.88
無い,17,0.06,0.15,0.22,1.41
軽い,16,0.05,0.11,0.2,1.77
大きい,15,0.05,0.12,0.19,1.5
柔らかい,15,0.05,0.16,0.19,1.15
よい,14,0.05,0.16,0.18,1.07
甘い,14,0.05,0.12,0.18,1.4
美しい,12,0.04,0.12,0.15,1.2
すごい,11,0.04,0.1,0.14,1.37
やすい,10,0.03,0.09,0.12,1.42
楽しい,10,0.03,0.11,0.12,1.11
うまい,10,0.03,0.1,0.12,1.25
広い,8,0.02,0.09,0.1,1.14
少ない,8,0.02,0.07,0.1,1.33
若い,8,0.02,0.1,0.1,1.0
優しい,7,0.02,0.09,0.09,1.0
美味い,7,0.02,0.06,0.09,1.4
面白い,6,0.02,0.02,0.07,3.0
嬉しい,5,0.01,0.06,0.06,1.0
安い,5,0.01,0.06,0.06,1.0
細かい,5,0.01,0.03,0.06,1.66
おいしい,5,0.01,0.05,0.06,1.25
長い,5,0.01,0.03,0.06,1.66
近い,4,0.01,0.05,0.05,1.0
にくい,4,0.01,0.05,0.05,1.0
白い,4,0.01,0.05,0.05,1.0
硬い,4,0.01,0.05,0.05,1.0
新しい,4,0.01,0.05,0.05,1.0
程よい,4,0.01,0.05,0.05,1.0
凄い,4,0.01,0.03,0.05,1.33
淡い,3,0.01,0.02,0.03,1.5
固い,3,0.01,0.03,0.03,1.0
小さい,3,0.01,0.03,0.03,1.0
清々しい,3,0.01,0.02,0.03,1.5
温かい,3,0.01,0.03,0.03,1.0
辛い,3,0.01,0.03,0.03,1.0
早い,3,0.01,0.03,0.03,1.0
力強い,3,0.01,0.03,0.03,1.0
遅い,3,0.01,0.03,0.03,1.0
薄い,3,0.01,0.03,0.03,1.0
冷たい,3,0.01,0.03,0.03,1.0
たまらない,3,0.01,0.02,0.03,1.5
低い,2,0.0,0.02,0.02,1.0
悪い,2,0.0,0.02,0.02,1.0
生臭い,2,0.0,0.02,0.02,1.0
深い,2,0.0,0.02,0.02,1.0
弱い,2,0.0,0.02,0.02,1.0
濃い,2,0.0,0.02,0.02,1.0
若々しい,2,0.0,0.02,0.02,1.0
おかしい,2,0.0,0.02,0.02,1.0
厚い,2,0.0,0.02,0.02,1.0
もったいない,2,0.0,0.02,0.02,1.0
すばらしい,2,0.0,0.01,0.02,2.0
おこがましい,2,0.0,0.02,0.02,1.0
儚い,1,0.0,0.01,0.01,1.0
気持ちいい,1,0.0,0.01,0.01,1.0
狭い,1,0.0,0.01,0.01,1.0
物足りない,1,0.0,0.01,0.01,1.0
あまい,1,0.0,0.01,0.01,1.0
やわらかい,1,0.0,0.01,0.01,1.0
とろい,1,0.0,0.01,0.01,1.0
っぽい,1,0.0,0.01,0.01,1.0
やさしい,1,0.0,0.01,0.01,1.0
くどい,1,0.0,0.01,0.01,1.0
輝かしい,1,0.0,0.01,0.01,1.0
かっこよい,1,0.0,0.01,0.01,1.0
ままならない,1,0.0,0.01,0.01,1.0
くさい,1,0.0,0.01,0.01,1.0
ばっちい,1,0.0,0.01,0.01,1.0
かるい,1,0.0,0.01,0.01,1.0
酸っぱい,1,0.0,0.01,0.01,1.0
思わしい,1,0.0,0.01,0.01,1.0
香ばしい,1,0.0,0.01,0.01,1.0
有難い,1,0.0,0.01,0.01,1.0
瑞々しい,1,0.0,0.01,0.01,1.0
真新しい,1,0.0,0.01,0.01,1.0
煩い,1,0.0,0.01,0.01,1.0
寒い,1,0.0,0.01,0.01,1.0
物凄い,1,0.0,0.01,0.01,1.0
味わい深い,1,0.0,0.01,0.01,1.0
太い,1,0.0,0.01,0.01,1.0
正しい,1,0.0,0.01,0.01,1.0
づらい,1,0.0,0.01,0.01,1.0
欲しい,1,0.0,0.01,0.01,1.0
めでたい,1,0.0,0.01,0.01,1.0
騒がしい,1,0.0,0.01,0.01,1.0
思いがけない,1,0.0,0.01,0.01,1.0
愉しい,1,0.0,0.01,0.01,1.0
詳しい,1,0.0,0.01,0.01,1.0
可愛い,1,0.0,0.01,0.01,1.0
遠い,1,0.0,0.01,0.01,1.0
エラい,1,0.0,0.01,0.01,1.0
水っぽい,1,0.0,0.01,0.01,1.0
凄まじい,1,0.0,0.01,0.01,1.0
すい,1,0.0,0.01,0.01,1.0
野暮ったい,1,0.0,0.01,0.01,1.0
明るい,1,0.0,0.01,0.01,1.0
そぐわない,1,0.0,0.01,0.01,1.0
分厚い,1,0.0,0.01,0.01,1.0
気持ち良い,1,0.0,0.01,0.01,1.0
ぎこちない,1,0.0,0.01,0.01,1.0
不味い,1,0.0,0.01,0.01,1.0
あかい,1,0.0,0.01,0.01,1.0
おぞい,1,0.0,0.01,0.01,1.0
粘い,1,0.0,0.01,0.01,1.0
浅い,1,0.0,0.01,0.01,1.0
ぬるい,1,0.0,0.01,0.01,1.0
雄々しい,1,0.0,0.01,0.01,1.0
印象深い,1,0.0,0.01,0.01,1.0
悩ましい,1,0.0,0.01,0.01,1.0
稚い,1,0.0,0.01,0.01,1.0
怖い,1,0.0,0.01,0.01,1.0
ひどい,1,0.0,0.01,0.01,1.0
まずい,1,0.0,0.01,0.01,1.0
気持ちよい,1,0.0,0.01,0.01,1.0
ほしい,1,0.0,0.01,0.01,1.0
短い,1,0.0,0.01,0.01,1.0
上手い,1,0.0,0.01,0.01,1.0
難しい,1,0.0,0.01,0.01,1.0
丸い,1,0.0,0.01,0.01,1.0
潔い,1,0.0,0.01,0.01,1.0
ありがたい,1,0.0,0.01,0.01,1.0
細い,1,0.0,0.01,0.01,1.0
忙しい,1,0.0,0.01,0.01,1.0
