頻出単語,登場回数,登場回数/全単語数(26898)%,登場レビュー率 /(77本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
ご馳走様,4,0.01,0.05,0.05,1.0
うん,3,0.01,0.03,0.03,1.0
うーん,3,0.01,0.01,0.03,3.0
はぁ,3,0.01,0.01,0.03,3.0
ありがとう,3,0.01,0.03,0.03,1.0
まぁ,2,0.0,0.02,0.02,1.0
あー,2,0.0,0.02,0.02,1.0
あぁ,2,0.0,0.02,0.02,1.0
ご馳走さま,2,0.0,0.02,0.02,1.0
あ,2,0.0,0.01,0.02,2.0
う,2,0.0,0.02,0.02,1.0
ごちそうさま,1,0.0,0.01,0.01,1.0
え,1,0.0,0.01,0.01,1.0
うーむ,1,0.0,0.01,0.01,1.0
おお,1,0.0,0.01,0.01,1.0
えッ,1,0.0,0.01,0.01,1.0
いや,1,0.0,0.01,0.01,1.0
ごちそう様,1,0.0,0.01,0.01,1.0
わーい,1,0.0,0.01,0.01,1.0
すみません,1,0.0,0.01,0.01,1.0
