頻出単語,登場回数,登場回数/全単語数(26898)%,登場レビュー率 /(77本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
また,23,0.08,0.19,0.29,1.53
そして,22,0.08,0.19,0.28,1.46
ただ,16,0.05,0.16,0.2,1.23
しかし,13,0.04,0.09,0.16,1.85
まずは,7,0.02,0.07,0.09,1.16
さて,6,0.02,0.07,0.07,1.0
でも,6,0.02,0.06,0.07,1.2
ちなみに,5,0.01,0.03,0.06,1.66
いや,5,0.01,0.06,0.06,1.0
それでも,4,0.01,0.05,0.05,1.0
なので,3,0.01,0.03,0.03,1.0
尚,3,0.01,0.01,0.03,3.0
ただし,2,0.0,0.02,0.02,1.0
そしたら,2,0.0,0.01,0.02,2.0
しかも,2,0.0,0.02,0.02,1.0
だから,2,0.0,0.02,0.02,1.0
かつ,2,0.0,0.02,0.02,1.0
もしくは,1,0.0,0.01,0.01,1.0
ならば,1,0.0,0.01,0.01,1.0
が,1,0.0,0.01,0.01,1.0
ましてや,1,0.0,0.01,0.01,1.0
しかしながら,1,0.0,0.01,0.01,1.0
では,1,0.0,0.01,0.01,1.0
それから,1,0.0,0.01,0.01,1.0
