頻出単語,登場回数,登場回数/全単語数(26898)%,登場レビュー率 /(77本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
この,83,0.3,0.41,1.07,2.59
その,23,0.08,0.2,0.29,1.43
同じ,8,0.02,0.07,0.1,1.33
そんな,8,0.02,0.1,0.1,1.0
あの,7,0.02,0.09,0.09,1.0
どの,4,0.01,0.05,0.05,1.0
こんな,4,0.01,0.03,0.05,1.33
そういう,3,0.01,0.03,0.03,1.0
あらゆる,3,0.01,0.03,0.03,1.0
ほんの,3,0.01,0.02,0.03,1.5
色んな,2,0.0,0.02,0.02,1.0
こういう,2,0.0,0.02,0.02,1.0
大きな,2,0.0,0.02,0.02,1.0
いわゆる,2,0.0,0.01,0.02,2.0
どんな,2,0.0,0.02,0.02,1.0
とある,2,0.0,0.02,0.02,1.0
いろんな,1,0.0,0.01,0.01,1.0
小さな,1,0.0,0.01,0.01,1.0
ある,1,0.0,0.01,0.01,1.0
そういった,1,0.0,0.01,0.01,1.0
さる,1,0.0,0.01,0.01,1.0
かの,1,0.0,0.01,0.01,1.0
