頻出単語,登場回数,登場回数/全単語数(26898)%,登場レビュー率 /(100本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
初めて,32,0.11,0.19,0.32,1.68
とても,32,0.11,0.19,0.32,1.68
本当に,30,0.11,0.2,0.3,1.5
いつも,20,0.07,0.14,0.2,1.42
かなり,20,0.07,0.16,0.2,1.25
少し,18,0.06,0.1,0.18,1.8
やはり,17,0.06,0.12,0.17,1.41
もう,15,0.05,0.12,0.15,1.25
よく,15,0.05,0.11,0.15,1.36
しっかり,14,0.05,0.09,0.14,1.55
そう,14,0.05,0.13,0.14,1.07
特に,14,0.05,0.12,0.14,1.16
更に,12,0.04,0.07,0.12,1.71
また,12,0.04,0.12,0.12,1.0
なかなか,11,0.04,0.1,0.11,1.1
もちろん,10,0.03,0.09,0.1,1.11
どう,10,0.03,0.1,0.1,1.0
ちょっと,10,0.03,0.09,0.1,1.11
全く,10,0.03,0.08,0.1,1.25
これから,9,0.03,0.08,0.09,1.12
あまり,9,0.03,0.08,0.09,1.12
まだ,8,0.02,0.08,0.08,1.0
なんと,8,0.02,0.07,0.08,1.14
さらに,8,0.02,0.07,0.08,1.14
そのまま,8,0.02,0.08,0.08,1.0
とっても,8,0.02,0.04,0.08,2.0
さ,7,0.02,0.03,0.07,2.33
相変わらず,7,0.02,0.06,0.07,1.16
ずっと,7,0.02,0.05,0.07,1.4
すっかり,7,0.02,0.05,0.07,1.4
暫く,7,0.02,0.04,0.07,1.75
やや,7,0.02,0.04,0.07,1.75
まだまだ,7,0.02,0.07,0.07,1.0
まあ,7,0.02,0.04,0.07,1.75
もっと,6,0.02,0.05,0.06,1.2
少々,6,0.02,0.05,0.06,1.2
いよいよ,6,0.02,0.04,0.06,1.5
やっと,6,0.02,0.06,0.06,1.0
必ず,6,0.02,0.06,0.06,1.0
きちんと,6,0.02,0.03,0.06,2.0
当然,6,0.02,0.04,0.06,1.5
色々,6,0.02,0.05,0.06,1.2
さっぱり,6,0.02,0.05,0.06,1.2
結構,6,0.02,0.05,0.06,1.2
やっぱり,6,0.02,0.06,0.06,1.0
まったく,6,0.02,0.03,0.06,2.0
ゆったり,5,0.01,0.05,0.05,1.0
すぐ,5,0.01,0.05,0.05,1.0
次々,5,0.01,0.05,0.05,1.0
こんなに,5,0.01,0.05,0.05,1.0
なんだか,5,0.01,0.02,0.05,2.5
あまりに,5,0.01,0.05,0.05,1.0
はっきり,5,0.01,0.04,0.05,1.25
終始,4,0.01,0.04,0.04,1.0
ぜひ,4,0.01,0.03,0.04,1.33
ほとんど,4,0.01,0.03,0.04,1.33
ようやく,4,0.01,0.04,0.04,1.0
より,4,0.01,0.04,0.04,1.0
まさに,4,0.01,0.04,0.04,1.0
なぜ,4,0.01,0.04,0.04,1.0
一度,4,0.01,0.04,0.04,1.0
決して,4,0.01,0.04,0.04,1.0
もう少し,4,0.01,0.04,0.04,1.0
もはや,4,0.01,0.03,0.04,1.33
とにかく,4,0.01,0.04,0.04,1.0
勿論,4,0.01,0.02,0.04,2.0
いっぱい,4,0.01,0.04,0.04,1.0
はじめて,4,0.01,0.03,0.04,1.33
要は,4,0.01,0.02,0.04,2.0
そこそこ,4,0.01,0.01,0.04,4.0
それほど,3,0.01,0.03,0.03,1.0
うっとり,3,0.01,0.03,0.03,1.0
ほぼ,3,0.01,0.03,0.03,1.0
ずいぶん,3,0.01,0.03,0.03,1.0
ピッタリ,3,0.01,0.03,0.03,1.0
たまたま,3,0.01,0.03,0.03,1.0
ますます,3,0.01,0.03,0.03,1.0
すでに,3,0.01,0.03,0.03,1.0
ちゃんと,3,0.01,0.03,0.03,1.0
さすが,3,0.01,0.03,0.03,1.0
もしか,3,0.01,0.03,0.03,1.0
まず,3,0.01,0.03,0.03,1.0
何とも,3,0.01,0.03,0.03,1.0
こう,3,0.01,0.03,0.03,1.0
ついつい,3,0.01,0.03,0.03,1.0
ゆっくり,3,0.01,0.03,0.03,1.0
あえて,3,0.01,0.03,0.03,1.0
まるで,3,0.01,0.02,0.03,1.5
沢山,3,0.01,0.03,0.03,1.0
比較的,3,0.01,0.03,0.03,1.0
ぴったり,3,0.01,0.02,0.03,1.5
実際,3,0.01,0.03,0.03,1.0
いくら,3,0.01,0.03,0.03,1.0
せっかく,3,0.01,0.03,0.03,1.0
そんなに,3,0.01,0.02,0.03,1.5
同時に,2,0.0,0.02,0.02,1.0
ちょうど,2,0.0,0.02,0.02,1.0
ワクワク,2,0.0,0.02,0.02,1.0
きっと,2,0.0,0.02,0.02,1.0
常に,2,0.0,0.02,0.02,1.0
改めて,2,0.0,0.02,0.02,1.0
ついに,2,0.0,0.02,0.02,1.0
ねっとり,2,0.0,0.02,0.02,1.0
ふっくら,2,0.0,0.02,0.02,1.0
それだけ,2,0.0,0.02,0.02,1.0
同じく,2,0.0,0.01,0.02,2.0
正に,2,0.0,0.01,0.02,2.0
どうぞ,2,0.0,0.02,0.02,1.0
既に,2,0.0,0.02,0.02,1.0
たっぷり,2,0.0,0.02,0.02,1.0
早々,2,0.0,0.02,0.02,1.0
暫し,2,0.0,0.01,0.02,2.0
思わず,2,0.0,0.02,0.02,1.0
とことん,2,0.0,0.02,0.02,1.0
ふわふわ,2,0.0,0.02,0.02,1.0
むしろ,2,0.0,0.02,0.02,1.0
あんまり,2,0.0,0.02,0.02,1.0
どんどん,2,0.0,0.02,0.02,1.0
いつの間にか,2,0.0,0.02,0.02,1.0
しゃぶしゃぶ,2,0.0,0.02,0.02,1.0
サクサク,2,0.0,0.02,0.02,1.0
またまた,2,0.0,0.02,0.02,1.0
かつて,2,0.0,0.02,0.02,1.0
どうしても,2,0.0,0.02,0.02,1.0
実に,2,0.0,0.01,0.02,2.0
さして,2,0.0,0.02,0.02,1.0
突然,2,0.0,0.02,0.02,1.0
とろり,2,0.0,0.01,0.02,2.0
先ず,2,0.0,0.02,0.02,1.0
しっとり,2,0.0,0.02,0.02,1.0
殆ど,2,0.0,0.02,0.02,1.0
共に,2,0.0,0.02,0.02,1.0
丁度,2,0.0,0.02,0.02,1.0
もう一度,2,0.0,0.02,0.02,1.0
なんとか,2,0.0,0.02,0.02,1.0
たぶん,2,0.0,0.02,0.02,1.0
すこし,2,0.0,0.02,0.02,1.0
いきなり,2,0.0,0.02,0.02,1.0
是非,2,0.0,0.02,0.02,1.0
なんで,2,0.0,0.02,0.02,1.0
俄然,2,0.0,0.01,0.02,2.0
だいぶ,2,0.0,0.02,0.02,1.0
何と,2,0.0,0.02,0.02,1.0
とりあえず,2,0.0,0.02,0.02,1.0
多少,2,0.0,0.02,0.02,1.0
且つ,2,0.0,0.02,0.02,1.0
たま,1,0.0,0.01,0.01,1.0
遂に,1,0.0,0.01,0.01,1.0
しみじみ,1,0.0,0.01,0.01,1.0
元々,1,0.0,0.01,0.01,1.0
徐々に,1,0.0,0.01,0.01,1.0
ガラッ,1,0.0,0.01,0.01,1.0
何より,1,0.0,0.01,0.01,1.0
スーッ,1,0.0,0.01,0.01,1.0
いくらでも,1,0.0,0.01,0.01,1.0
しばらく,1,0.0,0.01,0.01,1.0
あっさり,1,0.0,0.01,0.01,1.0
何となく,1,0.0,0.01,0.01,1.0
およそ,1,0.0,0.01,0.01,1.0
ずばり,1,0.0,0.01,0.01,1.0
さっそく,1,0.0,0.01,0.01,1.0
漠然と,1,0.0,0.01,0.01,1.0
すっと,1,0.0,0.01,0.01,1.0
いつのまにか,1,0.0,0.01,0.01,1.0
極,1,0.0,0.01,0.01,1.0
パリッ,1,0.0,0.01,0.01,1.0
キリッ,1,0.0,0.01,0.01,1.0
何ら,1,0.0,0.01,0.01,1.0
ホッ,1,0.0,0.01,0.01,1.0
一旦,1,0.0,0.01,0.01,1.0
本当は,1,0.0,0.01,0.01,1.0
後で,1,0.0,0.01,0.01,1.0
キッ,1,0.0,0.01,0.01,1.0
別途,1,0.0,0.01,0.01,1.0
一見,1,0.0,0.01,0.01,1.0
締めて,1,0.0,0.01,0.01,1.0
わっ,1,0.0,0.01,0.01,1.0
今更,1,0.0,0.01,0.01,1.0
ポンポン,1,0.0,0.01,0.01,1.0
時には,1,0.0,0.01,0.01,1.0
時々,1,0.0,0.01,0.01,1.0
スッキリ,1,0.0,0.01,0.01,1.0
誠に,1,0.0,0.01,0.01,1.0
爾,1,0.0,0.01,0.01,1.0
そろそろ,1,0.0,0.01,0.01,1.0
しばし,1,0.0,0.01,0.01,1.0
良く,1,0.0,0.01,0.01,1.0
意外と,1,0.0,0.01,0.01,1.0
いまだ,1,0.0,0.01,0.01,1.0
ずっしり,1,0.0,0.01,0.01,1.0
ふわっと,1,0.0,0.01,0.01,1.0
さんざん,1,0.0,0.01,0.01,1.0
あくまでも,1,0.0,0.01,0.01,1.0
次に,1,0.0,0.01,0.01,1.0
そんなふうに,1,0.0,0.01,0.01,1.0
そのうち,1,0.0,0.01,0.01,1.0
ほんのり,1,0.0,0.01,0.01,1.0
トロトロ,1,0.0,0.01,0.01,1.0
ざっくり,1,0.0,0.01,0.01,1.0
むっちり,1,0.0,0.01,0.01,1.0
またもや,1,0.0,0.01,0.01,1.0
ねっちり,1,0.0,0.01,0.01,1.0
タップリ,1,0.0,0.01,0.01,1.0
たしかに,1,0.0,0.01,0.01,1.0
ふんわり,1,0.0,0.01,0.01,1.0
ひたすら,1,0.0,0.01,0.01,1.0
多々,1,0.0,0.01,0.01,1.0
パサパサ,1,0.0,0.01,0.01,1.0
ぐいぐい,1,0.0,0.01,0.01,1.0
概ね,1,0.0,0.01,0.01,1.0
すっきり,1,0.0,0.01,0.01,1.0
たらふく,1,0.0,0.01,0.01,1.0
よし,1,0.0,0.01,0.01,1.0
再度,1,0.0,0.01,0.01,1.0
なんせ,1,0.0,0.01,0.01,1.0
さぞや,1,0.0,0.01,0.01,1.0
何しろ,1,0.0,0.01,0.01,1.0
ほほ,1,0.0,0.01,0.01,1.0
ドーン,1,0.0,0.01,0.01,1.0
ビクビク,1,0.0,0.01,0.01,1.0
やけに,1,0.0,0.01,0.01,1.0
さほど,1,0.0,0.01,0.01,1.0
おおむね,1,0.0,0.01,0.01,1.0
自ずと,1,0.0,0.01,0.01,1.0
一応,1,0.0,0.01,0.01,1.0
要するに,1,0.0,0.01,0.01,1.0
なんとなく,1,0.0,0.01,0.01,1.0
どうのこうの,1,0.0,0.01,0.01,1.0
バシッ,1,0.0,0.01,0.01,1.0
無理矢理,1,0.0,0.01,0.01,1.0
なおかつ,1,0.0,0.01,0.01,1.0
ビシビシ,1,0.0,0.01,0.01,1.0
再三,1,0.0,0.01,0.01,1.0
ギラギラ,1,0.0,0.01,0.01,1.0
いろいろ,1,0.0,0.01,0.01,1.0
ハッキリ,1,0.0,0.01,0.01,1.0
案の定,1,0.0,0.01,0.01,1.0
うっかり,1,0.0,0.01,0.01,1.0
わざわざ,1,0.0,0.01,0.01,1.0
少なくとも,1,0.0,0.01,0.01,1.0
全然,1,0.0,0.01,0.01,1.0
別に,1,0.0,0.01,0.01,1.0
いかに,1,0.0,0.01,0.01,1.0
ホイホイ,1,0.0,0.01,0.01,1.0
よろしく,1,0.0,0.01,0.01,1.0
ピカピカ,1,0.0,0.01,0.01,1.0
中でも,1,0.0,0.01,0.01,1.0
てっきり,1,0.0,0.01,0.01,1.0
くれぐれも,1,0.0,0.01,0.01,1.0
いそいそ,1,0.0,0.01,0.01,1.0
主として,1,0.0,0.01,0.01,1.0
ところどころ,1,0.0,0.01,0.01,1.0
一体,1,0.0,0.01,0.01,1.0
何故,1,0.0,0.01,0.01,1.0
何だか,1,0.0,0.01,0.01,1.0
ひょっこり,1,0.0,0.01,0.01,1.0
恐らく,1,0.0,0.01,0.01,1.0
ダラダラ,1,0.0,0.01,0.01,1.0
ちゃかちゃか,1,0.0,0.01,0.01,1.0
なんとも,1,0.0,0.01,0.01,1.0
たまに,1,0.0,0.01,0.01,1.0
わざと,1,0.0,0.01,0.01,1.0
たしか,1,0.0,0.01,0.01,1.0
再び,1,0.0,0.01,0.01,1.0
辛うじて,1,0.0,0.01,0.01,1.0
くるくる,1,0.0,0.01,0.01,1.0
ピリッ,1,0.0,0.01,0.01,1.0
とっとと,1,0.0,0.01,0.01,1.0
