頻出単語,登場回数,登場回数/全単語数(26898)%,登場レビュー率 /(100本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
た,1159,4.3,0.96,11.59,12.07
です,445,1.65,0.75,4.45,5.93
ます,338,1.25,0.72,3.38,4.69
まし,311,1.15,0.67,3.11,4.64
な,310,1.15,0.82,3.1,3.78
ない,204,0.75,0.68,2.04,3.0
で,184,0.68,0.64,1.84,2.87
だ,155,0.57,0.53,1.55,2.92
でし,145,0.53,0.48,1.45,3.02
ん,86,0.31,0.38,0.86,2.26
ませ,83,0.3,0.36,0.83,2.3
う,77,0.28,0.43,0.77,1.79
たい,51,0.18,0.29,0.51,1.75
でしょ,42,0.15,0.25,0.42,1.68
なく,40,0.14,0.25,0.4,1.6
だっ,39,0.14,0.24,0.39,1.62
ず,39,0.14,0.23,0.39,1.69
たら,33,0.12,0.24,0.33,1.37
ある,27,0.1,0.11,0.27,2.45
なかっ,20,0.07,0.16,0.2,1.25
だろ,19,0.07,0.17,0.19,1.11
なら,18,0.06,0.14,0.18,1.28
ござい,13,0.04,0.1,0.13,1.3
あっ,11,0.04,0.04,0.11,2.75
らしい,10,0.03,0.09,0.1,1.11
あれ,8,0.02,0.06,0.08,1.33
たく,7,0.02,0.07,0.07,1.0
つ,7,0.02,0.06,0.07,1.16
べき,7,0.02,0.05,0.07,1.4
ぬ,6,0.02,0.05,0.06,1.2
き,6,0.02,0.05,0.06,1.2
たかっ,5,0.01,0.05,0.05,1.0
なけれ,5,0.01,0.05,0.05,1.0
あり,5,0.01,0.05,0.05,1.0
ましょ,3,0.01,0.02,0.03,1.5
あろ,3,0.01,0.03,0.03,1.0
ね,3,0.01,0.03,0.03,1.0
っす,3,0.01,0.02,0.03,1.5
り,2,0.0,0.02,0.02,1.0
たり,2,0.0,0.02,0.02,1.0
ざる,2,0.0,0.02,0.02,1.0
なる,1,0.0,0.01,0.01,1.0
べく,1,0.0,0.01,0.01,1.0
らしく,1,0.0,0.01,0.01,1.0
べし,1,0.0,0.01,0.01,1.0
あら,1,0.0,0.01,0.01,1.0
じ,1,0.0,0.01,0.01,1.0
なきゃ,1,0.0,0.01,0.01,1.0
無い,1,0.0,0.01,0.01,1.0
なかろ,1,0.0,0.01,0.01,1.0
れ,1,0.0,0.01,0.01,1.0
