頻出単語,登場回数,登場回数/全単語数(26898)%,登場レビュー率 /(100本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
する,589,2.18,0.91,5.89,6.47
いる,316,1.17,0.78,3.16,4.05
ある,197,0.73,0.63,1.97,3.12
れる,195,0.72,0.7,1.95,2.78
なる,142,0.52,0.59,1.42,2.4
思う,127,0.47,0.59,1.27,2.15
食べる,93,0.34,0.49,0.93,1.89
つまむ,84,0.31,0.33,0.84,2.54
くる,73,0.27,0.36,0.73,2.02
頂く,69,0.25,0.27,0.69,2.55
合わせる,62,0.23,0.3,0.62,2.06
言う,60,0.22,0.31,0.6,1.93
行く,58,0.21,0.39,0.58,1.48
いただく,58,0.21,0.31,0.58,1.87
出る,54,0.2,0.27,0.54,2.0
せる,54,0.2,0.36,0.54,1.5
感じる,54,0.2,0.28,0.54,1.92
くれる,51,0.18,0.29,0.51,1.75
飲む,49,0.18,0.25,0.49,1.96
しまう,46,0.17,0.3,0.46,1.53
てる,42,0.15,0.21,0.42,2.0
出す,38,0.14,0.27,0.38,1.4
伺う,37,0.13,0.26,0.37,1.42
いう,36,0.13,0.22,0.36,1.63
入る,35,0.13,0.26,0.35,1.34
炙る,35,0.13,0.18,0.35,1.94
できる,34,0.12,0.22,0.34,1.54
にぎる,33,0.12,0.08,0.33,4.12
られる,31,0.11,0.23,0.31,1.34
楽しむ,29,0.1,0.19,0.29,1.52
くださる,28,0.1,0.2,0.28,1.4
みる,27,0.1,0.24,0.27,1.12
取れる,27,0.1,0.2,0.27,1.35
使う,26,0.09,0.19,0.26,1.36
すぎる,26,0.09,0.13,0.26,2.0
入れる,26,0.09,0.13,0.26,2.0
出来る,25,0.09,0.19,0.25,1.31
おる,25,0.09,0.16,0.25,1.56
合う,25,0.09,0.18,0.25,1.38
来る,24,0.08,0.2,0.24,1.2
聞く,21,0.07,0.17,0.21,1.23
見る,21,0.07,0.15,0.21,1.4
いく,21,0.07,0.19,0.21,1.1
違う,21,0.07,0.15,0.21,1.4
取る,20,0.07,0.16,0.2,1.25
任せる,20,0.07,0.16,0.2,1.25
もらう,18,0.06,0.15,0.18,1.2
続く,17,0.06,0.1,0.17,1.7
変わる,17,0.06,0.14,0.17,1.21
待つ,17,0.06,0.14,0.17,1.21
かける,17,0.06,0.12,0.17,1.41
始まる,16,0.05,0.13,0.16,1.23
握る,16,0.05,0.13,0.16,1.23
煮る,15,0.05,0.07,0.15,2.14
驚く,14,0.05,0.11,0.14,1.27
過ぎる,14,0.05,0.11,0.14,1.27
分かる,13,0.04,0.08,0.13,1.62
しれる,13,0.04,0.12,0.13,1.08
知る,12,0.04,0.11,0.12,1.09
焼く,12,0.04,0.1,0.12,1.2
作る,12,0.04,0.1,0.12,1.2
巻く,12,0.04,0.1,0.12,1.2
和える,12,0.04,0.06,0.12,2.0
かかる,12,0.04,0.09,0.12,1.33
通う,11,0.04,0.08,0.11,1.37
楽しめる,11,0.04,0.1,0.11,1.1
とる,10,0.03,0.09,0.1,1.11
挟む,10,0.03,0.09,0.1,1.11
やる,10,0.03,0.1,0.1,1.0
つける,9,0.03,0.09,0.09,1.0
行ける,9,0.03,0.09,0.09,1.0
帰る,9,0.03,0.09,0.09,1.0
見える,9,0.03,0.06,0.09,1.5
行う,9,0.03,0.09,0.09,1.0
いらっしゃる,8,0.02,0.08,0.08,1.0
進む,8,0.02,0.06,0.08,1.33
持つ,8,0.02,0.08,0.08,1.0
考える,8,0.02,0.08,0.08,1.0
揚げる,8,0.02,0.05,0.08,1.6
忘れる,8,0.02,0.06,0.08,1.33
腐る,8,0.02,0.06,0.08,1.33
比べる,8,0.02,0.07,0.08,1.14
覚える,8,0.02,0.06,0.08,1.33
切る,8,0.02,0.07,0.08,1.14
つく,8,0.02,0.07,0.08,1.14
ちゃう,8,0.02,0.06,0.08,1.33
残る,8,0.02,0.07,0.08,1.14
開ける,7,0.02,0.05,0.07,1.4
わかる,7,0.02,0.05,0.07,1.4
来れる,7,0.02,0.05,0.07,1.4
座る,7,0.02,0.06,0.07,1.16
終わる,7,0.02,0.07,0.07,1.0
立てる,7,0.02,0.07,0.07,1.0
載せる,7,0.02,0.07,0.07,1.0
させる,7,0.02,0.07,0.07,1.0
加える,7,0.02,0.05,0.07,1.4
続ける,7,0.02,0.07,0.07,1.0
いける,7,0.02,0.07,0.07,1.0
過ごせる,7,0.02,0.06,0.07,1.16
尽くす,7,0.02,0.07,0.07,1.0
喜ぶ,7,0.02,0.06,0.07,1.16
づける,7,0.02,0.05,0.07,1.4
飲める,6,0.02,0.05,0.06,1.2
のせる,6,0.02,0.03,0.06,2.0
広がる,6,0.02,0.04,0.06,1.5
呼ぶ,6,0.02,0.04,0.06,1.5
頑張る,6,0.02,0.05,0.06,1.2
思える,6,0.02,0.06,0.06,1.0
味わう,6,0.02,0.06,0.06,1.0
受ける,6,0.02,0.06,0.06,1.0
育つ,6,0.02,0.05,0.06,1.2
書く,6,0.02,0.06,0.06,1.0
変える,6,0.02,0.05,0.06,1.2
ちる,6,0.02,0.05,0.06,1.2
置く,6,0.02,0.06,0.06,1.0
頂ける,6,0.02,0.05,0.06,1.2
下さる,6,0.02,0.05,0.06,1.2
蒸す,6,0.02,0.06,0.06,1.0
混ぜる,6,0.02,0.05,0.06,1.2
致す,5,0.01,0.04,0.05,1.25
溢れる,5,0.01,0.05,0.05,1.0
乗る,5,0.01,0.05,0.05,1.0
運ぶ,5,0.01,0.05,0.05,1.0
く,5,0.01,0.05,0.05,1.0
とろける,5,0.01,0.05,0.05,1.0
付ける,5,0.01,0.05,0.05,1.0
のる,5,0.01,0.05,0.05,1.0
いただける,5,0.01,0.05,0.05,1.0
さる,5,0.01,0.04,0.05,1.25
酔う,5,0.01,0.03,0.05,1.66
施す,5,0.01,0.05,0.05,1.0
とれる,5,0.01,0.05,0.05,1.0
でる,5,0.01,0.04,0.05,1.25
移る,5,0.01,0.05,0.05,1.0
超える,5,0.01,0.05,0.05,1.0
こだわる,5,0.01,0.04,0.05,1.25
付く,5,0.01,0.04,0.05,1.25
異なる,5,0.01,0.05,0.05,1.0
誘う,5,0.01,0.04,0.05,1.25
落ち着く,5,0.01,0.05,0.05,1.0
