頻出単語,登場回数,登場回数/全単語数(26898)%,登場レビュー率 /(100本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
の,293,1.08,0.72,2.93,4.06
さん,242,0.89,0.78,2.42,3.1
三谷,236,0.87,0.71,2.36,3.32
酒,205,0.76,0.67,2.05,3.05
予約,167,0.62,0.66,1.67,2.53
店,153,0.56,0.63,1.53,2.42
年,147,0.54,0.53,1.47,2.77
料理,126,0.46,0.47,1.26,2.68
寿司,125,0.46,0.42,1.25,2.97
こと,122,0.45,0.53,1.22,2.3
握り,109,0.4,0.45,1.09,2.42
よう,103,0.38,0.46,1.03,2.23
鮨,98,0.36,0.41,0.98,2.39
一,97,0.36,0.37,0.97,2.62
もの,96,0.35,0.37,0.96,2.59
ワイン,88,0.32,0.39,0.88,2.25
.,75,0.27,0.15,0.75,5.0
私,72,0.26,0.41,0.72,1.75
さ,71,0.26,0.38,0.71,1.86
方,69,0.25,0.42,0.69,1.64
日本,69,0.25,0.39,0.69,1.76
ん,66,0.24,0.3,0.66,2.2
これ,66,0.24,0.29,0.66,2.27
屋,65,0.24,0.42,0.65,1.54
１,63,0.23,0.17,0.63,3.7
日,62,0.23,0.28,0.62,2.21
人,62,0.23,0.36,0.62,1.72
そう,59,0.21,0.34,0.59,1.73
中,59,0.21,0.31,0.59,1.9
前,54,0.2,0.39,0.54,1.38
的,54,0.2,0.37,0.54,1.45
味,54,0.2,0.24,0.54,2.25
マリアージュ,53,0.19,0.27,0.53,1.96
雲丹,52,0.19,0.22,0.52,2.36
訪問,51,0.18,0.28,0.51,1.82
-,50,0.18,0.08,0.5,6.25
大将,49,0.18,0.23,0.49,2.13
２,48,0.17,0.17,0.48,2.82
ここ,47,0.17,0.32,0.47,1.46
穴子,47,0.17,0.24,0.47,1.95
鮪,46,0.17,0.24,0.46,1.91
産,46,0.17,0.15,0.46,3.06
何,46,0.17,0.3,0.46,1.53
ウニ,45,0.16,0.22,0.45,2.04
事,44,0.16,0.23,0.44,1.91
2,44,0.16,0.24,0.44,1.83
時,44,0.16,0.24,0.44,1.83
スープ,44,0.16,0.18,0.44,2.44
最高,44,0.16,0.22,0.44,2.0
時間,43,0.15,0.21,0.43,2.04
こちら,41,0.15,0.24,0.41,1.7
度,41,0.15,0.27,0.41,1.51
トロ,40,0.14,0.22,0.4,1.81
後,39,0.14,0.28,0.39,1.39
マグロ,39,0.14,0.17,0.39,2.29
感,39,0.14,0.23,0.39,1.69
席,39,0.14,0.27,0.39,1.44
今回,39,0.14,0.21,0.39,1.85
好き,38,0.14,0.25,0.38,1.52
ネタ,37,0.13,0.24,0.37,1.54
カウンター,36,0.13,0.26,0.36,1.38
それ,35,0.13,0.25,0.35,1.4
四谷,35,0.13,0.19,0.35,1.84
代,35,0.13,0.15,0.35,2.33
０,35,0.13,0.12,0.35,2.91
鮑,34,0.12,0.19,0.34,1.78
十,34,0.12,0.15,0.34,2.26
肝,34,0.12,0.18,0.34,1.88
四,33,0.12,0.15,0.33,2.2
シャンパン,33,0.12,0.19,0.33,1.73
*,33,0.12,0.02,0.33,16.5
鯛,32,0.11,0.12,0.32,2.66
巻き,32,0.11,0.18,0.32,1.77
白子,31,0.11,0.17,0.31,1.82
最後,31,0.11,0.22,0.31,1.4
1,31,0.11,0.17,0.31,1.82
キャビア,31,0.11,0.23,0.31,1.34
白,31,0.11,0.21,0.31,1.47
感じ,31,0.11,0.24,0.31,1.29
脂,29,0.1,0.18,0.29,1.61
３,29,0.1,0.14,0.29,2.07
～,28,0.1,0.17,0.28,1.64
昆布,28,0.1,0.18,0.28,1.55
今,28,0.1,0.21,0.28,1.33
食材,28,0.1,0.18,0.28,1.55
円,28,0.1,0.14,0.28,2.0
満足,28,0.1,0.16,0.28,1.75
待ち,27,0.1,0.22,0.27,1.22
3,27,0.1,0.15,0.27,1.8
口,27,0.1,0.19,0.27,1.42
全て,27,0.1,0.18,0.27,1.5
/,25,0.09,0.09,0.25,2.77
ところ,25,0.09,0.18,0.25,1.38
数,24,0.08,0.18,0.24,1.33
魚,24,0.08,0.13,0.24,1.84
素材,24,0.08,0.17,0.24,1.41
高級,24,0.08,0.17,0.24,1.41
出汁,24,0.08,0.14,0.24,1.71
本日,24,0.08,0.05,0.24,4.8
印象,24,0.08,0.16,0.24,1.5
楽しみ,23,0.08,0.17,0.23,1.35
他,23,0.08,0.17,0.23,1.35
笑,23,0.08,0.17,0.23,1.35
目,23,0.08,0.17,0.23,1.35
ミ,23,0.08,0.15,0.23,1.53
月,23,0.08,0.13,0.23,1.76
酢,23,0.08,0.15,0.23,1.53
どれ,23,0.08,0.15,0.23,1.53
常連,22,0.08,0.12,0.22,1.83
紀尾井町,22,0.08,0.13,0.22,1.69
カラス,22,0.08,0.15,0.22,1.46
一品,22,0.08,0.15,0.22,1.46
12,22,0.08,0.08,0.22,2.75
ため,22,0.08,0.17,0.22,1.29
ご飯,22,0.08,0.15,0.22,1.46
ソース,22,0.08,0.14,0.22,1.57
電話,21,0.07,0.12,0.21,1.75
赤身,21,0.07,0.18,0.21,1.16
コハダ,21,0.07,0.15,0.21,1.4
仕事,21,0.07,0.18,0.21,1.16
主人,21,0.07,0.12,0.21,1.75
写真,21,0.07,0.18,0.21,1.16
先,20,0.07,0.15,0.2,1.33
蟹,20,0.07,0.11,0.2,1.81
様,20,0.07,0.12,0.2,1.66
品,20,0.07,0.14,0.2,1.42
気,20,0.07,0.15,0.2,1.33
上,19,0.07,0.15,0.19,1.26
分,19,0.07,0.13,0.19,1.46
会計,19,0.07,0.12,0.19,1.58
飯,19,0.07,0.13,0.19,1.46
蛤,19,0.07,0.1,0.19,1.9
赤,19,0.07,0.14,0.19,1.35
東京,18,0.06,0.16,0.18,1.12
食事,18,0.06,0.11,0.18,1.63
締め,18,0.06,0.11,0.18,1.63
次,18,0.06,0.15,0.18,1.2
好み,18,0.06,0.14,0.18,1.28
リング,18,0.06,0.13,0.18,1.38
手,17,0.06,0.13,0.17,1.3
10,17,0.06,0.14,0.17,1.21
江戸前,17,0.06,0.16,0.17,1.06
四ツ谷,17,0.06,0.11,0.17,1.54
お願い,17,0.06,0.09,0.17,1.88
熟成,17,0.06,0.11,0.17,1.54
三,17,0.06,0.12,0.17,1.41
焼き,17,0.06,0.13,0.17,1.3
提供,17,0.06,0.13,0.17,1.3
シャリ,17,0.06,0.11,0.17,1.54
５,17,0.06,0.09,0.17,1.88
感動,17,0.06,0.15,0.17,1.13
漬け,16,0.05,0.12,0.16,1.33
４,16,0.05,0.1,0.16,1.6
(,16,0.05,0.11,0.16,1.45
回,16,0.05,0.11,0.16,1.45
県,16,0.05,0.07,0.16,2.28
大間,16,0.05,0.09,0.16,1.77
米,16,0.05,0.1,0.16,1.6
二,16,0.05,0.11,0.16,1.45
８,16,0.05,0.09,0.16,1.77
種,16,0.05,0.08,0.16,2.0
種類,16,0.05,0.11,0.16,1.45
客,16,0.05,0.12,0.16,1.33
次回,16,0.05,0.12,0.16,1.33
杯,16,0.05,0.1,0.16,1.6
邪魔,16,0.05,0.09,0.16,1.77
期待,16,0.05,0.1,0.16,1.6
自分,15,0.05,0.13,0.15,1.15
(^,15,0.05,0.03,0.15,5.0
5,15,0.05,0.13,0.15,1.15
ぶり,15,0.05,0.1,0.15,1.5
海苔,15,0.05,0.1,0.15,1.5
旨味,15,0.05,0.08,0.15,1.87
万,15,0.05,0.09,0.15,1.66
今日,15,0.05,0.08,0.15,1.87
一つ,15,0.05,0.11,0.15,1.36
ペア,15,0.05,0.1,0.15,1.5
贅沢,15,0.05,0.12,0.15,1.25
性,15,0.05,0.12,0.15,1.25
夜,15,0.05,0.12,0.15,1.25
一番,15,0.05,0.12,0.15,1.25
雰囲気,15,0.05,0.13,0.15,1.15
通り,15,0.05,0.13,0.15,1.15
♪,15,0.05,0.08,0.15,1.87
わけ,15,0.05,0.12,0.15,1.25
グラス,15,0.05,0.11,0.15,1.36
以上,14,0.05,0.11,0.14,1.27
ヶ月,14,0.05,0.08,0.14,1.75
うに,14,0.05,0.11,0.14,1.27
世界,14,0.05,0.12,0.14,1.16
銚子,14,0.05,0.11,0.14,1.27
エビ,14,0.05,0.09,0.14,1.55
金目,14,0.05,0.09,0.14,1.55
最初,14,0.05,0.1,0.14,1.4
玉子,14,0.05,0.12,0.14,1.16
カワハギ,14,0.05,0.09,0.14,1.55
組み合わせ,14,0.05,0.1,0.14,1.4
店内,14,0.05,0.13,0.14,1.07
かん,14,0.05,0.11,0.14,1.27
お客,14,0.05,0.13,0.14,1.07
スタート,14,0.05,0.1,0.14,1.4
卵,14,0.05,0.1,0.14,1.4
巻物,14,0.05,0.09,0.14,1.55
達,14,0.05,0.08,0.14,1.75
黒,14,0.05,0.1,0.14,1.4
イワシ,13,0.04,0.09,0.13,1.44
シャンパーニュ,13,0.04,0.11,0.13,1.18
あと,13,0.04,0.08,0.13,1.62
まぐろ,13,0.04,0.09,0.13,1.44
ぴょう,13,0.04,0.1,0.13,1.3
毎回,13,0.04,0.1,0.13,1.3
身,13,0.04,0.08,0.13,1.62
お茶,13,0.04,0.09,0.13,1.44
干瓢,13,0.04,0.1,0.13,1.3
からすみ,13,0.04,0.1,0.13,1.3
手渡し,13,0.04,0.1,0.13,1.3
お客様,13,0.04,0.08,0.13,1.62
氏,13,0.04,0.04,0.13,3.25
ステーキ,13,0.04,0.08,0.13,1.62
創作,13,0.04,0.04,0.13,3.25
器,13,0.04,0.11,0.13,1.18
鰹,12,0.04,0.1,0.12,1.2
梅,12,0.04,0.11,0.12,1.09
困難,12,0.04,0.11,0.12,1.09
^),12,0.04,0.03,0.12,4.0
力,12,0.04,0.1,0.12,1.2
吟醸,12,0.04,0.06,0.12,2.0
北海道,12,0.04,0.08,0.12,1.5
コース,12,0.04,0.09,0.12,1.33
すべて,12,0.04,0.1,0.12,1.2
イカ,12,0.04,0.06,0.12,2.0
谷,12,0.04,0.08,0.12,1.5
人気,12,0.04,0.09,0.12,1.33
こだわり,12,0.04,0.1,0.12,1.2
ビール,12,0.04,0.08,0.12,1.5
みたい,12,0.04,0.07,0.12,1.71
://,11,0.04,0.06,0.11,1.83
所,11,0.04,0.07,0.11,1.57
ボタン,11,0.04,0.08,0.11,1.37
車海老,11,0.04,0.1,0.11,1.1
白魚,11,0.04,0.07,0.11,1.57
のど,11,0.04,0.08,0.11,1.37
松葉,11,0.04,0.09,0.11,1.22
素敵,11,0.04,0.09,0.11,1.22
桜,11,0.04,0.05,0.11,2.2
記憶,11,0.04,0.07,0.11,1.57
ハマグリ,11,0.04,0.07,0.11,1.57
有名,11,0.04,0.09,0.11,1.22
肉,11,0.04,0.06,0.11,1.83
",",11,0.04,0.09,0.11,1.22
お誘い,11,0.04,0.11,0.11,1.0
椀,11,0.04,0.05,0.11,2.2
９,11,0.04,0.08,0.11,1.37
満席,11,0.04,0.08,0.11,1.37
頃,11,0.04,0.08,0.11,1.37
アワビ,11,0.04,0.06,0.11,1.83
半年,11,0.04,0.08,0.11,1.37
海老,10,0.03,0.08,0.1,1.25
独創,10,0.03,0.08,0.1,1.25
),10,0.03,0.08,0.1,1.25
o,10,0.03,0.02,0.1,5.0
内容,10,0.03,0.09,0.1,1.11
千葉,10,0.03,0.07,0.1,1.42
完成,10,0.03,0.1,0.1,1.0
6,10,0.03,0.1,0.1,1.0
塩,10,0.03,0.07,0.1,1.42
６,10,0.03,0.07,0.1,1.42
2015,10,0.03,0.07,0.1,1.42
完全,10,0.03,0.09,0.1,1.11
説明,10,0.03,0.09,0.1,1.11
自身,10,0.03,0.1,0.1,1.0
香り,10,0.03,0.08,0.1,1.25
堪能,10,0.03,0.08,0.1,1.25
ごちそうさま,10,0.03,0.1,0.1,1.0
たくさん,10,0.03,0.09,0.1,1.11
食,10,0.03,0.09,0.1,1.11
量,10,0.03,0.08,0.1,1.25
ヒレ,10,0.03,0.08,0.1,1.25
店主,10,0.03,0.06,0.1,1.66
弟子,10,0.03,0.05,0.1,2.0
系,10,0.03,0.06,0.1,1.66
一緒,10,0.03,0.09,0.1,1.11
以外,10,0.03,0.08,0.1,1.25
空間,10,0.03,0.07,0.1,1.42
名店,10,0.03,0.09,0.1,1.11
味わい,10,0.03,0.06,0.1,1.66
点,10,0.03,0.09,0.1,1.11
昼,10,0.03,0.06,0.1,1.66
名,10,0.03,0.1,0.1,1.0
残念,10,0.03,0.1,0.1,1.0
ごはん,10,0.03,0.08,0.1,1.25
サービス,10,0.03,0.07,0.1,1.42
皿,10,0.03,0.08,0.1,1.25
評価,10,0.03,0.08,0.1,1.25
すし,10,0.03,0.07,0.1,1.42
抹茶,9,0.03,0.09,0.09,1.0
職人,9,0.03,0.07,0.09,1.28
僕,9,0.03,0.06,0.09,1.5
物,9,0.03,0.04,0.09,2.25
生,9,0.03,0.06,0.09,1.5
心,9,0.03,0.08,0.09,1.12
上品,9,0.03,0.05,0.09,1.8
元気,9,0.03,0.08,0.09,1.12
馬糞,9,0.03,0.07,0.09,1.28
１つ,9,0.03,0.06,0.09,1.5
丁寧,9,0.03,0.08,0.09,1.12
それぞれ,9,0.03,0.08,0.09,1.12
11,9,0.03,0.06,0.09,1.5
そこ,9,0.03,0.08,0.09,1.12
フカ,9,0.03,0.07,0.09,1.28
個人,9,0.03,0.09,0.09,1.0
定期,9,0.03,0.05,0.09,1.8
鉄火,9,0.03,0.07,0.09,1.28
キンキ,9,0.03,0.06,0.09,1.5
状態,9,0.03,0.08,0.09,1.12
値段,9,0.03,0.08,0.09,1.12
貝,9,0.03,0.09,0.09,1.0
前回,9,0.03,0.06,0.09,1.5
見事,9,0.03,0.09,0.09,1.0
来年,9,0.03,0.06,0.09,1.5
キャンセル,9,0.03,0.06,0.09,1.5
唐墨,9,0.03,0.05,0.09,1.8
(^^;;,9,0.03,0.01,0.09,9.0
鯖,9,0.03,0.07,0.09,1.28
バフンウニ,9,0.03,0.03,0.09,3.0
トリュフ,9,0.03,0.05,0.09,1.8
舌,9,0.03,0.09,0.09,1.0
産地,9,0.03,0.08,0.09,1.12
魯山,9,0.03,0.07,0.09,1.28
あわび,9,0.03,0.05,0.09,1.8
毛蟹,8,0.02,0.06,0.08,1.33
巻,8,0.02,0.05,0.08,1.6
再訪,8,0.02,0.07,0.08,1.14
4,8,0.02,0.08,0.08,1.0
現在,8,0.02,0.06,0.08,1.33
カツオ,8,0.02,0.05,0.08,1.6
店舗,8,0.02,0.04,0.08,2.0
久しぶり,8,0.02,0.08,0.08,1.0
ワールド,8,0.02,0.07,0.08,1.14
終了,8,0.02,0.05,0.08,1.6
あん,8,0.02,0.04,0.08,2.0
ぐろ,8,0.02,0.04,0.08,2.0
揚げ,8,0.02,0.06,0.08,1.33
・,8,0.02,0.07,0.08,1.14
こはだ,8,0.02,0.07,0.08,1.14
http,8,0.02,0.05,0.08,1.6
駅,8,0.02,0.07,0.08,1.14
制,8,0.02,0.07,0.08,1.14
紹介,8,0.02,0.08,0.08,1.0
使用,8,0.02,0.05,0.08,1.6
デザート,8,0.02,0.06,0.08,1.33
味噌,8,0.02,0.06,0.08,1.33
稲荷,8,0.02,0.08,0.08,1.0
感覚,8,0.02,0.05,0.08,1.6
ビックリ,8,0.02,0.05,0.08,1.6
日本一,8,0.02,0.08,0.08,1.0
幸せ,8,0.02,0.06,0.08,1.33
高野,8,0.02,0.05,0.08,1.6
2013,8,0.02,0.05,0.08,1.6
肌,8,0.02,0.07,0.08,1.14
シャコ,8,0.02,0.04,0.08,2.0
000,8,0.02,0.07,0.08,1.14
レベル,8,0.02,0.07,0.08,1.14
今年,8,0.02,0.05,0.08,1.6
時期,8,0.02,0.06,0.08,1.33
意味,8,0.02,0.07,0.08,1.14
ツマミ,8,0.02,0.06,0.08,1.33
こ,8,0.02,0.06,0.08,1.33
絶妙,8,0.02,0.06,0.08,1.33
ごと,8,0.02,0.07,0.08,1.14
新宿,8,0.02,0.08,0.08,1.0
自信,8,0.02,0.07,0.08,1.14
比較,8,0.02,0.05,0.08,1.6
友人,8,0.02,0.06,0.08,1.33
instagram,7,0.02,0.03,0.07,2.33
鯵,7,0.02,0.07,0.07,1.0
以下,7,0.02,0.05,0.07,1.4
体調,7,0.02,0.07,0.07,1.0
スタイル,7,0.02,0.06,0.07,1.16
ログ,7,0.02,0.07,0.07,1.0
30,7,0.02,0.04,0.07,1.75
乾杯,7,0.02,0.07,0.07,1.0
09,7,0.02,0.04,0.07,1.75
姿,7,0.02,0.07,0.07,1.0
無理,7,0.02,0.07,0.07,1.0
グロ,7,0.02,0.06,0.07,1.16
六,7,0.02,0.07,0.07,1.0
風,7,0.02,0.06,0.07,1.16
余市,7,0.02,0.07,0.07,1.0
不思議,7,0.02,0.06,0.07,1.16
バチコ,7,0.02,0.04,0.07,1.75
墨烏賊,7,0.02,0.05,0.07,1.4
肴,7,0.02,0.05,0.07,1.4
至福,7,0.02,0.05,0.07,1.4
大変,7,0.02,0.06,0.07,1.16
the,7,0.02,0.02,0.07,3.5
普通,7,0.02,0.07,0.07,1.0
特徴,7,0.02,0.07,0.07,1.0
秋刀魚,7,0.02,0.05,0.07,1.4
気持ち,7,0.02,0.06,0.07,1.16
姿勢,7,0.02,0.06,0.07,1.16
レビュー,7,0.02,0.05,0.07,1.4
なに,7,0.02,0.06,0.07,1.16
濃厚,7,0.02,0.06,0.07,1.16
具合,7,0.02,0.06,0.07,1.16
とき,7,0.02,0.05,0.07,1.4
驚き,7,0.02,0.07,0.07,1.0
たち,7,0.02,0.05,0.07,1.4
あたり,7,0.02,0.05,0.07,1.4
正直,7,0.02,0.05,0.07,1.4
ば,7,0.02,0.05,0.07,1.4
年間,7,0.02,0.07,0.07,1.0
皮,7,0.02,0.04,0.07,1.75
機会,7,0.02,0.06,0.07,1.16
数々,7,0.02,0.07,0.07,1.0
海,7,0.02,0.07,0.07,1.0
2016,7,0.02,0.04,0.07,1.75
十分,7,0.02,0.07,0.07,1.0
2014,7,0.02,0.04,0.07,1.75
魅力,7,0.02,0.04,0.07,1.75
為,7,0.02,0.04,0.07,1.75
8,7,0.02,0.06,0.07,1.16
全体,7,0.02,0.05,0.07,1.4
料金,7,0.02,0.06,0.07,1.16
割烹,7,0.02,0.05,0.07,1.4
全部,7,0.02,0.06,0.07,1.16
季節,7,0.02,0.07,0.07,1.0
ワサビ,7,0.02,0.02,0.07,3.5
com,6,0.02,0.03,0.06,2.0
気配り,6,0.02,0.05,0.06,1.2
天然,6,0.02,0.05,0.06,1.2
筋子,6,0.02,0.03,0.06,2.0
ろ,6,0.02,0.06,0.06,1.0
半,6,0.02,0.06,0.06,1.0
イメージ,6,0.02,0.05,0.06,1.2
間,6,0.02,0.06,0.06,1.0
カザフスタン,6,0.02,0.06,0.06,1.0
ノド,6,0.02,0.05,0.06,1.2
ヒラメ,6,0.02,0.06,0.06,1.0
カマ,6,0.02,0.06,0.06,1.0
cru,6,0.02,0.03,0.06,2.0
唐,6,0.02,0.03,0.06,2.0
ヅケ,6,0.02,0.05,0.06,1.2
絶品,6,0.02,0.06,0.06,1.0
ブログ,6,0.02,0.05,0.06,1.2
alwaysudon,6,0.02,0.01,0.06,6.0
トーク,6,0.02,0.05,0.06,1.2
以前,6,0.02,0.05,0.06,1.2
根室,6,0.02,0.06,0.06,1.0
