頻出単語,登場回数,登場回数/全単語数(26898)%,登場レビュー率 /(100本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
美味しい,108,0.4,0.52,1.08,2.07
ない,84,0.31,0.47,0.84,1.78
良い,63,0.23,0.4,0.63,1.57
素晴らしい,58,0.21,0.38,0.58,1.52
いい,33,0.12,0.23,0.33,1.43
高い,24,0.08,0.2,0.24,1.2
旨い,23,0.08,0.1,0.23,2.3
凄い,21,0.07,0.14,0.21,1.5
無い,20,0.07,0.16,0.2,1.25
多い,20,0.07,0.16,0.2,1.25
楽しい,18,0.06,0.16,0.18,1.12
美しい,16,0.05,0.11,0.16,1.45
甘い,15,0.05,0.08,0.15,1.87
強い,14,0.05,0.08,0.14,1.75
おいしい,13,0.04,0.06,0.13,2.16
すごい,12,0.04,0.1,0.12,1.2
嬉しい,12,0.04,0.11,0.12,1.09
よい,12,0.04,0.11,0.12,1.09
珍しい,12,0.04,0.11,0.12,1.09
少ない,12,0.04,0.1,0.12,1.2
軽い,10,0.03,0.06,0.1,1.66
美味い,10,0.03,0.05,0.1,2.0
うまい,10,0.03,0.05,0.1,2.0
大きい,9,0.03,0.08,0.09,1.12
安い,9,0.03,0.08,0.09,1.12
新しい,8,0.02,0.07,0.08,1.14
小さい,8,0.02,0.05,0.08,1.6
長い,7,0.02,0.06,0.07,1.16
優しい,7,0.02,0.06,0.07,1.16
柔らかい,7,0.02,0.07,0.07,1.0
面白い,7,0.02,0.06,0.07,1.16
早い,7,0.02,0.07,0.07,1.0
にくい,7,0.02,0.07,0.07,1.0
香ばしい,6,0.02,0.04,0.06,1.5
詳しい,6,0.02,0.05,0.06,1.2
ほしい,5,0.01,0.05,0.05,1.0
若い,5,0.01,0.04,0.05,1.25
うれしい,5,0.01,0.05,0.05,1.0
冷たい,5,0.01,0.04,0.05,1.25
難しい,4,0.01,0.04,0.04,1.0
深い,4,0.01,0.04,0.04,1.0
言うまでもない,4,0.01,0.04,0.04,1.0
稚い,4,0.01,0.04,0.04,1.0
赤い,4,0.01,0.03,0.04,1.33
低い,4,0.01,0.04,0.04,1.0
やすい,4,0.01,0.04,0.04,1.0
分厚い,4,0.01,0.02,0.04,2.0
欲しい,3,0.01,0.03,0.03,1.0
温かい,3,0.01,0.03,0.03,1.0
細かい,3,0.01,0.03,0.03,1.0
やばい,3,0.01,0.02,0.03,1.5
弱い,3,0.01,0.03,0.03,1.0
上手い,3,0.01,0.03,0.03,1.0
たまらない,3,0.01,0.03,0.03,1.0
気持ちよい,3,0.01,0.03,0.03,1.0
明るい,3,0.01,0.03,0.03,1.0
濃い,3,0.01,0.02,0.03,1.5
づらい,3,0.01,0.03,0.03,1.0
悪い,3,0.01,0.01,0.03,3.0
愉しい,3,0.01,0.02,0.03,1.5
痛い,2,0.0,0.02,0.02,1.0
くさい,2,0.0,0.02,0.02,1.0
やさしい,2,0.0,0.02,0.02,1.0
もったいない,2,0.0,0.02,0.02,1.0
うすい,2,0.0,0.02,0.02,1.0
程よい,2,0.0,0.01,0.02,2.0
こい,2,0.0,0.02,0.02,1.0
寂しい,2,0.0,0.02,0.02,1.0
奥深い,2,0.0,0.02,0.02,1.0
苦しい,2,0.0,0.02,0.02,1.0
心地よい,2,0.0,0.02,0.02,1.0
厚い,2,0.0,0.01,0.02,2.0
太い,2,0.0,0.01,0.02,2.0
ものすごい,2,0.0,0.01,0.02,2.0
うい,2,0.0,0.02,0.02,1.0
塩辛い,2,0.0,0.02,0.02,1.0
臭い,2,0.0,0.02,0.02,1.0
っぽい,2,0.0,0.02,0.02,1.0
近い,2,0.0,0.01,0.02,2.0
よろしい,2,0.0,0.01,0.02,2.0
がたい,2,0.0,0.02,0.02,1.0
すばらしい,2,0.0,0.02,0.02,1.0
とてつもない,2,0.0,0.01,0.02,2.0
痒い,1,0.0,0.01,0.01,1.0
懐かしい,1,0.0,0.01,0.01,1.0
とろい,1,0.0,0.01,0.01,1.0
宜しい,1,0.0,0.01,0.01,1.0
貴い,1,0.0,0.01,0.01,1.0
渋い,1,0.0,0.01,0.01,1.0
広い,1,0.0,0.01,0.01,1.0
厳しい,1,0.0,0.01,0.01,1.0
ばっちい,1,0.0,0.01,0.01,1.0
物足りない,1,0.0,0.01,0.01,1.0
くろい,1,0.0,0.01,0.01,1.0
熱い,1,0.0,0.01,0.01,1.0
気高い,1,0.0,0.01,0.01,1.0
あまい,1,0.0,0.01,0.01,1.0
可愛らしい,1,0.0,0.01,0.01,1.0
とめどない,1,0.0,0.01,0.01,1.0
味わい深い,1,0.0,0.01,0.01,1.0
重い,1,0.0,0.01,0.01,1.0
はずかしい,1,0.0,0.01,0.01,1.0
つまらない,1,0.0,0.01,0.01,1.0
おおい,1,0.0,0.01,0.01,1.0
まずい,1,0.0,0.01,0.01,1.0
黒い,1,0.0,0.01,0.01,1.0
白い,1,0.0,0.01,0.01,1.0
平たい,1,0.0,0.01,0.01,1.0
難い,1,0.0,0.01,0.01,1.0
惜しい,1,0.0,0.01,0.01,1.0
気持ち良い,1,0.0,0.01,0.01,1.0
ながい,1,0.0,0.01,0.01,1.0
小気味よい,1,0.0,0.01,0.01,1.0
悲しい,1,0.0,0.01,0.01,1.0
不味い,1,0.0,0.01,0.01,1.0
酷い,1,0.0,0.01,0.01,1.0
しょぼい,1,0.0,0.01,0.01,1.0
暖かい,1,0.0,0.01,0.01,1.0
思しい,1,0.0,0.01,0.01,1.0
塩っぱい,1,0.0,0.01,0.01,1.0
しょっぱい,1,0.0,0.01,0.01,1.0
すい,1,0.0,0.01,0.01,1.0
可愛い,1,0.0,0.01,0.01,1.0
忙しい,1,0.0,0.01,0.01,1.0
寒い,1,0.0,0.01,0.01,1.0
淡い,1,0.0,0.01,0.01,1.0
もの凄い,1,0.0,0.01,0.01,1.0
遅い,1,0.0,0.01,0.01,1.0
根強い,1,0.0,0.01,0.01,1.0
ほどよい,1,0.0,0.01,0.01,1.0
危うい,1,0.0,0.01,0.01,1.0
野暮ったい,1,0.0,0.01,0.01,1.0
凄まじい,1,0.0,0.01,0.01,1.0
相応しい,1,0.0,0.01,0.01,1.0
