頻出単語,登場回数,登場回数/全単語数(26898)%,登場レビュー率 /(100本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
ご馳走様,14,0.05,0.04,0.14,3.5
ありがとう,7,0.02,0.07,0.07,1.0
あぁ,5,0.01,0.04,0.05,1.25
ごめんなさい,2,0.0,0.02,0.02,1.0
ご馳走さま,2,0.0,0.02,0.02,1.0
あ,2,0.0,0.02,0.02,1.0
まぁ,2,0.0,0.02,0.02,1.0
御馳走様,2,0.0,0.01,0.02,2.0
ほんと,2,0.0,0.02,0.02,1.0
すいません,1,0.0,0.01,0.01,1.0
あー,1,0.0,0.01,0.01,1.0
おお,1,0.0,0.01,0.01,1.0
さあ,1,0.0,0.01,0.01,1.0
ｗｗｗ,1,0.0,0.01,0.01,1.0
いやー,1,0.0,0.01,0.01,1.0
どっこい,1,0.0,0.01,0.01,1.0
ええ,1,0.0,0.01,0.01,1.0
すみません,1,0.0,0.01,0.01,1.0
なるほど,1,0.0,0.01,0.01,1.0
もぉ,1,0.0,0.01,0.01,1.0
エイ,1,0.0,0.01,0.01,1.0
いやぁ,1,0.0,0.01,0.01,1.0
おぉ,1,0.0,0.01,0.01,1.0
う,1,0.0,0.01,0.01,1.0
有難う,1,0.0,0.01,0.01,1.0
ま,1,0.0,0.01,0.01,1.0
おっ,1,0.0,0.01,0.01,1.0
きゃー,1,0.0,0.01,0.01,1.0
えっ,1,0.0,0.01,0.01,1.0
