頻出単語,登場回数,登場回数/全単語数(26898)%,登場レビュー率 /(66本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
初めて,31,0.11,0.25,0.46,1.82
本当に,29,0.1,0.27,0.43,1.61
とても,27,0.1,0.25,0.4,1.58
もう,25,0.09,0.22,0.37,1.66
少し,21,0.07,0.16,0.31,1.9
かなり,20,0.07,0.21,0.3,1.42
しっかり,19,0.07,0.15,0.28,1.9
ちょっと,18,0.06,0.15,0.27,1.8
もちろん,18,0.06,0.22,0.27,1.2
いつも,18,0.06,0.16,0.27,1.63
よく,15,0.05,0.18,0.22,1.25
また,13,0.04,0.18,0.19,1.08
やはり,12,0.04,0.1,0.18,1.71
当然,11,0.04,0.1,0.16,1.57
全く,11,0.04,0.1,0.16,1.57
色々,10,0.03,0.12,0.15,1.25
どう,10,0.03,0.12,0.15,1.25
あまり,10,0.03,0.13,0.15,1.11
これから,9,0.03,0.1,0.13,1.28
常に,9,0.03,0.09,0.13,1.5
なんと,9,0.03,0.12,0.13,1.12
もっと,9,0.03,0.1,0.13,1.28
なかなか,8,0.02,0.1,0.12,1.14
さすが,8,0.02,0.12,0.12,1.0
特に,8,0.02,0.1,0.12,1.14
そう,8,0.02,0.1,0.12,1.14
たっぷり,7,0.02,0.09,0.1,1.16
やっぱり,7,0.02,0.1,0.1,1.0
まだ,7,0.02,0.1,0.1,1.0
暫く,6,0.02,0.04,0.09,2.0
ずっと,6,0.02,0.06,0.09,1.5
ふわっと,6,0.02,0.06,0.09,1.5
ちょうど,6,0.02,0.07,0.09,1.2
勿論,6,0.02,0.06,0.09,1.5
こんなに,6,0.02,0.09,0.09,1.0
まあ,6,0.02,0.06,0.09,1.5
そのまま,5,0.01,0.07,0.07,1.0
なんだか,5,0.01,0.04,0.07,1.66
すっかり,5,0.01,0.04,0.07,1.66
結構,5,0.01,0.06,0.07,1.25
さっぱり,5,0.01,0.06,0.07,1.25
きちんと,5,0.01,0.06,0.07,1.25
いろいろ,5,0.01,0.07,0.07,1.0
しっとり,5,0.01,0.06,0.07,1.25
まったく,5,0.01,0.07,0.07,1.0
いよいよ,4,0.01,0.04,0.06,1.33
まさに,4,0.01,0.06,0.06,1.0
一度,4,0.01,0.06,0.06,1.0
更に,4,0.01,0.06,0.06,1.0
相当,4,0.01,0.04,0.06,1.33
あまりに,4,0.01,0.06,0.06,1.0
少々,4,0.01,0.04,0.06,1.33
やや,4,0.01,0.06,0.06,1.0
もう少し,4,0.01,0.04,0.06,1.33
しばらく,4,0.01,0.04,0.06,1.33
さらに,4,0.01,0.04,0.06,1.33
まるで,4,0.01,0.04,0.06,1.33
ねっとり,4,0.01,0.04,0.06,1.33
どんどん,4,0.01,0.06,0.06,1.0
すっきり,4,0.01,0.04,0.06,1.33
まだまだ,4,0.01,0.06,0.06,1.0
決して,4,0.01,0.04,0.06,1.33
いっぱい,4,0.01,0.06,0.06,1.0
はじめて,4,0.01,0.04,0.06,1.33
とにかく,4,0.01,0.04,0.06,1.33
そこそこ,4,0.01,0.03,0.06,2.0
ようやく,3,0.01,0.04,0.04,1.0
何より,3,0.01,0.04,0.04,1.0
そんなに,3,0.01,0.04,0.04,1.0
ふわふわ,3,0.01,0.04,0.04,1.0
次に,3,0.01,0.04,0.04,1.0
暫し,3,0.01,0.03,0.04,1.5
次々,3,0.01,0.04,0.04,1.0
最も,3,0.01,0.04,0.04,1.0
未だ,3,0.01,0.04,0.04,1.0
もはや,3,0.01,0.03,0.04,1.5
いつの間にか,3,0.01,0.04,0.04,1.0
またまた,3,0.01,0.04,0.04,1.0
沢山,3,0.01,0.04,0.04,1.0
すぐ,3,0.01,0.04,0.04,1.0
まず,3,0.01,0.04,0.04,1.0
とっても,3,0.01,0.03,0.04,1.5
すかさず,3,0.01,0.03,0.04,1.5
再び,3,0.01,0.03,0.04,1.5
ワクワク,3,0.01,0.04,0.04,1.0
丁度,3,0.01,0.04,0.04,1.0
多少,3,0.01,0.03,0.04,1.5
なぜ,3,0.01,0.04,0.04,1.0
どうして,3,0.01,0.04,0.04,1.0
早速,3,0.01,0.04,0.04,1.0
ゆったり,3,0.01,0.04,0.04,1.0
ずいぶん,2,0.0,0.03,0.03,1.0
ピッタリ,2,0.0,0.03,0.03,1.0
より,2,0.0,0.03,0.03,1.0
たまたま,2,0.0,0.03,0.03,1.0
ついつい,2,0.0,0.03,0.03,1.0
ぜひ,2,0.0,0.03,0.03,1.0
きっと,2,0.0,0.03,0.03,1.0
ゆっくり,2,0.0,0.03,0.03,1.0
早々,2,0.0,0.03,0.03,1.0
さ,2,0.0,0.01,0.03,2.0
はた,2,0.0,0.01,0.03,2.0
ぴったり,2,0.0,0.03,0.03,1.0
スッキリ,2,0.0,0.03,0.03,1.0
やっと,2,0.0,0.03,0.03,1.0
意外と,2,0.0,0.03,0.03,1.0
パリッ,2,0.0,0.03,0.03,1.0
今や,2,0.0,0.03,0.03,1.0
だいぶ,2,0.0,0.03,0.03,1.0
そわそわ,2,0.0,0.03,0.03,1.0
ますます,2,0.0,0.03,0.03,1.0
たま,2,0.0,0.03,0.03,1.0
ぷりぷり,2,0.0,0.01,0.03,2.0
ごく,2,0.0,0.03,0.03,1.0
うっとり,2,0.0,0.03,0.03,1.0
しみじみ,2,0.0,0.01,0.03,2.0
広々,2,0.0,0.03,0.03,1.0
ほほ,2,0.0,0.03,0.03,1.0
相変わらず,2,0.0,0.03,0.03,1.0
たしかに,2,0.0,0.03,0.03,1.0
ひたすら,2,0.0,0.03,0.03,1.0
多々,2,0.0,0.03,0.03,1.0
必ず,2,0.0,0.03,0.03,1.0
まずまず,2,0.0,0.03,0.03,1.0
凛と,2,0.0,0.03,0.03,1.0
きっちり,2,0.0,0.01,0.03,2.0
わくわく,2,0.0,0.03,0.03,1.0
よっぽど,2,0.0,0.03,0.03,1.0
実際,2,0.0,0.03,0.03,1.0
何とも,2,0.0,0.03,0.03,1.0
正に,2,0.0,0.03,0.03,1.0
もしか,2,0.0,0.03,0.03,1.0
とろとろ,2,0.0,0.03,0.03,1.0
なんとも,2,0.0,0.03,0.03,1.0
ほぼ,2,0.0,0.03,0.03,1.0
ほとんど,2,0.0,0.03,0.03,1.0
やっぱ,2,0.0,0.03,0.03,1.0
なにか,2,0.0,0.03,0.03,1.0
それだけ,2,0.0,0.03,0.03,1.0
こう,2,0.0,0.03,0.03,1.0
多分,2,0.0,0.03,0.03,1.0
ある程度,2,0.0,0.03,0.03,1.0
すでに,2,0.0,0.03,0.03,1.0
ガラッ,1,0.0,0.01,0.01,1.0
スーッ,1,0.0,0.01,0.01,1.0
いくらでも,1,0.0,0.01,0.01,1.0
一旦,1,0.0,0.01,0.01,1.0
どうぞ,1,0.0,0.01,0.01,1.0
既に,1,0.0,0.01,0.01,1.0
本当は,1,0.0,0.01,0.01,1.0
全然,1,0.0,0.01,0.01,1.0
あっさり,1,0.0,0.01,0.01,1.0
うっすら,1,0.0,0.01,0.01,1.0
締めて,1,0.0,0.01,0.01,1.0
うきうき,1,0.0,0.01,0.01,1.0
こんもり,1,0.0,0.01,0.01,1.0
ちびちび,1,0.0,0.01,0.01,1.0
めっちゃ,1,0.0,0.01,0.01,1.0
そっと,1,0.0,0.01,0.01,1.0
案の定,1,0.0,0.01,0.01,1.0
後で,1,0.0,0.01,0.01,1.0
キッ,1,0.0,0.01,0.01,1.0
別途,1,0.0,0.01,0.01,1.0
なんとか,1,0.0,0.01,0.01,1.0
恐らく,1,0.0,0.01,0.01,1.0
同時に,1,0.0,0.01,0.01,1.0
いくら,1,0.0,0.01,0.01,1.0
どんなに,1,0.0,0.01,0.01,1.0
後に,1,0.0,0.01,0.01,1.0
こじんまり,1,0.0,0.01,0.01,1.0
こんがり,1,0.0,0.01,0.01,1.0
誠に,1,0.0,0.01,0.01,1.0
しゃぶしゃぶ,1,0.0,0.01,0.01,1.0
爾,1,0.0,0.01,0.01,1.0
あえて,1,0.0,0.01,0.01,1.0
サクサク,1,0.0,0.01,0.01,1.0
そろそろ,1,0.0,0.01,0.01,1.0
しばし,1,0.0,0.01,0.01,1.0
良く,1,0.0,0.01,0.01,1.0
いまだ,1,0.0,0.01,0.01,1.0
かつて,1,0.0,0.01,0.01,1.0
ずっしり,1,0.0,0.01,0.01,1.0
さんざん,1,0.0,0.01,0.01,1.0
深々,1,0.0,0.01,0.01,1.0
至って,1,0.0,0.01,0.01,1.0
且つ,1,0.0,0.01,0.01,1.0
とろり,1,0.0,0.01,0.01,1.0
思わず,1,0.0,0.01,0.01,1.0
よろしく,1,0.0,0.01,0.01,1.0
けっこう,1,0.0,0.01,0.01,1.0
極力,1,0.0,0.01,0.01,1.0
実に,1,0.0,0.01,0.01,1.0
ちょろり,1,0.0,0.01,0.01,1.0
遂に,1,0.0,0.01,0.01,1.0
やっとこ,1,0.0,0.01,0.01,1.0
ただただ,1,0.0,0.01,0.01,1.0
ざっくり,1,0.0,0.01,0.01,1.0
終始,1,0.0,0.01,0.01,1.0
たぶん,1,0.0,0.01,0.01,1.0
何故,1,0.0,0.01,0.01,1.0
これぞ,1,0.0,0.01,0.01,1.0
まさしく,1,0.0,0.01,0.01,1.0
はや,1,0.0,0.01,0.01,1.0
そのうえ,1,0.0,0.01,0.01,1.0
かく,1,0.0,0.01,0.01,1.0
ことごとく,1,0.0,0.01,0.01,1.0
殆ど,1,0.0,0.01,0.01,1.0
共に,1,0.0,0.01,0.01,1.0
もう一度,1,0.0,0.01,0.01,1.0
どど,1,0.0,0.01,0.01,1.0
なんで,1,0.0,0.01,0.01,1.0
段々,1,0.0,0.01,0.01,1.0
いたく,1,0.0,0.01,0.01,1.0
どうも,1,0.0,0.01,0.01,1.0
なんとなく,1,0.0,0.01,0.01,1.0
だらだら,1,0.0,0.01,0.01,1.0
かねてから,1,0.0,0.01,0.01,1.0
ほろほろ,1,0.0,0.01,0.01,1.0
しかして,1,0.0,0.01,0.01,1.0
時に,1,0.0,0.01,0.01,1.0
とうに,1,0.0,0.01,0.01,1.0
いまいち,1,0.0,0.01,0.01,1.0
たらふく,1,0.0,0.01,0.01,1.0
よし,1,0.0,0.01,0.01,1.0
続々,1,0.0,0.01,0.01,1.0
どー,1,0.0,0.01,0.01,1.0
再度,1,0.0,0.01,0.01,1.0
なんせ,1,0.0,0.01,0.01,1.0
さぞや,1,0.0,0.01,0.01,1.0
それほど,1,0.0,0.01,0.01,1.0
いきいき,1,0.0,0.01,0.01,1.0
いか,1,0.0,0.01,0.01,1.0
ときどき,1,0.0,0.01,0.01,1.0
こりこり,1,0.0,0.01,0.01,1.0
つゆ,1,0.0,0.01,0.01,1.0
比較的,1,0.0,0.01,0.01,1.0
同じく,1,0.0,0.01,0.01,1.0
きりっと,1,0.0,0.01,0.01,1.0
つんと,1,0.0,0.01,0.01,1.0
もしかして,1,0.0,0.01,0.01,1.0
さよう,1,0.0,0.01,0.01,1.0
ざっと,1,0.0,0.01,0.01,1.0
ピカピカ,1,0.0,0.01,0.01,1.0
いざ,1,0.0,0.01,0.01,1.0
心から,1,0.0,0.01,0.01,1.0
絶えず,1,0.0,0.01,0.01,1.0
徐々に,1,0.0,0.01,0.01,1.0
つくづく,1,0.0,0.01,0.01,1.0
きわめて,1,0.0,0.01,0.01,1.0
折角,1,0.0,0.01,0.01,1.0
おもわず,1,0.0,0.01,0.01,1.0
ふんわり,1,0.0,0.01,0.01,1.0
カラカラ,1,0.0,0.01,0.01,1.0
せっかく,1,0.0,0.01,0.01,1.0
辛うじて,1,0.0,0.01,0.01,1.0
一体全体,1,0.0,0.01,0.01,1.0
つるつる,1,0.0,0.01,0.01,1.0
たいして,1,0.0,0.01,0.01,1.0
とかく,1,0.0,0.01,0.01,1.0
なにもかも,1,0.0,0.01,0.01,1.0
泣く泣く,1,0.0,0.01,0.01,1.0
時々,1,0.0,0.01,0.01,1.0
せめて,1,0.0,0.01,0.01,1.0
互いに,1,0.0,0.01,0.01,1.0
とりあえず,1,0.0,0.01,0.01,1.0
のんびり,1,0.0,0.01,0.01,1.0
何とか,1,0.0,0.01,0.01,1.0
いつのまにか,1,0.0,0.01,0.01,1.0
ビンビン,1,0.0,0.01,0.01,1.0
堂々,1,0.0,0.01,0.01,1.0
はっきり,1,0.0,0.01,0.01,1.0
