頻出単語,登場回数,登場回数/全単語数(26898)%,登場レビュー率 /(66本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
た,974,3.62,1.0,14.75,14.75
です,441,1.63,0.86,6.68,7.73
ます,297,1.1,0.81,4.5,5.5
な,272,1.01,0.89,4.12,4.61
まし,270,1.0,0.74,4.09,5.51
ない,160,0.59,0.83,2.42,2.9
で,141,0.52,0.78,2.13,2.71
だ,129,0.47,0.65,1.95,3.0
でし,120,0.44,0.54,1.81,3.33
ん,85,0.31,0.51,1.28,2.5
ませ,82,0.3,0.5,1.24,2.48
う,78,0.28,0.51,1.18,2.29
たい,58,0.21,0.5,0.87,1.75
でしょ,39,0.14,0.31,0.59,1.85
なく,34,0.12,0.37,0.51,1.36
だっ,33,0.12,0.33,0.5,1.5
たら,33,0.12,0.33,0.5,1.5
ず,30,0.11,0.22,0.45,2.0
なら,23,0.08,0.28,0.34,1.21
だろ,19,0.07,0.25,0.28,1.11
ござい,16,0.05,0.12,0.24,2.0
なかっ,15,0.05,0.21,0.22,1.07
ある,9,0.03,0.09,0.13,1.5
き,8,0.02,0.07,0.12,1.6
らしい,7,0.02,0.09,0.1,1.16
あっ,6,0.02,0.06,0.09,1.5
たかっ,6,0.02,0.09,0.09,1.0
つ,5,0.01,0.06,0.07,1.25
あり,4,0.01,0.04,0.06,1.33
べき,4,0.01,0.06,0.06,1.0
り,4,0.01,0.06,0.06,1.0
あれ,4,0.01,0.06,0.06,1.0
ぬ,4,0.01,0.06,0.06,1.0
たく,3,0.01,0.04,0.04,1.0
じ,3,0.01,0.03,0.04,1.5
ましょ,2,0.0,0.01,0.03,2.0
あろ,2,0.0,0.03,0.03,1.0
らしく,2,0.0,0.03,0.03,1.0
べし,2,0.0,0.03,0.03,1.0
らし,2,0.0,0.01,0.03,2.0
だら,1,0.0,0.01,0.01,1.0
ざる,1,0.0,0.01,0.01,1.0
べく,1,0.0,0.01,0.01,1.0
たれ,1,0.0,0.01,0.01,1.0
たり,1,0.0,0.01,0.01,1.0
あら,1,0.0,0.01,0.01,1.0
やっ,1,0.0,0.01,0.01,1.0
なけれ,1,0.0,0.01,0.01,1.0
たる,1,0.0,0.01,0.01,1.0
なし,1,0.0,0.01,0.01,1.0
っす,1,0.0,0.01,0.01,1.0
