頻出単語,登場回数,登場回数/全単語数(26898)%,登場レビュー率 /(66本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
する,514,1.91,0.93,7.78,8.29
いる,278,1.03,0.84,4.21,4.96
ある,166,0.61,0.74,2.51,3.38
れる,148,0.55,0.71,2.24,3.14
なる,112,0.41,0.66,1.69,2.54
思う,98,0.36,0.65,1.48,2.27
食べる,88,0.32,0.54,1.33,2.44
つまむ,72,0.26,0.34,1.09,3.13
くる,68,0.25,0.5,1.03,2.06
いただく,60,0.22,0.36,0.9,2.5
頂く,57,0.21,0.28,0.86,3.0
伺う,51,0.18,0.46,0.77,1.64
飲む,50,0.18,0.37,0.75,2.0
合わせる,47,0.17,0.43,0.71,1.62
炙る,47,0.17,0.28,0.71,2.47
せる,46,0.17,0.34,0.69,2.0
くれる,45,0.16,0.42,0.68,1.6
出る,42,0.15,0.37,0.63,1.68
感じる,42,0.15,0.39,0.63,1.61
言う,41,0.15,0.42,0.62,1.46
できる,37,0.13,0.34,0.56,1.6
にぎる,37,0.13,0.13,0.56,4.11
しまう,37,0.13,0.39,0.56,1.42
行く,34,0.12,0.34,0.51,1.47
入る,32,0.11,0.39,0.48,1.23
られる,32,0.11,0.36,0.48,1.33
出す,30,0.11,0.37,0.45,1.2
てる,30,0.11,0.22,0.45,2.0
入れる,29,0.1,0.31,0.43,1.38
楽しむ,29,0.1,0.27,0.43,1.61
おる,25,0.09,0.18,0.37,2.08
取れる,25,0.09,0.3,0.37,1.25
巻く,25,0.09,0.18,0.37,2.08
出来る,24,0.08,0.21,0.36,1.71
任せる,23,0.08,0.24,0.34,1.43
くださる,22,0.08,0.22,0.33,1.46
いう,22,0.08,0.24,0.33,1.37
煮る,22,0.08,0.15,0.33,2.2
使う,21,0.07,0.24,0.31,1.31
かける,21,0.07,0.18,0.31,1.75
待つ,20,0.07,0.24,0.3,1.25
考える,20,0.07,0.24,0.3,1.25
違う,20,0.07,0.18,0.3,1.66
しれる,19,0.07,0.19,0.28,1.46
取る,18,0.06,0.21,0.27,1.28
見る,18,0.06,0.18,0.27,1.5
聞く,18,0.06,0.21,0.27,1.28
づける,17,0.06,0.13,0.25,1.88
合う,16,0.05,0.16,0.24,1.45
すぎる,16,0.05,0.18,0.24,1.33
いく,16,0.05,0.19,0.24,1.23
変わる,15,0.05,0.18,0.22,1.25
蒸す,15,0.05,0.13,0.22,1.66
和える,15,0.05,0.16,0.22,1.36
続く,14,0.05,0.13,0.21,1.55
もらう,14,0.05,0.16,0.21,1.27
来る,14,0.05,0.15,0.21,1.4
握る,13,0.04,0.18,0.19,1.08
みる,13,0.04,0.16,0.19,1.18
焼く,12,0.04,0.13,0.18,1.33
始まる,12,0.04,0.15,0.18,1.2
のせる,11,0.04,0.09,0.16,1.83
引き出す,11,0.04,0.1,0.16,1.57
あわせる,11,0.04,0.1,0.16,1.57
続ける,10,0.03,0.12,0.15,1.25
ちる,10,0.03,0.09,0.15,1.66
伝わる,10,0.03,0.13,0.15,1.11
見える,10,0.03,0.12,0.15,1.25
残る,10,0.03,0.15,0.15,1.0
驚く,9,0.03,0.1,0.13,1.28
揚げる,9,0.03,0.07,0.13,1.8
分かる,9,0.03,0.1,0.13,1.28
乗せる,9,0.03,0.06,0.13,2.25
楽しめる,9,0.03,0.12,0.13,1.12
過ぎる,9,0.03,0.1,0.13,1.28
挟む,9,0.03,0.12,0.13,1.12
受ける,9,0.03,0.13,0.13,1.0
勧める,9,0.03,0.09,0.13,1.5
変える,9,0.03,0.1,0.13,1.28
とる,9,0.03,0.1,0.13,1.28
わかる,9,0.03,0.12,0.13,1.12
やる,8,0.02,0.1,0.12,1.14
持つ,8,0.02,0.09,0.12,1.33
のる,8,0.02,0.06,0.12,2.0
ちゃう,8,0.02,0.1,0.12,1.14
忘れる,8,0.02,0.1,0.12,1.14
書く,8,0.02,0.1,0.12,1.14
味わう,8,0.02,0.07,0.12,1.6
異なる,8,0.02,0.07,0.12,1.6
終わる,7,0.02,0.1,0.1,1.0
いただける,7,0.02,0.1,0.1,1.0
作る,7,0.02,0.1,0.1,1.0
こだわる,7,0.02,0.09,0.1,1.16
ぼる,7,0.02,0.09,0.1,1.16
頑張る,7,0.02,0.1,0.1,1.0
頂ける,7,0.02,0.09,0.1,1.16
酔う,7,0.02,0.06,0.1,1.75
好む,7,0.02,0.07,0.1,1.4
帰る,7,0.02,0.1,0.1,1.0
でる,7,0.02,0.1,0.1,1.0
とろける,7,0.02,0.07,0.1,1.4
添える,7,0.02,0.09,0.1,1.16
迎える,6,0.02,0.07,0.09,1.2
いける,6,0.02,0.09,0.09,1.0
いらっしゃる,6,0.02,0.09,0.09,1.0
通う,6,0.02,0.04,0.09,2.0
加える,6,0.02,0.07,0.09,1.2
飲める,6,0.02,0.07,0.09,1.2
下さる,6,0.02,0.09,0.09,1.0
過ごせる,6,0.02,0.07,0.09,1.2
思える,6,0.02,0.07,0.09,1.2
かかる,6,0.02,0.09,0.09,1.0
寝かせる,6,0.02,0.06,0.09,1.5
広がる,5,0.01,0.06,0.07,1.25
く,5,0.01,0.07,0.07,1.0
戻る,5,0.01,0.04,0.07,1.66
移る,5,0.01,0.07,0.07,1.0
行う,5,0.01,0.07,0.07,1.0
比べる,5,0.01,0.06,0.07,1.25
言える,5,0.01,0.07,0.07,1.0
伺える,5,0.01,0.07,0.07,1.0
知る,5,0.01,0.07,0.07,1.0
手が込む,5,0.01,0.07,0.07,1.0
減らす,5,0.01,0.06,0.07,1.25
落ち着く,5,0.01,0.07,0.07,1.0
進む,5,0.01,0.04,0.07,1.66
喜ぶ,5,0.01,0.06,0.07,1.25
空く,5,0.01,0.06,0.07,1.25
座る,4,0.01,0.04,0.06,1.33
消える,4,0.01,0.06,0.06,1.0
食する,4,0.01,0.06,0.06,1.0
なさる,4,0.01,0.06,0.06,1.0
まいる,4,0.01,0.04,0.06,1.33
おもう,4,0.01,0.03,0.06,2.0
下がる,4,0.01,0.06,0.06,1.0
混ぜる,4,0.01,0.03,0.06,2.0
載せる,4,0.01,0.06,0.06,1.0
知れる,4,0.01,0.06,0.06,1.0
包む,4,0.01,0.06,0.06,1.0
配る,4,0.01,0.06,0.06,1.0
尽くす,4,0.01,0.06,0.06,1.0
呼ぶ,4,0.01,0.06,0.06,1.0
分ける,4,0.01,0.06,0.06,1.0
だす,4,0.01,0.04,0.06,1.33
誘う,4,0.01,0.06,0.06,1.0
置く,4,0.01,0.06,0.06,1.0
はる,4,0.01,0.04,0.06,1.33
おく,4,0.01,0.04,0.06,1.33
引き立てる,4,0.01,0.06,0.06,1.0
つくす,4,0.01,0.06,0.06,1.0
いれる,4,0.01,0.04,0.06,1.33
つける,4,0.01,0.06,0.06,1.0
はがす,4,0.01,0.01,0.06,4.0
含める,4,0.01,0.06,0.06,1.0
訪れる,4,0.01,0.01,0.06,4.0
重ねる,4,0.01,0.04,0.06,1.33
