頻出単語,登場回数,登場回数/全単語数(26898)%,登場レビュー率 /(66本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
の,239,0.88,0.95,3.62,3.79
さん,209,0.77,0.77,3.16,4.09
酒,189,0.7,0.81,2.86,3.5
三谷,182,0.67,0.75,2.75,3.64
予約,151,0.56,0.75,2.28,3.02
こと,140,0.52,0.65,2.12,3.25
料理,113,0.42,0.63,1.71,2.69
年,111,0.41,0.69,1.68,2.41
店,111,0.41,0.66,1.68,2.52
もの,106,0.39,0.51,1.6,3.11
握り,103,0.38,0.57,1.56,2.71
鮪,83,0.3,0.37,1.25,3.32
私,75,0.27,0.48,1.13,2.34
鮨,75,0.27,0.5,1.13,2.27
寿司,74,0.27,0.42,1.12,2.64
そう,73,0.27,0.45,1.1,2.43
一,72,0.26,0.46,1.09,2.32
ワイン,69,0.25,0.48,1.04,2.15
ん,68,0.25,0.39,1.03,2.61
さ,67,0.24,0.51,1.01,1.97
(,66,0.24,0.25,1.0,3.88
産,64,0.23,0.18,0.96,5.33
1,64,0.23,0.43,0.96,2.2
よう,63,0.23,0.46,0.95,2.03
方,61,0.22,0.51,0.92,1.79
中,59,0.21,0.48,0.89,1.84
雲丹,56,0.2,0.28,0.84,2.94
屋,56,0.2,0.46,0.84,1.8
.,56,0.2,0.19,0.84,4.3
日本,53,0.19,0.46,0.8,1.7
人,53,0.19,0.36,0.8,2.2
これ,51,0.18,0.46,0.77,1.64
トロ,50,0.18,0.33,0.75,2.27
１,50,0.18,0.22,0.75,3.33
訪問,48,0.17,0.37,0.72,1.92
穴子,47,0.17,0.24,0.71,2.93
巻き,47,0.17,0.28,0.71,2.47
今回,47,0.17,0.3,0.71,2.35
時間,46,0.17,0.3,0.69,2.3
２,45,0.16,0.24,0.68,2.81
感,45,0.16,0.37,0.68,1.8
-,44,0.16,0.06,0.66,11.0
白子,43,0.15,0.3,0.65,2.15
的,43,0.15,0.34,0.65,1.86
事,42,0.15,0.28,0.63,2.21
日,42,0.15,0.31,0.63,2.0
脂,42,0.15,0.28,0.63,2.21
それ,41,0.15,0.36,0.62,1.7
鯛,41,0.15,0.21,0.62,2.92
鮑,40,0.14,0.22,0.6,2.66
ご飯,40,0.14,0.3,0.6,2.0
2,40,0.14,0.33,0.6,1.81
最高,40,0.14,0.37,0.6,1.6
味,39,0.14,0.28,0.59,2.05
笑,39,0.14,0.24,0.59,2.43
席,39,0.14,0.39,0.59,1.5
白,38,0.14,0.34,0.57,1.65
時,38,0.14,0.31,0.57,1.8
ウニ,36,0.13,0.25,0.54,2.11
前,35,0.13,0.36,0.53,1.45
マグロ,35,0.13,0.19,0.53,2.69
昆布,35,0.13,0.34,0.53,1.52
肝,35,0.13,0.28,0.53,1.84
キャビア,35,0.13,0.27,0.53,1.94
こちら,35,0.13,0.31,0.53,1.66
後,34,0.12,0.34,0.51,1.47
目,33,0.12,0.28,0.5,1.73
素材,33,0.12,0.3,0.5,1.65
スープ,32,0.11,0.22,0.48,2.13
3,32,0.11,0.22,0.48,2.13
円,32,0.11,0.28,0.48,1.68
酢,32,0.11,0.21,0.48,2.28
ここ,31,0.11,0.36,0.46,1.29
品,31,0.11,0.25,0.46,1.82
ネタ,31,0.11,0.28,0.46,1.63
赤,31,0.11,0.21,0.46,2.21
海老,31,0.11,0.22,0.46,2.06
何,30,0.11,0.3,0.45,1.5
シャンパン,30,0.11,0.27,0.45,1.66
気,30,0.11,0.34,0.45,1.3
カウンター,29,0.1,0.36,0.43,1.2
数,28,0.1,0.25,0.42,1.64
黒,28,0.1,0.27,0.42,1.55
今,27,0.1,0.28,0.4,1.42
好き,26,0.09,0.33,0.39,1.18
熟成,26,0.09,0.24,0.39,1.62
大将,26,0.09,0.21,0.39,1.85
回,26,0.09,0.15,0.39,2.6
香り,26,0.09,0.15,0.39,2.6
卵,26,0.09,0.25,0.39,1.52
魚,26,0.09,0.21,0.39,1.85
楽しみ,25,0.09,0.25,0.37,1.47
シャリ,25,0.09,0.24,0.37,1.56
鯖,25,0.09,0.22,0.37,1.66
12,24,0.08,0.18,0.36,2.0
月,24,0.08,0.21,0.36,1.71
先,24,0.08,0.22,0.36,1.6
),24,0.08,0.16,0.36,2.18
マリアージュ,24,0.08,0.24,0.36,1.5
～,24,0.08,0.22,0.36,1.6
お客,24,0.08,0.21,0.36,1.71
印象,24,0.08,0.25,0.36,1.41
米,23,0.08,0.16,0.34,2.09
一番,23,0.08,0.27,0.34,1.27
他,23,0.08,0.19,0.34,1.76
仕事,23,0.08,0.22,0.34,1.53
本日,23,0.08,0.04,0.34,7.66
感じ,23,0.08,0.24,0.34,1.43
身,23,0.08,0.1,0.34,3.28
夜,22,0.08,0.27,0.33,1.22
満足,22,0.08,0.18,0.33,1.83
ソース,22,0.08,0.19,0.33,1.69
感動,22,0.08,0.21,0.33,1.57
ステーキ,22,0.08,0.18,0.33,1.83
海胆,22,0.08,0.04,0.33,7.33
カラス,21,0.07,0.13,0.31,2.33
ミ,21,0.07,0.13,0.31,2.33
口,21,0.07,0.21,0.31,1.5
出汁,21,0.07,0.16,0.31,1.9
度,21,0.07,0.21,0.31,1.5
うに,21,0.07,0.12,0.31,2.62
干瓢,21,0.07,0.13,0.31,2.33
海苔,20,0.07,0.22,0.3,1.33
分,20,0.07,0.21,0.3,1.42
以上,20,0.07,0.21,0.3,1.42
ぶり,20,0.07,0.16,0.3,1.81
幸せ,20,0.07,0.16,0.3,1.81
種類,20,0.07,0.19,0.3,1.53
食事,20,0.07,0.16,0.3,1.81
8,20,0.07,0.15,0.3,2.0
主人,20,0.07,0.16,0.3,1.81
ところ,19,0.07,0.21,0.28,1.35
玉子,19,0.07,0.21,0.28,1.35
焼き,19,0.07,0.18,0.28,1.58
０,19,0.07,0.15,0.28,1.9
３,19,0.07,0.19,0.28,1.46
常連,19,0.07,0.18,0.28,1.58
食,19,0.07,0.21,0.28,1.35
ランチ,19,0.07,0.22,0.28,1.26
鰹,19,0.07,0.21,0.28,1.35
店内,19,0.07,0.24,0.28,1.18
十,18,0.06,0.12,0.27,2.25
銚子,18,0.06,0.21,0.27,1.28
締め,18,0.06,0.19,0.27,1.38
グラス,18,0.06,0.18,0.27,1.5
次回,18,0.06,0.22,0.27,1.2
全て,18,0.06,0.18,0.27,1.5
今日,18,0.06,0.15,0.27,1.8
自分,18,0.06,0.24,0.27,1.12
すべて,18,0.06,0.22,0.27,1.2
三,17,0.06,0.19,0.25,1.3
最初,17,0.06,0.18,0.25,1.41
大間,17,0.06,0.16,0.25,1.54
巻,17,0.06,0.15,0.25,1.7
電話,17,0.06,0.21,0.25,1.21
お昼,17,0.06,0.19,0.25,1.3
邪魔,17,0.06,0.12,0.25,2.12
来年,17,0.06,0.18,0.25,1.41
蛤,17,0.06,0.16,0.25,1.54
♪,17,0.06,0.12,0.25,2.12
一つ,17,0.06,0.16,0.25,1.54
からすみ,17,0.06,0.19,0.25,1.3
代,16,0.05,0.09,0.24,2.66
コハダ,16,0.05,0.16,0.24,1.45
次,16,0.05,0.22,0.24,1.06
ぐろ,16,0.05,0.12,0.24,2.0
揚げ,16,0.05,0.15,0.24,1.6
蟹,16,0.05,0.1,0.24,2.28
様,16,0.05,0.13,0.24,1.77
コース,16,0.05,0.15,0.24,1.6
食材,16,0.05,0.15,0.24,1.6
梅,16,0.05,0.22,0.24,1.06
かん,16,0.05,0.16,0.24,1.45
杯,16,0.05,0.18,0.24,1.33
9,16,0.05,0.1,0.24,2.28
吟醸,15,0.05,0.09,0.22,2.5
赤身,15,0.05,0.18,0.22,1.25
漬け,15,0.05,0.15,0.22,1.5
手,15,0.05,0.16,0.22,1.36
おまかせ,15,0.05,0.16,0.22,1.36
四ツ谷,15,0.05,0.15,0.22,1.5
お客様,15,0.05,0.13,0.22,1.66
ため,15,0.05,0.18,0.22,1.25
今年,15,0.05,0.18,0.22,1.25
一品,15,0.05,0.19,0.22,1.15
