頻出単語,登場回数,登場回数/全単語数(26898)%,登場レビュー率 /(66本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
美味しい,106,0.39,0.59,1.6,2.71
ない,82,0.3,0.65,1.24,1.9
良い,73,0.27,0.56,1.1,1.97
素晴らしい,31,0.11,0.33,0.46,1.4
甘い,28,0.1,0.15,0.42,2.8
高い,27,0.1,0.3,0.4,1.35
多い,24,0.08,0.24,0.36,1.5
よい,22,0.08,0.15,0.33,2.2
いい,21,0.07,0.21,0.31,1.5
強い,20,0.07,0.18,0.3,1.66
おいしい,19,0.07,0.12,0.28,2.37
旨い,12,0.04,0.13,0.18,1.33
楽しい,11,0.04,0.16,0.16,1.0
柔らかい,11,0.04,0.13,0.16,1.22
無い,11,0.04,0.13,0.16,1.22
すごい,10,0.03,0.1,0.15,1.42
嬉しい,9,0.03,0.12,0.13,1.12
凄い,9,0.03,0.1,0.13,1.28
香ばしい,9,0.03,0.07,0.13,1.8
悪い,9,0.03,0.09,0.13,1.5
美味い,9,0.03,0.07,0.13,1.8
少ない,8,0.02,0.12,0.12,1.0
美しい,8,0.02,0.07,0.12,1.6
にくい,7,0.02,0.1,0.1,1.0
明るい,6,0.02,0.06,0.09,1.5
厚い,6,0.02,0.04,0.09,2.0
安い,6,0.02,0.07,0.09,1.2
欲しい,5,0.01,0.07,0.07,1.0
軽い,5,0.01,0.06,0.07,1.25
深い,5,0.01,0.07,0.07,1.0
大きい,5,0.01,0.07,0.07,1.0
長い,5,0.01,0.06,0.07,1.25
弱い,5,0.01,0.06,0.07,1.25
面白い,5,0.01,0.07,0.07,1.0
やすい,5,0.01,0.07,0.07,1.0
早い,4,0.01,0.06,0.06,1.0
新しい,4,0.01,0.06,0.06,1.0
難しい,4,0.01,0.06,0.06,1.0
赤い,4,0.01,0.06,0.06,1.0
近い,4,0.01,0.06,0.06,1.0
細かい,4,0.01,0.06,0.06,1.0
生臭い,3,0.01,0.04,0.04,1.0
若い,3,0.01,0.03,0.04,1.5
っぽい,3,0.01,0.03,0.04,1.5
薄い,3,0.01,0.04,0.04,1.0
小さい,3,0.01,0.04,0.04,1.0
温かい,3,0.01,0.03,0.04,1.5
ものすごい,3,0.01,0.03,0.04,1.5
ほしい,3,0.01,0.04,0.04,1.0
きつい,3,0.01,0.03,0.04,1.5
しつこい,3,0.01,0.04,0.04,1.0
うれしい,3,0.01,0.04,0.04,1.0
白い,3,0.01,0.04,0.04,1.0
やわらかい,3,0.01,0.01,0.04,3.0
