頻出単語,登場回数,登場回数/全単語数(26898)%,登場レビュー率 /(66本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
ご馳走様,17,0.06,0.1,0.25,2.42
ありがとう,8,0.02,0.12,0.12,1.0
あ,6,0.02,0.07,0.09,1.2
あぁ,4,0.01,0.04,0.06,1.33
まぁ,3,0.01,0.04,0.04,1.0
うーん,3,0.01,0.04,0.04,1.0
ご馳走さま,2,0.0,0.03,0.03,1.0
御馳走様,2,0.0,0.01,0.03,2.0
う,2,0.0,0.03,0.03,1.0
ごちそう様,1,0.0,0.01,0.01,1.0
ごめんなさい,1,0.0,0.01,0.01,1.0
わぁ,1,0.0,0.01,0.01,1.0
おお,1,0.0,0.01,0.01,1.0
さあ,1,0.0,0.01,0.01,1.0
ううん,1,0.0,0.01,0.01,1.0
いやー,1,0.0,0.01,0.01,1.0
えー,1,0.0,0.01,0.01,1.0
なるほど,1,0.0,0.01,0.01,1.0
はい,1,0.0,0.01,0.01,1.0
キャー,1,0.0,0.01,0.01,1.0
へっ,1,0.0,0.01,0.01,1.0
えっ,1,0.0,0.01,0.01,1.0
いや,1,0.0,0.01,0.01,1.0
こりゃ,1,0.0,0.01,0.01,1.0
