頻出単語,登場回数,登場回数/全単語数(26898)%,登場レビュー率 /(66本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
そして,41,0.15,0.37,0.62,1.64
また,34,0.12,0.31,0.51,1.61
ただ,16,0.05,0.16,0.24,1.45
でも,16,0.05,0.18,0.24,1.33
まずは,12,0.04,0.13,0.18,1.33
しかし,11,0.04,0.07,0.16,2.2
しかも,8,0.02,0.09,0.12,1.33
さて,8,0.02,0.07,0.12,1.6
それでも,5,0.01,0.06,0.07,1.25
実は,4,0.01,0.04,0.06,1.33
が,4,0.01,0.06,0.06,1.0
ちなみに,3,0.01,0.04,0.04,1.0
かつ,3,0.01,0.04,0.04,1.0
なお,3,0.01,0.04,0.04,1.0
すると,2,0.0,0.03,0.03,1.0
それにしても,2,0.0,0.03,0.03,1.0
又,2,0.0,0.03,0.03,1.0
なぜなら,2,0.0,0.03,0.03,1.0
いや,2,0.0,0.03,0.03,1.0
または,2,0.0,0.01,0.03,2.0
そこで,1,0.0,0.01,0.01,1.0
それとも,1,0.0,0.01,0.01,1.0
しかしながら,1,0.0,0.01,0.01,1.0
あるいは,1,0.0,0.01,0.01,1.0
こうして,1,0.0,0.01,0.01,1.0
尚,1,0.0,0.01,0.01,1.0
だから,1,0.0,0.01,0.01,1.0
それに,1,0.0,0.01,0.01,1.0
たとえば,1,0.0,0.01,0.01,1.0
ともすれば,1,0.0,0.01,0.01,1.0
それでいて,1,0.0,0.01,0.01,1.0
例えば,1,0.0,0.01,0.01,1.0
それなら,1,0.0,0.01,0.01,1.0
で,1,0.0,0.01,0.01,1.0
だからこそ,1,0.0,0.01,0.01,1.0
ただし,1,0.0,0.01,0.01,1.0
だが,1,0.0,0.01,0.01,1.0
よって,1,0.0,0.01,0.01,1.0
んじゃ,1,0.0,0.01,0.01,1.0
それで,1,0.0,0.01,0.01,1.0
