頻出単語,登場回数,登場回数/全単語数(26898)%,登場レビュー率 /(66本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
この,83,0.3,0.48,1.25,2.59
その,48,0.17,0.36,0.72,2.0
同じ,18,0.06,0.19,0.27,1.38
そんな,11,0.04,0.12,0.16,1.37
こんな,10,0.03,0.1,0.15,1.42
あの,7,0.02,0.07,0.1,1.4
どんな,6,0.02,0.09,0.09,1.0
どの,5,0.01,0.07,0.07,1.0
小さな,5,0.01,0.07,0.07,1.0
そういう,3,0.01,0.04,0.04,1.0
こういう,3,0.01,0.04,0.04,1.0
大きな,3,0.01,0.03,0.04,1.5
ある,2,0.0,0.03,0.03,1.0
いわゆる,2,0.0,0.03,0.03,1.0
ほんの,2,0.0,0.01,0.03,2.0
さる,1,0.0,0.01,0.01,1.0
単なる,1,0.0,0.01,0.01,1.0
ちょっとした,1,0.0,0.01,0.01,1.0
いろんな,1,0.0,0.01,0.01,1.0
どういう,1,0.0,0.01,0.01,1.0
