,0,1,2,3,4,5,6,7,8,9
三谷 236,"('復帰', 0.45046156644821167)","('リハビリ', 0.43539363145828247)","('心臓', 0.4235968589782715)","('営業', 0.41887977719306946)","('料理', 0.41608014702796936)","('手術', 0.4078928828239441)","('成功', 0.4040079712867737)","('元気', 0.3940262496471405)","('ワールド', 0.39281517267227173)","('やすい', 0.3827941119670868)"
予約 167,"('待ち', 0.4687314033508301)","('紹介', 0.4610470235347748)","('次回', 0.45594215393066406)","('難関', 0.44405555725097656)","('両論', 0.44282495975494385)","('会社', 0.4414639472961426)","('やすい', 0.4386941194534302)","('伺い', 0.438503235578537)","('休暇', 0.42758724093437195)","('困難', 0.4262025058269501)"
料理 126,"('全般', 0.4819367527961731)","('三谷', 0.41608014702796936)","('愉し', 0.4115712344646454)","('うれしい', 0.40710169076919556)","('カウンター', 0.3774881362915039)","('フレンチ', 0.3702218234539032)","('素人', 0.36299824714660645)","('ホント', 0.35895103216171265)","('説得', 0.3548088073730469)","('感激', 0.3540056049823761)"
握り 109,"('ヒラメ', 0.38602596521377563)","('烏賊', 0.377533882856369)","('ツメ', 0.36901867389678955)","('移行', 0.36614668369293213)","('加減', 0.35435473918914795)","('シャリ', 0.34263497591018677)","('茶碗蒸し', 0.33973291516304016)","('スミイカ', 0.33968955278396606)","('八戸', 0.3392861783504486)","('珍味', 0.33637574315071106)"
ワイン 88,"('ソムリエ', 0.41112419962882996)","('シャンパン', 0.3874419331550598)","('ロゼ', 0.37895625829696655)","('勉強', 0.3744075298309326)","('抜群', 0.3675340414047241)","('一時', 0.3588142693042755)","('河豚', 0.34851014614105225)","('フレンチ', 0.3464927077293396)","('さば', 0.3457765281200409)","('はま', 0.3437599837779999)"
日本 69,"('程度', 0.37043777108192444)","('づつ', 0.3659411370754242)","('説得', 0.3430593013763428)","('中心', 0.34210264682769775)","('さば', 0.3382382392883301)","('ワイン', 0.3372386693954468)","('美しく', 0.3102347254753113)","('いわし', 0.3076842427253723)","('魚介', 0.3070136606693268)","('待ち', 0.305065393447876)"
マリアージュ 53,"('超絶', 0.4960135817527771)","('長崎', 0.4539221525192261)","('ヴィンテージ', 0.4528699517250061)","('コーティング', 0.42543208599090576)","('分析', 0.4199760854244232)","('意見', 0.3975690007209778)","('納得', 0.3967936038970947)","('フレンチ', 0.39577600359916687)","('完璧', 0.3917413353919983)","('淡路島', 0.3859720230102539)"
雲丹 52,"('青柳', 0.47636353969573975)","('馬糞', 0.4758981466293335)","('自然', 0.4718392789363861)","('海胆', 0.4469691812992096)","('昆布', 0.44126302003860474)","('ミョウバン', 0.4409812092781067)","('こはだ', 0.4341278672218323)","('ロゼ', 0.4303494393825531)","('さば', 0.42877423763275146)","('きん', 0.422663152217865)"
ない 50,"('悪い', 0.3957858383655548)","('説得', 0.3927589952945709)","('メモ', 0.38411763310432434)","('新鮮', 0.3631048798561096)","('ソムリエ', 0.349972665309906)","('当たり前', 0.34864675998687744)","('理解', 0.34736090898513794)","('びっくり', 0.3458271920681)","('必然', 0.3453698754310608)","('興味', 0.341367244720459)"
大将 49,"('暖簾', 0.5426743626594543)","('青空', 0.4700450301170349)","('自ら', 0.468575656414032)","('すぎ', 0.4548950791358948)","('理解', 0.435359925031662)","('演技', 0.4330437183380127)","('白木', 0.4219963252544403)","('説明', 0.4139404892921448)","('お話', 0.4039335250854492)","('知り合い', 0.40044277906417847)"
