store_name,dinner_review
青空,本日は美しきグルメOLと、2年ぶりの青空さんへ。お任せで下記が出て来ました～金時草毛蟹の土佐ポン酢ジュレかけ秋刀魚肝醤油お刺身（かます・松川鰈・ナガスクジラ尾の身）蒸し鮑鰹の藁焼き北海道ししゃも※以下握りすみいかかすご赤身中トロ大トロこはだ小柱車エビいくら鯖バフンうにブリ穴子玉子焼きどの握りも圧巻でしたが、ブリ、穴子はその中でも群を抜いて美味しくいただけました。日本酒と合わせながらほろ酔いで帰路につきます～ごちそうさまでした。
青空,この日は、銀座の『青空』さんへ♪印象的だったのは、小鰭○小柱軍艦○鰹○○赤身○あいなめ○春子○○穴子◎かっぱ巻き○玉◎穴子を塩で☆玉子と並んで特別美味しかった～ (*'ω'*)また、次回♪--------------------------------------------------------------------------この日は、銀座の『青空』さんへ☆印象的だったものを♪（握り）小鰭墨烏賊○赤貝○○小柱◎◎鯖車海老○煮蛤穴子○とろたく玉この日は何といっても「小柱」が良かったですね～。粒の大きさに違わぬ詰まり具合。香りも良くって、満足の1貫でした♪-・-・-・-・-・-・-・-・-・-・-・-・-・-・-・-・-・-・-・-・-・-・-・-・-・-・この日は銀座の『青空』さんへ♪（握り）小鰭○○白烏賊○赤貝○赤身(舞鶴)○真子鰈○○車海老黒鮑○大星○○穴子(ツメ)○紐胡瓜巻きとろたく巻き○玉○○（酒肴）ナガスクジラ 尾のみ鰹○枝豆変わらぬ美味しさがここにはあります☆（17/6）この日は、『青空』さんへ♪（酒肴）蛸○燻した鰆 叩いた山山葵葱◎◎鮟肝○○（握り）小鰭○○墨烏賊○鯵○大星○赤身(竜飛)○車海老(愛知)○赤貝○穴子(塩)○蛤○穴子(ツメ)○紐胡瓜巻き○玉○○いつも通りのシャリの美味しさ☆ネタの質も極上♪また、次回ですね～。■2016.6この日は、『青空』さんへ、移転のお祝いがてら★1時間前に初音鮨でお鮨をいただいたばかりで、お腹はパンパンです❤　パンパン♪まずは、生姜で、リフレッシュ★鋭利な辛味にしっかりとした甘み。春子○○旨い春子なんていうのは、仕入れが出来るかどうか。変わらず確かな目利き★泥障烏賊○断然墨派ですが、こちらの舎利とこの泥障の相性はいいですね☆噛むほどに泥障の甘みに、舎利の塩味・酸味がねっとり感と程良く交わり♪赤貝○○まな板の上から既に香ってきます。『鼻腔を擽る』以上に鮮烈な香り☆食す前に勝負があった閖上の極上品。大星○大星の旨味に甘み。。車海老いつもの超絶感はなしですね。仄かな苦み、これはこれで良し！鱚昆布〆○〆てます感の強い昆布〆、昆布の旨味も鱚の地が良質だからこそ★ただし、鱚の儚くも淡い存在感は忘却の彼方❤赤身○酸味に香り、鉄…、まさしく夏鮪。。舎利との相性は流石☆穴子(塩)◎とろとろでしっとりとした旨味が舎利を覆ってます☆穴子（つめ）◎とろっとろにツメのトロットロ☆とろたく巻○玉○芝海老と大和芋の玉子。しっとり、ほどよい甘さ。こちらのも好きですね～。枝豆唐墨炙り○また、次回♪
青空,4年ぶり、移転後は初めてのお伺い。営業は17時からで席によっては最大3回転するので、時間を合わせれば思ったより予約は取りやすい。移転前より随分広くなりましたが、席は2席しか増えていないそうで、席間もゆったりの非常に過ごしやすい空間です。4年間で色んなお店の鮨を食べたせいか以前と随分印象が違いました。いただいたのは以下、トロ抜きにて、追加含め16貫+巻物1本。おーのー、タマゴいただくの忘れた。。。・枝豆、マコガレイ、アオリイカ、キス昆布〆、シマアジ、赤身、コハダ、アワビ、小柱、アジ、車海老、カスゴ、バフンウニ、赤貝、カツオ藁焼き、アナゴ追加・アオリイカ、かんぴょう巻きお酒は・澤屋まともと　純米（京都）をお燗でいただきました。すきやばし次郎のシャリが絶品だったので、次郎出身のこちらも再度お伺いしてみたくなったのですが、全く別物。ただシャリに強い個性があるのは同じ流れか。鮨屋の特徴が出るのは米だと思っていますが、記憶に残る素晴らしいシャリです。米酢のシャリの中では今までで最固、人肌のバランスの良いサイズの綺麗な握りで、酢より塩味をかなり強く感じ、キレ良く、存在感を残しつつスッと消えていき後味も気持ちいい。シャリは頻繁に小さい桶に移され温度管理、握る所作も美しいですね。タネとの調和を考えると、塩味はもう少し控えめの方がジャストミートですが、これは個々の好み。もしかすると海外の方はより食べやすい鮨なのかもしれません。シャリが強いので、上部にもう少しインパクト（素材の味の強さ）があると嬉しいですが、タネではとにかく・アオリイカが超絶！シャリとのバランスは今まで食べた中で最強。他印象に残ったのは・蒸アワビ、大きめですが、柔らかく仕上げシャリとの一体感、鼻腔をくすぐる芳醇が素晴らしい。・コハダは雑味の一切ないとても綺麗な仕上げ。フワフワでフワッと香る優しい甘みの・車海老も美味でした。17時開始（18時からが多いよう）はお客様も少なく、滞在1時間ほどとテンポ良く握っていただけたのもよく、前回より自力の高さも感じられ満足感も十分でした。席数多めのお店は空いてる時間にかぎります。またお伺いいたします。ごちそうさまでした！
青空,2019年4月ディナー利用新元号『令和』が発表されたこの日に合わせて予約しました！本当は平成最後のお寿司ってする予定でしたが、予約が取れなくて。。。まぁ記念すべき新元号の初日にお寿司も縁起が良さそう(^^)そして以前からいつかは行ってみようと思っていたこちらに！【店名】青空  はるたか場所は銀座8丁目、コリドー街にあります。なので新橋駅が1番近いです！こちらのお店はすきやばし二郎から独立されたお店です。すきやばし二郎はミシュラン☆☆☆でオバマ大統領と安倍首相が食事したお店です。【店内】カウンター席と個室が１部屋になります。カウンターは見事な檜で、店内も高級感が漂っております。まさに一流店の雰囲気です。【料理&飲み物】とりあえずは生ビールです。生ビールはアサヒかエビスの2種類おいてあります。今回はエビスにしました。料理はお任せコースを注文。お任せコースもつまみと握りのコースか握りのみのコースがあります。もちろんつまみと握りのコースにしました。・お浸し・金目鯛のみぞれ掛け・浅利スープ・平目 造り・蒸し鮑・鰹と鰆燻製 造り・ホタルイカの味噌・カラスミ・太刀魚 焼き物・イカ握り・サヨリ握り・鮪 赤身 握り・鮪 中トロ 握り・鮪 大トロ 握り・小肌握り・貝柱 軍艦・鯵 握り・車海老 握り・カスゴ 握り・雲丹握り・穴子 握り・玉子焼以上が一通りの内容でした。こちらの別に鯖などもありますって言われたのですが、お腹いっぱいだったので。一品料理もどれもとても美味しいのですが、寿司に感動しました！酢飯は酢が少し強めですが、脂ののったお魚と一緒に口に入れると絶妙なバランス！！どの握りも感動しました！大将は無口な方ですが、その分お寿司にかける情熱がありますね。ネタも最高の物を仕入れております。雲丹はこの日は青森のムラサキ雲丹でしたが、この雲丹もとても濃厚で最高でした。この内容で1人42000円位です。安くはないですが、とても満足できる内容でした！！また記念すべき日に行きたいです。ごちそうさまでしたー(*´-`)
青空,"携帯カメラが完全にダメになってしまい、写真なしです。⭐2,5基準に各項目の平均でだします。高級店はCPで低い点がつきやすく、雰囲気やサービスも廉価な店より辛口なので、こんなこともよくあります。内観は狭く感じさせず、清潔感あり。個人的には桜の飾り方がいまひとつ。 お弟子さん、ホールの方、スタッフはけっこういるのですが、サービス料が発生するような接客ではないように感じます。連携も微妙ですし。大将の握りや所作は流石なのだけど、二番手さんの所作は雑で巻物も雑です。握りは大将がやられてるので心配ないのですが、巻物は二番手さんみたい。大将に頼めば大将がやってくれます。最近つまみが秀逸で、握りが少し残念、値段は妥当かなみたいな店が多かったのですが、こちらはネタは高級店にしては普通な印象、というかすごいネタを仕入てる寿司屋が多いので麻痺してる(笑)。驚きや独創性もあまりないのでツマミは普通。握りは普通＋α、値段は銀座という感じでした。この食後感でこの値段はかなり高いように感じます(^^;再訪はないです。以下、食べたもの日本酒二合しろ菜のお浸しすっぽんのスープ 旨味あるが、雑味と塩分強め閂の昆布締め ウズラ黄身ふぐ 白子とてっさと身、おろしポン酢この味付けなら別々の方がよいかなカツオ ◯ キレイな味。少し物足りなくもある 三陸の蒸しアワビ  ◯よくも悪くも美味しいアワビサワラの藁焼き(表面のみ火が通ってる)行者にんにくと。タレが強い。素材があまり活きてないと思う。ふぐの酒蒸しこれを銀座のカウンターで出すのは？、キレイに食べにくいし。味も普通追加↓ホタルイカをすりつぶしたもの＋カラシからすみ 握り (塩シャリ)まこがれい ◯あおりいか 赤身 ▲中とろ ◯大トロ ▲こはだ ◯  塩つよめこばしら ▲アジ ▲ 新鮮車エビ ▲かすご↓とりがい紫うに握り ◯ 海苔なしあなご ツメがあまい やわらかいから、クドイ玉 ミディアムレアのとろっと ▲追加さば アブラこってりにはま ▲てっぽう ◯かっぱ ◯"
青空,"銀座・コリドー通りの銀座側のビル6Fにあるお店。大将やお店の説明しなくても、他の皆様が書いてあるので割愛笑つまみと握りのコースにて事前予約。感想の最後にコース内容を記入します。季節によってもちろん内容は変わると思いますが、参考までに記入・サービス面お酒、つまみを出すタイミングや、料理を下げる声かけ等は、しっかりしていました。他レビュアーさんが大将が握りを置く際に、魚の名前を言わない、声が小さい等ありましたが確かにそうでした。しかし、私はお客さん同士の会話を切らせ無い様に、気を使っているかも？と思いました。お寿司を楽しみに来たので、個人的にもしっかり伝えた方がベターとも思いましたが、ここは銀座界隈で有名店。何度も来れる方は、相当の地位がある方々。また、初訪問でも余裕がある方か、奮発して来るかの金額ですもんね笑。常連さんをつくる為には、この方法でもありかも。そう考えた私は、出された時に自分から声かけしてみました。そしたら、大将はやさしく微笑みながらいろいろ答えてくれました。聞けばしっかり返事をくれるし、それ以降は置く時にたまに説明もしてくれるし、気さくになりました。　よく見たら他の常連さんらしき方々も、自分で声かける方々が多かったなー。わからない事があったら自分から聞く！初心思い出しました笑・おつまみ前置きがいろいろありましたがここから笑おつまみは、相当仕込みに手間がかかっている事がわかる味付け。食材毎の味が中心で雑味が少ない。個人的に美味しかったのは、鮑のうま煮。とても、柔らかくトロットした甘めの煮汁がとて合って美味しかった。今までの鮑料理で一番とおもいました。・握りシャリの握りは硬め。米酢と塩と梅の味が特徴的な酢飯カスゴや、アオリイカはとても見た目も綺麗で味も絶妙。その他のネタもとても美しく、そして間違いなく美味しい。ただマグロは個人的にすこし微妙だったかな。マグロは、赤身→中トロ→大トロとだされますが、管理の問題か、中トロで生臭さを感じたのが残念。赤身・大トロは美味しかった。そして、特記すべきが穴子！みなさん、穴子が最高と結構書いてましたが、最高でした。見た目からとろとろ感と、タレの照り感・・・。口に入れた時のふわっと感・甘味と塩味がベスト！！大将に美味しい事を伝えると、「もうこれ以上に美味しくするのは出来ないですよ」って笑いながら答えてくれました。たまご焼きが出された際に、穴子を追加注文。そしたら大将が「まだ、たまご焼き食べないで！！、甘さがわからなくなっちゃう！」って焦って声かけてきたのが、なんとなくクスッとし、とても真面目な方なんだなーと印象的でした。穴子おかわりするものの、美味しさは変わらず。このレビューを書いていてめっちゃ食べたくなってます笑この穴子を食べる為に、リピート確定した程の美味しさです。総括店内は、とても綺麗。声かけ、お見送りもしっかりして頂けるさすがのお店でした。おつまみ、握りの味は間違いないです。また、お寿司屋さんもいろんな方々がいろいろな考えの元経営されていると大変勉強になりました。ごちそうさまでした。また、伺います！！つまみ8品・小松菜のおひたし・すっぽんのスープ・サヨリの卵黄和え・河豚皮の和え・タイ？湯引き　（聞きそびれた）・アワビ煮・白身焼き魚と行者にんにく・ポン酢付け合せ・河豚煮（顔部分をポン酢にて）握り（14貫+玉子焼）・マコガレイ・アオリイカ・マグロ赤身・マグロ中トロ・マグロ大トロ・コハダ・小柱軍艦巻・〆鯖・エビ・カスゴ・ムラサキウニ（青森）・穴子煮・鳥貝・ぶり・蛤・玉子おかわり・穴子（友達は雲丹と穴子）飲み物・生ビール*2・日本酒*4合金額106,000円（2名）"
青空,食べログ★4.35・2018年 Silver・2017年 Silver【青空】さんにお伺いさせて頂きました。場所は、銀座になります。銀座外堀通りから少し入ったビルになります。外観は、綺麗な雑居ビルで飲食店が多いです。内装は、玄関のドアを開けると、石畳の径があります、店内には、檜のL字カウンター席になります。個室が一部屋ございます。こちらのお鮨は、名店でもあります、すきやばし次さんで12年間修行を積んだ高橋青空さんが2006年に開店されたお店になります。北海道生まれで、国語教師のお父さんさんが名付けられた、青空（はるたか）その名前を使ったお店になります。♦️お通し【お刺身】♦️佐島の蛸♦️鱈焼き白子♦️クエ湯引き♦️青森産 平目♦️但馬甘鯛 蛤のお出汁♦️三陸蒸し鮑♦️サワラ焼き、カマス焼き♦️真魚鰹味噌柚庵焼き【握り】♦️墨烏賊握り♦️サヨリ握り♦️マグロ赤身握り♦️中トロ握り♦️松前大トロ握り♦️小肌握り♦️イクラ軍艦♦️鰤握り♦️車海老握り♦️小柱軍艦握り♦️かすご握り♦️雲丹軍艦握り♦️鯖握り♦️穴子握り♦️卵焼き正統派の江戸前鮨の王道のお鮨になります。厳選された特選素材を、丁寧に確かな技術で、ひと手間かけてお出し頂けます。どれもレベルが高く、最後まで楽しめます。シャリは、やや硬めです。米酢と塩の塩梅で調整されているそうです。鮪は赤身、中トロ、大トロの三種類が用意されております。大将から、足りないと鉄火巻きにして更にお出し頂けます。特筆すべきは、・但馬甘鯛 蛤のお出汁・穴子握りではないでしょうか？甘鯛の美味しさに、蛤のお出し　まさに掛け算ですね。これは印象に残りますし、美味しく頂けます。それに穴子の柔らかさ、爪の美味しさ　これも掛け算です。この激戦区　銀座でも大人気店、予約困難店として君臨されているのもわかります、高橋さんの人柄、話術、厳選素材、確かな技術間違いないお店です。良いお店ではないでしょうか？
青空,2回目の訪問。今回もAmexのコンシェルジュ経由で予約。相変わらずウーロンハイが美味い。連れも私も胃が疲れていたので今回は全体的にシャリ少なめでオーダー。最近、この手の寿司屋がブームなのか味が落ちる寿司屋が目立っていたのだけど、この店は安定中の安定。期待値を維持し続けてくれます。今回は全体的にシャリを少なめにしたので、最後まで完食。最初に出たマコガレイの握り、そしてイカの美しさ。色々出てきましたがとにかく最高。マグロのクオリティもピカイチでした。中トロのアブラのノリがもはや大トロ。くどいのか？！と思いきや、全然あっさり。その後に出てきた大トロも非常にアッサリとした脂で清々しさが残ったくらいです。握りコース2人、日本酒数合、ウーロンハイ数杯で59000円。また行きたい店ナンバーワンですね。あー次はいつ行こうかな・・・
青空,"本日は、銀座8丁目にあるミシュラン★星の青空さんにお摘み握りのおまかせコースを食べに伺いました（●＾o＾●）お店はカウンター12席と個室5席とキャパをオーバーしている予感、、席は手狭でドリンク、おしぼりが隣の席と分からなくなる点が残念(^-^;丁度2時間で食べ終えた8時30分になっても6人のお客が待っている様子は流石、、しかし詰め込むだけ詰め込んじゃう姿勢でなければ良いのですが…ミシュラン★星、すきやばし次郎で修業した経歴など輝かしい実績がありますが僕の第一印象は食べた内容に対してとても高価でとても一人4万超とは理解不能でした(^-^;美味しいと驚きを感じた素材はキスの昆布締め、中トロ、鯵、車海老、かすご、煮穴子、雲丹くらい…ネタと同じそれ以上に期待いっぱいのシャリは酸味が強く素材そのものを引き出す以上に個性の強い印象～相対的に価格に見合わず銀座のクラブに似た僕には主義主張が伝わらず美味しい寿司とは思いませんでした(^-^;本日のお品書き 85,000円/2人おまかせコース 35,000円枝豆白いか鱧穴子の白焼き鰈とつぶ貝蒸し鮑鰹と山わさび天然鰻あらキスの昆布締め縞鯵赤身中とろ大トロしんこ小柱鯵車海老かすごいくら雲丹煮穴子玉その他ドリンク"
青空,in東京食べるの旅、夜シリーズ前から行きたかったお店です。予約できました！青空さんミシュランを獲得させれているお店ですきやばし次郎で修行されていたそうです。何回転かされているのでひょっとすると予約できるかもしれないです。この日も満席。同業者の方かなーと思うお客さんもチラホラと。カウンター12席と個室があります。今回は握りのコースで。おつまみコースにするといつも握りの頃にはお腹がいっぱい…でお鮨が楽しめないので。店内に入ったら一目瞭然の大将がテンポよく出してくれます。シャリもちょうどいい塩梅かなー。ちょっと酢強めかなー。旬のカツオや鯛、とり貝マグロも赤み、中トロ、トロ臭みもなく、美味しい(๑˃̵ᴗ˂̵)なんといっても茹で加減が完璧な車海老は美味しかったなー。大将の目つきがかっこよすぎる(≧∀≦)職人の顔。お弟子さん達も絶妙なタイミングでお仕事せれていて、あぁ、行き届いてるなーって感じます。ちょっと緊張感あってシャキッとしますね。そんな緊張感のなか？最後にトロたくと卵を追加しちゃった。ちょうどいい感じです(๑˃̵ᴗ˂̵)ただ、銀座のお鮨は高いなー。さすがだなー。贅沢な夜でした。満足♡ご馳走さまでした！
