store_name,dinner_review
初音鮨,Instagram    pateknautilus40https://www.instagram.com/pateknautilus40/こちらへ最初に伺ったのはもうかれこれ8年前です・・・その頃とは入り口も内装も何もかも変わっておりました。現在は、最初に『海の部屋』へ通され食事をし、次に『山の部屋』にて食後のデザートを楽しむようになってます。料理に関しては全てが最高のものを仕入れているようです。例えば雲丹はこの日豊洲で1番のもの、鮪に関しても『石司』の腹上1番のもの（この日は大間と戸井のものがありました）、浜名湖の天然鰻も1キロアップのもの、鮑も1キロアップ（多分1.2キロはある）のもの等々他店では中々食せないものにお目にかかりました。鰻も鮑も1キロアップのものだと500ｇの倍というわけではなく、そこから価格が急騰しますからね・・・シャリに関しては好みがあるので何とも言えませんが、私はあまり好みでは有りませんでした。以前伺った時の方が好みだったような気がします。美味しい不味いと言うより好みの問題です。サービスに関してですが、これは素晴らしいの一語に尽きます。流石にミシュラン二つ星です。大将を始めとし、全員がニコニコと笑顔の対応で気遣いもほぼ完璧に近いです。また、色々な場面で最初から最後までの劇場型スタイルは、見ている者を全然飽きさせません。あっという間の2時間半でした。まあ、そういう類いが嫌いな方は合わないかもしれませんが私は楽しかったです。食事が終わりデザートを食べに海の部屋に移動しますが、こちら側も内装にとても手をかけてます。普通の鮨屋のそれとは全然違います。見ていても飽きの来ない素晴らしい空間だと思います。こちらでは、まず葛切りが出されますが、少々固めですかね。京味系の葛切りを食べ慣れているとその様に感じます。水分が少ないのか火を入れすぎなのかはわかりませんが。最上の葛粉を使っているのに勿体ない気がしました。また機会があれば季節を変えて伺いたいと思います。なお、この日頂いたものは下記のとおりです。『蛸、枝豆、マイクロトマト』『大とろ、中とろ、赤身』『鱧、お焦げ、バチコ、蓮根、オクラのお椀』『勝浦の1キロアップの鮑は肝ソースとシャリで』『琵琶湖の1キロアップの天然鰻はシャリと』『島根の白いか』『こはだ』『愛知のタイラギ貝磯部巻』『北海道吉岡のムラサキウニ』『穴子』『いくら』『鱧と鱧子と松茸』『淡路の鯵』『目一鯛』『赤身漬け』『中とろ漬け』『炙り伊勢海老は味噌と』『アラ汁』『大とろ漬けの炙り』『まぐろ手巻き』『干瓢巻』『たまご』『葛切り』『コーヒー』『黒蜜アイス』
初音鮨,2019.10月中旬「初音鮨」の先制の一撃は、鮪の刺身。「赤身、中トロ、大トロ」を塩と日本一高い山葵で食べるんですが、その一口目から、やられた！と思いました。僕は、極上の鮪をそれなりに食べてきたつもりでいたんだけれどこの食感、この艶めかしさ、この風味、この甘み、これは一体なんなんだと・・僕は、この鮪の刺身に次元の違う旨さを感じてしまいました。本当に旨い刺身とは、食材のクオリティの高さはもちろんですが、本当に優れた食材には、それを生かすだけの技量も必要なんですね。大将は、豪華な食材を大胆不敵に掛け合わせてみたり、とにかく、大将の仕事からは目が離せません（笑）例えば、鰻は皮目を香ばしいぐらいにカリカリ感を追求しているんですが、身肉は締めないように、ふっくらと仕上げています。僕は、鰻の究極の食感を追求すると、こうゆうふうになるんだな・・と圧倒的な旨さに驚くばかり。それは、奇をてらったものではなく、確かな技術から来る旨さの驚きなんです。大将は、食事の最後の挨拶で「ピンの食材だけで気持ちよく握らせて頂きました。　ありがとうございます。」と深々とお辞儀をしました。僕はそれに応えるように、思わず「こちらこそ、ありがとう！」と拍手を送ってしまう場面もあり（笑）当初は、料理だけで約5万という設定金額は高過ぎるんじゃないか？と疑問に思うところがあったけど、食材やサービスを目の当たりにして、大いに納得しましたね。「初音鮨」を体験して、僕が感じたことは、まるで寿司界のグランメゾンのようだ！ということでしょうか。鮨で圧倒的な感動を与えるだけでなく、大将の楽しい会話や空間の作り方、料理の提供の仕方等も含めて、総合的な完成度が素晴らしいと思いました。ここは、鮨屋の理想のカタチを体現している店であり、ある意味、日本一の究極の鮨屋だと思いますね。余談ペアリングの価格設定は、通常、料理の半値～同額程度が僕のイメージなんですが、ここに関しては、かなりリーズナブルでした（嬉）
初音鮨,予約時間の10分前にお店に着くと女将さんが暑い中外で待っていてくれました。店内はお寿司屋さんとは思えぬお洒落なインテリアで重厚感があり素敵です。メニューはコース45000円のみ。現金のみ。頂いたのは⚪︎ほうじ茶で炊いたタコ、枝豆、マイクロトマト⚪︎大間のマグロ 大トロ、中トロ、赤身  （目の前で大トロ、中トロ、赤身と切り分けて塩をふり日本一の山葵で頂きます。ここで漬けも作ります。マグロの泳いでる温度に設定して1時間つけます。）⚪︎黒鮑と肝ソース  （1キロもある大きさ。歯ごたえがあり味がすごい。肝ソースが濃厚なのにえぐみなし。）⚪︎新イカ  （お皿を60度くらいにしてイカがほんのり人肌に温まってます。甘味を感じる。）⚪︎コハダ （よくしまっているので小骨感じず。）⚪︎うなぎ天然  （地焼きで。肉厚でピンピン。）⚪︎鱧とおこげのお吸い物  （ばちこも入ってます。鱧は骨ギリ完璧。）⚪︎笹で焼いた穴子⚪︎ウニ30g  ⚪︎干しガレイ  （中に縁側が。）⚪︎鱧と松茸  （焼いて握りに。鱧と松茸の香りが噛むとどっちもくる。）⚪︎アジ⚪︎いくら⚪︎甘鯛⚪︎漬け  （1時間経った漬けを切り分けてくれます。赤身、中トロ、大トロ。大トロは藁で炙って。）⚪︎全部のせ手巻き⚪︎伊勢海老⚪︎かんぴょう細巻き⚪︎卵焼き  （芝海老たっぷり。水使わず焼き上げてます。）⚪︎あら汁別室⚪︎くずきり⚪︎アイス⚪︎コーヒーデザートは移動して別の部屋で頂きます。一回外に出て隣の入り口からまた室内へ。お寿司を頂いた時と同じカウンター席と同じ席に座ります。大将がその場で作るくずきりは弾力があり太めでモチモチ。デザートは別腹。アイスまでペロリ。パフォーマンスで魅せるお寿司屋さん。シャリは炊きあがったのを桶に移し赤酢を混ぜる所から見せ、マグロをさばき漬けに仕上げ、大トロは屋上で燻してるのを動画をライブ中継、伊勢海老をさばいた後の撮影タイムなどパフォーマンスが尽きません。大将は手を動かしさながら流暢に喋り、さながら劇を見ているよう。お客さんは写真を撮りながら手のひらにのせてくれるお寿司を食べの繰り返しでこちらのペースで食事が出来ず大忙し。なので回転早いです。ネタはマグロが重複し過ぎてマグロの印象が強く残りました。マグロは特に突出してるとは思わず。鰻や鱧の方が極上感を感じました。1日３回転するので時間通りに始まり時間通りに一連の流れを終えます。ゆっくり味に集中して味わう事は困難なお寿司でした。2回転目にお伺いしましたが大将のテンションにも疲れが見え小慣れ感があるのも違和感が。もう少しゆっくり時間を気にせず食事出来たら更に良いお店だなと思いました。
初音鮨,晩夏の初音鮨は、冬と並ぶくらい強いネタが多い。北海道利尻島の馬糞雲丹、千葉勝浦の特大鮑、富良野の松茸、鱧、天然鰻、イクラ、銚子の金目鯛、佐賀のコハダ、鯵、剱崎烏賊、バチコ、江戸前の穴子、蛸、天然車海老、江戸前の平貝、釜石の本マグロ、御殿場の金賞受賞した真妻山葵、など今回もオールスター勢ぞろいという感じだった。この、ピンのピンネタを独自の視点と切り口で鮨に仕上げてくれる中治親方の仕事に共感できると、本当に楽しいと思える。久しぶりに伺えた初音鮨は、内装も運営スタイルもガラリと変わっていたが、以前同様に楽しかったし、親方と笑顔の女将さんに会えて、何だかとても嬉しかった。また、作りたての葛切りに自家製アイスクリームや親方の入れるコーヒーの追加(別室で)で全体的なボリュームが増加している。食後の満足感は変わらなかったが、普通の満腹感が圧倒的な満腹感に変わった。超腹パンです。ちなみに、11月から12月の冬の鮨ネタには、あの白い悪魔が今年も加わるらしい。かつて体験した初音鮨の白い悪魔。またそのタイミングに予約できたら、確実にラヤれると思う。でもそれも楽しいだろうな。親方いわく、口の中で五秒待つルールは自由化にしたそうだ。もちろん今回も無条件で五秒待ちを選択。結果、写真は途中棄権。ご馳走さまでした。
初音鮨,夏の初音鮨に行ってきました。新イカとか新子でるかなーと思って行きましたが、予想外のものばかり！　手のひらくらいの大きさのアワビも温かい鱧も鮎の握りも大盛りのウニも、もちろん鮪も美味しかったし温かくリラックスできる時間でした。女将さんは6月より少しふっくらされて、相変わらずお美しくにこやかになさっていました。秋はイクラ、冬は蟹だそうです（そのぶんお値段もあがってしまうとのことでした）。母を質に入れなくては……！
初音鮨,前回の訪問から約３ヶ月。夏の初音鮨だ。春は割と熟成させて旨味を引き出す握りが多かったが、夏はすっきりとした握りの印象だ。とは言え、いつものとんでもない値段の鮪や、鰻、穴子など、この季節の極上の素材が並んでいる事は間違いない。大きな松茸に鱧と鱧子を合わせた握りは、夏と秋の恵みを一口に頬張る事ができる贅沢な一貫だ。ここでしか味わえない握りと、エンターテイメントは唯一無二の体験。次は最高の食材が揃う秋に是非お邪魔したい。
初音鮨,1893年から4代目。蒲田の老舗、初音鮨さん。大将の中治さんは、女将さん含めて、エンターティナー。寿司屋劇場と言うにふさわしいショーでした。お酒はクラフトビール、日本酒二合の朝顔をオーダー。つまみ、お寿司はおまかせです。●蛸と枝豆 ◯●中とろ、赤身、とろを塩とわさびで ◯田代さんの御殿場の本わさびはキロ当たりの価格は鮪と同じ価格だそうで、まろやかな味わいでした。鮪を塩で味わうと、本来の甘み、熟成度合いがわかります。●鱧とばちこ、おこげのお椀 ◎鱧の骨だけで出汁をとったお椀ですが、澄み切った旨味がじわっと広がります。●あわび900gのもの ◯肝ソースでいただきます。肝ソースとシャリとあわびを混ぜ合わせると、深みが出ます。●あおりいか ◎一貫目のにぎり。あおりいかの甘みがすごくて驚愕。●干し鰈 ◯熟成具合がすごく、口の中で芳醇な深みが広がります。●琵琶湖の天然うなぎ ◎厚みがものすごく、皮はパリッと、身はほわっとしています。●たいらぎの炙り ◎海苔に挟むものの中で、最強だと思える平貝でした。●熊野の5.5キロの縞鰺 ◯なかなかこのクラスの大物の縞鰺は味わえません。弾力があって、噛んでも押し返してきます。●うにの食べ比べ ◎利尻と下関の赤ウニを食べ比べさせていただきます。白いほうが下関、赤みが強い方が利尻のもの。下関は甘みがありますがすっきりとした味わい、利尻の方が深みがあってコクがありました。利尻昆布を食べて育った、深みのあるウニでした。●江戸前穴子 ◯塩でいただきますが、甘みがものすごいです。●もずく ◯しっかりとコリコリとした歯ごたえがあるもずくは口直しにぴったり。●鱧松茸 ◯上富良野の松茸を焼き、鱧と合わせます。鱧は骨抜きしたものと、たたいたつくね状の鱧の合わせ技。松茸の香りが鼻に抜けます。●赤身のづけ ◎最初に30度前後の鮪の体温で漬けにした赤身をいただきます。まろやかで、コクがある漬けに仕上がっていました。●中とろのづけ◎甘みがものすごい漬け。これは癖になります。●5.5キロの対馬のクエ ◯弾力があって、漬けの後なので対照的に口の中が澄み渡ります。●天然鮎 ◎野趣あふれるにがみと深みが広がります。天然鮎の握りは初めて。●とろのづけ ◎漬けをさらに藁で炙ります。外側に藁の香りがつき、香ばしいです。●鮎の骨酒 △わたの苦味のパンチが効いています。口の中が苦味でいっぱいに。●全部のせの巻き物 ◎鮪の全部のせを巻物でいただきます。●干瓢巻きと玉子カステラのような玉子で華やかなショータイムのフィナーレを迎えます。こここらは一度外へ出て、別の部屋に移動します。海の間に移動して、甘味をいただきます。●流したてくずきり西表島の黒糖をつけていただきます。くずきりって流したてはこんなにも弾力があって美味しいのか、と驚くほど。●黒糖に自家製アイスを入れてこのアイス、玉子とミルクだけで作ったアイスだそうで、黒糖に入れると程よい甘みが加わって美味。●コーヒー大将自らV60でコーヒーを入れてくださいます。最終的にかなり満腹で、長時間のエンタテインメントショーを見たような感覚。これは癖になります。どれをとってもスター級の食材を、興味深い調理法で楽しめます。
初音鮨,食べログ★4.59・2019年 Silver・2018年 Silver・2017年 Silver【初音鮨】さんにお伺いさせて頂きました。お蔭様で、定期訪問させて頂きました、最近はご夫婦でテレビでの出演も増えまして、更に大人気店になりました。現在の営業は３回転、15時、17時、19時になります。今回は19時のコースです。猪股さんとのコラボレーションもすっかり馴染みまして、中治さん、女将さん、猪股さんによるまさにエンターテインメントになります。二部屋に分かれるコースは、【山の部屋】♦️蛸、枝豆、トマト♦️大間の鮪・大トロ、中トロ、赤身を  塩と山葵。♦️鱧のスープ仕立て・バチコ、お焦げ、オクラ、蓮根♦️蒸し鮑 肝ソース♦️アオリイカ握り♦️小肌握り♦️マナガツオ握り♦️鰻握り・1.2㎏グラム天然鰻。2種類♦️平貝磯辺焼き♦️穴子握り♦️雲丹握り♦️白甘鯛握り♦️松茸、鱧、鱧の卵の握り♦️縞鰺握り♦️車海老握り♦️海老の頭♦️鮎の握り♦️鮎の骨酒♦️赤身漬け炙り握り♦️中トロ漬け炙り握り♦️藁焼き大トロ漬け炙り握り♦️トロ全部乗せ手巻き♦️寛平巻き♦️卵焼き【海の部屋】♦️葛切り、黒蜜♦️焙煎コーヒー♦️黒蜜アイス更に、進化されたエンターテイメントになります。楽しさ、面白さは当然の如く、素材が更にパワーアップされております。鮪のラッシュは今回もお約束です。、、、素晴らしいですね。更に、・鱧、鮑、鰻、どれも素材が素晴らしく、この厳選素材（特選素材）を美味しくお出し頂けます。鰻などはまさに圧巻ですね。そして松茸、車海老、鮎、こちらも厳選素材で見た目で既に圧巻です。特に鮎の握り、鮎の骨酒、これには参りました、これは一番美味しいかもしれない。。濃厚さ、味わい、これは実に美味しいですね。楽しく、美味しい、まさに至福の時間を過ごせます。良いお店ですね。
初音鮨,【初音鮨】蒲田 人生で一度は行きたいお店、初音鮨。       幸運なことに、三度目の訪問の機会をいただく。          前回訪問させてもらった時とは、雰囲気がガラリ。以前は握りのみだったのに、今はおつまみもあったり。          どんなに仕入れ値が高くとも、一番のものを、という大将の心意気はそのままに。          握りは手渡し。口に入れてから噛むまで3秒ガマンルールは変わらず。           この日のマイベストはコハダにウニ。           7月なのに松茸登場。松茸と鱧のハーモニー。          大トロ、中トロも柵のまま漬けに。           さいたまのヒーローこと、いのまたさんを始め、スタッフの方々も増え。          大将の出番が以前よりも少ない。これも陰陽であろうか。
初音鮨,運よく予約が取れたので、本田雅一さんの「蒲田 初音鮨物語」を読み、NHKの逆転人生「革命すし！かつては閑古鳥」を見て学習し、今回行ってきました。お酒は、まず生かドラフトのビールから始め、その後は日本酒が続くおまかせにしました。全て、食事と合う最高のお酒でした。お通しは、タコと、ゆで加減、塩加減、色形、非の打ちどころない枝マメ(群馬産)で開始。その後、赤雲丹、肉厚のある天然鰻、ホタテ焼き、贅沢にカットした極上アワビ、イチジクなど4種の小皿を寄せた重箱。そして、炊き上げたばかりのお米に赤酢を混ぜで、店内にジョジョに酢の香りがジョジョに立ち込める。この時は勝さんは真剣そのもの。先に残ったアワビとはらわた？で一口の酢飯を頂く。そしてこの日は大船渡からのマグロ。合計数十万の領収書を開示。赤身、中トロ、大トロを生とヅケ、更に大トロは炙りでも、時間をおいて食べ比べ。途中でた鱧とジュンサイのお椀には最初に炊きあげられたご飯のおこげが入っている。握りから川口の猪俣さんも参加。まず定番の.コハダ(しかし食感と味は他の店と全く違う)。毛ガニのサラダ.は、ありがたくも女将さんのみな子さんが蟹身を捌く。バフン雲丹の握り。白甘鯛と松茸の握り。焼いて丁寧に骨を引き抜いたアユの握り。いろいろ入った手巻き。かんぴょう巻。途中、カステラの様なたまご焼き、などなど、全部で10貫分。場所を「海」から「山」に移してデザート。勝さんが、毎朝みな子さんに淹れるというコーヒー。ミルクアイスクリーム、黒糖黒蜜に葛切り。最後の撮影会で、本にサインを頂きました。勝さんとみな子さんは最高のエンターティナーでもあります。至極の時間でした。高額ではありますが、是非年に1-2度ぐらいは行きたい店です。
