store_name,dinner_review
鮨 いまむら,白金の【鮨 いまむら】さんに伺いました。場所は地下鉄白金高輪駅を出て歩いて10分ちょっと。北里大学のすぐ側です。この日もつまみからにぎりのおまかせを頂きました。つまみ①ヒラメ　ねっとりして旨味濃厚。②イシガキガイ　広田湾産。　冷たい温度で提供。　ねっとりした舌触り。柔らかく甘くて美味しい。③サワラの炙り漬け　しっかり漬けられる。ワサビだけで頂きました。　ねっとりしてもちもちの食感。　旨味濃厚で絶品。④松茸の茶碗蒸し　お餅入り。　松茸の香りと食感が良かった。　お餅の食感と落ち着く味わいが良いアクセント。⑤毛ガニ　ミョウガと土佐酢のジュレを合わせる。　ミョウガの爽やかな風味が甘味を引き立てとても美味しい。　⑥つるむらさきのおひたし　長芋を合わせる。　爽やかさを感じる苦味があり、口の中をさっぱりさせてくれました。⑦カマスの炙り　大根おろしとネギを合わせる。　レアの状態で柔らかい食感。　脂の乗り素晴らしい。　カマスの脂と大根おろし、ネギが相性良くとても美味しい。⑧太刀魚焼き　小柴産。　上品な脂の乗り。　身はふっくらして旨味がありました。にぎり❶カツオ漬け　襟裳岬産。　細かく包丁が入れられる。　身は柔らかく香り、脂の乗りがともに良かった。❷イクラ　皮目は非常に柔らかく、旨味濃厚。抜群に美味しかった。❸スミイカ　煮切り醤油で握られる。　サクッとして柔らかい食感。　とても甘くて煮切り醤油との相性良く美味しい。❹赤身漬け　大間産。　厚めの切り付けで軽めの漬け。　ねっとり柔らかくコクのある旨味。　ワサビとの相性がとても良かった。➎大トロ　上質な脂が乗っていました。　口の中で旨味が広がりとても美味しかった。❻コハダ　しっかり〆られ酸味の強い味わい。　旨味もしっかりありました。❼北寄貝　冷たい温度で握られる。　甘味が濃く美味しい。❽春子　昆布〆で煮切り醤油とすだちで握られる。　もっちりした口当たりで柔らかい食感。　爽やかな旨味があり美味しい。❾トロたく巻き　マグロの脂が甘くて、たくわんとのバランスがとても良かった。➓車海老　大分産天然の車海老。　食感、香りが良く、甘味も濃く素晴らしい味わいでした。⓫バフンウニ　天売島産。　旨味甘味ともに濃厚。海苔との相性がとても良いウニでした。⓬穴子　対馬産。　とても柔らかくとろけました。　旨味も濃く美味しい。⓭玉子焼き　ふわっとして甘くて美味しい。これで一通り追加⓮白海老　富山産。　しっかり昆布〆されて旨味が濃かった。　甘味も濃く美味しい。⓯イワシ　酢でしっかり〆られる。　身はもっちりした食感。　適度な脂の乗り。この脂の質が最高。　甘味、旨味素晴らしく絶品でした。⓰アジ　上品な脂の乗りで甘く美味しい。⓱イクラ　美味しかったのでお代わりしました。☆デザート　黒糖のアイスクリーム　女将さんの手作り。つまみは秋の旬のネタを丁寧な下処理と工夫された仕込みで全て秀逸な味わいで大満足の美味しさでした。にぎりでは旬のイクラが絶品でした。皮目の柔らかさ、旨味の濃さは最高。今年頂いた中で一番美味しいイクラでした。追加で頂いたイワシは〆加減が良く驚嘆の美味しさでした。この日もお店の雰囲気は素晴らしく、つまみ、お鮨をじっくり堪能することが出来ました。今回もとても美味しかったです。ごちそうさまでした。
鮨 いまむら,今日は後輩くんの卒業式でいいお寿司を！仕込みされてるお店をいくつか厳選したどり着いたお店。白金高輪から少し歩く。店内はカウンターのみでこじんまり。落ち着いた雰囲気でお客様も落ち着いた方々。肩肘張らず食べられる空間が素敵ですね。大将も控えめで物静か。基本お任せコースですが、あまりにもお寿司おつまみが美味しすぎて日本酒が進みました。あん肝の食感、うなぎの白焼きのパリパリ感　味だけではなく五感を刺激してくれます。お寿司も仕込みきちんとされてるだけにカツヲです！と言われて食べるもえ？これカツヲなの？カツヲとは思えない。マグロのマスタード和えですと。え？マスタードと合うの？口に運ぶと自然と笑顔が。。幸せだねーと後輩くんと会話を弾ませてました。太巻きもめちゃとろける大トロお寿司の大半のシャリが赤酢なんです。お任せコースが終わり、他にご注文は？と。そこそこお腹ふくれてましたがヤリイカとかんぴょう巻きととろたくを！最後のとろたくのとろが上質なヘビー級でお腹にどかーん、ときました。デザートは超濃厚なほうじ茶アイス。　これでこのお値段はコスパいいです。お寿司食べて幸せを感じました。食に感謝、お魚たちに感謝、大将やスタッフに感謝ですね。ごちそうさまでした。
鮨 いまむら,本日訪問したのは鮨いまむら。この日のためにGWを早めに切り上げて東京へ帰ってきました。ミシュラン店の実力を体験すべく早速おまかせがスタート。まこがれい   もっちりとしていて美味しい真鯛金目鯛しゃぶしゃぶ      金目鯛はフワッと仕上がり、大根おろしとポン酢の相性も抜群はまぐりとユリ根の茶碗蒸し   ユリ根のほくっと感と、茶碗蒸しの出汁の繊細な効き方が美味しいかみみ アオリイカ    だし醤油で和えている粘り気のある逸品。ドロっとしている食感はいかみみ、アオリイカととてもマッチして海苔が良いアクセント太刀魚   とにかくフワッフワに仕上がっています。この段階まで食べた中ではこれが一番美味しく頂けました。漬け鰹   ここからネタがスタート。もっちりとした季節に入る鰹は鰹と思えない食感の良さ。ボタン海老塩締め     わさびととても相性が良くしっかり締まっている。小柱赤身 中とろコハダ   鮨では大好きなコハダ弾力があり肉肉しさが安定に美味しい春マス   北で取れる春マスは、マスの中でも独特の風味があり、燻製のように癖のある味。鯵   とても大きな鯵。モチっと歯ごたえがあり噛むほどに旨味が広がりとても美味しい。マグロ巻物   本日圧倒的にナンバーワン！鮪か口の中でトロットロに溶けていくようで、たくわんがアクセントとなり最高に美味しい車海老雲丹   雲丹の温度が適度に冷たく、抜群。あなご   ホロホロとろける食感卵焼き   スポンジのような食感で独特の卵焼き。美味しい。全ての逸品が洗礼されたおいしさで、誰が行っても満足するレベルです。更に鮨の中ではコスパもとても良く、お酒を4杯ずつ頼んで45000円。お腹も追加しなくてもちょうど満足する量です。是非行ってみてください！おススメです！
鮨 いまむら,白金高輪にあるお鮨屋さん。駅からは一本道なので歩いて１０分くらいでわかりやすい。健康のためにのんびり歩いているとお店の前に。落ち着いた黒基調の外観に縦の間接照明とシンプルながらお洒落さがいい雰囲気。店内も網代天井にすっきりした設えが清潔感に溢れている。すでに他のお客様と魚好きの知人はカウンター席でお待ちでした。４人の同伴カップルグループ２組と単独のカップルにお一人様の９名。お店は恰幅の良いご主人とお弟子さんに綺麗な女将さん、女性スタッフの４名。ご主人の好き嫌い確認からスタート。先ずはプレミアムモルツの小瓶から薄い小ぶりのガラスコップになみなみと注がれたビールで乾杯。１ヶ月前の予約だが、以外に予約がとりやすいお鮨屋さんでした。直前にマイレビ様が行かれていたので参考になった次第。お摘みのメニューがほぼ同じだったことはあとから気づいた。【お摘み】・マコカレイ刺身・真蛸柔らか煮・赤貝ぬた・蜆と三つ葉の茶碗蒸し・金目鯛のしゃぶしゃぶ・納豆・あん肝・太刀魚塩焼きお摘みが少量多品種で楽しく頂ける。ご主人は鮨屋ではなく料理店で修業されたようなので納得。特にあん肝は火入れといい味付けといい絶妙な味わい。それに新鮮な赤貝のぬたが好きだな。色々な具材が入った納豆には驚いた。鮨屋で納豆？みたいな。ビールの後は、お任せの白ワインをお願いする。そしていつものハイボールへとなだれ込む。【握り】・初鰹・かんぬき（さより）・桜鱒（スモーク）・本マグロ赤身漬け（勝浦産）・本マグロ中トロ・小肌・ミル貝（愛知産）・真鯵・本マグロ赤身の海苔巻き・車海老・馬糞雲丹軍艦巻き・煮穴子・玉【握り追加】・カスゴ鯛昆布締め・牡丹海老シャリはやや堅めで手を加えたネタとの相性はいい感じ。握りの中にはオボロを入れて甘味を加えたり、寝かせて旨味を増したり、シンプルながら確実に美味くなる仕事が施されている。特にスモークされた桜鱒、綺麗な飾り包丁のミル貝は丁寧な仕事ぶりで美味さが増している。それに馬糞雲丹はてんこ盛りで海苔から溢れそうなくらい。やっぱり本マグロ中トロは美味い。最後の締めはパテシエの経験をお持ちの女将さん自家製のアイスクリーム。美人の女将さんのうえに、これがまたアーモンドの香りが効いて絶品。女性スタッフはアルバイトらしく、近くの北里大学薬学部の学生さん。なんと年間学費は200万、卒業までには1500万くらいかかるらしい。驚きです。ʅ（◞‿◟）ʃ可愛い娘の為とはいえ医薬系の私大は親が大変ですな〜。そんなお嬢様に酔ったおじさん二人が就活のアドバイス。何様のつもりか・・・反省。(^_^;)白金高輪のイメージにしてはコスパも素晴らしく、同業者のお客が多いのも頷ける。だが、何故か予約が取りやすいのは七不思議。何となく、わからないでもないが深く詮索はするまい。これもご愛嬌ということにしておこう。(^_−)−☆ごちそうさまでした。
鮨 いまむら,食べログ★4.16・2019年 bronze・2018年 bronze・2017年 bronze【鮨　いまむら】さんにお伺いさせて頂きました。場所は、白金になります、北里大学近くになります。外観は、黒基調の綺麗な感じです。内装は、L字カウンター席のみ、8席のお店になります。店内やお洒落な隠れ家の様な感じで、実に良い雰囲気になります。大将の今村さん、奥様、お弟子さんの3名でご対応して頂けます。料理はお任せコースのみになります。夜のみ、完全予約の2回転制度になります。【摘み】♦️マコカレイ♦️真蛸♦️蛤と三つ葉の茶碗蒸し♦️槍烏賊♦️帆立串焼き♦️金目鯛しゃぶしゃぶ♦️あん肝♦️太刀魚塩焼き【握り】♦️鰹握り♦️牡丹海老握り♦️かすご鯛昆布締め握り♦️鮪赤身漬け握り♦️中トロ握り♦️小肌握り♦️みる貝握り♦️鯵握り♦️太巻き♦️車海老握り♦️雲丹軍艦握り♦️穴子握り♦️玉子焼き【追加】♦️アオリイカ握り♦️煮蛤り握り♦️大トロ握り♦️穴子胡瓜細巻き♦️赤身鉄火巻きこちらの大将の今村さんは、芸能人の高橋克実さんに似ておられます（常連客さんからも言われるそうです）ご夫婦は、前の職場での同僚になるそうです（いわゆる社内恋愛みたいなもんですね）ご夫婦の仲良く、雰囲気良く、見事な連携になります。お洒落で綺麗な店内に、感じ良い雰囲気で満たされております。肝心のお鮨も、ひと手間かけた王道の江戸前鮨になり、やや硬めの酢飯になります。厳選素材、そして丁寧な仕込み技術、また丁寧な隠し包丁から技術の高さがうかがえます。非常にバランスの取れた、完成度の高いお鮨のコースになります。場所も非常に良く、この閑静な住宅街の中、隠れ家的な立地になりますね。良いお店ではないでしょうか？
鮨 いまむら,久々のいまむらさん。この日は、同じビルで働く某グルメブロガーさんと。途中、まさかの仕事の呼び出しが入ってしまい、泣く泣くにぎりの後半食べずに退店という大失態。親方、同席してくれたグルメブロガーさん、改めてすみませんでした。次回は万難を排して参ります。
鮨 いまむら,2018/4/18（水）dinnerinstagram「＠mitomi_emon」／ブログ「http://ameblo.jp/nobuhiromitomi」2009年創業、白金にある寿司店『鮨いまむら』へ。駅から少々距離があることもあり、比較的に予約が取りやすいことが魅力。最近は寿司バブルで予約はとれないし、金額は高騰するばかり。そんな中で、予約も取りやすい上に比較的にリーズナブルな価格設定が魅力です。最大の魅力はもちろん食事。実はご主人である今村氏、寿司店での修行経験はなく、ベルギーで日本料理を提供していたという異色の経歴の持ち主。その影響もあってか、つまみには日本料理のエッセンスが込められます。シンプルな刺身に始まり、「筍の茶碗蒸し」など様々な料理を楽しませてくれます。「白烏賊」は、オクラ、山芋などのねばねばメニューに、卵黄や茗荷を加えて最後に海苔を散らします。この海苔の風味が最高に美味！！土佐酢のゼリーとともに提供する「毛蟹」、火入れが抜群で柔らかい仕上げの「ノドグロの酒蒸し」など、日本料理出身らしさを遺憾無く発揮いたします。握りは「トロ」の漬けからスタート。鮪は樋長から仕入れいているそうだ。シャリは古米をブレンドして硬めに炊き上げたもの。ネタによって、酢、塩、温度などに変化をもたせて素材を引き出すことを徹底しております。最高食材でなくとも工夫次第で美味しいものは提供できる、そんな心意気がネタに込められているかのようです。「大トロ」ではシャリの温度を高めることで、とろけるような食感を実現。小肌は酢締めするだけでなく、おぼろで甘みのアクセントを作っております。「トロタク」では、ネギのシャキシャキが印象的でした。「紫雲丹」や「穴子」はまるで飲み物のように口の熱でとけていきます。全体的にはオーソドックスな印象だが、その全てに工夫が見られます。寿司バブルの今だからこそ、逆にいまむらの魅力がみえた夜でございました。つまみ、メモ。「真子鰈」「蛸」シンプル「鰹」生姜、ネギ、醤油「唐墨餅」握り、メモ。「牡丹海老」ねっとり。「小柱軍艦」「鯵」「赤身」「トリガイ」「墨烏賊」「車海老」「金目鯛」
鮨 いまむら,2年前くらいからずっと気になっていたお鮨屋さん。白金の住宅街に佇むお店です。最寄りは白金高輪駅、運動がてら徒歩で向かいました。10分くらいで到着。店内はカウンター9席、照明暗めの隠れ家感ある雰囲気。無音ですがお手洗いだけ音量若干大きめでジャズが流れていて一瞬⁇ってなったのですが、おそらくカウンターとの距離が近いから音が聞こえないようにしているのかなと。あと、消臭スプレーの類かと思うのですが、ラベルを隠すために和紙で巻いて生活感を出さない配慮がされていました。ちょっとしたことですが、そういうのって凄く大事。京都の高級ホテルのトイレに生活感丸出しのグッズが置いてあって、非日常感ぶち壊しでゲンナリしたことを思い出しました（笑）さて、本題に入ります。◆つまみひらめ タコホッキ貝 ◎しらうお茶碗蒸し◯やりいかカニばちこ炙り太刀魚◎どれも一定レベル以上のクオリティ。基本的に魚を切っただけというのではなく、何らかの創意があって楽しめました。（私は基本的には刺身を食べるくらいなら握りで食べたい派）特に良かった◎のは次の二つホッキ貝は甘みたっぷりで芳醇な旨味！私は本来貝自体はそこまで好きではないネタで、お任せで出て来なければあえて注文はしません。だけど美味しい貝なら話は別！というか不味い貝食べると苦手意識を呼び起こされるから全力で避けたい（笑）あと焼いた太刀魚は濃厚なのに後に引かず、綺麗に脂が引き出されていてとても美味しかった！太刀魚はとても好きな魚なのですが、そのクオリティと職人さんの技量で凄くギャップが出る素材だと思っています。（ま、どの魚も同じことが言えますが笑）高級鮨屋でも脂臭い太刀魚が出てきたりしますから…。ひらめとタコは普通でしたが、素材のクオリティがダイレクトに影響しやすい品は訪問した日によって当然クオリティが変わるから一定レベル以上なら良いと思っています。というのは超一流のお店ほどその日によってネタの質が違うということをとある方に教えていただいたのですが、実際そういうお店に通い続けているとそれが顕著に分かります。波があって当然。まさに天然の食材を扱っているからこその証しです。なので、一回こっきりで判断できるところとそうでないところは分けてレビューしないとさすがに鮨職人の方に失礼だと思うのです。（ただしそのラインはあくまで私独自の感覚、さらにその時一回こっきりで判断したとしてもその後努力されて進化する可能性もあります）ってまた横道に逸れてしまった（笑）続いて握り！「あー！今からやっと握りね！！！」ツマミはあくまで握りを楽しむための前奏曲。ここからが大大本題です。いつも居住まいを正して臨みます。◆にぎりメジマグロかすごスミイカまぐろづけ中とろこはだこばしら巻き車海老とろうに巻あじうに巻きあなごたまご追加一貫アイスクリーム日本酒一合シャリは割と主張する赤酢なのかな？と勝手に想像してましたが、そこまで主張する感じではなく万人受けする赤酢だと思います。ただ、シャリとネタの絶妙なハーモニーを味わいたい！！！と切に願う私にとってはシャリがネタの大きさの割に小さくて、シャリの味が分かりづらく感じた握りがありました。女性だから気を遣ってくださったのでしょうか？確かにあの大きなネタのサイズにシャリを合わせると食べ切れない女性がいるかもしれません。そこはいまむらさんのスタイルというか配慮かも（完全なる想像です）あと、三貫ぐらいワサビが効きすぎてて涙が。私何か嫌われるようなことしたかな？と不安に思ったぐらい（笑）ワサビも個体差があるということなのかな（笑）全体的にはどれも一定レベル以上で美味しく握りの数も豊富で楽しめました。（あじだけは生臭くてうむむむ…穴子は季節のせい？）いずれにせよもうこのレベルとなると好みの差ではないでしょうか？東京でこのクオリティでこの価格というのはかなり良心的。というか稀ですよ、追加していなければ二万切ってますから。大将も女将さんの接客も好印象。大将は常連さんをさり気なく立てつつ、一見さんにも配慮しておられ、気兼ねする雰囲気はありません。一度は行ってみてご自身の好みと合うか確かめる価値があるお鮨屋さんだと思います。◆点数の基準（6パターンのみ）・5.0　　10回以上訪問（マイベストレストラン）・4.5　　5回以上訪問（もしくは今後定期的に通いたい）・4.0　　2回以上訪問・3.5　　再訪したい・3.0　　再訪なし・2.5　　難あり
鮨 いまむら,白金高輪　鮨いまむら初訪問つまみからスタート日本酒大吟醸　富山のはねやひらめ蛸毛ガニ　ジュレ白魚と本三つ葉の茶碗蒸し（隠し味的な一味がピリッと効いています）子持ちやりいか（これまた隠し味的な柚子が心地よいアクセントに）軽く炙ったさわら、に刻みネギ　唐辛子太刀魚大満足です。日本酒、はねや、は空に磯自慢へここから握りいきなりのメジマグロポーションが大きく、分厚いタネ柔らかな赤酢の酢飯相性抜群です。すみいかかすごだい 昆布締め赤身中とろお写真、ぜひぜひどうですか、この中トロタネが大きすぎてはみ出気味（笑）いいですね～　　こはだ実に秀逸でした。切れ味抜群嬉しくなって、どんどん日本酒が磯自慢から、はねや、にトリガイまぐろ太巻きそしてアジこのアジもぜひぜひお写真をデカいですよね～食べ応え抜群です。車海老雲丹穴子玉子日本酒は4合目に突入玉子を食べる前に追加をお願いしました。「出していないものはあと何が残っていますか」「しまえび　しめさば　あと北寄貝なら」と大将「では全部握ってください」しまえびしめさばこのしめさばも、ぜひぜひお写真をデカいですよね～中とろ同様に、デカすぎて、はみ出気味（笑）ホッキ貝いやあ美味しいしかしまだまだ食い足りないぞ～そこで「ひらめ」をオーダー「ひらめ」はつまみでは出てきましたが握りのラインナップには入っていなかったのです。大将に快諾いただき「ひらめ」を握りで最高です玉子をいただきデザートは「リンゴアイス」お会計ですが4貫追加　日本酒も高い大吟醸中心に4合いただいてしかもこのクオリティで26.700円でした❣️ご馳走様でした
鮨 いまむら,近頃評判の高いこちらの店に訪れてみました。こちらの店はとにかくネタが厚く大ぶりに切られ、文字通り豪快に寿司を頂くといったイメージがあります。大振りだからといって決して大味なものということはありません。とても繊細な寿司です。ネタに隠し包丁を入れ、口に入った時の感覚まで計算した寿司を提供してくれます。見た目もすごく美味そうに見えるので不思議です。店はカウンターのみ9席で、客は皆大将がどんな握りやつまみを出すか、それを待ち構えているといった雰囲気が漂い、酒飲んでワイワイといった雰囲気がない独特な空気が流れています。本日頂いたものは以下の通りです。鮃                                  ○蛸                                  ○毛蟹                              ○すっぽんの茶碗蒸し     ●ナマコ酢                       ○北寄貝のひも                ◎塩あん肝                       ○のどぐろの塩焼き         ◎以上つまみ8種以下にぎり13種とデザートかつおの漬け                ○カスゴタイの昆布締め  ○墨烏賊                           ◎赤身                               ◎大トロ                           ◎小肌                               ○北寄貝                           ◎ミル貝の巻物                ○鯵                                  ○車海老                           ●バフン雲丹                    ◎煮穴子                           ○卵                                  ○ほうじ茶のアイス         ○
