store_name,dinner_review
きよ田,銀座でも別格のネームバリューを持つ鮨屋。食べログでの評価は4.46(2019.09.22)と超高評価店です。訪問のハードルが高いお店だと思っていたのですが、最近では新規の客にも門戸を開いているようです。摘み星鰈赤身、トロ、小肌、貝柱若布鮑雲丹トロ(炙り)平貝潮汁(星鰈)握り新子赤身烏賊星鰈鯵トロミル貝小肌車海老雲丹鉄火巻き穴子玉もろきゅう干瓢巻きマスカット酢飯は赤酢を使用しており、しょっぱい鮨です。ぼやけた味わいにはならないですが、喉が渇くと思います。酢〆はちゃんと〆てありますが、酸味が尖っているということはありませんでした。鮪への強いこだわりで有名なだけあって、鮪が美味しい時期とは言い難かったと思うのですが、さすがのクオリティでした。是非、別の季節にも訪問してみたいと思いました。雰囲気はサロンのようなものを想像していたのですが、隣客に恵まれたこともあってか、楽しい時間を過ごすことができました。サービスも良好の一言。冷酒(黒龍)を少しいただいて、お会計は一人当たり5万円台半ば。立地や内容を考慮しても支払額は高いと思いますが、予約は取りやすかったです。
きよ田,"きよ田＠銀座　超高級江戸前鮨2019年05月29日(水)16時30分00秒テーマ：魚 我々東京ホルモンズは　「プライスレス」と心で呟き続けたB食家集団である きよ田＠銀座　超高級江戸前鮨　の話   お客様に選択権はございませんで有名な？伝説の鮨職人　新津武昭氏が二代目を務めた銀座の超激有名店 その後少しの間閉店期間があったが三代目が店を継承し現在は四代目 一見お断りで常連さんに連れてってもらわないと訪問は叶わないお店でした 四代目への代替わりのタイミングでなのかこの度某予約サイトにその名前出ていましてまー二度見したよねそして考えたよね 誰と行く？ってね  お任せなんと50,000円、、、（汗オネーチャンと入ったら×2、、、（汗もちろん飲み物は別料金、、、（汗 でもね最高峰の鮪が頂けるお店としても有名なお鮨屋さんです鮨好きとしたら一度は行ってみたい憧れのお店です ココは一発清水の舞台から全速助走でダイブするつもりで予約を入れました 実際クリックする手が震えたよね（笑） 当日は万一お金が足りなかった時のことを考えて頼りになるパイセンを誘ってやって参りました  いざ入ってみると敷居の高さは微塵もなく（とりがい香りハンパなかった）  女将さん？とってもイイヒトだし大将は気さくな感じは無いにしろ気難しいところもなくサラーっとした感じだし 撮影は基本ＮＧってことだったけどスマホの無音カメラで申し訳なさそうに撮ってれば大丈夫だったし（もちろんちゃんと断りました） なんか頭でっかちになり過ぎて（実際デカイけど）色々構えすぎちゃったかなって思いました  そうそうこの鮑美味しかったなー  つまみは凝ったものが出るわけでもなく  これぞ鮨屋のツマミ！ってなのが続きます  鮪は芯の所しか使わないなんてなんかで読んだけど  やっぱ美味しいねこの時季でコレだけのクオリティーのものを出せるのはさすがの一言だと思いますましてや我々は一見です常連だと芯の芯が出てくるんだろうな冬の津軽海峡だったらどーなっちゃうのかしら  でも今日イチは小鰭でしたココ数年で一番美味かった  でもってもうひとつ印象的だったのが大将の握り方  射抜くようなって表現がイイのかな居合切りみたいな？上手く言えないけど横の動きがある握り方なのよねコレがカッコイイのよ  惚れ惚れ見入っちゃいました   そうそうコレ初めて食った小柱の細巻き今度家でやろーっと  味の濃いー赤身のあとは  小鰭の魚体違いさっきの美味かったけどこっちも凄かった やっぱイイ店かどうかは小鰭で決まるよなー  雲丹  鉄火  たまご  かっぱ  なぜか長い（笑）かんぴょうでひと通りです  まーとにかく イイ経験ができました！以上！   　一度は行ってみないとね！  ランキング、今日もポチッとお願いします！ 　人気ブログランキング　　にほんブログ村　　ブロぐるめ  --------------------------------------------店名　きよ田場所　銀座--------------------------------------------"
きよ田,2019年4月銀座でお鮨。銀座のお鮨と言えば、逸話が数知れない代表的なお鮨屋さん。鮪のきよ田。そう言われるほど、こだわりある鮪の質。はらかみのみを仕入れて贅沢に使ってく。銀座で最高の鮪が食べられるということは、世界一の鮪を食べられるということに等しい。大将の代替わりにより新しい試みが始まり、Webで予約出来るようになったので未訪の方も行くことが出来るし会計も明朗です（元々だけど）ビルの一階に漆黒の壁面に覆われた入り口にきよ田と書いてあります。何故かビルを一周回っても入り口にしばらく気付かなかった・・・。暖簾をくぐり期待を抱きながらおまかせが始まります。■おまかせ真子鰈、鳥貝、黒鮑、赤ウニとろ叩き、こはだ、赤貝紐握り～はがし、大トロ、赤身、中トロ平目、こはだ、アオリイカ、鯛スミイカ、大トロ、赤貝車海老、小柱、うに、鉄火巻、玉、かっぱ、干瓢巻、果実店内にも凛とした雰囲気が漂います。ここでいくつものストーリーが生まれたんだな～と思うと感慨深い。そんな静けさある空気感の中、おまかせが始まります。おつまみから、真子鰈と鳥貝の薄い切り付けから。塩と山葵で黒鮑を。穏やかな味付けでほんのり生姜が香る。鮑肝がかなり美味。酢飯を合わせた香りが強い唐津の赤ウニとトロ。塩がしっかり利いたスッキリした素材を味わう皿。大阪湾の小鰭は〆て４日のものを鮪と共に刺し身で。こちらも素材が逸品だとわかる香り強い閖上の赤貝紐。握り～大トロ剥がし。柵を削ぎ落として芯を使う贅沢至極品。背カミ部分の筋から丁寧に身を剥がしているので、非常に滑らかな食感。昔は贅沢ということで禁じ手だったそうです。雑味がなくスーッと入る味は絶品。一度は食べたい逸品。大トロのトロ部分、バターが溶けて消失していくような後味感。中トロ、綺麗な口当たり。赤身の深く爽やかな味、鮪のきよ田と言われる一端を感じることができました＾＾双璧を成す小鰭、昆布を感じ酸味と合わさると梅干しのような風味。身が綺麗で口当たりが抜群！ツルッとした甘いアオリイカ、鯛、スミイカの食感と味を楽しみ、どの素材も逸品だと分かる。閖上の赤貝、貝毒が出るため度々の出荷停止があるので中々食べれずにいたけど、タイミング良く機会があり香り抜群の味を楽しめる。車海老、甘いだけではなく素材の味が伝わる鮨。小柱巻き、大間のムラサキウニ、とろける鉄火巻、玉で一通り。トロ鉄火巻、かっぱ巻、干瓢巻を追加して果実で〆。メロディが聞こえてきそうなリズミカルな握り。大きく横にスライドしてスッと落とした握りは、小ぶりで細長い姿。口に入れると身厚なネタと少なめのシャリがホロッと混ざり合う。力強いネタの味と支える酸味と旨味。混合一体の味わいがここにある。名物の穴子がなかったのが残念。別な機会に訪れて味わいたいですね。ご馳走さまでした！
きよ田,銀座鮨と言えば、きよ田。店主が4代目に変わってからOMAKASE予約可能になり、訪問難易度が下がりました。それでもツマミと握りで5万円〜という金額的な難易度はそのまま。最近は蒲田の人気店など5万円を超える店も増えてきたので、何故か自然と当たり前のように受け入れている自分がいて怖い…。色々な意味で敷居が高くて訪問を躊躇ってしまう店ですが、マイレビュア様が気軽な感じで行きましょう〜とお誘いくださりました。いつも心より感謝です。写真撮影については「いくつかスマホでササっとなら」可とのこと。大きな一眼カメラ不可。本日は撮影やめようかなと思いましたが、お隣のお客さんがスマホで遠慮なく撮っていたので、サイレントモードで握りの一部だけを1枚キメ打ちで撮影させて頂きました。元々そういう撮り方なのでいつも通りだったりします…笑。摘み唐津 あかうに 鮑閖上 赤貝紐鮪 石司 下田 160kg はらかみ のみ使用その他握り大トロ剥がし大トロと中トロの間赤身大トロ平目アオリイカ 江戸前墨烏賊小鰭 大阪湾赤貝 閖上車海老ムラサキウニ 大間鉄火巻き玉かっぱ巻き干瓢巻きデザート  苺、西瓜ビール57000円。銀座では一昔前から「鮪なら、きよ田」と呼ばれるほど。石司の最高級モノをはらかみだけ仕入れるというのですから驚きです。鮨好きとしては、やはり歴史ある銀座のまぐろ鮨は経験してみたかったのが本音。本日は下田の160kg。摘みから贅沢に鮪が登場。流石は4代目となる老舗の鮨店、鮪以外の仕入れも、唐津の赤うに、鮑、閖上赤貝などなど、これ以上ないものが優先して回ってくるようです。同年代の4代目ですが、長年きよ田で修行された腕前は確か。握りは小ぶりで芸術的に美しい型が間違いなく旨い鮨を予感させます。そのシャリは驚くほどホロりと解け、鮪の脂身と一体となり柔らかな口どけ。アオリイカはねっとり、墨烏賊はコリコリと食感コントラストも楽しませてくれて隙がない。小鰭は優しく〆てあり、シャリの微かな酸味の後に甘みの余韻が堪らない。これも、きよ田の代名詞とのこと。もう一つの名物である穴子のない時期だったのが唯一の心残り。初訪問でも親切で温かみのあるサービスが心地よい。値段的には定期訪問はつらいところなので、時期を変えてまた噂の穴子を戴きに伺いたいですね。
きよ田,"食べログ★3.82・2019年 Silver・2018年 Silver・2017年 bronze【きよ田】さんにお伺いさせて頂きました。場所は、銀座コリドー街から多少奥に入った場所にあります。外観は、目立ちません。漆黒の外装と小さな看板のみになります。内装は、店内の暖簾をくぐると綺麗なカウンター席がございます、奥には個室もございます。予約の段階で、お任せコースのみ1人 50,000円とご案内されます。追加、お酒を入れましたら7万あたりが相場の様です。厨房には、三代目　木村正さん四代目　吉沢範彦さんのお二人でランチは4代目さんが、夜はお二人で握られております。店内には、一種の緊張感が溢れており、無音に近い感じのお店になります。外国人系は少なく、常連さんらしき人達で賑わいます、【お刺身】♦️マコカレイ♦️白魚♦️黒鮑♦️小肌、マグロ♦️雲丹、トロ、酢飯♦️蛤♦️つぶ貝、赤貝、ヒモ♦️蛤塩汁【握り】♦️大トロ握り♦️中トロ握り♦️鮪漬け握り♦️小肌握り♦️マコカレイ握り♦️アオリイカ握り♦️トロ握り♦️赤貝握り♦️小柱細巻き♦️みる貝握り♦️車海老握り♦️鉄火細巻き♦️玉子焼き♦️煮蛤♦️カッパ巻き♦️寛平巻きかなりの量に見えますが、全体的にシャリが小さく、最後までたどり着けます。厳選素材を丁寧にお仕事されておりますので、どれも味わい深く美味しく頂けます。古き良き銀座のお鮨屋さんの如く、ある種の緊張感の溢れるお店になります。カウンター席で、純粋に三代目、四代目の技術、技を楽しみながら、食するには最適なお店ですね。良いお店かと。"
きよ田,銀座　鮨　きよ田お昼から「きよ田」さんへ5人の食べ会今回、握っていただくのは9月1日に「継承」を正式に済ませた「きよ田」4代目　吉沢範彦親方「4代目」のお鮨をいただくのは初めてです。つまみ◎いくら◎ひらめ　えんがわ◎げそ炙り◎くろあわび◎まぐろ　赤身　とろ　大間160キロのまぐろをつまみで！◎焼き物　ひらめ昆布締めひらめ（昆布締め）の焼き物とは珍しいです。柔らかく旨味抜群◎淡路のさば　大阪のいわし◎雲丹飯蒸し◎お椀ここから握りに移行◎おおとろいきなりの「おおとろ」からスタート◎とろ　霜降り　◎とろ　霜降りとろ、霜降りが連続◎こはだ「きよ田」さんで私が最も気に入っている握りは「こはだ」なのです。まろやかで、ほどよいお酢の香りが広がります◎ちゅうとろ◎ちゅうとろちゅうとろ、が連続ここまで6貫贅沢なことにうち5貫が大間の「まぐろ」◎すみいか◎すみいかすみいか、が連続◎ひらめ昆布締め◎まぐろ赤身◎まぐろ赤身まぐろ赤身が連続です◎いわし◎しめさば◎函館むらさき雲丹◎しんこ◎車海老◎ちゅうとろさらに「まぐろ」なんと8貫目◎鉄火巻き◎鉄火巻き連続この「鉄火巻き」もまぐろに含めますと「まぐろ」10貫◎たまご通常のセオリーでは、玉子がでれば終わりなのですが「きよ田」さんは違いますこの直後に「きよ田」の握りの中でもひときわ輝きを放つ◎あなご他のネタとは違って特別のお皿で運ばれてきたあなごの握りいただきましたがしっかりと穴子に乗った塩の味がタレの甘味と融合悶絶寸前◎かっぱ巻き◎かっぱ巻き◎かんぴょう巻きデザートは、涼やかに「梨」日本酒　冷や黒龍　九平治　一合ずつ初めていただいた「4代目」吉沢親方のお鮨けれんみのないまっすぐな正統派のお味でした「まぐろ」への徹底したこだわり「こはだ」の凄みそして何よりただただうなずくしかない「穴子」の完成度「きよ田」伝統の技術と魂を「3代目」木村親方から、しっかり「継承」していますね〜大満足ご馳走様でした。付記3代目木村親方は今年いっぱいで「引退」される方向とのことです。引退前に、もう一度、木村親方のお鮨もいただきたいものですね。
きよ田,銀座で有名なお寿司屋さん。友達が予約して誘ってくれました！！「きよ田」さん！！コリドー街から小道に入った駐車場の前にありました。店内はものすごい綺麗！！木のいい香り！！写真を撮るのは禁止…椅子の間隔が広くてゆったり座れる！！新イカの足甘みがあるしんこワカメカレイ、塩でビールの次は日本酒の黒龍！青森のアワビ、塩蒸しアワビの肝、とこわさトロの炙り、わさびを付けて北海道余市のうに、とろける！！臭みが全くない津軽海峡 大間の釣りのマグロ、赤身北海道網走の小柱2杯目は八海山スペシャル、お店のおすすめ！寿司に合う！！ここから握りまずは大トロ中トロしんこ赤身イカヒラメカレイイワシ（脂がノリノリですごいうまい。）小柱の巻物大トロの端（口の中でとろける）漬けマグロエビ熟成したしんこ干しカレイの椀ウニの巻物マグロ巻きアナゴ（ボリュームある）きゅうりの巻物  アナゴときゅうりは相性がいい。アナゴの後にきゅうりのチョイスはいい！！玉子かんぴょう巻デザートはぶどうガリは好みの味じゃなかった…白ワインのリストを見せてもらったら最低85000円からで高すぎる！！笑1人75000円ウニも美味しくそれぞれのネタのレベルも高いけどコスパはそんなに良くないです…1人3.4万なら納得！！すごい贅沢！！てな感じでした！！値段を度外視したら完全に幸せな時間でした！！
きよ田,2018/7/5（木）dinnerinstagram「＠mitomi_emon」／ブログ「http://ameblo.jp/nobuhiromitomi」鮨を語る上で避けて通れぬ『きよ田』。敷居などの高さから及び腰になっておりましたがついに初訪問。「鮪のきよ田」と呼ばれるだけあり、数種類もの鮪がカウンターを賑やかにしてくれます。そもそもきよたの歴史にも大きく鮪が関わっています。２代目をつとめた伝説の鮨職人の新津氏が亡くなられて一時閉店。鮪の仲卸さんの紹介で、３代目の木村氏が店に入ったんだそうです。鮪の縁で紡いできた歴史、まさに鮪の「きよ田」でございます。鮪の仲卸は石司。数々の名店に卸す鮪だが、その中でも最高クラスのものがここきよ田に届く。この日は能登の定置網の２３０キロだったが、同じ個体で様々な表情を見せてくれます。つまみでは水出しの昆布で湯引きした鮪が最高でした。つまみとして最高の働きをしてくれました。はらかみの上という部位は通常であれば縦にカットするところを横にカット。通常の江戸前仕事だけでなく、大胆な発想が組み込まれているのが面白い。赤身、中トロ、大トロ、鉄火などと続いた鮪のレベルの高さは語るに及ばず。もちろん鮪以外でも江戸前の仕事をみせてくれる。この新子のビジュアルを見てみてください。新子って縁起物と言いますが、本当にご利益がありそうです。穴子はつめが特徴的で、味付けの方向性が通常の穴子とは異なる。タレは少々甘めで、塩がしっかり効いているような印象。それが強い脂を持つ素材ながら、すっきりした味わいを実現しております。繋がっていくのはただの看板ではなく、鮪と確かな江戸前寿司の技術。敷居と値段の高さはミトミえもんには場違いかもしれませんが、これからのきよ田も是非見ていきたい。
きよ田,常連に連れられ、初の訪問。日によって、鮪だけで10貫以上出てくることもあるとの噂を以前から聞いていて、どうすれば飽きずにそんなに食べられるのか不思議に思っていたが、体験してみて分かった。当店の握りは小ぶりな上、鮪の多くは赤身で、長い期間寝かせずにフレッシュ感のあるものを使っている。この日は噴火湾産だったが、程よい酸味と旨味のバランスが絶妙。一貫食べると逆に食欲が刺激され、更に一貫欲しくなってしまう。一貫のみに旨味を凝縮させ、満足させんとする握りとは対極にある。鮪をもっと食べたい、堪能したいという思いに駆られて追加でも注文し、気付いたら10貫程度食べ切っていた。一通り頂くことで、大きな満足感に包まれる。この方向性は、今までに経験したことがない。花形の鮪以外にも、旨味が濃厚な鮑が見事で、少なくとも東京の鮨店で食べたものではベストかもしれない。紹介制である上、価格的にも安い店ではないので、来店のハードルは高い。ただ、それらを乗り越えてでも訪れる価値のある一軒。
きよ田,【再訪】ある日、最も恐れていた質問というか、提案が飛び出しました。「京極さん、きよ田に行かれてますよね？紹介して貰えませんか？」「えっ！？、いや、店と人の縁は人それぞれで、ミシュラン人気鮨屋に行ってなかったりしますが、きよ田は、ハイ・・・。」先代の時分は「お代はお気持ちで」という、要は気に入ったら札束、気に入らなかったらお代無しでも良いという無茶振りの名言（？）まで飛び出した店。この店には自腹でない時にで来る様に心がけているんですが、数々の予約困難店に連れて行って下さっているマイレビ様方の頼みに応えないワケにはいきません。何しろ、紹介制でかつ諭吉が片手で済む事はない店。清水の舞台から飛び降りる覚悟での訪問です(^_^;)久々の訪問でしたが結論から言うと、いや〜、凄まじい洗練度。ご主人の木村さんは当代随一だと再確認しました。先代の伝説職人の新津氏に押されて木村氏を過小評価する向きもありますがそれは見当違いでしょう。締めもの、穴子のツメなど、とにかく仕事が上品。マグロが有名ですが、アワビも秀逸で、薄切りなのに旨味がギュッと詰まっていています。海苔や河童巻きの胡瓜までピン食材に驚きました。そしてシンコの凛とした佇まい！日本酒も黒龍のしづくや八海山の一般には出回らない物など洗練された味わいの品々。個人的にはもう少し水分少なめのシャリが好みなんですが、それ以外は文句のつけようもありません。あと少しで引退されるので重点的に訪問したいと思います(￣^￣)ゞ
