store_name,dinner_review
三谷,Instagram    pateknautilus40https://www.instagram.com/pateknautilus40/こちらに来るのはいつも楽しみで、予約日を指折り数えている自分がいます。もちろん食べに行くのが目的なのですが、私の場合はそれと同時に三谷さんと話をしに行くのも楽しみなんです。三谷さんの凄いところは、痛い所にも痒い所にも何処にでも手が届くところでしょう。それほど顧客の事を熟知されてるし様々な気配りも半端ではありません。ここまで出来てる人は、私の知る限り他店では皆無です。思い起こせば10年以上前に数ヶ月後の予約の電話をしたのが始まりでした。思い出すだけでも懐かしいな～この日も美味しく頂きました。ご馳走様でした。なお、この日頂いたものは下記のとおりです。『塩釜のトロとウニ煎餅』『鰹節と鰹』『天然の縞鯵』『筋子のしゃぶしゃぶ』 『毛蟹』『鮑』『大とろカツ』『鮑の肝フライ』以下は握りで『鯛』『しんいか』『しんいかの下足』『ボタン海老』『ボタン海老の昆布〆』『江戸前の穴子×2』『毛蟹のお焦げ』『大とろ』『赤身漬け』『とろ巻』『コハダ』『むらさきうに』『助六』『たまご』『梅の甘露煮』『抹茶』
三谷,【三谷】さん…超絶理論派の大将が紡ぎ出す独創的な世界観が四ツ谷にありました♪(#^.^#) 東京でも有数の超予約困難店です。４年待ちやもっとって言うお話は都市伝説では無く本当のお話。超常連さんは毎月通われているすごい方もいらっしゃると。。。そして大将の体調によっては当日にダメっていう時もあると聞いて…もう神様にお祈りするのみしか術はありません。そして私にも遂にその日がきました。ドアを開けるまでどうなるかわかりません。ドキドキして少々早めに到着しました(笑)そして貴重なお食事会が開宴致しました。独自のスタイルが確立されたアテも充実で美味しゅうございます。握りのネタのプレゼンテーションも今まで見た…どのお店よりも美しくうっとりです(^o^)丿終始どのお店にもない世界観が溢れる内容に来れて良かったとしみじみ思いました。またぜひ再訪したいと強く思いました。大将お身体ご自愛くださいませ。またぜひ宜しくお願い致します。食べログアワードGOLD店を巡る旅はまたまだ続きます(≧▽≦)/～♡
三谷,嘉門タツオの「愛めし」第30回「 魂のマリアージュ   四谷三谷」    四谷三谷。最長で4年半待ちの寿司屋だ。三谷さんの飽くなき研鑽の先に現在がある。   千葉県銚子市生まれ。お母さんは水産加工場で働いていて3時のおやつはカツオの佃煮だった。ショートケーキが食べたかったと幼少期を振り返るがやはり魚の道へ進む事になる。大手の寿司屋に始まり百貨店の店舗で職人として働く。ゆくゆく独り立ちしたなら個性を打ち出すそうというイメージは熟成して行った。そして30代半ばで四谷に自分の城を持ち、数年で軌道に乗った。その仕事は例えばボタンエビの上に蟹みそと更にウニを乗せるというような、いわゆる足し算が多かったように思う。僕は2010年前後にほぼ毎月通っていたが、5年程ご無沙汰していた。久しぶりに伺うとその洗練された変貌ぶりに驚いた。三谷さん自らフランスへワインの買い付けに行くようになり、日本酒の蔵にも足を運び仕入れのルートが確立していた。お酒はほとんど飲めない三谷さんだか、 少し口に含んで魚と合わせるマリアージュを考える。それが的確でブレておらず三谷ワールドは完成の域に達していた。翌16年には紀尾井町に2店舗目の出店も決まり順風満帆だったが元々良くなかった心臓が悲鳴をあげ、大きな手術をしなければならない。しかしそんな同時に天使も微笑んだ。19歳年下の奥さんとの間に新しい命を授かったのだ。40代後半で初めて父になるという喜びも力となり、難しい手術は無事に成功した。三谷さんは術後のリハビリをしながら徐々に現場復帰して行った。今は一度は閉めようと思っていた四谷の店に絞ってカウンターに立ち極上の素材を最大に引き出し、珠玉のワインと日本酒で合わせる。ジャックセロスのシュブスタンスの乾杯に始まり、鰹には09年のモレサンドニ、ボタンエビと金目には04年のコシュドリのムルソー、穴子にカラスミを挟んで揚げた一品には山形の十四代、鮪には88年のジュブレ・シャンベルタンと言うように10数種類のマリアージュがめくるめく展開する。今も毎日リハビリルーティンをこなした後店に入る。その寿司を握る姿は、羽根を織り込みながら光沢鮮やかな織物を生み出す鶴の様だ。
三谷,体調を崩されての事ですから仕方がありませんが、三年前の予約が実現する日がようやくやってきました。無理はして欲しくないとは思いながら、やはり『三谷』さんのカウンターに座る事ができるのは嬉しいものです。2008年のドンペリで乾杯した後、最初のお料理は岸和田のイワシ。合わせるお酒は十四代の中取り純吟。続いてマグロをつまみで、驚いた事に2000年コント･ラフォンのムルソーに合わせます。この日は市場に良いマグロが入らなかったようで、12月に大間  で上がった物が特別に使われていました。鹿児島産のカツオに揚げた鰹節のチップをのせた物には、メルローを。銚子のキンメダイと留萌のボタンエビを米油で軽く揚げた物には、ドルーアンのピュリニィ･モンラッシェ。白味噌と十四代の酒粕を使った白子雑煮には、十四代双虹の生酒。このお酒、メチャクチャ旨かったです！アン肝コロッケには十四代の平成三年物の古酒。炙ったカラスミにカザフスタン産の生のベルーガをのせた反則物のおつまみに十四代の中取り大吟醸の生酒を合わせて悶絶したところで前半戦が終了。握りは出水のスミイカから。お酒はエティエンヌ･ソゼのピュリニィ･モンラッシェ。館山のタイ、銚子のノドグロ、ヒラメの昆布締めと続きます。マグロのカマ下の炙り、赤身の漬け、金田の海苔を使ったトロ巻には88のクロサンジャック。ウニには86のクリスタルと怒涛の攻め⁉北海道のアオヤギからはガラッと日本酒にチェンジ。イカゲソをちょっとつまんで、焼き車海老、コハダ、白魚の昆布締め。助六に玉子焼き、最後に三谷さんのたてたお抹茶をいただいて終了。ここまでやる必要があるのかという意見もあるでしょうが、私は好きな世界です。ずいぶん先になるのでしょうが、次の訪問を楽しみにしています。そして何より、三谷さんの健康をお祈りしています。
三谷,【三谷】彗星あらわる。1年半周期で5回目の四谷「三谷」。2年前京都の「空」にゲストシェフとして来られた時にも料理をいただいたのでお会いするのは6度目。クリスタルのMagnumから始まるマリアージュは尾を引いて光り輝く。たとえば、白魚のあんかけのあんには、日本酒十四代を使っている。白魚の後に十四代が出てきて、残像がレイヤーとなって重なっていく。マグロは炙らずに、超遠火で「あたためることで、脂を広げる」塩抜きした温かいカラスミにキャビア。「塩抜きは焼酎で」フグ白子は生のゴマと酒粕を合わせた白味噌仕立てで。あん肝はコロッケにして。この衣、さくさくだ。彗星の構成要素は、核、コマ、尾。コマとは、核の周りを覆っているガスや塵。尾は、太陽からの放射圧と太陽風によって、太陽と反対側に形成されるそうだ。核 料理コマ お酒だとしたら、長い尾は余韻、残心。忘れられない。
三谷,Instagram (bottan222) ーーーーーーーーーーーーー2019/02　久しぶりの訪問となりました、三谷さんの優しい笑顔が迎えてくれます。二人の近況報告をし、互いの健康を祝福し、いよいよ見たにワールドの開始です。まずは、「Champagne Louis Roederer Cristal 2008」 で乾杯です、２００８年です（嬉）「宍道湖の白魚　十四代と鰹節の餡かけで」・・・・・餡が美味しかったです「Puligny-Montrachet Les Perrieres 2010 Etienne Sauzet」「江戸前のカワハギの肝〆」・・・・・上品なカワハギに上品なPuligny-Montrachet、ピッタリです「Puligny-Montrachet Les Folatieres 2008 Etienne Sauzet」「中トロと大トロの中間の鮪」・・・・・１６２Kgの大間の鮪だったそうです「Corton-Charlemagne Grand Cru 2003 Bonneau du Martray」「のどぐろの唐揚げ」・・・・・のどぐろの旨味と脂が広がります、そこで ”Corton-Charlemagne” を飲みます、するとその脂分がスーッと消えます「十四代　大吟醸　中取り　生」・・・・・この十四代は凄いですね、これなら何にでも合います。「１年半熟成のカラスミ　ベルーガ キャビアのせ」・・・・・素晴らしいカナッペですね「トラフグの白子のフライ」・・・・・この２品、堪えられませんネ「Pavillon Rouge 2015 Chateau du Margaux」「炙り穴子」・・・・・対馬と長崎の中間で獲れた穴子です、香ばしく、味のある素晴らしい穴子でした「De Bortoli Black Noble 10 years old」「北海道余市のあん肝」・・・・・あん肝の味が口に広がっている内にこの貴腐ワインを飲みます、あららっ、不思議、あん肝の旨味が貴腐ワインの甘味によって、より深くなります。「十四代　純米吟醸　出羽燦々」　生「鳥取の松葉蟹」・・・・・２日後、私は蟹を食べに鳥取に行きます（笑）「バチコと鰹節と昆布のスープ」・・・・・これからお鮨です、これはそのお口直しです、上品なスープでした「信州 亀齢　美山錦　無濾過生原酒」・・・・・次の３つの にぎり に合わせて、旨味があるのに綺麗なお酒でした、あぁ～、それで亀齢なんだ（笑）「鹿児島県出水の墨烏賊」「銚子の平目」「炙った銚子の のどぐろ」・・・・・三谷さんが「これ、bottan さんお好きですよ」と言って出してくれました、素晴らしい脂で、旨味十分の ”のどぐろ” でした「Ruchottes Chambertin 2004 Grand Cru Clos des Ruchottes Monopole Armand Rousseau」「大間の鮪の腹ビレ」「大間の鮪のヅケ」この２貫の鮪、絶品でした「Champagne Jacques Selosse Ambonnay Le Bout du Clos Cru Extra Brut」「トロ巻き」「雲丹巻き」この海苔は凄いです、この海苔に合わせてのシャンパーニュでした「十四代　純米　中取り　無濾過　本生」・・・・・１０年ほど前から ”十四代” は私好みの美味しさなりました、次の にぎり に合わせて「佐賀の こはだ」「雲丹」「穴子」私はここで にぎり は終わり、家内はあと３貫ほど頂いておりました、その間、私はシャンパーニュを頂いておりました、お酒はいくらでも入ります（笑）「焼き車海老」・・・・・半生で美味しそうだったので握りではなく肴として頂きました「玉子焼」「抹茶」　素晴らしい ”三谷ワールド” で、至福の２時間でした、また直ぐにでも伺いたい、三谷さん、ありがとうございました
三谷,うどんが主食の公式ブログ　http://alwaysudon.com/ うどんが主食の公式メルマガ　http://alwaysudon.online/mailmagazine/instagram　https://instagram.com/alwaysudon/超久々の訪問、なんと5年以上は来てないですね。たまたま、知人の予約に空席が出たので呼んでもらえました。ここ何年か、私にはいろんなことがあった・・・（笑）三谷さんも大変だった・・・（涙）生きててよかったですね、ということで、また頑張っていきたいと思います。相変わらずの変態チックなつまみ、超高級食材の組み合わせたつまみ。そして、相変わらずの軽妙なトーク。三谷さんは生死の淵を彷徨って、新しいつまみを考え出したんじゃないかと思えるほど。見る限り、以前に比べて痩せただけで変わったのは、つまみがさらに良くなったくらい。喋りも冴えわたっていたので元気に頑張ってほしいですね。しばらく行かないうちにお会計が2人で10万とは・・・（涙）そのうち1人、10万になるかも。うどんが主食の公式ブログ　http://alwaysudon.com/ うどんが主食の公式メルマガ　http://alwaysudon.online/mailmagazine/instagram　https://instagram.com/alwaysudon/
三谷,The Tabelog Award 2017・2018 Silver 受賞店の三谷さんに行ってきました。四ツ谷駅徒歩４～5分ほどの所にお店があります。距離にして四ツ谷駅から500m足らずです。三谷さんは、完全予約制かつ予約には紹介者が必要です。外観は、とても渋く、隠れ家的なたたずまいで素敵です。店内に入ると樹齢1100年の靖国神社の鳥居の左側を使用した一枚板の白木のカウンターが、重厚感があります。お任せコースになるのでそれを頂きます。いよいよ握りです。まずは、今日のネタを披露してくれます。説明をしつつ提供してくれるため、知識も増え美味しさも倍増です。本場では普通に食することができますが、東京では珍しいミョウバン不使用の生うにを頂く。今までに味わったことのない衝撃を受けました。大間産本マグロは、イワシを食べて育ったという本鮪を頂く。上質な脂と赤身のバランスは、口の中でとろけます。ほのかな甘みの玉子焼きを頂きます。コースでいうならば、デザートです。最後に三谷さん自身で立ててくれたお薄で終了となります。最高のひと時でした。ご馳走様でした。
三谷,四ッ谷　三谷本店になります。3年先まで予約が埋まっているそうです。6人の食べ会シャンパンで乾杯「三谷」さんの特徴の一つは「ペアリング」合うお酒をしっかり用意してくれます。まずはおつまみ◎根室　馬糞雲丹2007年シャトーリューセックとともに甘口のワインと雲丹の塩気が相性抜群◎三厩　まぐろ頭の部位を中心に2005年　ムルソーペリエールと酸味が効いた辛口のワイン◎いわし　さば　炙り日本酒　十四代　播州山田錦　中取り純米吟醸◎秋刀魚　炙り◎けがに　日本酒「十四代」とかにの味噌のみで味付け日本酒　十四代　大吟醸と◎あなご1986年　シャトーアンジェリュス芳醇な葡萄の香り、完熟感◎松茸　土瓶蒸しシンプルに水出しでここから握りに移行◎げそ◎千葉館山のもみじだい◎すみいか◎八戸のひらめ日本酒　而今　東条山田錦タネのポーションはかなり大きめまろやかであっさりしたやさしい酢飯ここで、宅急便でお店に到着したばかりのカザフスタン、ベルーガキャビアが披露されます。牡丹海老とともに揚げ物にキャビアの天ぷらは珍しい（笑）最高です日本酒　十四代　龍月と◎まぐろ　赤身漬け2015年　ピュリニイ　モンラッシェ◎雲丹◎塩締め　まぐろ◎あなごデ・ボルトリ ブラック・ノーブル テンイヤーズ・オールド日本酒　十四代　吟桜◎秋刀魚◎さばの棒寿司◎こはだ◎玉子◎かんぴょう巻き　かんぴょう巻きをお稲荷で◎いくら◎お抹茶◎梅大病から復活してきた三谷大将病を患い、死と向き合ったことでお寿司に対する真摯な気持ちがより強まったと語っておられました。ますます研ぎ澄まされた繊細な感覚に裏打ちされた匠の技最高峰の「三谷」の世界堪能させていただきました。ごちそうさまでした。
三谷,初めて5.0をつけました。5.0だけはなかなか付けたくなくて今まで躊躇してました。けど、三谷さんは減点ポイントが何１つない素晴らしいお店でした。主人に予約を取ってもらったあの日から約１年半。やっと待ちに待った、念願のお鮨屋さん。ちょうどこの日から大将の三谷さんが復活されたようで、ナイスタイミングでした！お身体のことは聞いていたのですが、元気そうで、想像より若かったことにビックリしました。主人はこちらの常連なのですが、大将は、今まで誰と来たかとか何を話したとか毎回覚えてくれていらっしゃるそうです。もちろん一人一人のお客さんのことを何かに記録したのを当日見返してる等とは思いますが、飲食店の枠をこえ、人対人の鏡だと思いました。とても低姿勢な気さくな方で、初めての私にもたくさん話しかけて頂き、予約困難の理由はお鮨とお酒の美味しさだけではないことが伺えます。前置きが長くなりましたが、お店のレビューを書かせてもらいます。途中、抜けてるとこや記憶違いがあるかと思いますがご了承ください。６席のみのゆったりと広いカウンターはフラット。三谷さんの華麗な手元が丸見えです。なにひとつ隠すことなく、盛り付け、握り、すべてを拝見することができました。まずはこの日パリから届いたばかりだというシャンパーニュで乾杯。稀有ワインをかけた、雲丹柔らかく旨味たっぷりの、鮑温度のグラデーションが素晴らしすぎた、鰹脂がのりまくった、いわし口の中で溶けてしまうほどの、穴子＋カラスミ日本一贅沢なコロッケ、キャビア＋蟹の身濃厚すぎた、魚のフォアグラここまででシャンパン２種日本酒（十四代）２種稀有ワイン１種白ワイン１種ここから握りスタート。檜の木箱にきれいに並べられた、すでに切られた美しすぎるネタを見せていただけます。今からこれを食べるんだ、とワクワクが止まらない感じ。カレイスミイカ（食感さっくさくでしたキス中とろあぶらおとし（美味しすぎて悶絶しましたトロこはだ（初めてこはだを美味しいと思いましたアジムラサキウニ車海老バラちらし（キンメ入卵焼き穴子かんぴょう巻き（いなり入りが面白い！白ワイン２種日本酒２種お茶１種最後に追加で、赤ワインとマグロの赤身。美味しさとマリアージュの素晴らしさに悶絶でした。最高すぎました！かなりお酒の種類が多いと聞いていたので、酔って最後までお鮨を堪能できなかったらどうしようと思ってましたが、そんな事もなく、タイミングや量もまさに計算つくされてると感じました。三谷大将がすべてのお酒とお鮨について丁寧に説明してくださるので、それぞれのお酒や食材のストーリー性を感じることができ、なぜこの鮨にこのワインのマリアージュなのかということまで、素人の私でも楽しく考えながら味わうことができました。ちなみにお会計は２人で10万〜11万円。主人に感謝です。贅沢すぎる幸せな時間をありがとうございました！次訪問できるのは、オリンピックの年！今からめちゃくちゃ楽しみです！写真はお酒を先に載せています。お酒のボトルがマリアージュの区切りのタイミングだと思ってください。
