store_name,dinner_review
さわ田,気になっていましたが敷居が高そうで行けてなかったお店。ようやく行くことが出来ました。電話予約時に注意事項を教えて頂き訪問。夜は18時からのみです。写真NGなので店外の写真のみ。・銀杏これから既に美味しい。ふっくらしている。・ヒラメ えんがわ 肝 肝をヒラメで巻いて食べるとこれまた別格な美味しさ。・アオリイカ 10日 もち仕立て本当にお餅みたい。素晴らしい仕上がり。・赤ウニ 淡路島 唐津淡路島のウニは本当にそのまま。イカと食べても美味しい。・蒸し鮑 ゼリー鮑を蒸した時に出てくる汁をゼリーに仕立てたものが非常に美味しい。このレベルの鮑を食べるの初めてかも。絶品。・シメサバ ・タコ衝撃的な柔らかさ。・ビーンズトマト・マグロ ムラサキウニ巻き 大間大トロと中とろの間のマグロでウニを巻いて頂きます。美味い。・くちこ なまこの卵巣かなりの高級食材。日本酒のアテに最適。・巻物・カマの炙り握りキス赤貝シマアジこはだかつお印籠づめいくらづけ中とろ大トロと中とろの間大トロ炙り大トロエビ昆布森 うに穴子 塩 タレさわ田スペシャル玉子基本的にどれも非常に美味しい。いくらが美味しすぎてびっくりした。後、うにの握り。これ以上のらないくらいのってて豪華。そして絶品。正直かなりお腹いっぱいになりますがさわ田スペシャルはマストオーダー。常連さんに勧められご一緒させて頂くことに。づけ、中とろ、中とろと大トロの間、大トロを全部一緒に太巻きに。その具の量が衝撃的。見た目も美しく写真撮れないのが残念。衝撃的な味の美味しさ、大将の人柄の良さ、客層の良さ。本物の名店だと思います。
さわ田,a.玉をカウントせず２１貫。トロ５貫・ウニ２貫込み！鮨ダネを豪快に切りつける気っ風の良さ。b.8月：シンイカ・シンコ・アオヤギ・イカ印籠詰め…伝統的江戸前鮨の真髄を味わえる。C.8月下旬：鮃・イクラは走りの食材、b.の食材はその季節ならではの品。季節感を盛り込む。d.強烈な旨味の食材一本槍でなく、b.c.のような淡い旨味の食材を出して抑揚をつける。食べ手の感じ方を計算し尽くした構成。e.追加注文可能。全部巻き…高価な鮪を惜しげなく振る舞う。江戸の粋を体現。f.大将の食材の話と軽妙なジョークも魅力
さわ田,初めて夜にもお伺いさせていただきました。今宵も最高ですっ！！まずは怒涛のおつまみ。ホシガレイはエンガワ肝付き。肝は初めていただきましたが、絶品の珍味。10日寝かせたアオリイカ、極上の旨味が舌にまとわりつきます。アワビ本体はもちろん、煮汁のゼリー、不思議と爽やかささえ感じる苦い肝の素晴らしさ。イカとアワビはお好みで赤ウニを乗せてって、もう泣く。半生クチコにしろ他店で食べたこともあるのですが、それがマックスと思いきや、余裕で飛び越えてくる凄さ。熱燗好きには悶絶の摘み連発で泣いちゃう。炙りトロにはワサビを山盛り、騙されたと思って食べてみれば、あら不思議、どんぴしゃな辛味で最っ高！6席ならではのテンポの良さ、雄弁な旨味、感動しかありません。さらに口直しのカスゴ海苔巻きの清涼感溢れる旨味、妻の大根手巻きですらこの美味しさ。海苔とワサビのレベルが凄すぎるのはわかるのですが、それにしても不思議な超絶味。大将から何かしらの美味しいエキスが出てるとしか思えません。色んな角度からの旨味に昇天寸前ですが、続いて握り。きつく酢〆したアジは今までで最高の脂乗りで絶品。今日の珠玉は新子、新子なんて今まで季節物と小馬鹿にしていたのですが、心の底から謝ります。この超絶な旨さは一体！何故にこれほど旨いのか！？ホシガレイは普通のカレイより食感が素晴らしく、滲み出る甘み旨味も強烈。アオリイカはこの感じが一番好き。夜も変わらず山盛りのウニ、ニンニク塩でいただく極厚切りカツオ、燻製香と相俟って本当暴力的旨さです。そしてタコタコタコ、この口の中でとろける優美な柔らかさよ。もう全てが最っ高でした！メモ無しでしたので記憶を頼りにいただいたのは以下。つまみ・だだ茶豆、ホシガレイ、トリガイ、アオリイカ、赤ウニ唐津と淡路由良の食べ比べ、蒸しアワビ、半生くちこ、子持ちシャコ、タコ、トロdeムラサキウニ巻き、トロ炙り、カスゴ海苔巻き、大根手巻きなど握り・キス昆布〆、シマアジ、新子3枚付、アジ、カツオ、赤貝、ミル貝、赤身漬け、中トロ、中大トロ、大トロ、車海老、カマ炙り、バフンウニ、アナゴ、タマゴ、ほおずき追加・ホシガレイ、タコ、新子、カツオ高知スタイル、アオリイカ、ひもきゅう、干瓢巻き日本酒を熱燗で3合ほどいただいて、これだけお腹いっぱい食べてこのお値段、思わず安いと呟いてしまう素晴らしさ。後に残るのは本当に幸福感と感謝しかありません。またお伺いいたします。ごちそうさまでした！
さわ田,銀座　さわ田6名貸し切り会おつまみ◎銀杏塩で炒った銀杏　◎ひらめ　えんがわ3枚　朝締めのひらめ◎あおりいか2週間寝かせた濃厚な徳島のあおりいか◎ムラサキ雲丹徳島産あおりいかとも和えつつ◎佐島の蒸し鮑柱とひもも5時間煮込んだもの鮑の旨味がぎゅっと詰まった煮汁のジュレ◎野付の小柱◎鮑の肝珍味　絶品◎しめさば　炙り上から炭で炙り大量の山葵を和えて「さば」とは思えない「さば」自分史上、もっとも美味しい「さば」◎氷見の寒ブリ　すなずりわらで燻して◎たこ16年つぎ足した煮汁とお酒で炊いたたこ旨味と甘味◎マイクロトマト口直し◎大間のまぐろ184キロ　たっぷりの山葵で◎まぐろ　雲丹巻き大間のまぐろを大間のムラサキ雲丹で巻いて◎半ナマのばちこふわふわ　温かいばちこじかに指で裂いて◎かます　棒寿司みょうが◎まぐろ　かま　炙りたっぷりの山葵で◎つまの海苔巻き手渡し口直しここから握りへ◎さより◎赤貝豊後水道　しっかりと身が締まっていて歯ごたえ十分◎寒ブリ◎こはだ◎迷い鰹◎剣先いか　印籠詰めかんぴょう入り◎いくら軍艦◎まぐろ　漬け◎まぐろ　中とろ◎まぐろ　おおとろ◎まぐろ　すなずり　炙り◎車海老◎馬糞雲丹◎穴子　塩◎穴子　煮詰め◎まぐろ　全部巻きさわ田さんスペシャル◎たまご◎ほおづき圧巻あり得ないクオリティのつまみと握り特にまぐろ時期ですからね～いよいよ美味しさを増しています！大満足ごちそうさまでした！
さわ田,さわ田さんの握りの素晴らしさは先月のランチで体験済みですが、知り合いのグルマン先輩が〝さわ田の本当の凄さは摘みから行かないと〟と貸切会に誘ってくれました(^｡^)しかも超絶美人も同席するとのことですから否が応にも期待値が高まります。先ずはつまがふわっと置かれます。よく見るとガリが混ぜてあるんですね〜仕事が細かい。【お摘み】☆塩で煎った銀杏・・・丸々と大振りで見事！☆朝〆の平目3枚・・・これがグルマン先輩一押しの平目！美しい〜寝かしてないのでプリプリですが素晴らしい旨味と透明感(^ ^)そして後から供されるプリップリの縁側の上品な脂に陶酔◾︎長野 本金 純米☆徳島のアオリ2週間・・・まったり舌に絡みつく妖艶さに悶絶☆徳島のムラサキ雲丹・・・スッキリと上品☆佐島の蒸し鮑・・・柱、ヒモも一緒に供されます。5時間炊いたもの！ジュレが抜群の旨味と塩気をまとい極上の鮑の柔らかさと風味を包み込みます(^.^)☆野付の小柱３つ・・・叩くとキュッと縮みます。野付はやはり最高ですね！☆鮑の肝・・・お塩と酒で風味を際立たせるお仕事☆〆さば・・・上から炭で炙るパフォーマンス！3日目の1.5kg ！美味しい〜過去最高かも(๑˃̵ᴗ˂̵)☆氷見の寒ブリ砂ズリ・・・ベーコンですと出されたのはブリの砂ズリ！キツ目に稲藁で燻してあります。素晴らしい薫香〜寿司屋ですから稲藁でと大将！お茶目です)^o^(☆煮蛸・・・16年継ぎ足した煮汁とお酒で炊いた蛸の色が凄い！食感は和菓子を食べているような柔らかさ(^.^)☆マイクロトマト☆大間のマグロ184kg・・・明日で2週間と出された大間はかなり脂が乗っているのでわさびたっぷりで！何も言えね〜◾︎蔵心・・・佐賀のお酒 飲みやすい。☆マグロのウニ巻き・・・昔はつまを巻いてやられていたそうですがある方からのリクエストでやり始めたそうです。雲丹も大間のムラサキ！濃厚なのでわさびたっぷりで！笑うしかない美味しさ！☆バチコ・・・半生で熱々〜手で割いて頂きます。甘塩の塩梅が絶妙で旨い！柔らかくてふわふわです。ナマコ20匹分だそうです。☆口直しのカマスの巻物・・・素晴らしい酸味！酸っぱ好き倶楽部冥利につきます。◾︎土佐白菊・・・すっきり ☆カマ炙り・・・わさびたっぷり！弾く弾く〜☆ガリの海苔巻き・・・煮切りちょっとで七味を散らして！海苔は柳川、有明の海苔！【握り】⚫︎サヨリ片面〆・・・米酢がキリッと立ったこれぞ江戸前の握り！付け台にふわっと着地するや否や軽く沈む美しい握りです。⚫︎赤貝・・・山口宇部、豊後水道の赤貝！香り立つ旨味にサクッと歯が入るしっかりした身質！◾︎秋田山本 純米吟醸⚫︎寒ブリ・・・これは旨い！しっかり締まった身質に上質の脂が光輝きます！酢飯の輪郭もハッキリキレキレです。18kg！マグロだと中トロにあたります。⚫︎コハダ・・・〆て5日目の大分のコハダは脂がしっかりのって美味！香りも素晴らしい。オボロを軽くかませてあります。⚫︎迷い鰹・・・氷見の定置、これも素晴らしい薫香！カツオ＿loverには堪らない一品⚫︎剣先イカの印籠詰・・・イカ飯です。干瓢も詰めてあるから酸味と甘味のバランスが絶妙です。プチっとキレる鮮度抜群の身質！◾︎伯楽星 特別純米・・・飲みやすい。⚫︎いくら軍艦・・・素晴らしい塩気に大満足！⚫︎漬け・・・まったりした旨味にキレのある酸味！悶絶しました。⚫︎中トロ ・・・上質な津軽のマグロだから脂がスッキリと上品⚫︎大トロ・・・美しすぎる〜爽やかな脂の旨味に暫し陶酔⚫︎砂ズリの炙り・・・これも目の前で炭火で炙って供されます。マッタリと妖艶でわさびの突き抜ける辛味に爽やかな酢飯の酸味が重なり昇天☆べったら漬け◾︎澤の花⚫︎観音寺の車海老・・・江戸前もソロソロ終わり。スッキリ肉厚でエビ味噌がまた旨い！わさびの辛味もつーんと来ます。⚫︎昆布森のバフン雲丹・・・これもヤバイ！こぼれ落ちんばかりに盛ってくれます。しあわせ〜⚫︎穴子 塩・・・シンプルに穴子の甘味が感じられます。⚫︎穴子 煮詰・・・キリッとした煮詰めも堪らない。⚫︎全部巻き・・・5人前！先程からあり得ない量のマグロが目の前に並べられております。巻くの無理でしょうみたいな圧巻の光景です。それが徐々に巻かれていくんですからびっくりです。こんな太巻きみたことないですよ〜口から溢れ落ちるマグロ達！世界一の贅沢巻きを食べてしまった(๑˃̵ᴗ˂̵)⚫︎玉子・・・まったりと妖艶な甘さ☆ホウヅキ・・・ホウヅキの甘酸っぱさが酒宴の終わりを物悲しげに教えてくれます。お昼の握り一本のさわ田さんも素晴らしいのですが、ピンのネタでグイグイ押し込んでくる怒涛の摘みからの旨味ラッシュ！日本酒がなくても泥酔状態ですよ(๑˃̵ᴗ˂̵)僅か6席のプラチナシート！やはり銀座No.1は〝さわ田〟さんで決まりですね〜
さわ田,お友達に誘われて行ってまいりました憧れのさわ田さんではありますが、店内は明るくて大将も気さくな大将で、とても居心地のいいお店でありました独立時代から一気に売れた経緯などお鮨のネタ以外の面白いお話が色々と聞くことができました苦労もサクセスストーリーも素晴らしい(*˘︶˘*).｡.:*♡その場での予約は、常連でも受け付けていないとのこと一旦帰ってから、また行きたいと思った人だけ電話をくださいというスタンスそれなのに予約が一杯という状態は、流石の一言ですお鮨は、勿論美味しいですよ～(*˘︶˘*).｡.:*♡銀杏ヒラメ アオリイカ 厚岸のウニ蒸し鮑 ブリ タコの軟らか煮 シャコ子持ち煮浸し大間の本鮪はえ縄230kg鮪のウニ巻き バチコカマスの手巻き鮪の炙り カマ近く 腹近く ツマの手巻き握りサヨリ赤貝ブリコハダいくらカツオイカめし赤身漬けトロ大トロ炙りトロ 美味い昆布盛 雲丹アナゴ 塩とタレ爆弾巻き玉子ほうずき プチトマト
さわ田,うどんが主食の公式ブログ　http://alwaysudon.com/ うどんが主食の公式メルマガ　http://alwaysudon.online/mailmagazine/instagram　https://instagram.com/alwaysudon/久々のさわ田。あの空間に入ると身が引き締まる思いだ。鮨ってこんなに緊張して食べなきいけないのか。目のまえの澤田さんの動きを見ていると、何から何まで理に適った動き。にぎりを美味しく食べるための動き、気配り。考えながら、、、いつの間にか終わっている。うどんが主食の公式ブログ、うどんが主食の公式メルマガ
さわ田,満を持してさわ田へ6時開店一本勝負予約の時にいろいろ聞かれる事があり、逆に大変興味ありました。6時3分前に到着空いてません笑ジャストにオープン！その後、ほかのお客様もインでみんな揃ってスタート。初見の大将はとっても怖い雰囲気でしたが、のちのちユーモア炸裂でした笑まずは、スナップえんどうから。塩がしっかり効いてとても美味しい！！一番感動はあわび。アワビの汁を、ゼリーにして雲丹と一緒に頂く。異次元ですよ！！烏賊も始めてたべる味めちゃくちゃ美味しい握りはシンコや、海老などとても綺麗で美味しい！そして、下処理にとても手を入れていて、たまにわざとワサビを多めにしたりしてお茶目な一面も笑握りの為に出した柵はとても綺麗で、肉に見間違えるほと！！大将曰く、いいお寿司は脇役もバッチリ〆ないとダメだって。ワサビをケチるお店はダメだし、界隈でワサビ多目でって言われれと、とてもいいワサビ使ってるね！って合図とかいろんな裏話も面白かった。ほんとうにめちゃくちゃ心にズドンとくる話。大将がどうやってオープンしたのか、また冷蔵庫に使ってる木の話とか、最後の最後まで心に来る話をしていただきました。めちゃくちゃ美味しかったです。裏メニューも聞けたので次は裏メニュー食べますよ！！また、行きます！！
さわ田,銀座鮨の中でも一際異彩を放つ店、さわ田。噂には聞いていましたが、銀座鮨の中でも色々な意味でかなり敷居が高いと聞いていましたので、常連のどなたかに声を掛けて頂くのをひたすら待ちわびていました。この度は念願の初訪問。幹事様には心より感謝致します。・真子鰈・鳥貝・蒸し鮑・赤うに・中トロの刺身・煮蛸・中大トロ・シャコ・大トロ炙り　山盛り山葵・星鰈・鱚・みる貝・縞鯵・煮蛤・鰹・烏賊・鮪赤身・中トロ・中大トロ・大トロ・車海老・海胆・穴子・玉・さわ田スペシャル（追加）・ビール、日本酒45000円ほど。いやぁ～噂に違わぬ完成度の高い鮨に酔いしれました。意外にもツマミが多く、更にツマミの中でも鮪が沢山出て来て驚きました。考えてみてもツマミで鮪を出す鮨屋は思いつきません。何て贅沢な使い方。勿体ないからツマミで出すより握って欲しいなと正直心の中で思いましたが、心配ご無用、握りでも容赦なく鮪を出してくれて安心しました（笑）。硬派な握りメインの鮨屋と思っていたのですが、意外とツマミで酒を楽しんでもらいたいという店主の想いを感じとりました。6席1回転を考えると握りだけ食べて帰るのはお店的にどうだろうと余計なことも最近は考えてしまうようになり(笑)。自分が好きになった店では、店にとっても良い客でありたいと常々思います。ということで、昼から調整してガッツリ食べるのも礼儀の一つでしょう。握りはシャリが小ぶりでタネの切りつけは大き目ながら絶妙に均整のとれた美しい型。人肌のシャリは米粒が立ち、固めながら口どけは非常に良く米酢のみでキレの良い塩梅。何処の鮨屋とも似ていない独自性が人気の秘訣なのでしょう。店主は予想していたよりフレンドリーで非常に居心地良い滞在。此処にもまた銀座鮨を極めんとする店主がひとり。
さわ田,Instagram gurumebuta 毎日外食グルメ豚銀座にある鮨屋 さわ田さんに夕食を頂きに行きました。場所は銀座駅より徒歩3分のところです。MCビルのエレベーターを上がった3階に店舗があります。今回は東京のグルマン先輩の貸切会に呼んで頂きました。（店内撮影は禁止されているので、写真撮影はしていません。）お料理はご主人のお任せとなっています。まずは、つまみからです。☆マコガレイ☆縁側☆トリ貝☆アオリイカ☆蒸し鮑☆唐津の雲丹☆萩の雲丹☆鮑の肝☆中トロ 158kgの鮪☆鰆☆蛸 ☆大間の中大トロの紫雲丹巻き☆蝦蛄☆蝦蛄の脚の身☆ばちこ☆かすごの海苔巻き☆カマの炙り☆大根の手巻きつまみも充実していますね！握りに入る前に結構お腹が膨れてきました。ここから握りです。☆干しガレイ☆鱚☆みる貝☆縞鰺☆煮蛤☆鰹☆剣先イカ☆鮪の赤身☆中トロ☆中大トロの中間☆大トロ☆大トロの炙り☆水茄子☆車海老☆馬糞雲丹☆穴子（塩）☆穴子（煮詰め）☆玉子☆爆弾巻き 鮪全部混ぜこちらはさわ田さんの裏メニューとの事。赤身から中トロ、大トロまでを全て混ぜ合わせ極太巻きの完成です。なんとも贅沢な逸品です。☆ホオズキお代はお酒代なしで1人45000円弱でした。銀座価格とはいえ、少し高めの印象です。個人的には銀座ですと3万円台で頂ける「鮨 あらい」さんや「はっこく」さんの方が満足度が高いかもしれません。（あくまでも私個人の印象です。）しかしながら、銀座を代表する鮨屋としての風格、鮨の完成度の高さは間違いありません。お会計を考えなければ、味わい、ボリューム含めて大満足の内容でした。ご主人は職人気質で厳しい方という噂を伺っていたので、最初は緊張感を持って入店しました。貸切会でしたので、ジョークを交えた気さくなご主人でした。どのお客さんも楽しく過ごして頂けるよう、最低限のマナーを守って欲しいという想いでした。握り終えた後もご主人の面白トークが30分以上に渡りさく裂！なるほど納得です。いつも名店にお誘いして下さるグルマン先輩ありがとうございました！私も年を重ねて懐に余裕が出来れば、また再訪したいです。
