store_name,dinner_review
銀座 鮨一 銀座本店,2回目の訪問になります。前に来た時は、周りが中国人ばっかりだったとか少々悪口みたいなこと書いてしまいすみません、、、笑。真実ですが、、、。笑。お店は銀座の一等地、シャネルの真裏になります。銀座一丁目でも、有楽町でも銀座駅でも使えます。一瞬見つけづらい。建物の奥に入りインターホンを鳴らして中に入ります。特別感があって素敵です。一階は厨房、二階が客席。15席ぐらいのカウンターのみのお店です。今夜は三万円おまかせコースです。有名人、著名人も脚繁く通う銀座のミシュラン一つ星ですから、それはもうそのレベルの高さたるや、、、豊洲でも五本の指に入ると言われる「樋長」へ職人自らが出向き、直接仕入れをしたネタはまさに豪華絢爛。宝石箱より輝いています。まずはグラスシャンパンとビールで乾杯。そのあと日本酒に移ります。而今、鍋島、令和。而今が置いてあるのは嬉しい。あまりお目にかかれません。最初につまみ、あとは握りになるお鮨屋さんです。一つ一つ説明したらきりがないので、笑。印象に残ったものを。まず、蟹。最初に大きなカニ！！動いてます。生きてます。アワビ。こんな大きな黒アワビは色んな鮨屋でも見たことないです。顔ぐらいの大きさがあります。そしてやっぱりまぐろ！マグロだけで3種類、和歌山県産、那智勝浦、のマグロをいただきます。炙る時も、ガスバーナーではなく、熱く熱した石の下で炙ります。香ばしさが全然違う！本当に銀座のミシュラン一つ星の鮨屋が全力でいいネタを全力で集め全力で作ってくれている。正直一点の曇りもないほどに完成された日本の文化とも言えるまさに究極の芸術だと思います。これぐらいの満足度があれば、決して高くないお値段だとも思えました。高いけどね。笑笑夢のような時間でした。
銀座 鮨一 銀座本店,"先日は母の日がありましたが大切な人に喜んでもらいたい日というのがあります食事なら是非ともその人が喜ぶものを食べに行きたいものですドキドキしながらも銀座のお鮨屋さんを大切な人とのお食事の為に予約して暖簾をくぐってみました銀座 鮨一選んだのはミシュランにも掲載された事のある銀座の一流店入り口の入り方は他のお店と違うので予約時には伺う事ができますはじめはもちろん！緊張しましたよワインは2杯オーダーしましたおつまみをいただきながらの1杯目はオーストラリアワイン Powell & SON2杯目はお鮨に合わせてセレクトしていただいたブルゴーニュジャン・クロード・ボワセ ブルゴーニュ シャルドネ レ・ジュルシュリンヌどちらもさっぱりで和食に良く合うワインでしたボトルを置いていただき眺められてそれも嬉しいですそしてまず運ばれてきたお料理美しい季節感溢れるプレート新ごぼうしらす和え 飾られた柚子も良き鯛の卵長芋 珍しい鯛の卵稚鮎木の芽みそ 稚鮎が泳いでる様な躍動感明日葉お浸しと桜海老そら豆白和え今だから味わえるとびきりの旬の肴勢揃いですまずは瀬戸内海 淡路真子鰈透き通る美しさと歯ごたえとほのかな甘さとり貝 京都の舞鶴大きなとり貝を見せていただきました花板さんが手でパンと掌の上で叩くと生きてるかの様にくるくると動きます不思議な技です目にも楽しめて花板さんのご説明もあって緊張がほぐれながらいただく事ができます牡丹海老北海道 増毛（ましけ）というところのものです旨みが濃厚で弾ける食感が素晴らしいまさに海の幸な牡丹海老鮑大きな鮑蒸し鮑が盛られている器も美しい鮑の焼き物柔らかい極上の鮑毛ガニ胴体は味噌にからみウニと一緒に足毛ガニははじめ動いてましたゴージャスです美味しくうっとりとする至福の時はまぐり大きくて立派なはまぐりです！肉厚でジューシーな逸品美味しいスープがたまりませんさっきの牡丹海老が焼き物で余すところなく香ばしく運ばれてきました普段海老フライでも尻尾まで食べる派！海老はまるごと大好きなんでホントに嬉しいです蛍烏賊藁で燻して香りづけあるんです一つ一つの食材を素敵なあしらいで素晴らしい逸品に仕上げる驚きの境地甘鯛 大分赤、白、黄とありますが一番美味しい白柚子の香り昆布が敷いてありふっくらとした身と共にいただくと幸せ感が広がります皮も絶妙な焼き加減初鰹 千葉勝浦 カツオ漬け目には青葉山ほととぎす初鰹春一番の初鰹でした春らしいあっさりさはカラダも目覚める香りとおいしさたくさんのおつまみをいただきながらさっぱりして下さいと梅の茶碗蒸しをいただきました金目鯛 銚子深い味わい金目鯛の美味しいものはホント眼を見張る感動の美味しさ生で美味しく頂ける幸せ感アオリイカ 三重県塩とカボスでいただきます和歌山県那智勝浦 166kgのまぐろ問屋さんは魚河岸 樋長THE まぐろな酸味と旨みのバランスが最高な握りおいしさに頷きながらいただきます大トロ まぐろの美味しさMAXですまぐろ、うに、あなごにチカラを入れてるそうですが今までいただいた全部美味しいのですそしてまた握りが出来上がったと思ったら炭を載せた網が登場！まぐろの炙りですバーナーは見た事ありますよ銀座の粋な技を目の当たりにできました炙られている向こうには生けられた深紅のアルストロメリアと牡丹美しく飾られた包丁芸術的なフォルムにおいしさは想像の境地を超えて生きてて良かったと思う美味しさ佐賀 こはだ光輝くこはだ見た目だけでここに出てくるまでの行程が凄い事が想像できます鹿児島 出水鯵のトップブランド脂のりが素晴らしい寝つきの鯵久米島の車海老大好きな海老を今度は車海老でタレをつけた握りでいただきました上品なシャリが包み込まれいます千葉 大きい煮蛤大きさに比例した旨みが溢れてます歯ごたえも程よくたれがまた美味しさを引き立てていますのどぐろ 対馬これまた高級魚と呼ばれるのどぐろ高級鮨店でいただけるという衝撃そしてその美味しさうにです北海道吉岡産盛り上がる丸みうにの形をそのままに余韻に浸るうにのゴージャスな味わいなんと雲丹は第2弾がありました九州唐津 雲丹 はしりですとでてきた一品とろける甘さと旨みあなご 対馬脂のノリが良くふっくらまぐろの美味しさとさっぱりさが嬉しい手巻き最後に手巻きで〆るのは落ちつきますね卵焼き普段は味わう事のないお鮨屋さんの卵焼きしっかりした焼き加減でぎっしりと美味しいものが入っていますお椀 しじみ 宍道湖しじみのビバリーヒルズ 宍道湖出身こちら出身なら間違いなしの質の高さあさりくらい大きなしじみが一つはいり出汁が素晴らしくきいたお椀最後のお茶色があまりにも美しく伺ってみるとお鮨に合う引き立てる特別なお茶を作ってもらっているとのことそしてデザート和歌山産タロッコオレンジバニラモナカ銀座鮨店のモナカお上品かつ笑顔になる一品でした素晴らしいコースは¥30,000-でした価値ある時間を過ごせたこと幸せだと思いました大切な人との訪問だからこそ選ぶのに悩んだけれど気品と伝統と風格を携えたお店でさすが！と唸る美味しさのお店檜の寿司カウンターではめくるめく職人技日本各地の初物や旬の魚が皿に運ばれてくる度にその産地の説明や美しさにすっかり心を奪われてうっとり美術館の展示品みたいどれが一番なんて決められなかった銀座で芸術と伝統をいただく良き思い出そんな夜でした銀座 鮨一中央区銀座3-4-4 大倉別館　1F・2F"
銀座 鮨一 銀座本店,妻と二人で東京の友人に会いに行った時の晩御飯！友人と合流前に行っているのでお邪魔したのは妻と私の2人です入口にインターホンがあったりするちょっと変わったお店席は2階のみ？のように見えましたおそらく1階は調理場系だと思います今回いただいたもの結構適当にいただいてしまいました自分でお願いしたものもあればオススメで！みたいな頼み方をしたものもあります内容としては・スミイカ・マグロの霜降り・富士の白エビ・コハダ・さわら・赤貝の巻物・カマス焼き物・いくら小鉢・ウニ小鉢・ビール以上です二人で25000円行かないくらい一人あたりで12000円くらいだったと思います今回は写真を撮ることを完全に忘れてしまい1枚もありません食べたものは大体覚えていたので一応投稿させていただきます握りの米はちょっと固めでパラパラ系大きさは小さめでしたスミイカ塩が結構強めイカの味があんまりしなかったので個人的には△いくら小鉢とろーんと柔らかい感じのいくら味の加減が個人的には○カマスの焼き物油がさっぱりしていてビールが進みました今回で一番のお気に入りです総括味全体的には普通？に近かった印象です美味しいものもあったと感じたので少し高めの評価☆３，５サービス、雰囲気特記することなく普通のレベル共に☆３CP、ドリンク特記することなく普通のレベル共に☆３食事とは関係なく少し汚い話かもしれませんが食事スペースの2階にトイレが無いようで1階まで下りてからもう一度上がっていくことになると思うので足がよくない方は注意がいるかもしれません
銀座 鮨一 銀座本店,銀座の星を獲得しているお寿司屋鮨一銀座のシャネルの裏手辺りにある隠れ家的なお寿司屋さん鮨一の名前の由来は、築地でその日のナンバーワンの食材を必ず何か仕入れているからだそうです！鮨一さんへは、数回お邪魔していますがその日の築地でナンバーワン食材は、雲丹！でした。まずは、つまみからスタートし生きた大きな毛ガニを見せてくれて、その場で、蒸してくれます！足の太い身は、キレイに身だけになってつまみとして出してくれて！とにかく甘くてめちゃめちゃ美味しい！マグロも、一番美味しい部位をください！と、いつもワガママを言っても対応してくれます。そして、築地でナンバーワンの雲丹がもーたまらないくらい美味しいー！！雲丹のてんこ盛り握り鮨一さんでは、海苔で巻かれずにシャリと雲丹だけ！一粒が、とにかく大きい！そして甘ーい！ミシュランにのっているせいか？私たち以外は、全て外国の方ばかりでした。鮨一さんは、シンガポールでも出店していてそこでも、星を獲得した様です！お寿司は、全世界の人から愛される食べ物になりましたね！！
銀座 鮨一 銀座本店,この日は一度ランチで来た夜の鮨一に。ランチは握りメインだったけど、夜はもちろんつまみから。ビール、日本酒を飲みながら～。ツマミはかぶら蒸しかわはぎ白えび太刀魚塩焼きみょうが子持ち槍烏賊印象的だったのは白えび、鯛の酒盗で和えて。酒盗の最高峰とも言われる鯛酒盗。鯛ならではの甘味と旨味に、白えびの甘みが重なり、日本酒の進む一品。握り鰤漬け炙り喉黒炙り漬けトロ細魚鰆漬け炙り海胆握り車海老赤貝鯖金目鯛墨烏賊海胆軍艦穴子ネギトロかっぱ巻き玉子焼と鮨一の石橋さんの握りを堪能しまくり。白眉だったのは車海老。マキと呼ばれる15センチ以下のサイズ。石橋さんは味噌と尾の部分を取り、一緒に叩いてシャリとタネの間にしのばせる。味噌だけだと濃すぎるところ、絶妙な塩梅。その和えたものだけ食べていたい気もするけど。。。笑そして海胆の握り！海苔を使わず握った海胆！！この海胆は築地セリ番号１番。函館産はだて水産！海胆2房～てことで？1貫で原価3000円？4000円？という代物。原価ということは売値は？ひゃーコレを仕入れられるのは鮨一・石橋さんの気概！こだわりを持った海胆！房の大きさが半端無く。シャリが全く見えない。口に入れれば、さっとシャリと渾然一体。昆布の旨味に溢れる。。。垂涎の一貫。この日は隣にアルゼンチンから、マサ（石橋さん）の鮨を食べに来た！て言う2人組が！2人は2日で5色、ラーメンから鮨まで日本食食べまくると息巻いていました笑　海外まで名前を轟かせている石橋さん！流石だ～。海外経験もあるので英語で説明からお客さんとの会話もしていて、素晴らしい接客。和食、鮨が無形文化財として観光資源になってるんだなあ～～ーーーーーーーーーーーーーーーーーーーーーーーー銀座の寿司ランチ～～中央通の一本裏、3丁目のクランクの抜け道のヤマザキ（知ってる人は知ってる）のビルに暖簾を掲げる銀座鮨一http://ginza-sushiichi.jp/こちら1階でインターフォン押して２階に上がるタイプ。１階の正面にはワインセラー。桑田真澄も来られるようで彼のワインも入っているようです。親方は石橋正和さん、34歳。実家が寿司屋で、その後寿司以外を見てみたいとアメリカに飛び、アメリカで寿司を握り、帰国後鮨一に。２年連続ミシュランの星を獲得した実力店。シャリは赤と白２種類を素材によって使い分けている。この日はランチ６０００円握りで～先付　白子茶碗蒸し　握り　鯛、喉黒（白板昆布で昆布締め）、墨烏賊、赤身（大間1週間熟成）、中トロ（1週間熟成）鰆（づけ炙り）、鰤（づけ炙り）　車海老、海胆（はだて水産）、穴子、あさり巻き、玉子、塩アイスモナカ印象的だったのはやはり大間のマグロ。１週間熟成して旨味に溢れる。マグロは樋長さん。間違いない品質です。中トロ。こちらも１週間熟成。ふわっと蕩けるマグロ。脂の甘味に溢れる。小刃かえしで屋根が付いてるのが、技術のしっかりしてることの表れ。鰆。水分の多い鰆を一回づけにすることで脱水し、そこから藁で炙る仕事をする手のかかりよう。脱水で濃縮、旨味に溢れる。海胆！この日はセリ番号一番ではありませんでしたが、はだて水産のセリ上位の海胆の実力！房がこんなにデカイ！！なので軍艦でなく、直に握ってます。口に入れると昆布の旨味甘みにあふれる～そしてさっとジュースに！たまらんっ！ミシュラン獲得の実力は間違いなく、素材、仕事にもこだわりを持っているお店。づけにして炙ったり、あさりを叩いて巻物にするアイデアにも溢れる。凛とした紺の作務衣を着た親方は若いながらも、目配り気配りが効く。今度はセリ番１番の海胆を食べてみたい～。セリ番１番の海胆って行くところは大体決まってますからね～他所ではなかなか食べれないもの。
銀座 鮨一 銀座本店,"CCの店員に拉致られて、漸く解放されたら、CC裏口駐車場から徒歩30秒に美味しいお鮨のお店が有ります、と、言われるがまま、予約されるがまま、連行され、お伺いして参りましたw。自己血糖値50切りの雰囲気で、死の危険を感じたので、開店同時にお伺いしました。一般宅みたいに、チャイムを鳴らし、店内案内され、二階に通されました。御高齢の脚腰の悪い方は、階段がキツいかもしれません。車椅子の方も、難しいと思われます。なので、足元にはご注意ですね。板前さんは、三人居られ、給仕の方々は、結構居ります。カウンターど真ん中に座らせて頂き、お任せでお願いしました。付き出しから、スゴく美味しく、焼き鯖、鰤しゃぶなんて、いっぱい食べれる感じ。聴けば、ミシュラン★1だったのですね。なるほど、、なので？、後々、来られるお客様は、海外の方々でした。お鮨も非常に美味しく、シャリの塩分も薄くて、凄く良い感じ。にきりも薄めに塗ってますから、高血圧の方も食べ過ぎなければ大丈夫な？感じでした。鮪も甘み有り、昆布締めの金目鯛の甘さもハンパない。大黒鮑の酒蒸しも、金額気にしなければなら、一個イけますからwボイル仕立ての車海老も最高に美味い。光り物も酢の塩梅が、弱めで素晴らしく美味しい。最終甘味、塩最中、最高です。10個イけますw。板前さんも、気の利く方々で、ホント、良いお店を、CCから紹介して戴きましたw御値段も素敵でしたw2名/74,220円お一人様37,110円かなり、なかなか素敵ですwノンアルコールですからね〜wまたまた、お伺いして、色々頼んでみたいと思います。御馳走様でした、美味しかったですね〜m(_ _)m"
銀座 鮨一 銀座本店,再訪 2015年5月ランチが良かったので、夜に予約して訪問。お酒入ってたし、多少忘れてる点もあります汗インターホンは相変わらず印象に残ります笑ツマミとにぎりを注文。前回と違う方に握ってもらうことに。・先付けじゅんさいしか覚えてない、、、酸味あり。・まこがれいの刺身ぽん酢で頂きました。ぽん酢が柔らかく優しい味わい。白身によく合います。・〆さば厚切りのさばはしっとりしてていいかも。ちょっと臭みあり。・太刀魚焼きふんわりして丁寧に焼いてあります。本日一かも。・真鯛出汁がよく優しい味わい。・にぎりのどぐろ  脂がのっていて旨味が広がるやりいか  細く切ったいかが見た目にもいいね。ねっとりしてて美味しい。鮪付け      その場でつけてくれます。普通かな。おおとろ  丁度いい脂です。うに          この大きさを握ってくれるのは嬉しいですね。ミョウバンは感じます。車えび      これは美味しい。あなご      ふわふわ。本日二番かも！たまご      少し甘めの出汁がいい。日本酒と共に頂きました。前回よりシャリの握り方が堅めで、いい印象が薄くなりました。もちろん、雰囲気と共に美味しく頂いています。お店の独特な店も見つけたいなーと思います。幸いにしてそんなに混んでなく、ゆっくりと出来ました。以下、初訪問------------------------2015年4月銀座でブラブラ。たまにはランチに寿司をと思い寿司一さんを訪問。前回はランチですぐ一杯だったので予約してみました。◼場所銀座三丁目にあるビル奥一階にあります。◼入り口インターホンで店員さんを呼びます。一階は店員さんが不在になることもありセキュリティ上そうしてるとのこと。◼メニュー椿4000円先付け、握り8貫、お椀、デザート芙蓉6000円先付け、料理２品、握り8貫、お椀、デザート牡丹9000円先付け、料理２品、刺身、握り8貫、お椀、デザートおまかせ12000円から芙蓉を選びました。先客一名。カウンターに案内されました。店員さんも気さくで気兼ねなく楽しめます。まずはオクラとアスパラとキノコの和え物黄色のソースは玉子が入ってます。酸味も感れるのでいいスタート。料理は黒ムツの焼き物だったと思います。それとカツオのネギまみれ梅肉が入ってて酸味と茗荷とネギとカツオの味はマッチするんですねー。握りヒラメ美味しい。今まで白身で美味しいネタ食べてないんだろうなーと感じました。アジ撮るの忘れましたが肉厚の新鮮味あるアジも美味。イカ一人前を包丁入れて素麺のようにしてから一つに握ります。柑橘類もあって美味。中トロ普通に美味しい。コハダそういえば味が強いネタには赤酢シャリです。酸味×２になりますが甘味も重なり好きです。ホタテ美味しい。うにいくら小丼うにはミョウバン少なく苦味はほぼ無いです。このくらいの小ささが丁度良いですね。お椀トロロも入りねっとりするかと思いましたが意外にあっさり。美味。玉子出汁が入ってると思います。良い。追加赤身わりかし普通。ノドグロ脂乗っててこれは美味しい。追加料金は3000円くらい。握ってくれたのは大将ではないですが担当してくれた方は優しい握りで思わず見てると暖かくなります。また握って欲しいと思いました。全体的にとても満足。夜も訪れたいと思いました。観光客のお客様も増えてるとのことで予約をオススメします。
銀座 鮨一 銀座本店,恩人であり心友の思い出巡りシリーズ。ここには実際二回くらいしか来ていないが、他の人にとっては思い出のお店だったようである。ぜひここにも報告に行ってほしい、という依頼があったので行ってきた。その子も連れて。「わたしはあの人に救ってもらったんです」涙目になりながら語るその子の横顔はとても可愛らしかった。なるほどコードネーム堀北真希は、伊達じゃなかった。後ろめたい関係などではなかったが、その子の心の傷に寄り添ってケアし続けた。この日は残念ながら大将は出張に出ていて報告はできなかったので伝言だけ。でも、堀北真希から僕が知らない心友のことを色々と聞けたのが嬉しかった。色々な話を聞いていきたい。僕たちが色々な寿司のネタを好きなように。しかし、ここの穴子のフワトロ感といったらない。今まで食べた穴子で一番美味しかったかも。ただネタが新鮮なだけじゃない。下処理からさまざまな工夫を為されているのがわかる。あの人から頼まれていたことは一つずつクリアしていこう。それが、自分にできる恩返しだと思うから。
銀座 鮨一 銀座本店,週初めで空いてるだろうと、シャネルビルのテラスで泡＆”ベージュ”の軽食を洒落込もうと訪れたら”休館”の看板と共に固く閉ざされたエントランス、後で調べたら木曜～日曜の営業でした。ならばと近場であるこちらに大きく路線変更。駄目もとで電話したらアッサリOK。ビル1階のインターホンを押し、合言葉を告げ（嘘）秘密の寿司屋に潜入です。階段を上がり2階には14席のコの字カウンター、「あと1分で行きまーす」という事前電話に得体の知れない何かを感じとったのか（笑）一行は店主の前に通されます。食べログの備考には写真撮影に関して微妙な事が書いてありますが尋ねると快諾。静かにそして綺麗に撮ってあげるからね（笑）注文はつまみもセットになった「おまかせ」（22000円）で内容は以下の通りです。～つまみの部～前菜4種（枝豆/へちま漬け/鰻八幡巻き/とうもろこし揚げ） 〇 →刺身：眞子鰈/鳥貝 〇〇→蒸し鮑/子持ちシャコ △◎→太刀魚塩焼き 〇 →梅と茗荷の海苔巻き 〇→鰹の叩き △〜握りの部〜鮪赤身 〇 →中とろ ◎ →大とろ 〇 →すみいか △ →のどぐろ 〇 →あじ 〇 →赤貝 △ →むらさきうに 〇 →ばふんうに 〇 →山芋のすり流し椀 〇 →車海老 ◎ →あなご ◎ →玉子焼き 〇 →ねぎとろたく 〇 →デザート：黒胡麻アイス 〇これに生ビール×3杯、シャブリ プルミエクリュ1本、田酒1合、中々×3杯を3名で頂き一人ほぼ3万。印象的なのはシャコ。ふっくらと子持ちのそれはツメとの相性でさらにフックラとした味わいへと変化。旬の太刀魚も淡白な脂で酒も進みます。握りでは中トロの切れよい脂と香りのハーモニーが良く、いきなりの鮪三連発そして〆のトロタクでこちらの方向性が見えてきます。仕事ネタより質重視で鮪押しかな、ランチも営業しているのでそれも納得という感じです。車海老はその場でボイル、半生状態のそれは歯ごたえと甘味のバランスでとても美味。握りは小さめで空気を含ませたフワリの握り、口の解けはネタと同時です。ネタも薄めカットですからバランスは良いですね。そしてこちらの最大の特徴がシャリ。塩も酢も控えめ、人肌温度で固め炊きのそれはネタによって赤酢と白酢（普通の酢）を使い分けています。白身や貝や烏賊には白、マグロ等強めのネタには赤をという芸の細かさ。特に赤酢と烏賊の相性は良くないと仰っていました。今度はお好みで赤白食べ比べてみようかな、そんな機会は滅多にありませんからね。まだ若い御主人は気さくでフレンドリー。こちらの会話に割って入る事はありませんが笑顔でいつでも話を振ってきて下さい的な包み込むような雰囲気を醸し出しています。名刺にもありましたがシンガポールとバンコクにも進出して（バンコクはこれからとの事）ワールドワイドに活躍されています。因みにネタは日本から空輸しているとの事であります。こちらキャパに比して店員さんも多いので目配りに関してはほぼ完璧、ワインセラーがある様にその品揃えも豊富で銀座らしいです。ドリンクの価格はまあ普通の銀座価格、1.5倍という感じでしょうか。さすがに普段使いは出来ない高級店ですが接待向きというより居心地の良いサロン的。使いどころが微妙といえばそうかもしれませんね。最後は御主人とホール担当の女性がビルを出るまでお見送り、ほっこりできる良店でした。ごちそうさまでした♪
銀座 鮨一 銀座本店,2013年11月03日(日)07時00分00秒大仕事を終えた後に・・・鮨一＠銀座テーマ：魚　我々東京ホルモンズは、全力で働いたら全力で遊ぶB食家集団である。　　　　大仕事を終えた後に・・・鮨一＠銀座の話。　　　　　　　銀座鮨ドリームって有るかもしれませんね。当れば富を手に入れる事ができ上手くタニマチをGETすれば海外進出もお手の物。　そりゃー若い職人さんも頑張りますよね。それに伴う様、景気も急速に伸びていって欲しいものです。　先日めずらしく仕事現場に出てみるとその容姿、ウズラ玉子の燻製みたいなあのお方が直々にお出ましになられていました。　あの顔を見ると反射的に飲みに行きたくなってしまう体質のボクは「おはよう！」のあいさつを省略し　　「今日はドコの鮨屋行く？？」　とご挨拶申し上げました。　平日とはいえ今日の今日。好きな店はどこも予約でいっぱい。しかたなくウズラ玉子の燻製さんにリサーチ&リザーブをお願いし仕事に取りかかりました。　休憩の度にオレ　「どう？とれた？」ウズラ　「どこも駄目です。」を繰り返すこと数回。ようやく転がるように駆け寄ってくるウズラ玉子の燻製さん。開口一番　「ピンポン鮨屋がとれました！」　意味がわかりませんでしたがピンポン玉の燻製さんは頑張ってくれました。　　　お互い一時帰宅しシャワーを浴びてコロンは叩かず店前に集合することにしました。　いつも通りピンポン玉の燻製さんはワタシより後に到着します。シャネルの裏のビルなのにボッテガ前で迷子になるというツワモノです。10分待たされてようやく登場したピンポン玉の燻製さんはもうニッコニコ。さっそく店内に入ろうとすると　　なるほど。　　こーゆーことだったのね。　　走ってきてすっかり頭に血が上ったピンポン玉の燻製さんいわくここ鮨一は　　ミシュランで星ひとつのお店だそうで　　どーですか？イイ店見つけたでしょ！オレ偉いでしょ？　　と褒めて欲しそうだったのでそこは触れないでおいてあげました。　　次々出されるおつまみはどれも絶品で　　酒を加速させるものばかり。　　　最近つまみと握り混合型の鮨屋を崇拝しているので　　つまみの後の握りパティーン久しぶりで新鮮だったなー。　　いろんなお店食べ歩いてんだろーなー。そんでもってイイトコを吸収してさらに研究して自分のものにしてきたんだろうなー。てなふうに感じる内容でした。　　むぅ、このパティーンは初だな。　　イワユル良い酒飲み比べ。森伊蔵とか村尾とかなんともプレミア感いっぱいの面々。でも魔王が一番しっくり来たりしてね。（笑）　　そしてイイ皿でてきてーの　　握りスタート。　　　クセはなく　　　１００点満点中１００点満点の握り。　　　これなら星とるよね。　　この店で料理に対して不満がある人って少ないと思うよ。　　酒飲みの気持ちもしっかり理解なさってるしね。　　煮きりを塗ったウニの様な顔したウズラ玉子の燻製さんも終始大はしゃぎだったね。　　でもなんでだろう。この落ち着かない感じ。　　接客してくれるお姉さんの気配りも良いし店内の装飾も落ち着いている。　　　なのにこのソワソワする感じ。　　　なんでかなー。と終始考えていたのですが板場の位置が高く見下ろされている感じがするのと　　焦げたウズラ玉子さんの「うひゃひゃひゃー！」って笑い声が若干ぼりゅーみーで大将の視線が全盛期の大魔神佐々木かっ！ってくらいの落差で落ちてきたからなのかなと。　　思ったりもしましたがやっぱり真実は言わないでおきます。　　　まーとにかく、イイ店をありがとうね。　　　　やっぱピンポン玉よりウズラの玉子のが似てるな。　　後で聞いたら結構な有名店なんだってね。おみそれしやした。　　　ランキング、今日もポチッとお願いします！絶好調です！あざーす！　　　人気ブログランキング　　　にほんブログ村　　　ブロぐるめ--------------------------------------------店名銀座鮨一（すしいち）住所東京都中央区銀座3-4-4大倉別館1F--------------------------------------------
